"","bpns-A1BIS","bpns-B05BELWIND","bpns-BelwindReefballs","bpns-BIRKENFELS","bpns-buitenratel","bpns-C05AR1Belwind","bpns-C05AR2Belwind","bpns-C05AR3Belwind","bpns-C05BELWIND","bpns-D1","bpns-GARDENCITY","bpns-KB2","bpns-Kilmore","bpns-middelkerkebank","bpns-NHSE","bpns-nieuwpoortbank","bpns-NIEUWPOORTKUST8","s-8","s-4","s-1","s-9","s-5","s-6","s-7","s-3","s-2","s-2a","s-4a","s-4b","s-4c","ws-11","ws-12A","ws-13","ws-14","ws-15","ws-15A","ws-16","ws-18","ws-23","ws-25","ws-25A","ws-25B","ws-2C","ws-6","ws-4","ws-A1","ws-A3","ws-A5","ws-DL12","ws-DL7","ws-DL9","ws-GVWSP","ws-OG10","ws-OGDL","ws-PPB","ws-PPC","ws-PVTSS","ws-SP3","ws-STEEN","ws-TRAWL","ws-W6","ws-W7","ws-WN2","bpns-OH6","ak-41","ak-42","ak-44","ak-45","ak-46","ak-47","ak-48","s-10","s-9a","ws-FZ2","ws-HW6","ws-55","ws-53A","ws-53","s-12","ws-42A","s-11","bpns-OOSTDYCK","bpns-S4","bpns-S7","bpns-Trapegeer","bpns-VG2","s-8a","bpns-W1","bpns-WENDUINEBANKW","s-10a","s-Wetteren","s-Wichelen","gn-Lier","kn-Lier","bn-Lier","bn-Walem","du-Hamveer","s-Dendermonde","s-Vlassenbroek","ws-F42","VLVS1","VLVS2","VLVS3","VLVS4","VLVS5","VLVS11","VLVS12","VLVS13","VLVS14","VLVS15","VLVS6","VLVS7","VLVS8","VLVS9","VLVS10","bpns-Whitley","bpns-WK12","bpns-WK14","bpns-WKS","bpns-WZ","me-7-2","M-6","M-5","M-4","M-3","M-1","M-2","M-4A"
"ws-11",53895.7600580377,75183.10098545,75622.7157222182,92396.6967063326,96697.6007269792,74915.6731924617,74450.8477895986,74797.8473719058,74718.275582587,82479.2833944201,101283.964475996,72707.7950831638,84989.777103283,74293.6290543596,88230.2512367434,88347.2009931104,82454.4231540028,73537.452127078,106148.357621652,137865.892102958,68412.3527479616,87929.4520192287,83130.6164543788,81328.6520865747,110148.26183331,136771.007693964,119964.688272385,96017.0971877857,92942.2223124525,90414.9835689802,0,6822.67951470882,513.5129976759,7795.40493267433,2773.42508486959,3719.0077697425,8829.20905570136,10465.0494437757,7797.67941976602,8537.40200815062,8675.39016070633,9833.61106974097,1041.08635333898,2533.62901641452,1836.87990356061,4809.37184604528,5865.7999503813,6983.30675977668,16771.7057150426,18936.6015443007,17714.0494602348,18057.7224964419,16680.6212425574,15943.9488507254,7309.06489049303,7732.08196292519,1149.18340547146,18557.6505972803,17188.3850547877,17685.1618223639,17917.3993109575,17669.054730379,17771.0362782065,62756.7683823979,60429.567272765,59999.7569614595,53257.1262781276,52587.9228642968,45650.6684180947,44778.3548560161,45306.6449562118,60969.1438839442,68024.5379293058,25937.4321930191,25740.1221895637,24835.7696563519,24826.228050148,24959.9857498515,48640.6484013746,25603.1255501794,49323.8261476823,85286.1801405607,46028.6556945076,37716.3347790379,91693.4187547732,63860.1805496232,73623.4141893396,29085.6390998755,63444.0268483918,60810.791125968,130145.713839748,124653.858674074,91191.8866947565,89111.2820991088,94929.0841386281,90681.620541307,90138.9045462489,103776.723268826,97472.0619732833,25832.3869183487,33435.127215733,34657.6792997989,35313.3113470828,34412.4860524818,35122.5047026621,36937.0744035139,37974.921817172,36752.2821266868,37335.0344868161,38661.7398881817,34644.8111474947,35673.2045613668,36106.1662059346,36631.4801857066,37301.2737276873,85100.076265271,43953.3112928672,32998.4885993903,91673.6346910112,38448.7631877265,83254.0433081261,90450.1874036653,94129.8469113795,96434.8907132844,96453.9739256936,98657.1237861895,96616.3564440115,96434.8907132844
"ws-12A",59741.1802917992,81436.0969848459,81875.7117216141,98649.6927057285,102543.020960741,81168.6691918576,80703.8437889945,81050.8433713017,80971.2715819828,88324.7036281818,107536.960475392,78553.2153169253,90835.1973370445,80139.0492881211,94483.2472361393,94192.6212268721,88299.8433877644,69220.4410144468,101831.346509021,133548.880990328,64095.3416353304,83612.4409065976,78813.6053417476,77011.6409739436,105831.250720679,132453.996581333,115647.677159754,91700.0860751546,88625.2111998213,86097.972456349,6822.67951470882,0,6309.16651703293,1257.56717562277,5046.20058163947,4100.61789676639,2540.60783659777,4212.05344437911,1223.8334770762,1714.7224934418,1852.71064599752,3260.16809298248,7109.98292167687,4645.1026953665,4985.79961114957,3295.09557812057,2203.06225407727,1696.91909313368,23024.7017144384,25189.5975436965,23967.0454596306,24310.7184958376,22933.6172419531,22196.9448501211,2470.5776534842,1655.90316427321,5673.49610923899,24810.6465966761,23033.8052885492,23938.1578217596,24170.3953103532,23667.3158762526,24024.0322776022,68602.1886161593,56112.556160134,55682.7458488284,48940.1151654966,48270.9117516658,41333.6573054636,40461.343743385,40989.6338435808,56652.1327713131,63707.5268166747,21620.4210803879,21423.1110769325,20518.7585437208,20509.2169375168,20642.9746372203,44323.6372887436,21286.1144375482,45006.8150350513,91131.6003743226,52281.6516939032,43561.7550127993,97538.8389885351,70113.1765490187,69306.4030767083,34931.0593336371,69289.4470821532,56493.7800133369,125828.702727117,120336.847561443,86874.8755821254,84794.2709864777,90612.073025997,86364.6094286759,85821.8934336178,99459.7121561944,93155.0508606522,21515.3758057175,29118.116103102,30340.6681871679,30996.3002344519,30095.4749398508,30805.4935900311,32620.063290883,33657.910704541,32435.2710140559,33018.0233741852,34344.7287755507,30327.8000348637,31356.1934487358,31789.1550933036,32314.4690730757,32984.2626150563,90945.4964990329,50206.3072922628,38843.9088331517,97519.0549247731,44294.1834214879,78937.032195495,86133.1762910343,89812.8357987484,92117.8796006533,92136.9628130625,94340.1126735584,92299.3453313804,92117.8796006533
"ws-13",53752.4607521297,75447.3774451762,75886.9921819444,92660.9731660588,96554.3014210712,75179.9496521879,74715.1242493248,75062.123831632,74982.5520423131,82335.9840885121,101548.240935722,72564.4957772558,84846.477797375,74150.3297484515,88494.5276964696,88203.9016872024,82311.1238480948,73273.1756673518,105884.081161926,137601.615643232,68148.0762882354,87665.1755595026,82866.3399946526,81064.3756268486,109883.985373584,136506.731234238,119700.411812659,95752.8207280596,92677.9458527263,90150.707109254,513.5129976759,6309.16651703293,0,7281.89193500005,2259.91208719369,3205.4947720666,8529.32737626813,10200.7729840493,7284.16642209012,8023.88901047472,8161.87716303044,9320.0980720667,1398.01697748945,2020.11601873862,1323.36690588471,4295.85884836938,5352.2869527054,6469.79376210079,17035.9821747688,19200.8780040269,17978.325919961,18321.998956168,16944.8977022835,16208.2253104515,6795.55189281713,7218.5689652493,635.670407795561,18821.9270570065,17045.0857488796,17949.43828209,18181.6757706836,17678.596336583,18035.3127379326,62613.4690764898,60165.2908130389,59735.4805017333,52992.8498184015,52323.6464045707,45386.3919583685,44514.07839629,45042.3684964857,60704.867424218,67760.2614695797,25673.1557332929,25475.8457298375,24571.4931966258,24561.9515904218,24695.7092901253,48376.3719416485,25338.8490904532,49059.5496879562,85142.8808346527,46292.9321542338,37573.0354731299,91550.1194488652,64124.4570093493,73359.1377296135,28942.3397939674,63300.7275424838,60546.5146662418,129881.437380021,124389.582214347,90927.6102350303,88847.0056393826,94664.8076789019,90417.3440815809,89874.6280865227,103512.446809099,97207.7855135571,25568.1104586225,33170.8507560069,34393.4028400727,35049.0348873567,34148.2095927557,34858.2282429359,36672.7979437878,37710.6453574458,36488.0056669607,37070.75802709,38397.4634284556,34380.5346877686,35408.9281016406,35841.8897462084,36367.2037259805,37036.9972679611,84956.776959363,44217.5877525934,32855.1892934822,91530.3353851032,38305.4638818185,82989.7668483999,90185.9109439392,93865.5704516533,96170.6142535582,96189.6974659674,98392.8473264633,96352.0799842853,96170.6142535582
"ws-14",60998.747467422,82693.6641604687,83133.2788972369,99907.2598813513,103800.588136364,82426.2363674804,81961.4109646173,82308.4105469245,82228.8387576056,89582.2708038046,108794.527651015,79810.7824925481,92092.7645126673,81396.6164637439,95740.8144117621,95450.1884024949,89557.4105633872,68421.3965751627,101032.302069737,132749.836551043,63296.2971960463,82813.3964673134,78014.5609024635,76212.5965346594,105032.206281395,131654.952142049,114848.63272047,90901.0416358704,87826.1667605372,85298.9280170649,7795.40493267433,1257.56717562277,7281.89193500005,0,6303.76775726223,5358.18507238916,1283.04066097499,2954.48626875634,1560.01006016796,1090.36407630278,879.985228032005,2038.20613706665,8082.70833964238,5902.66987098916,6243.36678677223,4552.66275374334,3460.62942970004,2495.96353241784,24282.2688900612,26447.1647193193,25224.6126352534,25568.2856714604,24191.1844175759,23454.5120257439,3269.62209276835,2241.31628531489,6931.06328486165,26068.2137722989,24291.372464172,25195.7249973824,25427.962485976,24924.8830518754,25281.599453225,69859.755791782,55313.5117208498,54883.7014095443,48141.0707262124,47471.8673123816,40534.6128661795,39662.2993041009,40190.5894042966,55853.0883320289,62908.4823773906,20821.3766411038,20624.0666376484,19719.7141044366,19710.1724982327,19843.9301979362,43524.5928494594,20487.0699982641,44207.7705957671,92389.1675499454,53539.2188695259,44819.3221884221,98796.4061641579,71370.7437246416,68507.3586374242,36188.6265092598,70547.0142577759,55694.7355740528,125029.658287832,119537.803122158,86075.8311428413,83995.2265471936,89813.0285867129,85565.5649893918,85022.8489943336,98660.6677169103,92356.0064213681,20716.3313664334,28319.0716638178,29541.6237478837,30197.2557951677,29296.4305005667,30006.4491507469,31821.0188515988,32858.8662652569,31636.2265747718,32218.9789349011,33545.6843362666,29528.7555955796,30557.1490094516,30990.1106540195,31515.4246337916,32185.2181757722,92203.0636746557,51463.8744678855,40101.4760087745,98776.622100396,45551.7505971107,78137.9877562109,85334.1318517501,89013.7913594643,91318.8351613692,91337.9183737784,93541.0682342743,91500.3008920962,91318.8351613692
"ws-15",54694.9797101598,76389.8964032063,76829.5111399746,93603.4921240889,97496.8203791014,76122.468610218,75657.6432073549,76004.6427896621,75925.0710003433,83278.5030465422,102490.759893752,73507.0147352859,85788.9967554051,75092.8487064816,89437.0466544997,89146.4206452325,83253.6428061249,72330.6567093216,104941.562203896,136659.096685202,67205.5573302052,86722.6566014724,81923.8210366224,80121.8566688184,108941.466415554,135564.212276208,118757.892854629,94810.3017700294,91735.4268946961,89208.1881512238,2773.42508486959,5046.20058163947,2259.91208719369,6303.76775726223,0,945.582684873179,7586.80841823722,9258.25402601857,5202.28043343334,6262.44999918194,6720.88512910165,8306.36867462176,3657.92906468314,808.673651907391,1384.44561094314,2035.94676117569,3092.37486551172,4209.88167490711,17978.5011327989,20143.396962057,18920.8448779911,19264.5179141981,17887.4166603136,17150.7442684816,4535.63980562345,4958.65687805562,1674.00839380196,19764.4460150366,17987.6047069097,18891.9572401201,19124.1947287137,18621.1152946131,18977.8316959627,63555.9880345199,59222.7718550088,58792.9615437033,52050.3308603715,51381.1274465406,44443.8730003385,43571.5594382599,44099.8495384557,59762.348466188,66817.7425115496,24730.6367752627,24533.3267718073,23628.9742385956,23619.4326323916,23753.1903320951,47433.8529836185,24396.330132423,48117.0307299261,86085.399792683,47235.4511122638,38515.55443116,92492.6384068955,65066.9759673794,72416.6187715832,29884.8587519976,64243.2465005138,59603.9957082118,128938.918421991,123447.063256317,89985.091277,87904.4866813524,93722.2887208716,89474.8251235506,88932.1091284924,102569.927851069,96265.2665555268,24625.5915005923,32228.3317979767,33450.8838820426,34106.5159293266,33205.6906347255,33915.7092849058,35730.2789857577,36768.1263994158,35545.4867089306,36128.2390690599,37454.9444704255,33438.0157297385,34466.4091436105,34899.3707881784,35424.6847679504,36094.4783099311,85899.2959173932,45160.1067106234,33797.7082515124,92472.8543431335,39247.9828398485,82047.2478903697,89243.3919859089,92923.0514936231,95228.095295528,95247.1785079371,97450.328368433,95409.561026255,95228.095295528
"ws-15A",55640.5623950328,77335.4790880794,77775.0938248477,94549.074808962,98442.4030639744,77068.0512950911,76603.225892228,76950.2254745352,76870.6536852164,84224.0857314153,103436.342578626,74452.597420159,86734.5794402781,76038.4313913547,90382.6293393728,90092.0033301056,84199.225490998,71894.5437314916,104505.449226066,136222.983707372,66769.4443523752,86286.5436236424,81487.7080587924,79685.7436909884,108505.353437724,135128.099298378,118321.779876799,94374.1887921994,91299.3139168661,88772.0751733938,3719.0077697425,4100.61789676639,3205.4947720666,5358.18507238916,945.582684873179,0,6641.22573336415,8312.67134114549,4256.69774856017,5316.86731430876,5775.30244422851,7360.78598974869,4056.07789111438,1185.37875332798,1882.12786618189,1090.36407630278,2146.79218063881,3264.2989900342,18924.083817672,21088.9796469301,19866.4275628642,20210.1005990712,18832.9993451867,18096.3269533547,3590.05712075055,4013.07419318271,2569.82436427104,20710.0286999096,18933.1873917828,19837.5399249932,20069.7774135868,19566.6979794862,19923.4143808358,64501.5707193929,58786.6588771788,58356.8485658733,51614.2178825414,50945.0144687106,44007.7600225085,43135.4464604299,43663.7365606256,59326.2354883579,66381.6295337196,24294.5237974327,24097.2137939773,23192.8612607656,23183.3196545616,23317.0773542651,46997.7400057884,23960.217154593,47680.9177520961,87030.9824775561,48181.0337971369,39461.137116033,93438.2210917686,66012.5586522524,71980.5057937532,30830.4414368707,65188.8291853869,59167.8827303818,128502.805444161,123010.950278487,89548.97829917,87468.3737035224,93286.1757430417,89038.7121457206,88495.9961506624,102133.814873239,95829.1535776968,24189.4785227623,31792.2188201467,33014.7709042126,33670.4029514966,32769.5776568955,33479.5963070758,35294.1660079277,36332.0134215858,35109.3737311006,35692.1260912299,37018.8314925955,33001.9027519085,34030.2961657805,34463.2578103483,34988.5717901204,35658.365332101,86844.8786022664,46105.6893954964,34743.2909363854,93418.4370280066,40193.5655247216,81611.1349125397,88807.2790080789,92486.9385157931,94791.982317698,94811.0655301071,97014.2153906031,94973.448048425,94791.982317698
"ws-16",62281.788128397,83976.7048214437,84416.3195582119,101190.300542326,105083.628797339,83709.2770284554,83244.4516255923,83591.4512078995,83511.8794185806,90865.3114647796,110077.56831199,81093.8231535231,93375.8051736423,82679.6571247189,97023.8550727371,96733.2290634699,90840.4512243622,67647.8256212308,100258.731115805,131976.265597112,62522.7262421144,82039.8255133815,77240.9899485316,75439.0255807275,104258.635327463,130881.381188117,114075.061766538,90127.4706819385,87052.5958066053,84525.357063133,8829.20905570136,2540.60783659777,8529.32737626813,1283.04066097499,7586.80841823722,6641.22573336415,0,1671.44560778135,2384.52798480434,1579.09327257776,1069.7111719534,1004.4020140415,9116.51246266725,7185.71053196408,7526.40744774715,5835.70341471833,4743.67009067503,3626.16328127952,25565.3095510362,27730.2053802943,26507.6532962284,26851.3263324354,25474.2250785509,24737.5526867189,4043.19304670029,3014.88723924682,8214.10394583657,27351.2544332739,25574.413125147,26478.7656583574,26711.003146951,26207.9237128504,26564.6401142,71142.796452757,54539.9407669178,54110.1304556123,47367.4997722804,46698.2963584496,39761.0419122476,38888.728350169,39417.0184503647,55079.517378097,62134.9114234586,20047.8056871719,19850.4956837164,18946.1431505047,18936.6015443007,19070.3592440042,42751.0218955274,19713.4990443321,43434.1996418351,93672.2082109204,54822.2595305009,46102.3628493971,100079.446825133,72653.7843856166,67733.7876834922,37471.6671702348,71830.054918751,54921.1646201208,124256.087333901,118764.232168227,85302.2601889094,83221.6555932617,89039.457632781,84791.9940354599,84249.2780404018,97887.0967629784,91582.4354674362,19942.7604125014,27545.5007098859,28768.0527939518,29423.6848412358,28522.8595466347,29232.878196815,31047.4478976669,32085.295311325,30862.6556208398,31445.4079809691,32772.1133823347,28755.1846416477,29783.5780555197,30216.5397000876,30741.8536798596,31411.6472218403,93486.1043356307,52746.9151288605,41384.5166697494,100059.662761371,46834.7912580856,77364.416802279,84560.5608978182,88240.2204055324,90545.2642074373,90564.3474198465,92767.4972803424,90726.7299381644,90545.2642074373
"ws-18",63953.2337361783,85648.150429225,86087.7651659933,102861.746150108,106755.07440512,85380.7226362368,84915.8972333737,85262.8968156809,85183.325026362,92536.757072561,111749.013919771,82765.2687613044,95047.2507814236,84351.1027325003,98695.3006805185,98404.6746712513,92511.8968321436,66536.7966911969,99147.7021857714,130865.236667078,61411.6973120805,80928.7965833477,76129.9610184977,74327.9966506937,103147.606397429,129770.352258083,112964.032836504,89016.4417519047,85941.5668765714,83414.3281330991,10465.0494437757,4212.05344437911,10200.7729840493,2954.48626875634,9258.25402601857,8312.67134114549,1671.44560778135,0,4055.97359258569,2995.80402683691,2537.36889691699,1104.72626351012,10360.6954339628,8857.15613974539,9197.85305552832,7507.14902249967,6415.11569845638,5297.60888906086,27236.7551588176,29401.6509880757,28179.0989040097,28522.7719402168,27145.6706863323,26408.9982945003,5612.74471307276,4584.43890561929,9885.54955361774,29022.7000410552,27245.8587329284,28150.2112661388,28382.4487547324,27879.3693206317,28236.0857219814,72814.2420605384,53428.911836884,52999.1015255784,46256.4708422466,45587.2674284158,38650.0129822138,37777.6994201352,38305.9895203309,53968.4884480631,61023.8824934247,18936.776757138,18739.4667536826,17835.1142204708,17825.5726142669,17959.3303139704,41639.9929654936,18602.4701142983,42323.1707118013,95343.6538187018,56493.7051382822,47773.8084571784,101750.892432914,74325.229993398,66622.7587534583,39143.1127780161,73501.5005265324,53810.1356900869,123145.058403867,117653.203238193,84191.2312588756,82110.6266632279,87928.4287027472,83680.9651054261,83138.2491103679,96776.0678329446,90471.4065374024,18831.7314824676,26434.4717798521,27657.023863918,28312.655911202,27411.8306166009,28121.8492667812,29936.4189676331,30974.2663812912,29751.626690806,30334.3790509353,31661.0844523009,27644.1557116138,28672.5491254859,29105.5107700537,29630.8247498258,30300.6182918064,95157.5499434121,54418.3607366418,43055.9622775308,101731.108369152,48506.236865867,76253.3878722452,83449.5319677844,87129.1914754986,89434.2352774035,89453.3184898127,91656.4683503086,89615.7010081305,89434.2352774035
"ws-23",59897.2601435926,81592.1768366393,82031.7915734076,98805.7725575219,102699.100812534,81324.749043651,80859.9236407879,81206.9232230951,81127.3514337763,88480.7834799752,107693.040327185,78709.2951687188,90991.277188838,80295.1291399145,94639.3270879327,94348.7010786655,88455.9232395578,69981.4066353306,102592.312129905,134309.846611211,64856.3072562142,84373.4065274813,79574.5709626314,77772.6065948274,106592.216341563,133214.962202217,116408.642780638,92461.0516960384,89386.1768207051,86858.9380772328,7797.67941976602,1223.8334770762,7284.16642209012,1560.01006016796,5202.28043343334,4256.69774856017,2384.52798480434,4055.97359258569,0,1060.16956574877,1518.6046956687,3104.08824118888,8084.98282673406,5264.05040335151,5960.79951620542,3451.175429914,2359.1421058707,1241.63529647518,23180.7815662319,25345.67739549,24123.125311424,24466.7983476311,23089.6970937466,22353.0247019146,1709.61203260039,681.306225146923,6648.49601429456,24966.7264484695,23189.8851403427,24094.2376735531,24326.4751621467,23823.395728046,24180.1121293957,68758.2684679527,56873.5217810177,56443.7114697122,49701.0807863803,49031.8773725495,42094.6229263474,41222.3093642688,41750.5994644646,57413.0983921969,64468.4924375585,22381.3867012718,22184.0766978163,21279.7241646046,21270.1825584006,21403.9402581042,45084.6029096273,22047.080058432,45767.780655935,91287.6802261161,52437.7315456966,43717.8348645927,97694.9188403286,70269.2564008122,70067.3686975921,35087.1391854305,69445.5269339466,57254.7456342207,126589.668348,121097.813182326,87635.8412030093,85555.2366073616,91373.0386468809,87125.5750495598,86582.8590545016,100220.677777078,93916.0164815361,22276.3414266013,29879.0817239858,31101.6338080517,31757.2658553357,30856.4405607346,31566.4592109149,33381.0289117668,34418.8763254248,33196.2366349397,33778.988995069,35105.6943964346,31088.7656557476,32117.1590696196,32550.1207141875,33075.4346939595,33745.2282359401,91101.5763508264,50362.3871440562,38999.9886849452,97675.1347765666,44450.2632732813,79697.9978163789,86894.1419119181,90573.8014196323,92878.8452215372,92897.9284339464,95101.0782944423,93060.3109522642,92878.8452215372
"ws-25",60957.4297093414,82652.3464023881,83091.9611391564,99865.9421232707,103759.270378283,82384.9186093998,81920.0932065367,82267.0927888439,82187.5209995251,89540.953045724,108753.209892934,79769.4647344675,92051.4467545867,81355.2987056633,95699.4966536815,95408.8706444143,89516.0928053066,69226.9188938085,101837.824388383,133555.358869689,64101.8195146921,83618.9187859592,78820.0832211092,77018.1188533052,105837.72860004,132460.474460695,115654.155039115,91706.5639545162,88631.689079183,86104.4503357107,8537.40200815062,1714.7224934418,8023.88901047472,1090.36407630278,6262.44999918194,5316.86731430876,1579.09327257776,2995.80402683691,1060.16956574877,0,509.382100624362,2043.91867544011,8824.70541511866,6003.77299173664,6700.52210459001,4511.34499566277,3419.31167161947,2301.80486222395,24240.9511319806,26405.8469612388,25183.2948771728,25526.9679133799,24149.8666594954,23413.1942676634,2616.94068623584,1588.63487878238,7388.21860267916,26026.8960142183,24250.0547060915,25154.4072393019,25386.6447278954,24883.5652937948,25240.2816951444,69818.4380337015,56119.0340394956,55689.22372819,48946.5930448582,48277.3896310274,41340.1351848253,40467.8216227467,40996.1117229424,56658.6106506747,63714.0046960364,21626.8989597496,21429.5889562942,20525.2364230824,20515.6948168785,20649.452516582,44330.1151681052,21292.5923169099,45013.2929144129,92347.8497918649,53497.9011114453,44778.0044303415,98755.0884060774,71329.425966561,69312.8809560699,36147.3087511793,70505.6964996954,56500.2578926986,125835.180606478,120343.325440804,86881.3534614871,84800.7488658395,90618.5509053588,86371.0873080377,85828.3713129795,99466.1900355562,93161.5287400139,21521.8536850792,29124.5939824637,30347.1460665296,31002.7781138136,30101.9528192125,30811.9714693928,32626.5411702447,33664.3885839027,32441.7488934176,33024.5012535469,34351.2066549124,30334.2779142254,31362.6713280975,31795.6329726653,32320.9469524374,32990.740494418,92161.7459165752,51422.5567098049,40060.1582506939,98735.3043423154,45510.4328390301,78943.5100748568,86139.654170396,89819.3136781102,92124.3574800151,92143.4406924243,94346.5905529202,92305.8232107421,92124.3574800151
"ws-25A",61415.8648392613,83110.781532308,83550.3962690763,100324.377253191,104217.705508203,82843.3537393197,82378.5283364566,82725.5279187638,82645.956129445,89999.3881756439,109211.645022854,80227.8998643875,92509.8818845066,81813.7338355832,96157.9317836014,95867.3057743342,89974.5279352266,68717.5367931841,101328.442287759,133045.976769065,63592.4374140677,83109.5366853349,78310.7011204849,76508.7367526809,105328.346499416,131951.09236007,115144.772938491,91197.1818538919,88122.3069785586,85595.0682350863,8675.39016070633,1852.71064599752,8161.87716303044,879.985228032005,6720.88512910165,5775.30244422851,1069.7111719534,2537.36889691699,1518.6046956687,509.382100624362,0,1585.48354552018,8962.69356767438,6319.78724282899,6838.51025714627,4969.78012558269,3877.74680153939,2760.23999214387,24699.3862619006,26864.2820911587,25641.7300070927,25985.4030432998,24608.3017894153,23871.6293975833,3075.37581615577,2047.0700087023,7526.20675523569,26485.3311441382,24708.4898360114,25612.8423692218,25845.0798578154,25342.0004237147,25698.7168250644,70276.8731636214,55609.6519388712,55179.8416275657,48437.2109442338,47768.007530403,40830.7530842009,39958.4395221223,40486.7296223181,56149.2285500504,63204.622595412,21117.5168591253,20920.2068556698,20015.8543224581,20006.3127162541,20140.0704159576,43820.7330674808,20783.2102162855,44503.9108137885,92806.2849217848,53956.3362413653,45236.4395602614,99213.5235359973,71787.861096481,68803.4988554456,36605.7438810992,70964.1316296154,55990.8757920742,125325.798505854,119833.94334018,86371.9713608628,84291.3667652151,90109.1688047344,85861.7052074134,85318.9892123552,98956.8079349318,92652.1466393896,21012.4715844548,28615.2118818393,29837.7639659052,30493.3960131892,29592.5707185881,30302.5893687684,32117.1590696203,33155.0064832784,31932.3667927932,32515.1191529225,33841.8245542881,29824.8958136011,30853.2892274731,31286.250872041,31811.564851813,32481.3583937937,92620.1810464951,51880.9918397248,40518.5933806138,99193.7394722354,45968.86796895,78434.1279742324,85630.2720697717,89309.9315774858,91614.9753793907,91634.0585917999,93837.2084522958,91796.4411101178,91614.9753793907
"ws-25B",63001.3483847815,84696.2650778282,85135.8798145965,101909.860798711,105803.189053723,84428.8372848399,83964.0118819769,84311.011464284,84231.4396749652,91584.8717211641,110797.128568374,81813.3834099076,94095.3654300268,83399.2173811034,97743.4153291216,97452.7893198544,91560.0114807468,67641.522954707,100252.428449281,131969.962930588,62516.4235755906,82033.5228468578,77234.6872820078,75432.7229142038,104252.332660939,130875.078521593,114068.759100014,90121.1680154148,87046.2931400815,84519.0543966092,9833.61106974097,3260.16809298248,9320.0980720667,2038.20613706665,8306.36867462176,7360.78598974869,1004.4020140415,1104.72626351012,3104.08824118888,2043.91867544011,1585.48354552018,0,10120.9144767088,7905.27078834897,8245.96770413204,6555.26367110287,5463.23034705957,4345.72353766406,26284.8698074208,28449.7656366789,27227.2135526129,27570.88658882,26193.7853349355,25457.1129431035,4660.85936167595,3632.55355422249,8933.66420222145,28070.8146896584,26293.9733815316,27198.325914742,27430.5634033356,26927.4839692349,27284.2003705846,71862.3567091416,54533.6381003941,54103.8277890885,47361.1971057567,46691.9936919259,39754.7392457238,38882.4256836453,39410.715783841,55073.2147115732,62128.6087569348,20041.5030206481,19844.1930171927,18939.840483981,18930.298877777,19064.0565774805,42744.7192290037,19707.1963778084,43427.8969753114,94391.7684673051,55541.8197868854,46821.9231057816,100799.007081518,73373.3446420012,67727.4850169684,38191.2274266193,72549.6151751356,54914.861953597,124249.784667377,118757.929501703,85295.9575223857,83215.3529267381,89033.1549662573,84785.6913689363,84242.9753738781,97880.7940964548,91576.1328009125,19936.4577459777,27539.1980433622,28761.7501274281,29417.3821747121,28516.556880111,29226.5755302913,31041.1452311432,32078.9926448013,30856.3529543161,31439.1053144454,32765.810715811,28748.881975124,29777.275388996,30210.2370335638,30735.5510133359,31405.3445553166,94205.6645920153,53466.475385245,42104.076926134,100779.223017756,47554.3515144701,77358.1141357554,84554.2582312946,88233.9177390088,90538.9615409137,90558.0447533228,92761.1946138187,90720.4272716407,90538.9615409137
"ws-2C",54936.8464113766,75714.717631746,76154.3323685142,92928.3133526286,97738.6870803182,75447.2898387577,74982.4644358946,75329.4640182018,75249.8922288829,83520.3697477591,101815.581122292,73748.8814365028,86030.8634566219,75334.7154076985,88761.8678830393,89388.2873464494,83495.5095073418,73005.835480782,105616.740975356,137334.275456662,67880.7361016656,87397.8353729328,82598.9998080828,80797.0354402788,109616.645187014,136239.391047668,119433.071626089,95485.4805414898,92410.6056661565,89883.3669226842,1041.08635333898,7109.98292167687,1398.01697748945,8082.70833964238,3657.92906468314,4056.07789111438,9116.51246266725,10360.6954339628,8084.98282673406,8824.70541511866,8962.69356767438,10120.9144767088,0,2920.46585219024,2273.48345373999,5096.67525301333,6153.10335734935,7270.61016674473,17303.3223613386,19468.2181905967,18245.6661065307,18589.3391427378,17212.2378888533,16475.5654970213,7596.36829746109,8019.38536989324,1983.92067088117,19089.2672435762,18229.4714081266,18216.7784686598,18449.0159572534,18710.141083718,18302.6529245024,63797.8547357368,59897.9506264691,59468.1403151635,52725.5096318317,52056.3062180009,45119.0517717987,44246.7382097201,44775.0283099159,60437.5272376482,67492.9212830099,25405.8155467232,25208.5055432678,24304.153010056,24294.6114038521,24428.3691035556,48109.0317550787,25071.5089038835,48792.2095013864,86327.2664938996,46713.1132529169,38757.4211323769,92734.5051081123,64391.7971959191,73091.7975430438,30126.7254532144,64485.1132017307,60279.174479672,129614.097193452,124122.242027778,90660.2700484606,88579.6654528129,94397.4674923322,90150.0038950112,89607.287899953,103245.10662253,96940.4453269874,25300.7702720528,32903.5105694371,34126.062653503,34781.694700787,33880.8694061859,34590.8880563662,36405.457757218,37443.3051708761,36220.6654803909,36803.4178405202,38130.1232418858,34113.1945011989,35141.5879150709,35574.5495596387,36099.8635394108,36769.6570813914,86141.1626186099,44484.9279391632,34039.5749527292,92714.7210443502,39489.8495410655,82722.4266618302,89918.5707573695,93598.2302650837,95903.2740669886,95922.3572793977,98125.5071398936,96084.7397977156,95903.2740669886
