"","bpns-A1BIS","bpns-B05BELWIND","bpns-BelwindReefballs","bpns-BIRKENFELS","bpns-buitenratel","bpns-C05AR1Belwind","bpns-C05AR2Belwind","bpns-C05AR3Belwind","bpns-C05BELWIND","bpns-D1","bpns-GARDENCITY","bpns-KB2","bpns-Kilmore","bpns-middelkerkebank","bpns-NHSE","bpns-nieuwpoortbank","bpns-NIEUWPOORTKUST8","s-8","s-4","s-1","s-9","s-5","s-6","s-7","s-3","s-2","s-2a","s-4a","s-4b","s-4c","ws-11","ws-12A","ws-13","ws-14","ws-15","ws-15A","ws-16","ws-18","ws-23","ws-25","ws-25A","ws-25B","ws-2C","ws-6","ws-4","ws-A1","ws-A3","ws-A5","ws-DL12","ws-DL7","ws-DL9","ws-GVWSP","ws-OG10","ws-OGDL","ws-PPB","ws-PPC","ws-PVTSS","ws-SP3","ws-STEEN","ws-TRAWL","ws-W6","ws-W7","ws-WN2","bpns-OH6","ak-41","ak-42","ak-44","ak-45","ak-46","ak-47","ak-48","s-10","s-9a","ws-FZ2","ws-HW6","ws-55","ws-53A","ws-53","s-12","ws-42A","s-11","bpns-OOSTDYCK","bpns-S4","bpns-S7","bpns-Trapegeer","bpns-VG2","s-8a","bpns-W1","bpns-WENDUINEBANKW","s-10a","s-Wetteren","s-Wichelen","gn-Lier","kn-Lier","bn-Lier","bn-Walem","du-Hamveer","s-Dendermonde","s-Vlassenbroek","ws-F42","VLVS1","VLVS2","VLVS3","VLVS4","VLVS5","VLVS11","VLVS12","VLVS13","VLVS14","VLVS15","VLVS6","VLVS7","VLVS8","VLVS9","VLVS10","bpns-Whitley","bpns-WK12","bpns-WK14","bpns-WKS","bpns-WZ","me-7-2","M-6","M-5","M-4","M-3","M-1","M-2","M-4A"
"bpns-A1BIS",0,39336.8396556632,42553.6615295864,44444.6606761242,42801.8406689421,39176.2275217963,38782.6125583475,38773.5599435836,38943.2246922144,28583.5233363836,52228.1666348694,18812.0350251262,34354.6231703225,20397.8689963221,52597.6212251958,34451.4409350739,30267.7136419002,127025.636419482,159636.541914055,191354.076395361,121900.537040366,141417.636311632,136618.800746783,134816.836378979,163636.446125713,190259.191986367,173452.872564788,149505.281480189,146430.406604855,143903.167861383,53895.7600580377,59741.1802917992,53752.4607521297,60998.747467422,54694.9797101598,55640.5623950328,62281.788128397,63953.2337361783,59897.2601435926,60957.4297093414,61415.8648392613,63001.3483847815,54936.8464113766,55096.0775964329,54755.3806806502,56446.0847136786,57538.1180377219,58655.6248471175,42116.8574720194,40410.4843791,41123.5667561228,39047.6967159688,43043.3569444827,42740.8264535189,58340.4890231056,59368.794830559,54067.6841825609,39668.6019706254,36707.3750032501,38554.1588880727,36487.8304541234,36226.7053276588,37551.2389595529,14878.2904548615,113917.751565169,113487.941253864,106745.310570532,106076.107156701,99138.8527104986,98266.53914842,98794.8292486157,114457.328176348,121512.72222171,79425.6164854224,79228.306481967,78323.9539487553,78314.4123425514,78448.1700422549,102128.832693779,79091.3098425827,102812.010440086,31390.420082523,8544.18013582276,16179.4252789999,37797.6586967374,14804.3827084973,127111.598481744,24810.1209581624,10758.8442603951,114298.975418372,183633.89813215,178142.042966476,144680.070987159,142599.466391512,148417.268431031,144169.80483371,143627.088838652,157264.907561229,150960.246265686,79320.571210752,86923.3115081364,88145.8635922024,88801.4956394863,87900.6703448853,88610.6889950655,90425.2586959174,91463.1061095755,90240.4664190904,90823.2187792197,92149.9241805853,88132.9954398982,89161.3888537703,89594.3504983381,90119.6644781102,90789.4580200908,32165.6571393204,15122.544830295,20897.2714586476,37777.8746329744,15446.9968703113,136742.22760053,143938.371696068,147618.031203783,149923.075005687,149942.158218097,152145.308078592,150104.540736414,149923.075005687
"bpns-B05BELWIND",39336.8396556632,0,4112.62273319125,19200.5275783519,62621.2918713898,267.42779298829,732.253195851379,563.279712079651,464.825402863047,53280.8896387094,43219.0456472007,38382.2496896285,39234.9561837581,43386.1847527084,13260.7815695345,61463.1465183604,59949.8107032293,148720.553112529,181331.458607101,213048.993088405,143595.453733413,163112.553004679,158313.717439829,156511.753072025,185331.362818758,211954.10867941,195147.789257832,171200.198173235,168125.323297902,165598.08455443,75183.10098545,81436.0969848459,75447.3774451762,82693.6641604687,76389.8964032063,77335.4790880794,83976.7048214437,85648.150429225,81592.1768366393,82652.3464023881,83110.781532308,84696.2650778282,75714.717631746,76790.9942894795,76450.2973736968,78141.0014067253,79233.0347307686,80350.5415401641,58411.3952704072,56246.4994411492,57469.0515252151,57125.3784890087,58573.6901823066,59239.1521347245,80035.4057161523,81063.7115236057,75762.6008756074,56625.4503881699,58860.8144326384,57497.939163087,57265.7016744942,57768.7811085951,57412.0647072448,51577.4942471242,135612.668258217,135182.857946911,128440.227263579,127771.023849749,120833.769403546,119961.455841467,120489.745941663,136152.244869396,143207.638914757,101120.533178469,100923.223175014,100018.870641802,100009.329035598,100143.086735302,123823.749386826,100786.22653563,124506.927133134,42949.4603129201,35420.9639593924,40983.5693155637,65521.4686741654,26668.7701295966,148806.51517479,48135.3407137527,45069.2457612761,135993.892111419,205328.814825194,199836.95965952,166374.987680206,164294.383084559,170112.185124077,165864.721526757,165322.005531698,178959.824254274,172655.162958732,101015.487903799,108618.228201183,109840.780285249,110496.412332533,109595.587037932,110305.605688113,112120.175388965,113158.022802623,111935.383112138,112518.135472267,113844.840873633,109827.912132945,110856.305546817,111289.267191385,111814.581171157,112484.374713138,61847.7542006482,32226.7358443789,47003.1579385437,58024.5884719089,43759.253776324,158437.144293576,165633.288389115,169312.947896829,171617.991698734,171637.074911143,173840.224771638,171799.457429461,171617.991698734
"bpns-BelwindReefballs",42553.6615295864,4112.62273319125,0,21817.7310838442,66733.914604581,4074.16800944307,4169.18268646916,4526.60230205956,4207.63741021737,57393.5123719007,45836.2491526939,42494.8724228198,43347.5789169494,47498.8074858997,12607.5355145248,65575.7692515516,64062.4334364206,149160.167849297,181771.073343869,213488.607825172,144035.068470181,163552.167741447,158753.332176597,156951.367808793,185770.977555526,212393.723416178,195587.4039946,171639.812910003,168564.93803467,166037.699291198,75622.7157222182,81875.7117216141,75886.9921819444,83133.2788972369,76829.5111399746,77775.0938248477,84416.3195582119,86087.7651659933,82031.7915734076,83091.9611391564,83550.3962690763,85135.8798145965,76154.3323685142,77230.6090262477,76889.912110465,78580.6161434935,79672.6494675368,80790.1562769325,58851.0100071754,56686.1141779175,57908.6662619834,57564.9932257771,59013.3049190744,59678.7668714926,80475.0204529208,81503.3262603741,76202.2156123757,57065.0651249383,59300.4291694071,57937.5538998554,57705.3164112628,58208.3958453637,57851.6794440133,54794.3161210473,136052.282994985,135622.472683679,128879.842000348,128210.638586517,121273.384140314,120401.070578236,120929.360678431,136591.859606164,143647.253651525,101560.147915238,101362.837911782,100458.485378571,100448.943772367,100582.70147207,124263.364123594,101225.841272398,124946.541869902,47062.0830461113,38637.7858333156,44200.3911894868,69634.0914073566,30582.3260051728,149246.129911559,48824.1919884694,48286.0676351993,136433.506848188,205768.429561961,200276.574396288,166814.602416974,164733.997821326,170551.799860845,166304.336263525,165761.620268466,179399.438991042,173094.7776955,101455.102640567,109057.842937952,110280.395022018,110936.027069302,110035.201774701,110745.220424881,112559.790125733,113597.637539391,112374.997848906,112957.750209035,114284.455610401,110267.526869714,111295.920283586,111728.881928154,112254.195907926,112923.989449906,65960.3769338395,35443.5577183007,50219.979812459,62137.2112051001,46976.0756502472,158876.759030344,166072.903125883,169752.562633597,172057.606435501,172076.689647911,174279.839508406,172239.072166228,172057.606435501
"bpns-BIRKENFELS",44444.6606761242,19200.5275783519,21817.7310838442,0,52749.3318563078,19417.0084006357,19678.045920681,19178.2054262619,19461.5650983971,49430.7020664854,24908.6485615219,38065.4988400731,29362.9961686761,43567.1010471908,15667.7344240469,55174.3899403509,58886.5591376172,165934.148833411,198545.054327982,230262.588809288,160809.049454294,180326.14872556,175527.31316071,173725.348792906,202544.95853964,229167.704400293,212361.384978715,188413.793894116,185338.919018783,182811.680275311,92396.6967063326,98649.6927057285,92660.9731660588,99907.2598813513,93603.4921240889,94549.074808962,101190.300542326,102861.746150108,98805.7725575219,99865.9421232707,100324.377253191,101909.860798711,92928.3133526286,94004.5900103621,93663.8930945794,95354.5971276079,96446.6304516512,97564.1372610467,75624.9909912898,73460.0951620317,74682.6472460976,74338.9742098906,75787.2859031891,76452.7478556071,97249.0014370349,98277.3072444883,92976.19659649,73839.0461090521,76074.4101535192,74711.5348839686,74479.2973953751,74982.3768294758,74625.6604281261,56685.3152675814,152826.263979098,152396.453667792,145653.822984461,144984.61957063,138047.365124428,137175.05156235,137703.341662545,153365.840590277,160421.234635638,118334.128899352,118136.818895897,117232.466362685,117222.924756481,117356.682456184,141037.345107708,117999.822256512,141720.522854016,33077.5002978381,46368.0410118281,55954.0361949055,57590.4105208311,31776.5911500537,166020.110895672,65348.9364346323,50177.0667817333,153207.487832301,222542.410546077,217050.555380403,183588.583401087,181507.97880544,187325.780844959,183078.317247638,182535.60125258,196173.419975155,189868.758679614,118229.083624682,125831.823922066,127054.376006132,127710.008053416,126809.182758815,127519.201408995,129333.771109847,130371.618523505,129148.97883302,129731.73119315,131058.436594515,127041.507853828,128069.9012677,128502.862912268,129028.17689204,129697.970434021,58943.1342020961,48443.3854134666,63575.8597046996,48152.6284568269,57412.3275265031,175650.740014458,182846.884109996,186526.54361771,188831.587419615,188850.670632024,191053.82049252,189013.053150342,188831.587419615
"bpns-buitenratel",42801.8406689421,62621.2918713898,66733.914604581,52749.3318563078,0,62659.746595138,62564.7319181119,62207.3123025215,62526.2771943637,14218.3173325588,37147.0588882938,24239.0421817658,23386.3356876316,22403.9716726203,68417.0662803547,10643.0134155645,17452.8367273517,169827.477088422,202438.382582994,234155.9170643,164702.377709306,184219.476980571,179420.641415722,177618.677047918,206438.286794652,233061.032655306,216254.713233727,192307.122149127,189232.247273794,186705.008530322,96697.6007269792,102543.020960741,96554.3014210712,103800.588136364,97496.8203791014,98442.4030639744,105083.628797339,106755.07440512,102699.100812534,103759.270378283,104217.705508203,105803.189053723,97738.6870803182,97897.9182653745,97557.2213495918,99247.9253826203,100339.958706664,101457.465516059,84918.6981409607,83212.3250480412,83925.407425064,81849.53738491,85845.197613424,85542.6671224602,101142.329692047,102170.635499501,96869.5248515025,82470.4426395666,79509.2156721912,81355.9995570138,79289.6711230644,79028.5459965998,80353.079628494,33940.8323445826,156719.59223411,156289.781922804,149547.151239473,148877.947825642,141940.69337944,141068.379817362,141596.669917557,157259.168845289,164314.56289065,122227.457154365,122030.147150909,121125.794617698,121116.253011494,121250.010711197,144930.67336272,121893.150511525,145613.851109028,19671.8315584697,51025.5738274029,58981.2659479413,9996.98510123238,36151.5885994083,169913.439150683,67611.9616271032,33253.5738785871,157100.816087313,226435.738801089,220943.883635415,187481.911656099,185401.307060451,191219.10909997,186971.645502649,186428.929507591,200066.748230167,193762.086934625,122122.411879694,129725.152177079,130947.704261145,131603.336308429,130702.511013828,131412.529664008,133227.09936486,134264.946778518,133042.307088033,133625.059448162,134951.764849527,130934.836108841,131963.229522713,132396.19116728,132921.505147052,133591.298689033,15622.3351473525,57176.6758853911,63699.1121275883,5023.96603596777,58248.8375392522,179544.068269469,186740.212365008,190419.871872722,192724.915674626,192743.998887035,194947.148747531,192906.381405353,192724.915674626
"bpns-C05AR1Belwind",39176.2275217963,267.42779298829,4074.16800944307,19417.0084006357,62659.746595138,0,464.825402863088,452.434292616495,233.002829581885,53319.3443624576,43435.5264694845,38420.7044133767,39273.4109075063,43424.6394764566,13421.3937034022,61501.6012421086,59988.2654269775,148453.125319541,181064.030814112,212781.565295417,143328.025940425,162845.12521169,158046.289646841,156244.325279037,185063.93502577,211686.680886422,194880.361464844,170932.770380246,167857.895504914,165330.656761441,74915.6731924617,81168.6691918576,75179.9496521879,82426.2363674804,76122.468610218,77068.0512950911,83709.2770284554,85380.7226362368,81324.749043651,82384.9186093998,82843.3537393197,84428.8372848399,75447.2898387577,76523.5664964912,76182.8695807085,77873.573613737,78965.6069377803,80083.1137471758,58143.9674774189,55979.0716481609,57201.6237322268,56857.9506960204,58306.2623893183,58971.7243417362,79767.977923164,80796.2837306174,75495.1730826191,56358.0225951816,58593.3866396501,57230.5113700987,56998.2738815059,57501.3533156068,57144.6369142565,51416.8821132572,135345.240465228,134915.430153923,128172.799470591,127503.59605676,120566.341610558,119694.028048479,120222.318148675,135884.817076407,142940.211121769,100853.105385481,100655.795382026,99751.442848814,99741.90124261,99875.6589423136,123556.321593838,100518.798742641,124239.499340146,42987.9150366683,35260.3518255255,40822.9571816968,65559.9233979136,26508.1579957297,148539.087381802,47867.9129207644,44908.6336274092,135726.464318431,205061.387032205,199569.531866532,166107.559887218,164026.95529157,169844.757331089,165597.293733768,165054.57773871,178692.396461286,172387.735165744,100748.060110811,108350.800408195,109573.352492261,110228.984539545,109328.159244944,110038.177895124,111852.747595976,112890.595009635,111667.955319149,112250.707679279,113577.413080644,109560.484339957,110588.877753829,111021.839398397,111547.153378169,112216.94692015,61886.2089243964,32066.1237105112,46842.545804676,58063.0431956571,43598.6416424571,158169.716500588,165365.860596127,169045.520103841,171350.563905745,171369.647118154,173572.79697865,171532.029636472,171350.563905745
"bpns-C05AR2Belwind",38782.6125583475,732.253195851379,4169.18268646916,19678.045920681,62564.7319181119,464.825402863088,0,499.840494419193,267.427792988349,53224.3296854315,43696.5639895297,38325.6897363506,39178.3962304802,43329.6247994305,13815.0086668516,61406.5865650825,59893.2507499514,147988.299916678,180599.205411249,212316.739892554,142863.200537562,162380.299808827,157581.464243978,155779.499876174,184599.109622906,211221.855483559,194415.536061981,170467.944977383,167393.07010205,164865.831358578,74450.8477895986,80703.8437889945,74715.1242493248,81961.4109646173,75657.6432073549,76603.225892228,83244.4516255923,84915.8972333737,80859.9236407879,81920.0932065367,82378.5283364566,83964.0118819769,74982.4644358946,76058.7410936281,75718.0441778454,77408.7482108739,78500.7815349172,79618.2883443128,57679.1420745559,55514.2462452978,56736.7983293637,56393.1252931573,57841.4369864552,58506.8989388731,79303.1525203009,80331.4583277543,75030.3476797561,55893.1971923186,58128.561236787,56765.6859672356,56533.4484786428,57036.5279127437,56679.8115113934,51023.2671498084,134880.415062365,134450.60475106,127707.974067728,127038.770653897,120101.516207695,119229.202645616,119757.492745812,135419.991673544,142475.385718906,100388.279982618,100190.969979163,99286.6174459509,99277.0758397469,99410.8335394505,123091.496190975,100053.973339778,123774.673937282,42892.9003596422,34866.7368620767,40429.3422182479,65464.9087208875,26413.1433187036,148074.261978939,47403.0875179014,44515.0186639603,135261.638915568,204596.561629342,199104.706463669,165642.734484355,163562.129888707,169379.931928226,165132.468330905,164589.752335847,178227.571058423,171922.909762881,100283.234707948,107885.975005332,109108.527089398,109764.159136682,108863.333842081,109573.352492261,111387.922193113,112425.769606771,111203.129916286,111785.882276416,113112.587677781,109095.658937094,110124.052350966,110557.013995534,111082.327975306,111752.121517287,61791.1942473703,31672.5087470618,46448.9308412266,57968.028518631,43205.0266790083,157704.891097725,164901.035193264,168580.694700978,170885.738502882,170904.821715291,173107.971575787,171067.204233609,170885.738502882
"bpns-C05AR3Belwind",38773.5599435836,563.279712079651,4526.60230205956,19178.2054262619,62207.3123025215,452.434292616495,499.840494419193,0,318.964891842193,52866.9100698411,43196.7234951105,37968.2701207602,38820.9766148898,42972.2051838401,13824.0612816131,61049.1669494921,59535.831134361,148335.299498985,180946.204993557,212663.739474861,143210.200119869,162727.299391134,157928.463826285,156126.499458481,184946.109205214,211568.855065866,194762.535644288,170814.944559691,167740.069684358,165212.830940886,74797.8473719058,81050.8433713017,75062.123831632,82308.4105469245,76004.6427896621,76950.2254745352,83591.4512078995,85262.8968156809,81206.9232230951,82267.0927888439,82725.5279187638,84311.011464284,75329.4640182018,76405.7406759353,76065.0437601526,77755.7477931811,78847.7811172244,79965.2879266199,58026.1416568631,55861.245827605,57083.7979116709,56740.1248754645,58188.4365687624,58853.8985211803,79650.1521026081,80678.4579100615,75377.3472620633,56240.1967746257,58475.5608190941,57112.6855495427,56880.4480609499,57383.5274950508,57026.8110937005,51014.2145350445,135227.414644672,134797.604333367,128054.973650035,127385.770236204,120448.515790002,119576.202227923,120104.492328119,135766.991255851,142822.385301213,100735.279564925,100537.96956147,99633.6170282581,99624.0754220541,99757.8331217577,123438.495773282,100400.972922086,124121.67351959,42535.4807440518,34857.6842473128,40420.289603484,65107.4891052971,26105.490417517,148421.261561246,47750.0871002084,44505.9660491964,135608.638497875,204943.56121165,199451.706045976,165989.734066662,163909.129471014,169726.931510533,165479.467913212,164936.751918154,178574.57064073,172269.909345188,100630.234290255,108232.974587639,109455.526671705,110111.158718989,109210.333424388,109920.352074568,111734.92177542,112772.769189079,111550.129498593,112132.881858723,113459.587260088,109442.658519401,110471.051933273,110904.013577841,111429.327557613,112099.121099594,61433.7746317799,31663.4561323003,46439.8782264651,57610.6089030406,43195.9740642444,158051.890680032,165248.034775571,168927.694283285,171232.738085189,171251.821297599,173454.971158094,171414.203815916,171232.738085189
"bpns-C05BELWIND",38943.2246922144,464.825402863047,4207.63741021737,19461.5650983971,62526.2771943637,233.002829581885,267.427792988349,318.964891842193,0,53185.8749616833,43480.0831672459,38287.2350126024,39139.941506732,43291.1700756823,13654.3965329838,61368.1318413343,59854.7960262032,148255.727709666,180866.633204238,212584.167685542,143130.62833055,162647.727601816,157848.892036966,156046.927669162,184866.537415895,211489.283276547,194682.963854969,170735.372770372,167660.497895039,165133.259151567,74718.275582587,80971.2715819828,74982.5520423131,82228.8387576056,75925.0710003433,76870.6536852164,83511.8794185806,85183.325026362,81127.3514337763,82187.5209995251,82645.956129445,84231.4396749652,75249.8922288829,76326.1688866165,75985.4719708338,77676.1760038622,78768.2093279056,79885.7161373011,57946.5698675442,55781.6740382861,57004.2261223521,56660.5530861457,58108.8647794435,58774.3267318615,79570.5803132893,80598.8861207427,75297.7754727444,56160.6249853069,58395.9890297754,57033.113760224,56800.8762716312,57303.955705732,56947.2393043818,51183.8792836754,135147.842855354,134718.032544048,127975.401860716,127306.198446886,120368.944000683,119496.630438604,120024.9205388,135687.419466533,142742.813511894,100655.707775606,100458.397772151,99554.0452389393,99544.5036327353,99678.2613324388,123358.923983963,100321.401132767,124042.101730271,42854.4456358939,35027.3489959436,40589.9543521149,65426.4539971393,26374.6885949554,148341.689771928,47670.5153108897,44675.6307978273,135529.066708556,204863.989422331,199372.134256657,165910.162277343,163829.557681695,169647.359721214,165399.896123894,164857.180128835,178494.998851411,172190.337555869,100550.662500936,108153.40279832,109375.954882386,110031.58692967,109130.761635069,109840.78028525,111655.349986102,112693.19739976,111470.557709275,112053.310069404,113380.01547077,109363.086730082,110391.480143954,110824.441788522,111349.755768294,112019.549310275,61752.7395236221,31833.1208809295,46609.5429750943,57929.5737948828,43365.6388128752,157972.318890713,165168.462986252,168848.122493966,171153.166295871,171172.24950828,173375.399368775,171334.632026598,171153.166295871
"bpns-D1",28583.5233363836,53280.8896387094,57393.5123719007,49430.7020664854,14218.3173325588,53319.3443624576,53224.3296854315,52866.9100698411,53185.8749616833,0,38058.599822793,14898.6399490809,22356.9747603833,9894.70488600099,59076.6640476743,8182.25687965096,9455.8570711318,155609.159755864,188220.065250436,219937.599731742,150484.060376748,170001.159648013,165202.324083164,163400.35971536,192219.969462093,218842.715322747,202036.395901169,178088.804816569,175013.929941236,172486.691197764,82479.2833944201,88324.7036281818,82335.9840885121,89582.2708038046,83278.5030465422,84224.0857314153,90865.3114647796,92536.757072561,88480.7834799752,89540.953045724,89999.3881756439,91584.8717211641,83520.3697477591,83679.6009328154,83338.9040170327,85029.6080500612,86121.6413741045,87239.1481835,70700.3808084015,68994.0077154821,69707.0900925049,67631.2200523509,71626.8802808649,71324.3497899011,86924.0123594881,87952.3181669416,82651.2075189433,68252.1253070074,65290.8983396321,67137.6822244547,65071.3537905054,64810.2286640407,66134.7622959349,19722.5150120238,142501.274901552,142071.464590246,135328.833906915,134659.630493084,127722.376046882,126850.062484803,127378.352584999,143040.851512731,150096.245558092,108009.139821806,107811.82981835,106907.477285139,106897.935678935,107031.693378638,130712.356030162,107674.833178966,131395.53377647,17398.3027711267,36807.2564948446,44762.9486153829,12240.579035456,26811.1863667279,155695.121818125,53393.6442945445,19035.2565460282,142882.498754754,212217.421468531,206725.566302857,173263.594323541,171182.989727893,177000.791767412,172753.328170091,172210.612175033,185848.430897609,179543.769602067,107904.094547135,115506.83484452,116729.386928586,117385.01897587,116484.193681269,117194.212331449,119008.782032301,120046.629445959,118823.989755474,119406.742115603,120733.447516969,116716.518776282,117744.912190154,118177.873834721,118703.187814493,119372.981356474,9512.43213561071,42958.3585528328,49480.7947950297,9194.35129659146,44030.5202066936,165325.750936911,172521.89503245,176201.554540163,178506.598342068,178525.681554477,180728.831414973,178688.064072795,178506.598342068
