"","ak-41","ak-42","ak-44","ak-45","ak-46","ak-47","ak-48","HH1","HH2","HH3","HH4","HH5","HH6","HH7","HH8","HH9","ak-11","ak-10","ak-14","ak-17","ak-36","ak-28","ak-31","ak-32","ak-30","ak-22","ak-26","ak-23","ak-19","ak-35","ak-40","ak-21","ak-25","ak-29","ak-39","ak-33","ak-27","ak-24","ak-37","HH10","HH11","ak-38","ak-43","ak-20","ak-34"
"ak-41",0,550.787465123631,7222.2077090413,8090.88094641777,16345.5285217836,17039.4130193965,18662.0005622551,83224.3449956667,78721.3613499077,77154.9610167967,74057.0743054216,71118.5183349037,67897.1928204,66071.624907495,62371.5147688514,59299.2026795385,136440.093667773,136808.825274019,128746.466428596,117455.973718593,36519.9570316746,57064.2766671667,57013.3296964622,57013.3296964622,57099.2917587234,94738.3165041714,86021.5711563289,94133.4307350811,110391.324785046,37201.2632568215,10795.8543276772,102833.515509862,89762.3213184834,57366.7195517119,11735.0467396071,56564.4361727468,85295.7082334206,90513.657726744,36494.4835463223,61901.7692291852,71028.7136745205,34702.0607847229,8783.79941053238,110455.640848877,61431.4319804597
"ak-42",550.787465123631,0,6792.39739773576,7661.07063511223,15915.7182104781,16609.602708091,18232.1902509496,82673.557530543,78170.573884784,76604.173551673,73506.286840298,70567.7308697801,67346.4053552764,65520.8374423714,61820.7273037278,58748.4152144149,135889.306202649,136258.037808895,128195.678963472,116905.186253469,35969.1695665509,56513.4892020431,56462.5422313386,56462.5422313386,56548.5042935998,94187.5290390477,85470.7836912052,93582.6432699575,109840.537319923,36650.4757916978,10245.0668625535,102282.728044738,89211.5338533598,56815.9320865882,11184.2592744835,56013.6487076232,84744.920768297,89962.8702616204,35943.6960811987,61350.9817640616,70477.9262093969,34151.2733195993,8233.01194540875,109904.853383754,60880.644515336
"ak-44",7222.2077090413,6792.39739773576,0,918.439951780305,9571.22124237649,9866.97202475904,11887.693282848,89415.0079575745,84912.0243118155,83345.6239787045,80247.7372673295,77309.1812968116,74087.8557823079,72262.2878694028,68562.1777307592,65489.8656414461,142630.75662968,142999.488235927,134937.129390504,123646.636680501,42710.6199935822,63254.9396290743,63203.9926583699,63203.9926583699,63289.954720631,100928.979466079,92212.2341182367,100324.093696989,116581.987746954,43391.9262187291,16986.5172895848,109024.178471769,95952.9842803912,63557.3825136195,17925.7097015148,62755.0991346544,91486.3711953285,96704.3206886518,42685.14650823,68092.432191093,77219.3766364284,40892.7237466305,14974.4623724401,116646.303810785,67622.0949423674
"ak-45",8090.88094641777,7661.07063511223,918.439951780305,0,9778.16045845515,9197.76861092824,12094.6324989267,90248.0759752439,85745.0923294849,84178.6919963739,81080.8052849989,78142.249314481,74920.9237999773,73095.3558870722,69395.2457484286,66322.9336591155,143463.82464735,143832.556253596,135770.197408173,124479.70469817,43543.6880112516,64088.0076467437,64037.0606760392,64037.0606760392,64123.0227383004,101762.047483749,93045.3021359061,101157.161714658,117415.055764624,44224.9942363985,17819.5853072542,109857.246489439,96786.0522980606,64390.4505312889,18758.7777191842,63588.1671523238,92319.4392129979,97537.3887063212,43518.2145258993,68925.5002087624,78052.4446540978,41725.7917642999,15807.5303901094,117479.371828455,68455.1629600368
"ak-46",16345.5285217836,15915.7182104781,9571.22124237649,9778.16045845515,0,923.260532781729,2863.90589891318,98502.72355061,93999.7399048509,92433.3395717399,89335.4528603649,86396.896889847,83175.5713753433,81350.0034624383,77649.8933237946,74577.5812344816,151718.472222715,152087.203828962,144024.844983539,132734.352273536,51798.3355866174,72342.6552221097,72291.7082514053,72291.7082514053,72377.6703136664,110016.695059115,101299.949711272,109411.809290024,125669.70333999,52479.6418117643,26074.2328826202,118111.894064805,105040.699873427,72645.0981066549,27013.4252945502,71842.8147276898,100574.086788364,105792.036281687,51772.8621012651,77180.1477841285,86307.0922294638,49980.4393396657,24062.1779654754,125734.019403821,76709.8105354029
"ak-47",17039.4130193965,16609.602708091,9866.97202475904,9197.76861092824,923.260532781729,0,3614.06205087306,99232.21326793,94729.229622171,93162.82928906,90064.942577685,87126.386607167,83905.0610926633,82079.4931797583,78379.3830411146,75307.0709518016,152447.961940035,152816.693546282,144754.334700859,133463.841990856,52527.8253039373,73072.1449394296,73021.1979687252,73021.1979687252,73107.1600309864,110746.184776435,102029.439428592,110141.299007344,126399.19305731,53209.1315290842,26803.7225999401,118841.383782125,105770.189590747,73374.5878239748,27742.9150118701,72572.3044450097,101303.576505684,106521.525999007,52502.3518185851,77909.6375014485,87036.5819467838,50709.9290569856,24791.6676827953,126463.509121141,77439.3002527229
"ak-48",18662.0005622551,18232.1902509496,11887.693282848,12094.6324989267,2863.90589891318,3614.06205087306,0,100819.195591081,96316.2119453224,94749.8116122114,91651.9249008364,88713.3689303185,85492.0434158148,83666.4755029097,79966.3653642661,76894.0532749531,154034.944263187,154403.675869433,146341.31702401,135050.824314008,54114.8076270889,74659.1272625812,74608.1802918767,74608.1802918767,74694.1423541379,112333.167099586,103616.421751744,111728.281330496,127986.175380461,54796.1138522358,28390.7049230917,120428.366105276,107357.171913898,74961.5701471264,29329.8973350217,74159.2867681613,102890.558828835,108108.508322159,54089.3341417367,79496.6198245999,88623.5642699353,52296.9113801372,26378.6500059469,128050.491444292,79026.2825758743
"HH1",83224.3449956667,82673.557530543,89415.0079575745,90248.0759752439,98502.72355061,99232.21326793,100819.195591081,0,4502.9836457589,6069.38397886984,9167.2706902447,12105.8266607626,15327.1521752663,17152.7200881713,20852.8302268149,23925.1423161279,53388.8530529284,53757.5846591746,45695.2258137516,34404.7331037489,46704.3879639919,26160.0683284997,26211.0152992041,26211.0152992041,26125.0532369429,11687.0758893277,2970.33054148536,11082.1901202375,27340.0841702025,46023.081738845,72428.4906679893,19782.2748950178,6711.08070363979,25857.6254439545,71489.2982560592,26659.9088229195,2244.46761857708,7462.4171119004,46729.8614493441,50279.1033337452,59406.0477790802,48695.3885917667,76630.5135147241,27404.4002340336,49808.7660850196
"HH2",78721.3613499077,78170.573884784,84912.0243118155,85745.0923294849,93999.7399048509,94729.229622171,96316.2119453224,4502.9836457589,0,1566.40033311094,4664.28704448585,7602.84301500375,10824.1685295074,12649.7364424124,16349.846581056,19422.1586703689,57718.732317864,58087.4639241102,50025.1050786872,38734.6123686845,42201.4043182331,21657.0846827408,21708.0316534452,21708.0316534452,21622.069591184,16016.9551542634,7300.20980642105,15412.0693851732,31669.9634351383,41520.0980930862,67925.5070222302,24112.1541599536,11040.9599685755,21354.6417981956,66986.3146103002,22156.9251771606,6574.34688351278,11792.2963768361,42226.8778035853,45776.1196879864,54903.0641333214,44192.4049460079,72127.5298689651,31734.2794989693,45305.7824392608
"HH3",77154.9610167967,76604.173551673,83345.6239787045,84178.6919963739,92433.3395717399,93162.82928906,94749.8116122114,6069.38397886984,1566.40033311094,0,3097.88671137491,6036.44268189282,9257.76819639648,11083.3361093015,14783.446247945,17855.758337258,59285.1326509749,59653.8642572211,51591.5054117981,40301.0127017954,40635.0039851222,20090.6843496298,20141.6313203342,20141.6313203342,20055.6692580731,17583.3554873744,8866.61013953198,16978.4697182841,33236.3637682492,39953.6977599753,66359.1066891192,25678.5544930645,12607.3603016864,19788.2414650846,65419.9142771892,20590.5248440496,8140.74721662371,13358.696709947,40660.4774704744,44209.7193548755,53336.6638002105,42626.004612897,70561.1295358541,33300.6798320803,43739.3821061499
"HH4",74057.0743054216,73506.286840298,80247.7372673295,81080.8052849989,89335.4528603649,90064.942577685,91651.9249008364,9167.2706902447,4664.28704448585,3097.88671137491,0,2938.55597051791,6159.88148502158,7985.44939792657,11685.5595365701,14757.8716258831,62383.0193623498,62751.750968596,54689.3921231729,43398.8994131702,37537.1172737473,16992.7976382549,17043.7446089593,17043.7446089593,16957.7825466981,20681.2421987493,11964.4968509068,20076.356429659,36334.250479624,36855.8110486004,63261.2199777443,28776.4412044394,15705.2470130613,16690.3547537097,62322.0275658144,17492.6381326747,11238.6339279986,16456.5834213219,37562.5907590996,41111.8326435007,50238.7770888356,39528.1179015222,67463.2428244791,36398.5665434551,40641.4953947751
"HH5",71118.5183349037,70567.7308697801,77309.1812968116,78142.249314481,86396.896889847,87126.386607167,88713.3689303185,12105.8266607626,7602.84301500375,6036.44268189282,2938.55597051791,0,3221.32551450367,5046.89342740867,8747.00356605223,11819.3156553652,65321.5753328677,65690.3069391139,57627.9480936908,46337.4553836881,34598.5613032294,14054.2416677369,14105.1886384414,14105.1886384414,14019.2265761802,23619.7981692672,14903.0528214248,23014.9124001769,39272.8064501419,33917.2550780825,60322.6640072264,31714.9971749574,18643.8029835792,13751.7987831918,59383.4715952965,14554.0821621568,14177.1898985165,19395.1393918398,34624.0347885817,38173.2766729828,47300.2211183177,36589.5619310043,64524.6868539612,39337.122513973,37702.9394242572
