"","bpns-W1","bpns-NIEUWPOORTKUST8","bpns-D1","bpns-OOSTDYCK","bpns-KB2","bpns-VG2","bpns-C05BELWIND","bpns-WK14","bpns-WZ","bpns-S7","bpns-WK12","bpns-S4","bpns-A1BIS","bpns-WENDUINEBANKW","bpns-OH6","bpns-GARDENCITY","bpns-NHSE","s-8","s-4","s-1","s-9","s-5","s-6","s-7","s-3","s-2","s-2a","s-4a","s-4b","s-4c","ws-11","ws-12A","ws-13","ws-14","ws-15","ws-15A","ws-16","ws-18","ws-23","ws-25","ws-25A","ws-25B","ws-2C","ws-6","ws-4","ws-A1","ws-A3","ws-A5","ws-DL12","ws-DL7","ws-DL9","ws-GVWSP","ws-OG10","ws-OGDL","ws-PPB","ws-PPC","ws-PVTSS","ws-SP3","ws-STEEN","ws-TRAWL","ws-W6","ws-W7","ws-WN2","bpns-BIRKENFELS","ak-41","ak-42","ak-44","ak-45","ak-46","ak-47","ak-48","s-10","s-9a","ws-FZ2","ws-HW6","ws-55","ws-53A","ws-53","s-12","ws-42A","s-11","bpns-B05BELWIND","bpns-C05AR1Belwind","bpns-C05AR2Belwind","bpns-C05AR3Belwind","bpns-WKS","s-8a","bpns-BelwindReefballs","bpns-Kilmore","s-10a","s-Wetteren","s-Wichelen","gn-Lier","kn-Lier","bn-Lier","bn-Walem","du-Hamveer","s-Dendermonde","s-Vlassenbroek","ws-F42"
"bpns-W1",0,53222.6880197196,53268.1409765237,56205.3877941517,43607.316171904,36764.2324033217,47495.7886474282,3943.86356938577,9384.4709906206,9403.32449152156,16856.1238540847,19006.1636912954,24828.8835168862,34290.3214599051,33516.4142074411,74200.4864462527,60931.2429766085,102081.138730448,134880.316335219,166554.308607314,96965.8029430087,116570.313042944,111742.827962634,109871.58981478,138864.265585022,165408.513301548,148744.881309463,124593.268896593,121535.820762286,119117.572469673,29075.9560494774,34885.3761471161,28940.4281823009,36129.7259955348,29894.8048721389,30826.6468535533,37398.5470411298,39077.7607424305,35024.6491451425,36075.1019815836,36557.0356633912,38187.3069703411,30103.8102541684,30276.9811998206,29947.5563206656,31615.4067827653,32716.6745789822,33817.9423751986,17245.7904434654,15562.7676879888,16257.4518826748,14160.3552639678,18179.5049903044,17870.8061774747,33496.0077577435,34520.1168315845,29245.3818642799,14819.2050222778,11852.5085444589,13719.8737148117,11669.846925031,11363.0206776264,12737.2167736214,65193.7434958797,89023.2225074539,88599.6579704471,81854.5481394745,81200.1267381308,74228.6388509506,73360.7837106118,73874.1234718295,89548.6327746805,96579.1982583613,54599.3959143968,54388.5179669429,53479.3385406047,53492.510421905,53556.4972629813,77254.8967165131,54247.3724034913,78004.0025866457,47979.5948946602,47653.9151463555,47230.3506093488,47542.8584763537,62432.3711925659,102225.410121959,48994.4038798122,56365.5147051566,89395.1117456434,158849.784995271,153381.025169337,119799.888329801,117676.19344008,123521.500144004,119192.175400508,118814.983994146,132504.900099656,126030.832530874,54431.8426650194
"bpns-NIEUWPOORTKUST8",53222.6880197196,0,9508.60154323352,26923.2523873566,21580.1366923928,33560.1890164001,59850.6349320281,49278.824450334,43838.2170290991,44553.4994434591,45571.1456728901,38951.6947687775,30358.6925711434,19599.0250115624,19706.2738122784,47734.8786954982,67061.7247877906,155303.826750166,188103.004354938,219776.996627033,150188.490962726,169793.001062663,164965.515982353,163094.277834499,192086.953604741,218631.201321267,201967.569329183,177815.956916312,174758.508782005,172340.260489392,82298.6440691959,88108.0641668342,82163.1162020194,89352.4140152527,83117.4928918573,84049.3348732716,90621.2350608477,92300.4487621482,88247.3371648605,89297.7900013015,89779.7236831091,91409.9949900589,83326.4982738868,83499.6692195389,83170.244340384,84838.0948024836,85939.3625987004,87040.6303949167,70468.4784631848,68785.4557077083,69480.1399023942,67383.0432836874,71402.1930100237,71093.494197194,86718.6957774616,87742.8048513026,82468.0698839984,68041.8930419974,65075.1965641786,66942.5617345313,64892.5349447507,64585.7086973461,65959.9047933412,58973.5003061861,142245.910527171,141822.345990165,135077.236159192,134422.814757848,127451.326870668,126583.471730329,127096.811491547,142771.320794398,149801.886278079,107822.083934114,107611.20598666,106702.026560322,106715.198441622,106779.185282698,130477.58473623,107470.060423208,131226.690606363,59997.5008128262,60063.7144451749,59891.6941410843,59621.6506331158,14887.0009175295,155448.098141677,64108.5023860519,31899.8823096457,142617.799765361,212072.473014991,206603.713189056,173022.57634952,170898.881459798,176744.188163723,172414.863420227,172037.672013865,185727.588119376,179253.520550593,107654.530684737
"bpns-D1",53268.1409765237,9508.60154323352,0,17414.6508441271,14888.8305578138,26868.8828818212,53159.3287974492,49324.2774071381,43883.6699859032,44598.9524002632,42774.5283880318,36611.2122140626,28439.2574596377,18977.8195166187,19751.7267690833,38226.2771522688,59062.3886420507,155349.27970697,188148.457311742,219822.449583837,150233.943919531,169838.454019467,165010.968939157,163139.730791303,192132.406561545,218676.654278071,202013.022285987,177861.409873116,174803.961738809,172385.713446196,82344.097026,88153.5171236385,82208.5691588235,89397.8669720571,83162.9458486614,84094.7878300757,90666.6880176522,92345.9017189528,88292.7901216648,89343.242958106,89825.1766399135,91455.4479468635,83371.9512306909,83545.1221763431,83215.6972971881,84883.5477592877,85984.8155555046,87086.0833517209,70513.9314199889,68830.9086645124,69525.5928591983,67428.4962404915,71447.6459668278,71138.9471539981,86764.1487342658,87788.2578081069,82513.5228408025,68087.3459988015,65120.6495209827,66988.0146913354,64937.9879015549,64631.1616541502,66005.3577501453,49464.8987629526,142291.363483976,141867.79894697,135122.689115997,134468.267714653,127496.779827473,126628.924687134,127142.264448352,142816.773751203,149847.339234884,107867.536890919,107656.658943465,106747.479517127,106760.651398427,106824.638239504,130523.037693035,107515.513380014,131272.143563168,53306.1946782473,53372.408310596,53200.3880065054,52930.3444985369,9164.23021604221,155493.551098481,57417.196251473,22391.2807664143,142663.252722166,212117.925971795,206649.16614586,173068.029306324,170944.334416602,176789.641120527,172460.316377031,172083.124970669,185773.04107618,179298.973507397,107699.983641542
"bpns-OOSTDYCK",56205.3877941517,26923.2523873566,17414.6508441271,0,13185.3803544556,23209.7197558337,42938.8430147207,52261.5242247666,46820.9168035313,47536.1992178906,45711.7752056587,39548.4590316896,31376.5042772658,28326.5199941884,33456.3003438664,21127.4118905484,48841.9028593154,158286.5265246,191085.704129371,222759.696401466,153171.19073716,172775.700837096,167948.215756786,166076.977608932,195069.653379174,221613.9010957,204950.269103616,180798.656690745,177741.208556438,175322.960263825,85281.3438436289,91090.7639412676,85145.8159764524,92335.1137896863,86100.1926662903,87032.0346477048,93603.9348352813,95283.1485365819,91230.036939294,92280.4897757351,92762.4234575427,94392.6947644926,86309.1980483199,86482.368993972,86152.9441148171,87820.7945769167,88922.0623731337,90023.33016935,73451.1782376158,71768.1554821392,72462.8396768252,70365.7430581184,74384.8927844547,74076.1939716251,89701.3955518949,90725.504625736,85450.7696584314,71024.5928164283,68057.8963386104,69925.2615089624,67875.234719182,67568.4084717777,68942.6045677722,33106.7336970769,145228.610301605,144805.045764599,138059.935933626,137405.514532282,130434.026645102,129566.171504763,130079.511265981,145754.020568832,152784.586052513,110804.783708548,110593.905761094,109684.726334756,109697.898216057,109761.885057133,133460.284510665,110452.760197643,134209.390380797,43085.7088955166,43151.9225278666,42979.9022237782,42709.8587158083,15033.8924189114,158430.79791611,47196.7104687386,4976.62992229097,145600.499539795,215055.172789424,209586.412963489,176005.276123953,173881.581234231,179726.887938156,175397.56319466,175020.371788298,188710.287893809,182236.220325025,110637.230459171
"bpns-KB2",43607.316171904,21580.1366923928,14888.8305578138,13185.3803544556,0,11980.0523240167,38270.4982396353,39663.4526025189,34222.8451812836,34938.1275956432,33113.7035834116,26950.3874094425,18778.432655018,15141.1396397331,20270.9199894111,34312.7922450037,46236.2207941446,145688.454902352,178487.632507123,210161.624779218,140573.119114912,160177.629214848,155350.144134538,153478.905986684,182471.581756926,209015.829473452,192352.197481368,168200.585068497,165143.13693419,162724.888641577,72683.2722213811,78492.6923190198,72547.7443542046,79737.0421674385,73502.1210440425,74433.963025457,81005.8632130335,82685.0769143341,78631.9653170462,79682.4181534873,80164.3518352948,81794.6231422448,73711.1264260721,73884.2973717242,73554.8724925693,75222.7229546689,76323.9907508859,77425.2585471022,60853.1066153691,59170.0838598925,59864.7680545784,57767.6714358715,61786.821162208,61478.1223493784,77103.3239296471,78127.4330034882,72852.6980361836,58426.5211941815,55459.8247163627,57327.1898867154,55277.1630969347,54970.3368495301,56344.5329455251,38147.9963125401,132630.538679358,132206.974142351,125461.864311378,124807.442910034,117835.955022854,116968.099882515,117481.439643733,133155.948946584,140186.514430265,98206.7120863004,97995.8341388465,97086.6547125083,97099.8265938087,97163.813434885,120862.212888417,97854.6885753949,121611.318758549,38417.3641204334,38483.5777527821,38311.5574486915,38041.5139407229,19702.2371940148,145832.726293863,42528.365693659,16477.8205039054,133002.427917547,202457.101167176,196988.341341241,163407.204501705,161283.509611984,167128.816315908,162799.491572413,162422.30016605,176112.216271561,169638.148702778,98039.158836923
"bpns-VG2",36764.2324033217,33560.1890164001,26868.8828818212,23209.7197558337,11980.0523240167,0,26290.445915628,34924.8917910172,28799.0908488715,27360.9079118002,22502.0554498251,17758.0687120265,14725.0653644263,18438.6513507612,24971.9231778029,37436.2540429314,39991.3769806127,137230.272120197,170029.449724969,201703.441997064,132114.936332758,151719.446432693,146891.961352384,145020.72320453,174013.398974772,200557.646691297,183894.014699213,159742.402286342,156684.954152035,154266.705859423,63833.5502844216,70034.5095368655,64089.5615720501,71278.8593852842,65043.9382618883,65975.7802433027,72547.6804308792,74226.8941321799,70173.7825348919,71224.235371333,71706.1690531406,73336.4403600906,64371.9805456052,65426.11458957,65096.689710415,66764.5401725147,67865.8079687316,68967.075764948,50241.4584817832,48558.4357263063,49253.1199209925,47156.0233022862,51175.1730286219,50866.4742157925,68645.1411474929,69669.2502213339,64394.5152540292,47814.8730605957,47442.1234833648,46715.5417531304,45938.017216467,46365.326884323,46075.4815723957,31903.1524990345,124172.355897203,123748.791360197,117003.681529224,116349.26012788,109377.7722407,108509.917100361,109023.256861579,124697.76616443,131728.331648111,89748.5293041462,89537.6513566923,88628.4719303541,88641.6438116545,88705.6306527307,112404.030106263,89396.5057932407,113153.135976395,26688.8560293417,26503.5254287748,26331.5051246842,26111.7704632988,31682.2895180317,137374.543511708,30548.3133696517,22929.3651176808,124544.245135393,193998.918385021,188530.158559087,154949.021719551,152825.326829829,158670.633533754,154341.308790258,153964.117383895,167654.033489406,161179.965920623,89580.9760547688
"bpns-C05BELWIND",47495.7886474282,59850.6349320281,53159.3287974492,42938.8430147207,38270.4982396353,26290.445915628,0,46744.153930081,43495.5105165318,40724.0106759645,31937.8944099052,35086.0348997444,39000.3143651281,44678.7884198061,51212.0602468478,43296.1694837175,13751.2399115871,147961.8283643,180761.005969072,212434.998241169,142846.492576861,162451.002676796,157623.517596487,155752.279448633,184744.955218876,211289.202935402,194625.570943318,170473.958530445,167416.510396138,164998.262103525,74565.1065285257,80766.0657809699,74821.1178161544,82010.4156293885,75775.4945059929,76707.3364874073,83279.2366749834,84958.4503762839,80905.3387789963,81955.7916154373,82437.7252972448,84067.9966041947,75103.5367897089,76157.6708336746,75828.2459545196,77496.0964166192,78597.3642128361,79698.6320090524,57840.7014874426,55668.2547884592,56901.3053210033,56468.2501102209,57991.3377246706,58661.4867988559,79376.6973915973,80400.8064654383,75126.0714981337,56050.3671928146,58173.6797274705,56908.731659377,56669.5734605722,57096.8831284285,56807.0378165004,19410.9386507277,134903.912141306,134480.347604299,127735.237773327,127080.816371983,120109.328484803,119241.473344464,119754.813105682,135429.322408533,142459.887892214,100480.085548249,100269.207600795,99360.0281744572,99373.2000557575,99437.1868968338,123135.586350365,100128.062037344,123884.692220498,483.806247232028,263.388359729932,265.438038079408,228.984298912366,57972.7354336255,148106.099755811,4257.86745402373,39219.9342570254,135275.801379496,204730.474629126,199261.714803191,165680.577963654,163556.883073932,169402.189777857,165072.865034361,164695.673627998,178385.589733509,171911.522164726,100312.532298872
"bpns-WK14",3943.86356938577,49278.824450334,49324.2774071381,52261.5242247666,39663.4526025189,34924.8917910172,46744.153930081,0,6125.80094214569,7563.98387921698,15016.7832417802,17166.8230789909,20885.0199475009,30346.4578905194,29572.5506380553,72361.145833948,60495.3938416683,106025.002299833,138824.179904604,170498.1721767,100909.666512394,120514.176612329,115686.69153202,113815.453384166,142808.129154408,169352.376870933,152688.744878849,128537.132465978,125479.684331671,123061.436039059,33019.8196188632,38829.2397165019,32884.2917516867,40073.5895649206,33838.6684415247,34770.5104229391,41342.4106105156,43021.6243118163,38968.5127145283,40018.9655509694,40500.899232777,42131.1705397269,34047.6738235543,34220.8447692064,33891.4198900514,35559.2703521511,36660.538148368,37761.8059445844,21189.6540128512,19506.6312573746,20201.3154520605,18104.2188333536,22123.3685596901,21814.6697468605,37439.8713271293,38463.9804009703,33189.2454336657,18763.0685916636,15796.3721138446,17663.7372841974,15613.7104944167,15306.8842470121,16681.0803430072,63354.4028835753,92967.0860768394,92543.5215398326,85798.41170886,85143.9903075163,78172.5024203362,77304.6472799973,77817.987041215,93492.496344066,100523.061827747,58543.2594837826,58332.3815363287,57423.2021099905,57436.3739912908,57500.3608323671,81198.7602858987,58191.2359728771,81947.8661560312,47192.8728903789,47007.5422898106,46583.9777528039,46615.787324336,58488.5076231801,106169.273691344,50348.0063785112,54526.1740928512,93338.9753150289,162793.648564657,157324.888738723,123743.751899187,121620.057009465,127465.36371339,123136.038969894,122758.847563531,136448.763669042,129974.696100259,58375.7062344052
"bpns-WZ",9384.4709906206,43838.2170290991,43883.6699859032,46820.9168035313,34222.8451812836,28799.0908488715,43495.5105165318,6125.80094214569,0,2771.499840572,11557.6161066265,11041.0221368452,15444.4125262656,24905.8504692845,24131.9432168205,66235.3448918027,57246.7504281191,111465.609721068,144264.787325839,175938.779597935,106350.273933629,125954.784033564,121127.298953255,119256.060805401,148248.736575643,174792.984292168,158129.352300084,133977.739887213,130920.291752906,128502.043460294,38460.427040098,44269.8471377367,38324.8991729215,45514.1969861554,39279.2758627594,40211.1178441739,46783.0180317504,48462.231733051,44409.1201357631,45459.5729722042,45941.5066540117,47571.7779609617,39488.281244789,39661.4521904411,39332.0273112862,40999.8777733859,42101.1455696028,43202.4133658191,26630.261434086,24947.2386786094,25641.9228732954,23544.8262545884,27563.975980925,27255.2771680953,42880.478748364,43904.5878222051,38629.8528549005,24203.6760128984,21236.9795350795,23104.3447054323,21054.3179156516,20747.491668247,22121.687764242,57228.6019414296,98407.6934980744,97984.1289610676,91239.0191300949,90584.5977287513,83613.1098415711,82745.2547012323,83258.5944624499,98933.103765301,105963.669248982,63983.8669050173,63772.9889575634,62863.8095312253,62876.9814125256,62940.9682536019,86639.3677071336,63631.8433941118,87388.4735772662,43944.2294768297,43758.8988762615,43335.3343392547,43367.1439107868,53047.9002019453,111609.881112579,47099.362964962,48400.3731507056,98779.5827362638,168234.255985892,162765.496159958,129184.359320422,127060.6644307,132905.971134625,128576.646391129,128199.454984766,141889.371090277,135415.303521494,63816.3136556399
"bpns-S7",9403.32449152156,44553.4994434591,44598.9524002632,47536.1992178906,34938.1275956432,27360.9079118002,40724.0106759645,7563.98387921698,2771.499840572,0,8786.11626605923,9602.83919977388,16159.6949406256,25621.1328836445,25127.9239266534,64797.1619547314,54475.2505875518,110750.327306709,143549.50491148,175223.497183575,105634.99151927,125239.501619205,120412.016538895,118540.778391042,147533.454161283,174077.701877809,157414.069885725,133262.457472854,130205.009338547,127786.761045934,37745.1446257385,43554.5647233772,37609.616758562,44798.9145717959,38563.9934483999,39495.8354298144,46067.7356173909,47746.9493186915,43693.8377214036,44744.2905578447,45226.2242396523,46856.4955466022,38772.9988304295,38946.1697760816,38616.7448969267,40284.5953590264,41385.8631552433,42487.1309514597,25914.9790197261,24231.9562642494,24926.6404589354,22829.5438402284,26848.693566565,26539.9947537353,42165.1963340045,43189.3054078456,37914.570440541,23488.3935985384,20521.69712072,22389.0622910723,20339.0355012916,20032.2092538872,21406.4053498821,55790.4190043583,97692.411083715,97268.8465467083,90523.7367157356,89869.3153143919,82897.8274272118,82029.9722868729,82543.3120480906,98217.8213509416,105248.386834622,63268.5844906579,63057.706543204,62148.5271168658,62161.6989981661,62225.6858392424,85924.0852927743,62916.5609797524,86673.1911629068,41172.7296362624,40987.3990356942,40563.8344986874,40595.6440702195,53763.1826163054,110894.59869822,44327.8631243947,47255.844579739,98064.3003219045,167518.973571533,162050.213745598,128469.076906062,126345.382016341,132190.688720265,127861.36397677,127484.172570407,141174.088675918,134700.021107135,63101.0312412805
