"animal_project_code","station_name","latitude","longitude"
"2012_leopoldkanaal","bh-31",51.2903715,3.7164467
"2012_leopoldkanaal","bh-32",51.3081908,3.7241653
"2012_leopoldkanaal","bh-33",51.3134659,3.7321561
"2012_leopoldkanaal","bh-35",51.3290957,3.7541909
"2012_leopoldkanaal","bh-36",51.3346375,3.7682595
"2012_leopoldkanaal","ws-PPC",51.353339,3.7522275
"2012_leopoldkanaal","ws-PPB",51.3536136,3.7376409
"2012_leopoldkanaal","bh-34",51.3223102,3.7290976
"2012_leopoldkanaal","bh-37",51.3389165,3.7679196
"2012_leopoldkanaal","ws-23",51.3552573,3.7609896
"2012_leopoldkanaal","ws-A5",51.3584544,3.7454284
"2012_leopoldkanaal","ws-A3",51.3655375,3.734487
"2012_leopoldkanaal","ws-A1",51.3724995,3.7229828
"2012_leopoldkanaal","ws-15A",51.3805457,3.717259
"2012_leopoldkanaal","ws-15",51.386465,3.7080085
"2012_leopoldkanaal","bh-7",51.254878,3.5621802
"2012_leopoldkanaal","bh-9",51.2591163,3.5789817
"2012_leopoldkanaal","bh-11",51.2627862,3.616269
"2012_leopoldkanaal","bh-12",51.2655417,3.6551322
"2012_leopoldkanaal","bh-13",51.2664563,3.6608905
"2012_leopoldkanaal","bh-6",51.2505032,3.544414
"2012_leopoldkanaal","bh-5",51.2503008,3.5426743
"2012_leopoldkanaal","bh-1",51.3412021,3.2162872
"2012_leopoldkanaal","bh-10",51.2596961,3.5803334
"2012_leopoldkanaal","bh-8",51.265006,3.5547265
"2012_leopoldkanaal","bh-20",51.269978,3.7030611
"2012_leopoldkanaal","bh-17",51.2677225,3.6813137
"2012_leopoldkanaal","bh-21",51.2701028,3.7117942
"2012_leopoldkanaal","bh-22",51.2684107,3.718915
"2012_leopoldkanaal","bh-18",51.2666113,3.6865616
"2012_leopoldkanaal","ws-25",51.351926,3.773559
"2012_leopoldkanaal","ws-K",51.3508203,3.7866595
"2012_leopoldkanaal","ws-25B",51.3465544,3.800172
"2012_leopoldkanaal","ws-18",51.3482621,3.8147323
"2012_leopoldkanaal","bh-23",51.2672795,3.7173234
"2012_leopoldkanaal","bh-30",51.2448946,3.7481689
"2012_leopoldkanaal","bh-29",51.2396828,3.7474982
"2012_leopoldkanaal","bh-28",51.2453761,3.7607615
"2012_leopoldkanaal","bh-27",51.2574609,3.7637309
"2012_leopoldkanaal","bh-25",51.268928,3.7506924
"2012_leopoldkanaal","bh-24",51.2719206,3.7319803
"2012_leopoldkanaal","bh-2",51.3306565,3.2236553
"2012_leopoldkanaal","ws-4",51.3970414,3.7153436
"2012_leopoldkanaal","ws-PVTSS",51.4018055,3.7089134
"2012_leopoldkanaal","ws-13",51.4071859,3.7080883
"2012_leopoldkanaal","ws-6",51.3913098,3.7161726
"2012_leopoldkanaal","ws-12A",51.3648799,3.765539
"2012_leopoldkanaal","ws-11",51.41163,3.70746
"2012_leopoldkanaal","ws-16",51.3544901,3.795027
"2012_leopoldkanaal","ws-25A",51.352186,3.781008
"2012_leopoldkanaal","ws-14",51.3601518,3.7798113
"2012_leopoldkanaal","ws-2C",51.4169613,3.7188079
"2012_leopoldkanaal","bh-16",51.267064,3.6744238
"2012_leopoldkanaal","bh-26",51.2561385,3.7845731
"2012_leopoldkanaal","bpns-O6",51.243106,2.917725
"2012_leopoldkanaal","bh-14",51.2608054,3.669741
"2012_leopoldkanaal","bh-15",51.2602787,3.6691424
"2012_leopoldkanaal","rel_leopoldkanaal8",51.26603,3.672103
"2012_leopoldkanaal","rel_leopoldkanaal9",51.266644,3.661414
"2012_leopoldkanaal","rel_leopoldkanaal1",51.271815,3.712344
"2012_leopoldkanaal","rel_leopoldkanaal7",51.270849,3.738884
"2012_leopoldkanaal","rel_leopoldkanaal6",51.268459,3.719043
"2012_leopoldkanaal","rel_leopoldkanaal3",51.259843,3.578509
"2012_leopoldkanaal","rel_leopoldkanaal5",51.245292,3.748107
"2012_leopoldkanaal","rel_leopoldkanaal2",51.251645,3.548653
"2012_leopoldkanaal","rel_leopoldkanaal4",51.263608,3.628479
