"animal_project_code","station_name","latitude","longitude"
"MICHIMIT","bn-2",51.117416,4.549158
"MICHIMIT","bn-1",51.093001,4.506837
"MICHIMIT","bn-Walem",51.07183,4.45474
"MICHIMIT","s-8a",51.14222,4.32646
"MICHIMIT","s-9",51.19069,4.32954
"MICHIMIT","rel_kleinenete1",51.193694,4.753917
"MICHIMIT","rel_kleinenete2",51.243972,5.052028
"MICHIMIT","gn-14",51.138267,4.996319
"MICHIMIT","gn-3",51.130352,4.617316
"MICHIMIT","gn-2",51.135829,4.5937
"MICHIMIT","gn-13",51.119771,4.990306
"MICHIMIT","gn-11",51.09592,4.957142
"MICHIMIT","gn-10",51.091558,4.945793
"MICHIMIT","gn-9",51.081153,4.913762
"MICHIMIT","gn-8",51.070653,4.851284
"MICHIMIT","gn-7",51.061848,4.787587
"MICHIMIT","gn-6",51.078636,4.757592
"MICHIMIT","gn-5",51.125942,4.718199
"MICHIMIT","gn-4",51.135075,4.664932
"MICHIMIT","gn-1",51.133464,4.588822
"MICHIMIT","ru-1",51.082273,4.366215
"MICHIMIT","s-10a",51.235423,4.396673
"MICHIMIT","rel_grotenete1",51.145139,5.004111
"MICHIMIT","me-7-2b",51.1008,4.330483
"MICHIMIT","rel_grotenete2",51.091139,4.943861
"MICHIMIT","rel_nete1",51.117083,4.549861
"MICHIMIT","rel_nete2",51.1315,4.581167
"MICHIMIT","rel_ruppel1",51.105222,4.321222
