"animal_project_code","station_name","latitude","longitude"
"2015_phd_verhelst","s-4c",51.07363,4.19007
"2015_phd_verhelst","ak-41",51.239128,4.397469
"2015_phd_verhelst","s-8",51.14319,4.33078
"2015_phd_verhelst","s-9",51.19069,4.32954
"2015_phd_verhelst","s-5",51.09258,4.17083
"2015_phd_verhelst","s-6",51.12287,4.2184
"2015_phd_verhelst","s-7",51.11414,4.24123
"2015_phd_verhelst","s-Dendermonde",51.03855,4.1175
"2015_phd_verhelst","s-9a",51.19068,4.33602
"2015_phd_verhelst","s-4b",51.05593,4.20024
"2015_phd_verhelst","s-4a",51.03203,4.18166
"2015_phd_verhelst","s-Vlassenbroek",51.03955,4.16605
"2015_phd_verhelst","s-8a",51.14222,4.32646
"2015_phd_verhelst","s-11",51.29646,4.2857
"2015_phd_verhelst","s-2",51.00588,3.77876
"2015_phd_verhelst","ak-45",51.280982,4.329702
"2015_phd_verhelst","ws-WN2",51.428174,3.462181
"2015_phd_verhelst","ws-2C",51.4169613,3.7188079
"2015_phd_verhelst","ws-53A",51.411167,4.029233
"2015_phd_verhelst","ws-55",51.40221,4.02998
"2015_phd_verhelst","ws-53",51.41651283,4.027360624
"2015_phd_verhelst","s-10a",51.235423,4.396673
"2015_phd_verhelst","s-4",51.04231,4.0945
"2015_phd_verhelst","s-3",51.0434,4.04783
"2015_phd_verhelst","s-2a",51.02032,3.96965
"2015_phd_verhelst","s-Wichelen",51.0168,3.92527
"2015_phd_verhelst","s-Wetteren",51.00164,3.85695
"2015_phd_verhelst","s-12",51.30305,4.28731
"2015_phd_verhelst","ws-18",51.3482621,3.8147323
"2015_phd_verhelst","ws-W6",51.41834,3.453181
"2015_phd_verhelst","ws-6",51.3913098,3.7161726
"2015_phd_verhelst","ws-15A",51.3805457,3.717259
"2015_phd_verhelst","ws-16",51.3544901,3.795027
"2015_phd_verhelst","ws-12A",51.3648799,3.765539
"2015_phd_verhelst","ws-14",51.3601518,3.7798113
"2015_phd_verhelst","ws-HW6",51.43484,4.02702
"2015_phd_verhelst","ws-F42",51.42786,4.03246
"2015_phd_verhelst","ws-42A",51.42251303,4.032860596
"2015_phd_verhelst","ws-25B",51.3465544,3.800172
"2015_phd_verhelst","ws-11",51.41163,3.70746
"2015_phd_verhelst","ws-13",51.4071859,3.7080883
"2015_phd_verhelst","ws-4",51.3970414,3.7153436
"2015_phd_verhelst","bpns-WENDUINEBANKW",51.287167,2.879166667
"2015_phd_verhelst","bpns-Whitley",51.1511666667,2.6603333333
"2015_phd_verhelst","ak-47",51.345793,4.278738
"2015_phd_verhelst","s-1",51.023468,3.78826
"2015_phd_verhelst","bpns-W1",51.391333,3.303666667
"2015_phd_verhelst","ws-W7",51.410173,3.454515
"2015_phd_verhelst","bpns-Trapegeer",51.1403333333,2.573
"2015_phd_verhelst","ws-DL7",51.471342,3.475013
"2015_phd_verhelst","ws-DL9",51.465842,3.48868
"2015_phd_verhelst","ws-PVTSS",51.4018055,3.7089134
"2015_phd_verhelst","ws-TRAWL",51.437785,3.470347
"2015_phd_verhelst","bpns-WK12",51.461167,3.107
"2015_phd_verhelst","me-7-2",51.082219,4.366229
"2015_phd_verhelst","ws-15",51.386465,3.7080085
"2015_phd_verhelst","ws-GVWSP",51.447341,3.470514
"2015_phd_verhelst","bpns-O6",51.239667,2.9215
"2015_phd_verhelst","ws-A1",51.3724995,3.7229828
"2015_phd_verhelst","ws-23",51.3552573,3.7609896
