animal_project_code,latitude,longitude,station_name
2026_Frome,50.67538,-2.13055,Railway_Pool
2026_Frome,50.67685,-2.12695,Tidal_1
2026_Frome,50.67731,-2.12635,Tidal_2
2026_Frome,50.67682,-2.12568,Tidal_3
2026_Frome,50.67751,-2.12312,Tidal_4
2026_Frome,50.67708,-2.12106,Tidal_5
2026_Frome,50.68131,2.11106,Wareham_Bypass
2026_Frome,50.683191,2.10731,Wareham_Pool
2026_Frome,50.683753,-2.108611,EA_Boat_House
2026_Frome,50.68042,-2.100021,Redcliffe
2026_Frome,50.68465,-2.095978,Flap_valve_US_Ridge
2026_Frome,50.684622,-2.087779,Ridge_Wharf
2026_Frome,50.68632,-2.087156,Flap_valve_DS_Ridge
2026_Frome,50.687413,-2.090696,Speed_sign
2026_Frome,50.68923,-2.08617,E33
2026_Frome,50.69002,-2.08516,E49
2026_Frome,50.69356,-2.076329,Giggers_channel
2026_Frome,50.70725,-2.04252,WH7
2026_Frome,50.71005,-2.03914,WH6
2026_Frome,50.7117,-2.03449,WH5
2026_Frome,50.71403,-2.03388,Rockley_channel
2026_Frome,50.68104,-1.979828,South_deep
2026_Frome,50.68951,-1.9551,Brownsea_road_16
2026_Frome,50.68922,-1.95209,Bell_Buoy_15
2026_Frome,50.68614,-1.956754,Brownsea
2026_Frome,50.68238,-1.953055,Buoy_12
2026_Frome,50.68068,-1.94758,Buoy_10
2026_Frome,50.6811,-1.94477,Swash_9
2026_Frome,50.67484,-1.93586,Hook Sands_7
2026_Frome,50.67402,-1.93754,Channel_8
2026_Frome,50.68465,-1.930804,EL2
