project,receiver_id,station_name,latitude,longitude,H/U
BPNS,VR2W-123827,bpns-WENDUINEBANKW,51.287167,2.879166667,huidig
Schelde,VR2W-127716,s-10a,51.235423,4.396673,huidig
Schelde,VR2W-112297,s-Wetteren,51.00164,3.85695,huidig
Schelde,VR2W-115438,s-Wichelen,51.0168,3.92527,huidig
Grote Nete,VR2W-122357,gn-Lier,51.13594,4.59381,huidig
Kleine Nete,VR2W-112286,kn-Lier,51.14993,4.58453,huidig
Beneden Nete,VR2W-115429,bn-Lier,51.11731,4.54958,huidig
Beneden Nete,VR2W-112296,bn-Walem,51.07183,4.45474,huidig
Durme,VR2W-115435,du-Hamveer,51.10507,4.14106,huidig
Schelde,VR2W-112292,s-Dendermonde,51.03855,4.1175,huidig
Schelde,VR2W-115444,s-Vlassenbroek,51.03955,4.16605,huidig
Westerschelde,VR2W-127733,ws-F42,51.42786,4.03246,huidig
VLVS,VR2W-129668,VLVS1,51.35069,4.11802,huidig
VLVS,VR2Tx-480721,VLVS2,51.34472,4.13151,huidig
VLVS,VR2W-129563,VLVS3,51.33728,4.13362,huidig
VLVS,VR2W-129572,VLVS4,51.3517,4.13251,huidig
VLVS,VR2W-129565,VLVS5,51.34251,4.13668,huidig
VLVS,VR2W-123826,VLVS11,51.3572,4.17046,huidig
VLVS,VR2W-123835,VLVS12,51.35376,4.18538,huidig
VLVS,VR2W-127109,VLVS13,51.36983,4.17912,huidig
VLVS,VR2Tx-480722,VLVS14,51.36045,4.17565,huidig
VLVS,VR2W-127717,VLVS15,51.35349,4.19363,huidig
VLVS,VR2W-115440,VLVS6,51.36099,4.14259,huidig
VLVS,VR2Tx-480720,VLVS7,51.35019,4.15036,huidig
VLVS,VR2W-112294,VLVS8,51.35151,4.15666,huidig
VLVS,VR2W-129564,VLVS9,51.34919,4.16261,huidig
VLVS,VR2W-115431,VLVS10,51.34117,4.16606,huidig
BPNS,VR2W-129571,bpns-Whitley,51.15116667,2.660333333,huidig
BPNS,VR2W-110784,bpns-WK12,51.461167,3.107,huidig
BPNS,VR2W-123823,bpns-WK14,51.3685,3.262,huidig
BPNS,VR2Tx-480062,bpns-WKS,51.221667,2.518683,huidig
BPNS,VR2W-123826,bpns-WZ,51.376167,3.178666667,huidig
Dijle,VR2W-113524,me-7-2,51.082219,4.366229,huidig
Dijle,VR2W-122320,M-6,51.05546566,4.442865645,huidig
Dijle,VR2W-122348,M-5,51.0340958,4.471940005,huidig
Dijle,VR2W-122350,M-4,51.02483717,4.495207458,huidig
Dijle,VR2W-122362,M-3,51.0229057,4.497271313,huidig
Dijle,VR2W-124061,M-1,51.01136918,4.520968635,huidig
Dijle,VR2W-124070,M-2,51.02082596,4.498485779,huidig
Dijle,VR2W-127026,M-4A,51.025057,4.495476,huidig
