project,receiver_id,station_name,latitude,longitude,H/U
Albertkanaal,VR2W-126195,ak-41,51.239128,4.397469,huidig
Albertkanaal,VR2W-126194,ak-42,51.242076,4.403539,huidig
Albertkanaal,VR2W-126196,ak-44,51.273737,4.332208,huidig
Albertkanaal,VR2W-126197,ak-45,51.280982,4.329702,huidig
Albertkanaal,VR2W-126198,ak-46,51.344943,4.290537,huidig
Albertkanaal,VR2W-126199,ak-47,51.345793,4.278738,huidig
Albertkanaal,VR2W-126200,ak-48,51.367743,4.3015,huidig
Albertkanaal,VR2W-115439,HH1,50.941845,5.334551,huidig
Albertkanaal,VR2W-127722,HH2,50.965597,5.287241,huidig
Albertkanaal,VR2W-127726,HH3,50.973296,5.270083,huidig
Albertkanaal,VR2W-127721,HH4,50.99323,5.245137,huidig
Albertkanaal,VR2W-127724,HH5,51.016368,5.233414,huidig
Albertkanaal,VR2W-115443,HH6,51.041797,5.21874,huidig
Albertkanaal,VR2W-112285,HH7,51.055307,5.208966,huidig
Albertkanaal,VR2W-113522,HH8,51.076378,5.170783,huidig
Albertkanaal,VR2W-127720,HH9,51.092742,5.137916,huidig
Albertkanaal,VR2W-122366,ak-11,50.65697,5.626992,huidig
Albertkanaal,VR2W-124067,ak-10,50.654402,5.622823,huidig
Albertkanaal,VR2W-124069,ak-14,50.714109,5.672638,huidig
Albertkanaal,VR2W-124077,ak-17,50.807726,5.674801,huidig
Albertkanaal,VR2W-115436,ak-36,51.159335,4.85635,huidig
Albertkanaal,VR2W-122326,ak-28,51.096684,5.108784,huidig
Albertkanaal,VR2W-122319,ak-31,51.097875,5.108846,huidig
Albertkanaal,VR2W-122321,ak-32,51.098211,5.108959,huidig
Albertkanaal,VR2W-122331,ak-30,51.097208,5.109596,huidig
Albertkanaal,VR2W-112288,ak-22,50.9356423,5.4970086,huidig
Albertkanaal,VR2W-122334,ak-26,50.9406125,5.3743823,huidig
Albertkanaal,VR2W-122340,ak-23,50.9357743,5.487716,huidig
Albertkanaal,VR2W-122347,ak-19,50.8608382,5.6386158,huidig
Albertkanaal,VR2W-122349,ak-35,51.1576335,4.8653041,huidig
Albertkanaal,VR2W-122351,ak-40,51.2281277,4.5332846,huidig
Albertkanaal,VR2W-122352,ak-21,50.8887819,5.5749605,huidig
Albertkanaal,VR2W-122353,ak-25,50.9385133,5.4270421,huidig
Albertkanaal,VR2W-122354,ak-29,51.096888,5.1133155,huidig
Albertkanaal,VR2W-122358,ak-39,51.2248728,4.544249,huidig
Albertkanaal,VR2W-122360,ak-33,51.0985513,5.1029468,huidig
Albertkanaal,VR2W-122330,ak-27,50.9406792,5.3643243,huidig
Albertkanaal,VR2W-124060,ak-24,50.9380396,5.4373164,huidig
Albertkanaal,VR2W-122356,ak-37,51.1601262,4.8561323,verleden
Albertkanaal,VR2W-122333,HH10,51.154979,5.147086,huidig
Albertkanaal,VR2W-122359,HH11,51.194393,5.155753,huidig
Albertkanaal,VR2W-113525,ak-38,51.168795,4.835036,huidig
Albertkanaal,VR2W-113523,ak-43,51.249274,4.506109,huidig
Albertkanaal,VR2W-122357,ak-20,50.8892706,5.6621637,huidig
Albertkanaal,VR2W-127030,ak-34,51.1282853,5.1413858,huidig
