Date(UTC),Time(UTC),Receiver,Transmitter,TransmitterName,TransmitterSerial,SensorValue,SensorUnit,StationName,Latitude,Longitude
2015-02-12,19:01:31,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
2015-02-12,19:04:56,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
2015-02-12,19:10:53,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
2015-02-12,19:20:28,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
2015-02-12,19:49:26,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
2015-02-12,19:55:46,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
2015-02-12,19:58:25,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
2015-02-12,20:20:23,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
2015-02-18,01:19:41,VR2W-115434,A69-1601-14870,,,,,ws-23,+0,+0
2015-02-18,01:22:19,VR2W-115434,A69-1601-14870,,,,,ws-23,+0,+0
2015-02-18,01:43:03,VR2W-115434,A69-1601-14870,,,,,ws-23,+0,+0
2015-02-18,01:46:55,VR2W-115434,A69-1601-14870,,,,,ws-23,+0,+0
2015-02-18,01:50:27,VR2W-115434,A69-1601-14870,,,,,ws-23,+0,+0
2015-02-18,01:57:04,VR2W-115434,A69-1601-14870,,,,,ws-23,+0,+0
2015-02-18,02:00:24,VR2W-115434,A69-1601-14870,,,,,ws-23,+0,+0
2015-02-18,02:02:51,VR2W-115434,A69-1601-14870,,,,,ws-23,+0,+0
2015-02-18,02:05:50,VR2W-115434,A69-1601-14870,,,,,ws-23,+0,+0
2015-02-19,14:52:14,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
2015-02-19,14:54:25,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
2015-02-19,15:01:57,VR2W-115434,A69-1601-14872,,,,,ws-23,+0,+0
