"","stour_1","stour_2","stour_3","stour_4","stour_5","stour_6","stour_13","stour_14","stour_17","stour_18","stour_19","stour_20","stour_23","stour_24","stour_25","stour_15","stour_21","stour_10","stour_16","stour_8","stour_7","stour_9","stour_11","stour_12","stour_22","rel_stour1","rel_stour2"
"stour_1",0,2430.41491946146,2430.41491946146,2472.14926135469,4524.91843684848,4566.65277874171,7003.28449204252,7587.40959919916,8455.26595949131,11685.7906625538,12169.7844850362,16792.6418602805,22909.0593655224,23609.9783582416,24010.5034969383,7245.28140328411,17093.035714303,5234.61196073014,7587.40959919916,4666.78406341587,4666.78406341587,4666.78406341587,5092.38094311741,7428.88137174538,21607.352664758,0,4666.78406341587
"stour_2",2430.41491946146,0,0,100.496675720438,2094.50351738702,2136.23785928024,4572.86957258105,5156.9946797377,6024.85104002984,9255.3757430923,9739.36956557478,14362.226940819,20478.6444460609,21179.5634387801,21580.0885774768,4814.86648382265,14662.6207948416,2804.19704126868,5156.9946797377,2236.36914395441,2236.36914395441,2236.36914395441,2661.96602365595,4998.46645228392,19176.9377452965,2430.41491946146,2236.36914395441
"stour_3",2430.41491946146,0,0,100.496675720438,2094.50351738702,2136.23785928024,4572.86957258105,5156.9946797377,6024.85104002984,9255.3757430923,9739.36956557478,14362.226940819,20478.6444460609,21179.5634387801,21580.0885774768,4814.86648382265,14662.6207948416,2804.19704126868,5156.9946797377,2236.36914395441,2236.36914395441,2236.36914395441,2661.96602365595,4998.46645228392,19176.9377452965,2430.41491946146,2236.36914395441
"stour_4",2472.14926135469,100.496675720438,100.496675720438,0,2052.7691754938,2094.50351738702,4531.13523068783,5115.26033784448,5983.11669813662,9213.64140119908,9697.63522368156,14320.4925989258,20436.9101041677,21137.8290968869,21538.3542355836,4773.13214192942,14620.8864529484,2762.46269937546,5115.26033784448,2194.63480206118,2194.63480206118,2194.63480206118,2620.23168176273,4956.73211039069,19135.2034034033,2472.14926135469,2194.63480206118
"stour_5",4524.91843684848,2094.50351738702,2094.50351738702,2052.7691754938,0,100.496675720438,2537.12838902098,3121.25349617763,3989.10985646977,7219.63455953223,7703.62838201471,12326.485757259,18442.9032625008,19143.82225522,19544.3473939167,2779.12530026257,12626.8796112815,768.455857708605,3121.25349617763,141.865626567387,141.865626567387,141.865626567387,626.224840095874,2962.72526872384,17141.1965617365,4524.91843684848,141.865626567387
"stour_6",4566.65277874171,2136.23785928024,2136.23785928024,2094.50351738702,100.496675720438,0,2436.63171330081,3020.75682045746,3888.6131807496,7119.13788381206,7603.13170629454,12225.9890815388,18342.4065867806,19043.3255794999,19443.8507181966,2678.62862454241,12526.3829355613,667.959181988438,3020.75682045746,100.131284674164,100.131284674164,100.131284674164,525.728164375707,2862.22859300368,17040.6998860163,4566.65277874171,100.131284674164
"stour_13",7003.28449204252,4572.86957258105,4572.86957258105,4531.13523068783,2537.12838902098,2436.63171330081,0,584.125107156648,1451.98146744879,4682.50617051125,5166.49999299373,9789.35736823798,15905.7748734798,16606.693866199,17007.2190048958,241.996911241592,10089.7512222605,1827.43486513934,584.125107156648,2395.26276245359,2395.26276245359,2395.26276245359,1910.90354892511,484.359213528758,14604.0681727155,7003.28449204252,2395.26276245359
"stour_14",7587.40959919916,5156.9946797377,5156.9946797377,5115.26033784448,3121.25349617763,3020.75682045746,584.125107156648,0,1211.08072934482,4441.60543240727,4925.59925488976,9548.456630134,15664.8741353759,16365.7931280951,16766.3182667918,625.859449049912,9848.85048415656,2411.55997229598,0,2979.38786961024,2979.38786961024,2979.38786961024,2495.02865608175,241.996911241551,14363.1674346115,7587.40959919917,2979.38786961024
"stour_17",8455.26595949131,6024.85104002984,6024.85104002984,5983.11669813662,3989.10985646977,3888.6131807496,1451.98146744879,1211.08072934482,0,3230.52470306246,3714.51852554494,8337.37590078919,14453.793406031,15154.7123987503,15555.237537447,1209.9845562072,8637.76975481174,3279.41633258812,1211.08072934482,3847.24422990238,3847.24422990238,3847.24422990238,3362.88501637389,1394.31530675942,13152.0867052667,8455.26595949131,3847.24422990238
"stour_18",11685.7906625538,9255.3757430923,9255.3757430923,9213.64140119908,7219.63455953223,7119.13788381206,4682.50617051125,4441.60543240727,3230.52470306246,0,483.993822482484,5106.85119772673,11223.2687029686,11924.1876956878,12324.7128343845,4440.50925926966,5407.24505174928,6509.94103565058,4441.60543240728,7077.76893296484,7077.76893296484,7077.76893296484,6593.40971943635,4624.84000982188,9921.56200220422,11685.7906625538,7077.76893296484
