"","Nene1","Nene2","Nene3","Nene6","Nene7","Nene8","Nene10","Nene15","Nene16","Nene17","Nene19","Nene27","Nene28","Nene29","Nene30","Nene4","Nene5","Nene20","Nene23","Nene24","Nene25","Nene26","Nene22","Nene13","Nene9","Nene11","rel_nene"
"Nene1",0,2518.91067581357,2936.87168742689,6349.55651994835,6537.88228257288,8782.83465168577,13387.2914247242,16139.8639595717,16139.8639595717,20950.7359306947,23008.9301508986,41850.1780540483,41978.4652114107,56544.1288344091,83614.0422298394,2244.36529370966,6176.45786953714,23681.4324442013,23854.5672626366,24035.984363958,30129.006025209,30245.5746530456,23922.8519827612,14512.8708621913,8879.39589110546,12819.6129257136,56.5661905981043
"Nene2",2518.91067581357,0,417.96101161332,4066.64871105512,4254.97447367965,6499.92684279255,11104.383615831,13856.9561506785,13856.9561506785,18667.8281218014,20726.0223420054,39567.270245155,39695.5574025175,54261.2210255159,81331.1344209461,354.542055750055,3893.55006064392,21398.5246353081,21571.6594537434,21753.0765550648,27846.0982163157,27962.6668441523,21639.944173868,12229.9630532981,6596.48808221225,10536.7051168204,2478.90905098893
"Nene3",2936.87168742689,417.96101161332,0,3648.6876994418,3837.01346206633,6081.96583117923,10686.4226042177,13438.9951390651,13438.9951390651,18249.8671101881,20308.0613303921,39149.3092335417,39277.5963909042,53843.2600139025,80913.1734093328,772.503067363374,3475.5890490306,20980.5636236948,21153.6984421301,21335.1155434515,27428.1372047024,27544.705832539,21221.9831622547,11812.0020416847,6178.52707059893,10118.744105207,2896.87006260225
"Nene6",6349.55651994835,4066.64871105512,3648.6876994418,0,755.945077595142,3017.46201248153,7621.91878551997,10374.4913203675,10374.4913203675,15185.3632914904,17243.5575116943,36084.805414844,36213.0925722065,50778.7561952048,77848.669590635,4105.19122623867,1004.24368543653,17916.059804997,18089.1946234323,18270.6117247537,24363.6333860047,24480.2020138413,18157.4793435569,8747.49822298706,3114.02325190123,7054.24028650935,6309.55489512372
"Nene7",6537.88228257288,4254.97447367965,3837.01346206633,755.945077595142,0,2261.51693488639,6865.97370792483,9618.54624277233,9618.54624277233,14429.4182138953,16487.6124340992,35328.8603372488,35457.1474946113,50022.8111176097,77092.7245130399,4293.51698886321,361.424413035734,17160.1147274019,17333.2495458372,17514.6666471586,23607.6883084095,23724.2569362461,17401.5342659618,7991.55314539192,2358.07817430608,6298.29520891421,6497.88065774825
"Nene8",8782.83465168577,6499.92684279255,6081.96583117923,3017.46201248153,2261.51693488639,0,4604.45677303843,7357.02930788593,7357.02930788593,12167.9012790089,14226.0954992128,33067.3434023624,33195.6305597249,47761.2941827233,74831.2075781535,6538.4693579761,2606.37678214862,14898.5977925155,15071.7326109508,15253.1497122722,21346.1713735231,21462.7400013597,15140.0173310754,5730.03621050553,96.561239419694,4036.77827402781,8742.83302686114
"Nene10",13387.2914247242,11104.383615831,10686.4226042177,7621.91878551997,6865.97370792483,4604.45677303843,0,2832.57578449771,2832.57578449771,7643.44775562068,9701.6419758246,28542.8898789742,28671.1770363366,43236.840659335,70306.7540547652,11142.9261310145,7210.83355518707,10374.1442691273,10547.2790875626,10728.696188884,16821.7178501348,16938.2864779714,10615.5638076872,1205.58268711731,4507.89553361874,567.678499010617,13347.2897998995
"Nene15",16139.8639595717,13856.9561506785,13438.9951390651,10374.4913203675,9618.54624277233,7357.02930788593,2832.57578449771,0,0,4810.87197112297,6869.06619132689,25710.3140944764,25838.6012518389,40404.2648748373,67474.1782702674,13895.498665862,9963.40609003455,7541.56848462957,7714.70330306487,7896.1204043863,13989.1420656371,14105.7106934737,7782.98802318949,1626.99309738039,7260.46806846624,3320.25103385811,16099.862334747
"Nene16",16139.8639595717,13856.9561506785,13438.9951390651,10374.4913203675,9618.54624277233,7357.02930788593,2832.57578449771,0,0,4810.87197112297,6869.06619132689,25710.3140944764,25838.6012518389,40404.2648748373,67474.1782702674,13895.498665862,9963.40609003455,7541.56848462957,7714.70330306487,7896.1204043863,13989.1420656371,14105.7106934737,7782.98802318949,1626.99309738039,7260.46806846624,3320.25103385811,16099.862334747
"Nene17",20950.7359306947,18667.8281218014,18249.8671101881,15185.3632914904,14429.4182138953,12167.9012790089,7643.44775562068,4810.87197112297,4810.87197112297,0,2058.19422020392,20899.4421233534,21027.7292807159,35593.3929037143,62663.3062991444,18706.370636985,14774.2780611575,2730.6965135066,2903.83133194189,3085.24843326332,9178.27009451418,9294.83872235077,2972.11605206651,6437.86506850337,12071.3400395892,8131.12300498109,20910.73430587
