"","Nene1","Nene2","Nene3","Nene6","Nene7","Nene8","Nene10","Nene15","Nene16","Nene17","Nene19","Nene27","Nene28","Nene29","Nene30","Nene4","Nene5","Nene20","Nene23","Nene24","Nene25","Nene26","Nene22","Nene13","Nene9","Nene11","rel_nene"
"Nene19",23008.9301508986,20726.0223420054,20308.0613303921,17243.5575116943,16487.6124340992,14226.0954992128,9701.6419758246,6869.06619132689,6869.06619132689,2058.19422020392,0,18841.2479031495,18969.535060512,33535.1986835103,60605.1120789405,20764.5648571889,16832.4722813614,672.502293302682,845.637111737974,1027.0542130594,7120.07587431026,7236.64450214685,913.921831862592,8496.0592887073,14129.5342597931,10189.317225185,22968.928526074
"Nene27",41850.1780540483,39567.270245155,39149.3092335417,36084.805414844,35328.8603372488,33067.3434023624,28542.8898789742,25710.3140944764,25710.3140944764,20899.4421233534,18841.2479031495,0,128.2871573625,14693.9507803607,41763.8641757909,39605.8127603386,35673.7201845111,18168.7456098468,17995.6107914115,17830.7582558635,11721.1720288392,11604.6034010026,17927.3260712869,27337.3071918568,32970.7821629427,29030.5651283346,41810.1764292237
"Nene28",41978.4652114107,39695.5574025175,39277.5963909042,36213.0925722065,35457.1474946113,33195.6305597249,28671.1770363366,25838.6012518389,25838.6012518389,21027.7292807159,18969.535060512,128.2871573625,0,14565.6636229982,41635.5770184284,39734.0999177011,35802.0073418736,18297.0327672093,18123.897948774,17959.045413226,11849.4591862017,11732.8905583651,18055.6132286494,27465.5943492193,33099.0693203053,29158.8522856971,41938.4635865862
"Nene29",56544.1288344091,54261.2210255159,53843.2600139025,50778.7561952048,50022.8111176097,47761.2941827233,43236.840659335,40404.2648748373,40404.2648748373,35593.3929037143,33535.1986835103,14693.9507803607,14565.6636229982,0,27081.6286369535,54299.7635406994,50367.6709648719,32862.6963902077,32689.5615717724,32524.7090362244,26415.1228092,26298.5541813634,32621.2768516478,42031.2579722177,47664.7329433036,43724.5159086954,56504.1272095845
"Nene30",83614.0422298394,81331.1344209461,80913.1734093328,77848.669590635,77092.7245130399,74831.2075781535,70306.7540547652,67474.1782702674,67474.1782702674,62663.3062991444,60605.1120789405,41763.8641757909,41635.5770184284,27081.6286369535,0,81369.6769361295,77437.584360302,59932.6097856377,59759.4749672024,59594.6224316545,53485.0362046301,53368.4675767935,59691.1902470778,69101.1713676477,74734.6463387336,70794.4293041255,83574.0406050145
"Nene4",2244.36529370966,354.542055750055,772.503067363374,4105.19122623867,4293.51698886321,6538.4693579761,11142.9261310145,13895.498665862,13895.498665862,18706.370636985,20764.5648571889,39605.8127603386,39734.0999177011,54299.7635406994,81369.6769361295,0,3932.09257582747,21437.0671504916,21610.2019689269,21791.6190702484,27884.6407314993,28001.2093593359,21678.4866890515,12268.5055684816,6635.0305973958,10575.2476320039,2204.36366888503
"Nene5",6176.45786953714,3893.55006064392,3475.5890490306,1004.24368543653,361.424413035734,2606.37678214862,7210.83355518707,9963.40609003455,9963.40609003455,14774.2780611575,16832.4722813614,35673.7201845111,35802.0073418736,50367.6709648719,77437.584360302,3932.09257582747,0,17504.9745746641,17678.1093930994,17859.5264944208,23952.5481556717,24069.1167835083,17746.394113224,8336.41299265416,2702.93802156831,6643.15505617644,6136.45624471251
"Nene20",23681.4324442013,21398.5246353081,20980.5636236948,17916.059804997,17160.1147274019,14898.5977925155,10374.1442691273,7541.56848462957,7541.56848462957,2730.6965135066,672.502293302682,18168.7456098468,18297.0327672093,32862.6963902077,59932.6097856377,21437.0671504916,17504.9745746641,0,173.134818435292,354.551919756718,6447.57358100758,6564.14220884417,241.419538559909,9168.56158200998,14802.0365530958,10861.8195184877,23641.4308193767
"Nene23",23854.5672626366,21571.6594537434,21153.6984421301,18089.1946234323,17333.2495458372,15071.7326109508,10547.2790875626,7714.70330306487,7714.70330306487,2903.83133194189,845.637111737974,17995.6107914115,18123.897948774,32689.5615717724,59759.4749672024,21610.2019689269,17678.1093930994,173.134818435292,0,181.417101321426,6274.43876257229,6391.00739040887,68.2847201246173,9341.69640044527,14975.1713715311,11034.954336923,23814.565637812
"Nene24",24035.984363958,21753.0765550648,21335.1155434515,18270.6117247537,17514.6666471586,15253.1497122722,10728.696188884,7896.1204043863,7896.1204043863,3085.24843326332,1027.0542130594,17830.7582558635,17959.045413226,32524.7090362244,59594.6224316545,21791.6190702484,17859.5264944208,354.551919756718,181.417101321426,0,6109.58622702433,6226.15485486092,113.132381196826,9523.11350176669,15156.5884728525,11216.3714382444,23995.9827391334
"Nene25",30129.006025209,27846.0982163157,27428.1372047024,24363.6333860047,23607.6883084095,21346.1713735231,16821.7178501348,13989.1420656371,13989.1420656371,9178.27009451418,7120.07587431026,11721.1720288392,11849.4591862017,26415.1228092,53485.0362046301,27884.6407314993,23952.5481556717,6447.57358100758,6274.43876257229,6109.58622702433,0,116.568627836588,6206.15404244767,15616.1351630175,21249.6101341034,17309.3930994952,30089.0044003843
"Nene26",30245.5746530456,27962.6668441523,27544.705832539,24480.2020138413,23724.2569362461,21462.7400013597,16938.2864779714,14105.7106934737,14105.7106934737,9294.83872235077,7236.64450214685,11604.6034010026,11732.8905583651,26298.5541813634,53368.4675767935,28001.2093593359,24069.1167835083,6564.14220884417,6391.00739040887,6226.15485486092,116.568627836588,0,6322.72267028426,15732.7037908541,21366.17876194,17425.9617273318,30205.5730282209
"Nene22",23922.8519827612,21639.944173868,21221.9831622547,18157.4793435569,17401.5342659618,15140.0173310754,10615.5638076872,7782.98802318949,7782.98802318949,2972.11605206651,913.921831862592,17927.3260712869,18055.6132286494,32621.2768516478,59691.1902470778,21678.4866890515,17746.394113224,241.419538559909,68.2847201246173,113.132381196826,6206.15404244767,6322.72267028426,0,9409.98112056988,15043.4560916557,11103.2390570476,23882.8503579366
"Nene13",14512.8708621913,12229.9630532981,11812.0020416847,8747.49822298706,7991.55314539192,5730.03621050553,1205.58268711731,1626.99309738039,1626.99309738039,6437.86506850337,8496.0592887073,27337.3071918568,27465.5943492193,42031.2579722177,69101.1713676477,12268.5055684816,8336.41299265416,9168.56158200998,9341.69640044527,9523.11350176669,15616.1351630175,15732.7037908541,9409.98112056988,0,5633.47497108584,1693.25793647771,14472.8692373666
"Nene9",8879.39589110546,6596.48808221225,6178.52707059893,3114.02325190123,2358.07817430608,96.561239419694,4507.89553361874,7260.46806846624,7260.46806846624,12071.3400395892,14129.5342597931,32970.7821629427,33099.0693203053,47664.7329433036,74734.6463387336,6635.0305973958,2702.93802156831,14802.0365530958,14975.1713715311,15156.5884728525,21249.6101341034,21366.17876194,15043.4560916557,5633.47497108584,0,3940.21703460812,8839.39426628083
"Nene11",12819.6129257136,10536.7051168204,10118.744105207,7054.24028650935,6298.29520891421,4036.77827402781,567.678499010617,3320.25103385811,3320.25103385811,8131.12300498109,10189.317225185,29030.5651283346,29158.8522856971,43724.5159086954,70794.4293041255,10575.2476320039,6643.15505617644,10861.8195184877,11034.954336923,11216.3714382444,17309.3930994952,17425.9617273318,11103.2390570476,1693.25793647771,3940.21703460812,0,12779.6113008889
"rel_nene",56.5661905981043,2478.90905098893,2896.87006260225,6309.55489512372,6497.88065774825,8742.83302686114,13347.2897998995,16099.862334747,16099.862334747,20910.73430587,22968.928526074,41810.1764292237,41938.4635865862,56504.1272095845,83574.0406050145,2204.36366888503,6136.45624471251,23641.4308193767,23814.565637812,23995.9827391334,30089.0044003843,30205.5730282209,23882.8503579366,14472.8692373666,8839.39426628083,12779.6113008889,0
