"","Koog ad Zaan","Zaangemaal 1","Zaangemaal 2","Zaangemaal 3","Noordzeekanaal","Grote sluis NZK","Middensluis NZK","Kleine sluis NZK","Grote sluis Noordzee","Spuisluis Noordzee","Willem 2 sluis 2","Oranjesluis","ARK Noord","Kleine sluis Noordzee","bpns-Kilmore","Overtoom 1","Spuisluis NZK","Middensluis Noordzee","Kadoelen 5","Kadoelen 2","Kadoelen 3","Kadoelen 4","Kadoelen 1","De Poel","bpns-WK14","bpns-Whitley","Overtoom 3","Overtoom 2","bpns-O6","Spaarne gemaal","Spaarne sluis","Spaarndam","Cruquius","Zijkanaal C kom","Halfweg boezemzijde","Halfweg NZKzijde","Boezem Spaarne","Zwanenburg","bpns-WENDUINEBANKW","PC4C-C05-2","Katwijk 2","Katwijk 1","Katwijk 3","ws-W6","ws-W7","bpns-Trapegeer","bpns-W1","Vinkeveen gemaal","Vinkeveen sluis","ARK Zuid","Berlagerbrug","Loosdrecht2a sluis","Loosdracht 2b gemaal","Loosdrecht 1","Loosdrecht 3","Muiden","ws-DL12","ws-OGDL","ws-TRAWL","Lelystad","Enkhuizen","bpns-nieuwpoortbank","bpns-WK12","ws-STEEN","rel_noordzeekanaal10","rel_noordzeekanaal11","rel_noordzeekanaal5","rel_noordzeekanaal6","rel_noordzeekanaal12","rel_noordzeekanaal13","rel_noordzeekanaal2","rel_noordzeekanaal3","rel_noordzeekanaal7","rel_noordzeekanaal1","rel_noordzeekanaal8","rel_noordzeekanaal14","rel_noordzeekanaal15","rel_noordzeekanaal9","rel_noordzeekanaal4","rel_noordzeekanaal16","rel_noordzeekanaal17"
"rel_noordzeekanaal10",33739.4912498305,30867.026637241,30767.0379290169,30525.6441895707,44208.0996716071,45815.0186701732,46532.0906549004,47090.6030566988,46673.4956861223,47239.115811011,22304.0511688423,23328.1924697698,21979.8126992283,47449.139049062,239991.058569436,32618.2862480054,46380.6387950619,47232.0080879208,26024.9459687651,26559.2016343441,26383.4844786646,26566.3058328847,25335.0768748829,36004.9038058125,208422.853796873,250014.976846268,32818.2636644537,32759.6912792271,232361.190467769,41118.5121539906,40594.3093591137,40694.297060324,50445.8717639185,40570.0465808088,36983.472753855,36500.685274962,40894.2734697583,39560.1373418004,228579.984485719,206185.689360161,82384.3382641889,81918.7068475244,84115.5077422697,198557.604867536,199498.919564552,253641.248339606,204722.062724327,841.322464242282,882.739290747117,43341.3423168418,17500.4366406813,37607.672816579,37707.6615248031,39156.0239614827,36159.3093728854,34263.6769254646,194624.94199057,195156.249991002,196813.432839571,63159.305408302,71535.3583748728,249613.28321647,202596.979733537,200630.159814328,0,982.727495464287,34466.6030140751,42376.9500449241,38597.5080351344,37366.2790771322,25642.1471980963,25817.8643537759,38673.2254054308,40752.8684385363,82784.2925935785,34663.6498846196,32273.9727509228,82542.8993576394,26359.2242178952,36411.9603197147,61926.9204503033
"rel_noordzeekanaal11",33912.2607403622,31039.7961277727,30939.8074195486,30698.4136801024,44380.8691621388,45987.7881607048,46704.8601454321,47263.3725472305,46846.265176654,47411.8853015427,22476.820659374,23500.9619603015,22152.58218976,47621.9085395937,240163.828059968,32791.0557385371,46553.4082855936,47404.7775784525,26197.7154592968,26731.9711248758,26556.2539691963,26739.0753234164,25507.8463654146,36177.6732963442,208595.623287405,250187.746336799,32991.0331549854,32932.4607697588,232533.959958301,41291.2816445223,40767.0788496454,40867.0665508556,50618.6412544502,40742.8160713405,37156.2422443867,36673.4547654937,41067.04296029,39732.9068323321,228752.753976251,206358.458850692,82557.1077547206,82091.4763380561,84288.2772328014,198730.374358067,199671.689055084,253814.017830137,204894.832214858,141.405031222006,99.9882047171704,43514.1118073735,17673.206131213,37780.4423071107,37880.4310153348,39328.7934520144,36332.0788634171,34436.4464159963,194797.711481102,195329.019481533,196986.202330103,63332.0748988337,71708.1278654045,249786.052707001,202769.749224069,200802.92930486,982.727495464287,0,34639.3725046068,42549.7195354558,38770.2775256661,37539.0485676639,25814.916688628,25990.6338443076,38845.9948959625,40925.637929068,82957.0620841102,34836.4193751513,32446.7422414545,82715.668848171,26531.9937084269,36584.7298102464,62099.689940835
"rel_noordzeekanaal5",11548.4167373838,8675.95212479438,8575.96341657024,8334.56967712408,13803.7749121407,15410.6939107067,16127.7658954339,16686.2782972324,16269.1709266559,16834.7910515446,12811.0036091026,16152.0311912754,18680.1707261175,17044.8142895956,209586.73380997,1848.31676606969,15976.3140355955,16827.6833284544,14176.5278612079,13345.255750132,13169.5385944525,13552.3363581068,12121.1309906709,24132.223926965,178018.529037407,219610.652086802,1765.48311306005,1906.88814428202,201956.865708303,10714.1873945242,10189.9845996473,10289.9723008575,20138.5950966286,10165.7218213424,6744.81530040913,6262.02782151616,10489.9487102919,10282.8857250691,198175.659726253,175781.364600695,51980.0135047227,51514.3820880581,53711.1829828034,168153.280108069,169094.594805086,223236.923580139,174317.73796486,34697.9448898331,34597.9561816089,40041.7003437309,16966.166373394,34308.0308434681,34408.0195516923,35856.3819883719,32859.6673997745,27146.0875286896,164220.617231104,164751.925231536,166409.108080105,54277.9475270253,59662.6784960254,219208.958457003,172192.654974071,170225.835054862,34466.6030140751,34639.3725046068,0,11972.6252854577,35297.8660620236,34066.6371040213,14335.0894581663,12603.9184695638,8434.56795198496,10348.5436790698,52379.9678341121,12472.5753721729,10082.8982384762,52138.5745981729,13145.2783336831,27304.6450975911,50054.2405714557
"rel_noordzeekanaal6",19458.7637682329,16586.2991556435,16486.3104474193,16244.9167079732,10258.6199257206,11865.5389242867,12582.6109090139,13141.1233108123,12724.0159402358,13289.6360651245,20721.3506399517,24062.3782221245,26590.5177569665,13499.6593031756,206041.57882355,10124.308519388,12431.1590491754,13282.5283420343,22086.8748920569,21255.6027809811,21079.8856253016,21462.6833889558,20031.4780215199,32042.570957814,174473.374050987,216065.497100381,10324.2859358363,10182.8809046146,198411.710721883,1624.0795923587,1782.64068581042,1882.62939403448,9131.54074089989,2182.59551870786,8841.61288522191,9324.40036411487,1882.62939403448,8800.19958326664,194630.504739833,172236.209614275,48434.8585183026,47969.227101638,50166.0279963833,164608.125121649,165549.439818666,219691.768593719,170772.58297844,42608.2919206821,42508.303212458,47952.04737458,24876.513404243,42218.3778743172,42318.3665825413,43766.7290192209,40770.0144306236,35056.4345595386,160675.462244684,161206.770245115,162863.953093685,62188.2945578743,67573.0255268744,215663.803470583,168647.499987651,166680.680068442,42376.9500449241,42549.7195354558,11972.6252854577,0,43208.2130928726,41976.9841348703,22245.4364890153,20514.2655004129,7151.86023364607,6803.38869264976,48834.8128476921,20382.922403022,17993.2452693252,48593.4196117529,21055.6253645321,35214.9921284401,57964.5876023047
"rel_noordzeekanaal12",34570.754297779,31698.2896851895,31598.3009769654,31356.9072375192,45039.3627195556,46646.2817181216,47363.3537028488,47921.8661046473,47504.7587340708,48070.3788589595,22569.6961059306,19814.3863339374,16617.695335906,48280.4020970105,240822.321617385,33449.5492959539,47211.9018430104,48063.2711358693,24407.9705749487,25673.5096433796,25249.2945497129,24949.3304390683,26166.3399228314,34387.9284119961,209254.116844822,250846.239894216,33649.5267124022,33590.9543271756,233192.453515717,41949.7752019391,41425.5724070622,41525.5601082724,51277.134811867,41401.3096287573,37814.7358018035,37331.9483229105,41725.5365177068,40508.5441531875,229411.247533668,207016.952408109,83215.6013121374,82749.9698954729,84946.7707902181,199388.867915484,200330.182612501,254472.511387554,205553.325772275,38828.8499108924,38728.8612026683,15530.8210883034,21097.0713944531,989.835218555442,948.418392050606,2796.73364759862,2555.34242568766,30749.8707896322,195456.205038519,195987.51303895,197644.69588752,59645.4992724696,68603.1150263476,250444.546264418,203428.242781486,201461.422862277,38597.5080351344,38770.2775256661,35297.8660620236,43208.2130928726,0,1231.22895800225,24025.1718042798,25814.9146746016,39504.4884533793,41584.1314864848,83615.555641527,35494.9129325681,33105.2357988713,83374.1624055878,25590.6759903692,32898.1541838823,58994.677101778
"rel_noordzeekanaal13",33339.5253397767,30467.0607271873,30367.0720189631,30125.678279517,43808.1337615533,45415.0527601194,46132.1247448466,46690.6371466451,46273.5297760686,46839.1499009573,21338.4671479283,18583.1573759351,15386.4663779038,47049.1731390083,239591.092659383,32218.3203379516,45980.6728850081,46832.042177867,23176.7416169464,24442.2806853773,24018.0655917107,23718.101481066,24935.1109648292,33156.6994539938,208022.887886819,249615.010936214,32418.2977543999,32359.7253691733,231961.224557715,40718.5462439369,40194.3434490599,40294.3311502702,50045.9058538648,40170.080670755,36583.5068438012,36100.7193649082,40494.3075597045,39277.3151951853,228180.018575665,205785.723450107,81984.3723541352,81518.7409374706,83715.5418322159,198157.638957482,199098.953654499,253241.282429552,204322.096814273,37597.6209528901,37497.632244666,14299.5921303011,19865.8424364508,241.393739446812,341.38244767096,1872.57753034601,1324.1134676854,29518.6418316299,194224.976080517,194756.284080948,196413.466929518,58414.2703144673,67371.8860683454,249213.317306416,202197.013823483,200230.193904274,37366.2790771322,37539.0485676639,34066.6371040213,41976.9841348703,1231.22895800225,0,22793.9428462776,24583.6857165993,38273.259495377,40352.9025284825,82384.3266835247,34263.6839745658,31874.006840869,82142.9334475856,24359.447032367,31666.92522588,57763.4481437757
"rel_noordzeekanaal2",13607.9776939217,10735.5130813322,10635.5243731081,10394.1306336619,24076.5861156983,25683.5051142644,26400.5770989916,26959.08950079,26541.9821302135,27107.6022551022,3338.096029254,4469.33376149642,7407.47646837383,27317.6254931532,219859.545013528,12486.7726920966,26249.1252391531,27100.494532012,382.798770668818,1648.33783909972,1224.12274543308,924.158634788428,2213.95846749538,10362.7566077162,188291.340240965,229883.463290359,12686.7501085449,12628.1777233183,212229.67691186,20986.9985980818,20462.7958032049,20562.7835044151,30314.3582080097,20438.5330249,16851.9591979462,16369.1717190532,20762.7599138495,20390.0296226061,208448.470929811,186054.175804252,62252.8247082804,61787.1932916158,63983.9941863611,178426.091311627,179367.406008644,233509.734783697,184590.549168418,25873.4890738543,25773.5003656301,28769.0060859872,8141.71055741521,23035.3365857244,23135.3252939486,24583.6877306282,21586.9731420308,15463.3900989105,174493.428434662,175024.736435093,176681.919283663,40508.4802077766,45893.2111767765,229481.769660561,182465.466177629,180498.64625842,25642.1471980963,25814.916688628,14335.0894581663,22245.4364890153,24025.1718042798,22793.9428462776,0,1789.74287032173,18541.711849522,20621.3548826274,62652.7790376698,14532.1363287108,12142.459195014,62411.3858017306,1565.50418608939,13535.1777783423,36284.7732522069
"rel_noordzeekanaal3",11876.8067053193,9004.34209272981,8904.35338450566,8662.95964505951,22345.4151270959,23952.3341256619,24669.4061103892,25227.9185121876,24810.8111416111,25376.4312664998,4162.26494880347,6259.07663181815,9197.21933869555,25586.4545045508,218128.374024926,10755.6017034942,24517.9542505507,25369.3235434096,1631.18127336338,741.337280568481,565.620124888683,1006.98977026228,482.787478892966,11586.8773391204,186560.169252362,228152.292301757,10955.5791199424,10897.0067347159,210498.505923258,19255.8276094794,18731.6248146024,18831.6125158127,28583.1872194073,18707.3620362976,15120.7882093437,14638.0007304508,19031.5889252471,18658.8586340037,206717.299941208,184323.00481565,60521.6537196779,60056.0223030134,62252.8231977586,176694.920323025,177636.235020041,231778.563795095,182859.378179816,26049.2062295339,25949.2175213097,30558.7489563089,8317.42771309485,24825.0794560461,24925.0681642703,26373.4306009499,23376.7160123525,17253.1329692322,172762.257446059,173293.565446491,174950.74829506,41732.6009391808,47117.3319081807,227750.598671959,180734.295189026,178767.475269817,25817.8643537759,25990.6338443076,12603.9184695638,20514.2655004129,25814.9146746016,24583.6857165993,1789.74287032173,0,16810.5408609196,18890.183894025,60921.6080490673,12800.9653401084,10411.2882064116,60680.2148131282,541.359864119255,14759.2985097465,37508.8939836111
"rel_noordzeekanaal7",15755.0391287396,12882.5745161502,12782.585807926,12541.1920684799,16459.1095706026,18066.0285691687,18783.1005538959,19341.6129556944,18924.5055851179,19490.1257100066,17017.6260004584,20358.6535826312,22886.7931174732,19700.1489480576,212242.068468432,6586.25118591527,18631.6486940575,19483.0179869163,18383.1502525636,17551.8781414878,17376.1609858083,17758.9587494625,16327.7533820266,28338.8463183207,180673.863695869,222265.986745264,6786.22860236357,6644.82357114183,204612.200366765,8693.10718000933,8934.50091945622,8951.65698168511,11772.6463584877,9251.62310635849,1689.75265157583,2172.5401304688,8951.65698168511,1989.72230079917,200830.994384715,178436.699259157,54635.3481631847,54169.7167465201,56366.5176412654,170808.614766531,171749.929463548,225892.258238601,176973.072623322,38904.5672811888,38804.5785729647,44248.3227350867,21172.7887647497,38514.6532348239,38614.641943048,40063.0043797276,37066.2897911303,31352.7099200453,166875.951889566,167407.259889998,169064.442738567,58484.569918381,63869.3008873811,221864.293115465,174847.989632533,172881.169713324,38673.2254054308,38845.9948959625,8434.56795198496,7151.86023364607,39504.4884533793,38273.259495377,18541.711849522,16810.5408609196,0,13003.8783375318,55035.3024925741,16679.1977635287,14289.520629832,54793.909256635,17351.9007250388,31511.2674889468,54260.8629628114
"rel_noordzeekanaal1",17834.6821618451,14962.2175492556,14862.2288410314,14620.8351015853,3455.23123307084,5062.1502316369,5779.22221636412,6337.73461816257,5920.62724758609,6486.24737247479,19097.2690335638,22438.2966157366,24966.4361505787,6696.2706105258,199238.190130901,8500.22691300013,5627.77035652567,6479.13964938455,20462.7932856691,19631.5211745932,19455.8040189137,19838.601782568,18407.3964151321,30418.4893514262,167669.985358337,209262.108407732,8700.20432944842,8558.79929822669,191608.322029233,5427.80703827712,5020.74800683934,5003.59194461044,14852.2147403815,4703.62581993734,11314.125685956,10831.338207063,5086.42459060616,14852.1961106159,187827.116047183,165432.820921625,41631.4698256528,41165.8384089882,43362.6393037335,157804.736429,158746.051126016,212888.37990107,163969.194285791,40984.2103142943,40884.2216060701,46327.9657681921,23252.4317978552,40594.2962679293,40694.2849761535,42142.6474128331,39145.9328242357,33432.3529531508,153872.073552034,154403.381552466,156060.564401035,60564.2129514865,65948.9439204866,208860.414777934,161844.111295001,159877.291375792,40752.8684385363,40925.637929068,10348.5436790698,6803.38869264976,41584.1314864848,40352.9025284825,20621.3548826274,18890.183894025,13003.8783375318,0,42031.4241550423,18758.8407966341,16369.1636629374,41790.0309191031,19431.5437581443,33590.9105220523,56340.5059959168
"rel_noordzeekanaal8",59866.1063168874,56993.6417042979,56893.6529960738,56652.2592566276,38576.1929219715,37300.6085354465,36417.8692446987,35776.5231898907,36359.2978664863,36125.0123536376,61128.6931886061,64469.7207707789,66997.860305621,35335.1535445165,169529.398713011,50531.6510680424,37066.3230225977,35717.9518116783,62494.2174407114,61662.9453296355,61487.228173956,61870.0259376103,60438.8205701744,72449.9135064685,128765.408510516,170357.531559911,50731.6284844907,50590.223453269,152703.745181412,47459.2311933195,47052.1721618817,47035.0160996528,56883.6388954239,46735.0499749797,53345.5498409983,52862.7623621053,47117.8487456485,56883.6202656583,148922.539199362,135724.029503736,624.191503100359,865.585746054148,2189.69367516177,118900.159581178,119841.474278195,176092.390795144,125064.617437969,83015.6344693365,82915.6457611124,88359.3899232343,65283.8559528975,82625.7204229715,82725.7091311957,84174.0715678753,81177.356979278,75463.7771081931,114967.496704213,115498.804704644,117155.987553214,102595.637106529,107980.368075529,172767.288252639,124052.400199847,120972.71452797,82784.2925935785,82957.0620841102,52379.9678341121,48834.8128476921,83615.555641527,82384.3266835247,62652.7790376698,60921.6080490673,55035.3024925741,42031.4241550423,0,60790.2649516767,58400.5878179799,241.393235939176,61462.9679131868,75622.3346770947,98371.9301509589
"rel_noordzeekanaal14",1006.99128078453,3796.62324737855,3896.6119556027,4138.00569504885,22214.072029705,23820.9910282711,24538.0630129983,25096.5754147967,24679.4680442203,25245.088169109,13008.0504796471,16349.07806182,18877.217596662,25455.11140716,217997.030927535,10624.2586061032,24386.6111531598,25237.9804460187,14373.5747317524,13542.3026206766,13366.585464997,13749.3832286513,12318.1778612154,24329.2707975095,186428.826154971,228020.949204366,10824.2360225515,10765.663637325,210367.162825867,19124.4845120886,18600.2817172116,18700.2694184219,28451.8441220164,18576.0189389067,14989.4451119529,14506.6576330599,18900.2458278562,18527.5155366129,206585.956843817,184191.661718259,60390.3106222871,59924.6792056225,62121.4801003678,176563.577225634,177504.89192265,231647.220697704,182728.035082425,34894.9917603776,34795.0030521534,40238.7472142754,17163.2132439385,34505.0777140126,34605.0664222368,36053.4288589164,33056.714270319,27343.1343992341,172630.914348669,173162.2223491,174819.40519767,54474.9943975698,59859.7253665699,227619.255574568,180602.952091635,178636.132172426,34663.6498846196,34836.4193751513,12472.5753721729,20382.922403022,35494.9129325681,34263.6839745658,14532.1363287108,12800.9653401084,16679.1977635287,18758.8407966341,60790.2649516767,0,2389.67713369677,60548.8717157373,13342.3252042276,27501.6919681356,50251.2874420002
"rel_noordzeekanaal15",1465.51849890768,1406.94611368178,1506.93482190593,1748.32856135208,19824.3948960082,21431.3138945743,22148.3858793015,22706.8982811,22289.7909105235,22855.4110354122,10618.3733459504,13959.4009281232,16487.5404629652,23065.4342734632,215607.353793838,8234.58147240648,21996.9340194631,22848.3033123219,11983.8975980557,11152.6254869798,10976.9083313003,11359.7060949546,9928.50072751862,21939.5936638127,184039.149021275,225631.272070669,8434.55888885477,8375.98650362821,207977.48569217,16734.8073783918,16210.6045835148,16310.5922847251,26062.1669883197,16186.3418052099,12599.7679782561,12116.9804993632,16510.5686941594,16137.8384029161,204196.279710121,181801.984584562,58000.6334885903,57535.0020719257,59731.802966671,174173.900091937,175115.214788954,229257.543564007,180338.357948728,32505.3146266808,32405.3259184567,37849.0700805786,14773.5361102418,32115.4005803158,32215.38928854,33663.7517252196,30667.0371366222,24953.4572655373,170241.237214972,170772.545215403,172429.728063973,52085.317263873,57470.0482328731,225229.578440871,178213.274957939,176246.45503873,32273.9727509228,32446.7422414545,10082.8982384762,17993.2452693252,33105.2357988713,31874.006840869,12142.459195014,10411.2882064116,14289.520629832,16369.1636629374,58400.5878179799,2389.67713369677,0,58159.1945820405,10952.6480705308,25112.0148344388,47861.6103083034
"rel_noordzeekanaal9",59624.7130809482,56752.2484683587,56652.2597601346,56410.8660206884,38334.7996860323,37059.2152995073,36176.4760087595,35535.1299539515,36117.9046305472,35883.6191176984,60887.2999526669,64228.3275348398,66756.4670696818,35093.7603085773,169288.005477072,50290.2578321033,36824.9297866585,35476.5585757391,62252.8242047722,61421.5520936964,61245.8349380168,61628.6327016711,60197.4273342352,72208.5202705293,128524.015274576,170116.138323971,50490.2352485516,50348.8302173298,152462.351945473,47217.8379573803,46810.7789259425,46793.6228637136,56642.2456594847,46493.6567390405,53104.1566050591,52621.3691261662,46876.4555097093,56642.2270297191,148681.145963423,135482.636267797,382.798267161182,624.192510114972,1948.30043922259,118658.766345239,119600.081042255,175850.997559204,124823.22420203,82774.2412333973,82674.2525251732,88117.9966872951,65042.4627169584,82384.3271870324,82484.3158952565,83932.6783319361,80935.9637433388,75222.3838722539,114726.103468274,115257.411468705,116914.594317274,102354.24387059,107738.974839589,172525.8950167,123811.006963908,120731.321292031,82542.8993576394,82715.668848171,52138.5745981729,48593.4196117529,83374.1624055878,82142.9334475856,62411.3858017306,60680.2148131282,54793.909256635,41790.0309191031,241.393235939176,60548.8717157373,58159.1945820405,0,61221.5746772476,75380.9414411555,98130.5369150198
"rel_noordzeekanaal4",12418.1665694385,9545.70195684906,9445.71324862492,9204.31950917876,22886.7749912151,24493.6939897812,25210.7659745084,25769.2783763069,25352.1710057304,25917.7911306191,4703.62481292273,6034.83794758581,8972.98065446322,26127.8143686701,218669.733889045,11296.9615676134,25059.31411467,25910.6834075288,1406.94258913105,199.977416449226,341.381440656347,699.91743302031,1024.14734301222,11362.6386548881,187101.529116481,228693.652165876,11496.9389840617,11438.3665988351,211039.865787377,19797.1874735987,19272.9846787217,19372.972379932,29124.5470835265,19248.7219004168,15662.148073463,15179.36059457,19572.9487893663,19200.218498123,207258.659805327,184864.364679769,61063.0135837972,60597.3821671327,62794.1830618779,177236.280187144,178177.594884161,232319.923659214,183400.738043935,26590.5660936531,26490.577385429,30334.5102720766,8858.7875772141,24600.8407718138,24700.8294800379,26149.1919167176,23152.4773281202,17028.8942849999,173303.617310179,173834.92531061,175492.10815918,41508.3622549485,46893.0932239484,228291.958536078,181275.655053145,179308.835133936,26359.2242178952,26531.9937084269,13145.2783336831,21055.6253645321,25590.6759903692,24359.447032367,1565.50418608939,541.359864119255,17351.9007250388,19431.5437581443,61462.9679131868,13342.3252042276,10952.6480705308,61221.5746772476,0,14535.0598255142,37284.6552993788
"rel_noordzeekanaal16",26577.5333333465,23705.068720757,23605.0800125329,23363.6862730867,37046.1417551231,38653.0607536892,39370.1327384164,39928.6451402149,39511.5377696384,40077.1578945271,16566.2009668467,13142.3397316642,16280.4588479762,40287.1811325781,232829.100652953,25456.3283315214,39218.6808785779,40070.0501714368,13210.9508893928,14617.8934785245,14193.6783848579,13835.1423924939,15183.5141069202,3172.4211706261,201260.895880389,242853.018929784,25656.3057479697,25597.7333627431,225199.232551285,33956.5542375067,33432.3514426297,33532.33914384,43283.9138474345,33408.0886643248,29821.514837371,29338.727358478,33732.3155532743,33359.585262031,221418.026569235,199023.731443677,75222.3803477051,74756.7489310405,76953.5498257858,191395.646951052,192336.961648068,246479.290423122,197560.104807843,36643.3021954727,36543.3134872486,37641.9884655896,18911.5236790334,31908.3189653268,32008.307673551,33456.6701102306,30459.9555216332,12678.4622171205,187462.984074087,187994.292074518,189651.474923088,27801.6389595349,35704.960842466,242451.325299986,195435.021817053,193468.201897844,36411.9603197147,36584.7298102464,27304.6450975911,35214.9921284401,32898.1541838823,31666.92522588,13535.1777783423,14759.2985097465,31511.2674889468,33590.9105220523,75622.3346770947,27501.6919681356,25112.0148344388,75380.9414411555,14535.0598255142,0,26096.5229178964
"rel_noordzeekanaal17",49327.1288072111,46454.6641946216,46354.6754863975,46113.2817469513,59795.7372289877,61402.6562275537,62119.7282122809,62678.2406140794,62261.1332435029,62826.7533683916,39622.8692814609,39238.8626495598,42376.9817658719,63036.7766064426,255578.696126817,48205.923805386,61968.2763524425,62819.6456453014,35960.5463632574,37367.4889523891,36943.2738587225,36584.7378663585,37933.1095807848,26356.2815878175,224010.491354254,265602.614403648,48405.9012218343,48347.3288366077,247948.828025149,56706.1497113712,56181.9469164943,56281.9346177045,66033.5093212991,56157.6841381894,52571.1103112356,52088.3228323426,56481.9110271389,56109.1807358955,244167.6220431,221773.326917541,97971.9758215693,97506.3444049048,99703.1452996501,214145.242424916,215086.557121933,269228.885896986,220309.700281707,62158.2623260613,62058.2736178371,63738.5113834853,44426.4838096221,58004.8418832225,58104.8305914467,59553.1930281263,56556.4784395289,38774.9851350154,210212.579547951,210743.887548382,212401.070396952,20802.4646293318,9842.72545144682,265200.92077385,218184.617290918,216217.797371709,61926.9204503033,62099.689940835,50054.2405714557,57964.5876023047,58994.677101778,57763.4481437757,36284.7732522069,37508.8939836111,54260.8629628114,56340.5059959168,98371.9301509589,50251.2874420002,47861.6103083034,98130.5369150198,37284.6552993788,26096.5229178964,0
