"","s-2","s-Wetteren","s-Wichelen","s-2a","s-3","s-Dendermonde","s-4b","s-4c","s-6","s-8","s-9","s-12","s-STD3","s-7","s-5","ak-41","s-Vlassenbroek","s-4a","s-9a","s-8a","s-11","s-4","s-10a","ak-45","ws-53A","ws-53","ws-42A","ws-18","ws-25B","ws-16","ws-14","ws-12A","ws-6","ws-4","ws-PVTSS","ws-DL9","ws-DL7","ws-55","ws-2C","ws-TRAWL","ws-F42","ws-HW6","ws-11","s-1","ws-OGDL","ws-OG10","ws-SP3","ws-25A","ws-25","ws-23","ws-A5","ws-PPC","ws-A3","ws-A1","ws-15A","ws-15","ws-W6","ak-47","ws-WN2","bpns-WENDUINEBANKW","bpns-Whitley","me-7-2","M-6","ws-13","ws-W7","bpns-W1","bpns-Trapegeer","du-Hamveer","bpns-WK12","ws-FZ2","bpns-S4","bpns-A1BIS","bpns-S7","bpns-O6","M-4","M-4A","M-3","M-2","M-1","M-5","s-Dendermonde2","bpns-KB2","bpns-middelkerkebank","bpns-nieuwpoortbank","ws-borssele","PC4C-C05-2","PC4C-C05-9","ws-GVWSP","bpns-Cpowerreefballs-CPOD","bpns-zbe1","bpns-ZA2","ws-F53","bpns-WK14","rel_schelde1","rel_dijle","rel_schelde2","rel_schelde3","rel_schelde4","rel_schelde5"
"s-2",0,6634.663262513,12079.5765968541,16914.1881487632,26803.4708216228,32313.8741657415,44823.9227769055,47313.2937695534,55337.1567591212,65019.8475732033,70466.7887878017,92949.4109341356,96862.6070621881,57326.8537355942,50126.8800026235,78714.8736367534,40137.8724303222,41486.2077635931,70666.7267350414,64919.8785995834,92766.6148391453,30824.2173167106,78232.1462134863,89652.9996481269,117914.798976415,118263.200499309,118111.635117014,135280.703502511,136363.44002684,136390.801338206,137242.320387765,138035.247413262,140648.396586,140996.798108894,141645.179774901,159942.25544303,161190.597395264,117400.792025617,141749.042557267,159917.325973289,118460.036639908,119191.221019867,142300.581463712,3313.62636051151,158159.565251437,158973.503530513,160810.965159675,137514.939219511,138014.9061247,138790.642483111,139624.970865585,140473.339293667,140093.707058078,140603.844607548,140631.205918915,141041.350087346,160147.824668207,100300.461901045,160003.279308717,205320.346705297,226870.938907446,69913.1243714278,77137.4308313791,141993.581297794,159675.219074385,170919.748508914,233467.35143446,54764.4601545911,186150.691919194,118077.253782843,188321.747430953,195825.839189963,179646.533970562,204649.191909103,82996.186883555,82996.186883555,83337.5195688091,83520.3400712167,85575.6490945559,80799.483122202,32313.8741657415,214580.042846602,216174.354480104,230101.239033497,143487.107548154,216913.00216065,216995.804874602,160372.740900024,199456.556117947,179361.31265291,180258.02923852,118463.187261385,174854.590483409,60240.7018312977,82996.186883555,33279.4266419472,17014.1815298009,43392.8579519363,0
"s-Wetteren",6634.663262513,0,5444.91333434106,10279.5248862502,20168.8075591098,25679.2109032285,38189.2595143926,40678.6305070405,48702.4934966083,58385.1843106903,63832.1255252887,86314.7476716225,90227.943799675,50692.1904730813,43492.2167401106,72080.2103742403,33503.2091678093,34851.5445010801,64032.0634725284,58285.2153370705,86131.9515766322,24189.5540541976,71597.4829509732,83018.3363856139,111280.135713902,111628.537236796,111476.971854501,128646.040239997,129728.776764327,129756.138075693,130607.657125252,131400.584150749,134013.733323487,134362.13484638,135010.516512388,153307.592180517,154555.934132751,110766.128763104,135114.379294754,153282.662710775,111825.373377395,112556.557757354,135665.918201199,7289.89409940001,151524.901988924,152338.840268,154176.301897162,130880.275956998,131380.242862187,132155.979220598,132990.307603072,133838.676031154,133459.043795565,133969.181345035,133996.542656402,134406.686824833,153513.161405694,93665.7986385323,153368.616046204,198685.683442784,220236.275644933,63278.4611089147,70502.7675688661,135358.918035281,153040.555811872,164285.085246401,226832.688171946,48129.7968920782,179516.028656681,111442.590520329,181687.08416844,189191.17592745,173011.870708049,198014.52864659,76361.523621042,76361.523621042,76702.856306296,76885.6768087036,78940.9858320429,74164.8198596889,25679.2109032285,207945.379584088,209539.691217591,223466.575770983,136852.444285641,210278.338898137,210361.141612089,153738.077637511,192821.892855434,172726.649390397,173623.365976007,111828.523998871,168219.927220895,53606.0385687848,76361.523621042,26644.7633794342,10379.5182672879,36758.1946894234,6634.663262513
"s-Wichelen",12079.5765968541,5444.91333434106,0,4834.61155190916,14723.8942247687,20234.2975688874,32744.3461800516,35233.7171726995,43257.5801622673,52940.2709763493,58387.2121909477,80869.8343372814,84783.0304653339,45247.2771387403,38047.3034057696,66635.2970398992,28058.2958334682,29406.6311667391,58587.1501381874,52840.3020027295,80687.0382422911,18744.6407198565,66152.5696166321,77573.4230512728,105835.222379561,106183.623902455,106032.05852016,123201.126905656,124283.863429985,124311.224741352,125162.743790911,125955.670816408,128568.819989146,128917.221512039,129565.603178047,147862.678846176,149111.02079841,105321.215428763,129669.465960413,147837.749376434,106380.460043053,107111.644423013,130221.004866858,12734.8074337411,146079.988654583,146893.926933659,148731.388562821,125435.362622657,125935.329527846,126711.065886257,127545.39426873,128393.762696813,128014.130461224,128524.268010694,128551.629322061,128961.773490492,148068.248071353,88220.8853041912,147923.702711862,193240.770108443,214791.362310592,57833.5477745737,65057.8542345249,129914.00470094,147595.642477531,158840.17191206,221387.774837605,42684.8835577372,174071.11532234,105997.677185988,176242.170834099,183746.262593108,167566.957373708,192569.615312249,70916.6102867008,70916.6102867008,71257.9429719549,71440.7634743625,73496.0724977018,68719.9065253478,20234.2975688874,202500.466249747,204094.77788325,218021.662436642,131407.5309513,204833.425563796,204916.228277748,148293.16430317,187376.979521092,167281.736056056,168178.452641666,106383.61066453,162775.013886554,48161.1252344438,70916.6102867008,21199.8500450932,4934.60493294688,31313.2813550824,12079.5765968541
"s-2a",16914.1881487632,10279.5248862502,4834.61155190916,0,9889.28267285956,15399.6860169783,27909.7346281424,30399.1056207904,38422.9686103582,48105.6594244403,53552.6006390386,76035.2227853722,79948.4189134247,40412.6655868312,33212.6918538605,61800.6854879901,23223.6842815591,24572.01961483,53752.5385862783,48005.6904508204,75852.4266903819,13910.0291679474,61317.958064723,72738.8114993635,101000.610827651,101349.012350546,101197.446968251,118366.515353747,119449.251878076,119476.613189443,120328.132239002,121121.059264499,123734.208437236,124082.60996013,124730.991626137,143028.067294267,144276.409246501,100486.603876854,124834.854408504,143003.137824525,101545.848491144,102277.032871104,125386.393314949,17569.4189856502,141245.377102674,142059.315381749,143896.777010912,120600.751070748,121100.717975936,121876.454334348,122710.782716821,123559.151144903,123179.518909315,123689.656458784,123717.017770151,124127.161938583,143233.636519444,83386.273752282,143089.091159953,188406.158556534,209956.750758683,52998.9362226646,60223.2426826159,125079.393149031,142761.030925622,154005.56036015,216553.163285696,37850.2720058281,169236.503770431,101163.065634079,171407.55928219,178911.651041199,162732.345821799,187735.00376034,66081.9987347916,66081.9987347916,66423.3314200457,66606.1519224533,68661.4609457925,63885.2949734386,15399.6860169783,197665.854697838,199260.166331341,213187.050884733,126572.91939939,199998.814011887,200081.616725839,143458.552751261,182542.367969183,162447.124504147,163343.841089757,101548.999112621,157940.402334645,43326.5136825347,66081.9987347916,16365.238493184,99.9933810377261,26478.6698031732,16914.1881487632
"s-3",26803.4708216228,20168.8075591098,14723.8942247687,9889.28267285956,0,5510.4033441187,18020.4519552828,20509.8229479308,28533.6859374987,38216.3767515808,43663.3179661792,66145.9401125125,70059.136240565,30523.3829139718,23323.409181001,51911.4028151306,13334.4016086995,14682.7369419704,43863.2559134189,38116.407777961,65963.1440175222,4020.74649508779,51428.6753918635,62849.5288265039,91111.3281547917,91459.729677686,91308.164295391,108477.232680887,109559.969205217,109587.330516583,110438.849566142,111231.776591639,113844.925764377,114193.32728727,114841.708953278,133138.784621407,134387.126573641,90597.3212039942,114945.571735644,133113.855151665,91656.5658182846,92387.750198244,115497.110642089,27458.7016585098,131356.094429814,132170.03270889,134007.494338052,110711.468397888,111211.435303077,111987.171661488,112821.500043961,113669.868472044,113290.236236455,113800.373785925,113827.735097292,114237.879265723,133344.353846584,73496.9910794223,133199.808487094,178516.875883674,200067.468085823,43109.6535498052,50333.9600097564,115190.110476171,132871.748252762,144116.277687291,206663.880612836,27960.9893329686,159347.221097571,91273.7829612195,161518.27660933,169022.36836834,152843.063148939,177845.72108748,56192.7160619321,56192.7160619321,56534.0487471862,56716.8692495938,58772.178272933,53996.0123005791,5510.4033441187,187776.572024978,189370.883658481,203297.768211873,116683.636726531,190109.531339027,190192.334052979,133569.270078401,172653.085296324,152557.841831287,153454.558416897,91659.7164397615,148051.119661785,33437.2310096752,56192.7160619321,6475.95582032443,9847.85690846572,16589.3871303137,26803.4708216228
"s-Dendermonde",32313.8741657415,25679.2109032285,20234.2975688874,15399.6860169783,5510.4033441187,0,12510.0486111641,14999.4196038121,23023.28259338,32705.9734074622,38152.9146220605,60635.5367683939,64548.7328964463,25012.9795698531,17813.0058368823,46400.999471012,7823.99826458082,9172.33359785169,38352.8525693002,32606.0044338423,60452.7406734036,1489.65684903091,45918.2720477449,57339.1254823853,85600.924810673,85949.3263335672,85797.7609512722,102966.829336769,104049.565861098,104076.927172464,104928.446222023,105721.373247521,108334.522420258,108682.923943152,109331.305609159,127628.381277288,128876.723229522,85086.9178598754,109435.168391525,127603.451807547,86146.1624741658,86877.3468541252,109986.70729797,32969.1050026285,125845.691085695,126659.629364771,128497.090993933,105201.065053769,105701.031958958,106476.76831737,107311.096699843,108159.465127925,107779.832892337,108289.970441806,108317.331753173,108727.475921604,127833.950502465,67986.5877353035,127689.405142975,173006.472539555,194557.064741705,37599.2502056866,44823.5566656378,109679.707132053,127361.344908643,138605.874343172,201153.477268718,22450.5859888499,153836.817753452,85763.3796171007,156007.873265211,163511.965024221,147332.659804821,172335.317743361,50682.3127178135,50682.3127178135,51023.6454030676,51206.4659054751,53261.7749288144,48485.6089564605,0,182266.16868086,183860.480314362,197787.364867755,111173.233382412,184599.127994908,184681.93070886,128058.866734282,167142.681952205,147047.438487169,147944.155072778,86149.3130956427,142540.716317667,27926.8276655565,50682.3127178135,965.552476205732,15358.2602525844,11078.983786195,32313.8741657415
"s-4b",44823.9227769055,38189.2595143926,32744.3461800516,27909.7346281424,18020.4519552828,12510.0486111641,0,2489.370992648,10513.2339822159,20195.924796298,25642.8660108964,48125.4881572299,52038.6842852823,12502.9309586889,5302.95722571816,33890.950859848,4686.05034658331,3337.71501331244,25842.8039581362,20095.9558226782,47942.6920622395,13999.705460195,33408.2234365809,44829.0768712213,73090.8761995088,73439.277722403,73287.712340108,90456.7807256045,91539.5172499336,91566.8785613,92418.397610859,93211.3246363564,95824.4738090938,96172.8753319875,96821.2569979948,115118.332666124,116366.674618358,72576.8692487112,96925.1197803609,115093.403196382,73636.1138630016,74367.298242961,97476.6586868061,45479.1536137925,113335.642474531,114149.580753607,115987.042382769,92691.0164426051,93190.9833477937,93966.7197062053,94801.0480886785,95649.4165167607,95269.7842811724,95779.9218306417,95807.2831420087,96217.4273104403,115323.901891301,55476.5391241395,115179.356531811,160496.423928391,182047.01613054,25089.2015945225,32313.5080544738,97169.6585208884,114851.296297479,126095.825732008,188643.428657553,9940.53737768579,141326.769142288,73253.3310059365,143497.824654047,151001.916413057,134822.611193656,159825.269132197,38172.2641066495,38172.2641066495,38513.5967919036,38696.4172943111,40751.7263176504,35975.5603452965,12510.0486111641,169756.120069695,171350.431703198,185277.31625659,98663.1847712477,172089.079383744,172171.882097696,115548.818123118,154632.633341041,134537.389876004,135434.106461614,73639.2644844785,130030.667706502,15416.7790543924,38172.2641066495,11544.4961349584,27868.3088637486,1431.06482496916,44823.9227769055
"s-4c",47313.2937695534,40678.6305070405,35233.7171726995,30399.1056207904,20509.8229479308,14999.4196038121,2489.370992648,0,8023.86298956791,17706.55380365,23153.4950182484,45636.1171645819,49549.3132926343,10013.5599660409,2813.58623307017,31401.5798672,7175.42133923131,5827.08600596044,23353.4329654882,17606.5848300302,45453.3210695916,16489.076452843,30918.8524439329,42339.7058785733,70601.5052068608,70949.906729755,70798.34134746,87967.4097329565,89050.1462572856,89077.507568652,89929.026618211,90721.9536437084,93335.1028164458,93683.5043393395,94331.8860053468,112628.961673476,113877.30362571,70087.4982560632,94435.7487877129,112604.032203734,71146.7428703536,71877.927250313,94987.287694158,47968.5246064405,110846.271481883,111660.209760959,113497.671390121,90201.6454499571,90701.6123551457,91477.3487135573,92311.6770960305,93160.0455241127,92780.4132885244,93290.5508379937,93317.9121493607,93728.0563177922,112834.530898653,52987.1681314915,112689.985539163,158007.052935743,179557.645137892,22599.8306018745,29824.1370618258,94680.2875282404,112361.925304831,123606.45473936,186154.057664905,7451.1663850378,138837.39814964,70763.9600132885,141008.453661399,148512.545420409,132333.240201008,157335.898139549,35682.8931140015,35682.8931140015,36024.2257992556,36207.0463016632,38262.3553250024,33486.1893526485,14999.4196038121,167266.749077047,168861.06071055,182787.945263942,96173.8137785997,169599.708391096,169682.511105048,113059.44713047,152143.262348393,132048.018883356,132944.735468966,71149.8934918305,127541.296713854,12927.4080617444,35682.8931140015,14033.8671276064,30357.6798563966,3920.43581761716,47313.2937695535
"s-6",55337.1567591212,48702.4934966083,43257.5801622673,38422.9686103582,28533.6859374987,23023.28259338,10513.2339822159,8023.86298956791,0,9682.69081408214,15129.6320286805,37612.2541750141,41525.4503030665,1989.69697647302,5210.27675649774,23377.7168776321,15199.2843287992,13850.9489955283,15329.5699759203,9582.72184046228,37429.4580800238,24512.9394424109,22894.989454365,34315.8428890055,62577.6422172928,62926.0437401871,62774.4783578921,79943.5467433885,81026.2832677176,81053.644579084,81905.163628643,82698.0906541404,85311.2398268778,85659.6413497715,86308.0230157788,104605.098683908,105853.440636142,62063.6352664953,86411.8857981449,104580.169214166,63122.8798807857,63854.0642607451,86963.4247045901,55992.3875960083,102822.408492315,103636.346771391,105473.808400553,82177.7824603891,82677.7493655777,83453.4857239893,84287.8141064625,85136.1825345447,84756.5502989564,85266.6878484257,85294.0491597927,85704.1933282243,104810.667909085,44963.3051419237,104666.122549595,149983.189946175,171533.782148324,14575.9676123066,21800.2740722579,86656.4245386724,104338.062315263,115582.591749792,178130.194675337,7624.25557668457,130813.535160072,62740.0970237206,132984.590671831,140488.682430841,124309.37721144,149312.035149981,27659.0301244336,27659.0301244336,28000.3628096877,28183.1833120953,30238.4923354345,25462.3263630806,23023.28259338,159242.886087479,160837.197720982,174764.082274374,88149.9507890317,161575.845401528,161658.64811548,105035.584140902,144119.399358825,124024.155893788,124920.872479398,63126.0305022626,119517.433724286,4903.54507217649,27659.0301244336,22057.7301171743,38381.5428459644,11944.2988071851,55337.1567591213
"s-8",65019.8475732033,58385.1843106903,52940.2709763493,48105.6594244403,38216.3767515808,32705.9734074622,20195.924796298,17706.55380365,9682.69081408214,0,5446.9412145984,27929.563360932,31842.7594889844,7692.99383760912,14892.9675705799,13695.02606355,24881.9751428814,23533.6398096105,5646.87916183812,99.9689736198634,27746.7672659417,34195.6302564931,13212.2986402828,24633.1520749233,52894.9514032108,53243.352926105,53091.78754381,70260.8559293063,71343.5924536354,71370.9537650018,72222.4728145608,73015.3998400582,75628.5490127956,75976.9505356893,76625.3322016966,94922.4078698261,96170.7498220597,52380.9444524132,76729.1949840627,94897.4784000843,53440.1890667036,54171.373446663,77280.7338905079,65675.0784100904,93139.7176782328,93953.6559573085,95791.1175864708,72495.0916463069,72995.0585514955,73770.7949099071,74605.1232923803,75453.4917204625,75073.8594848742,75583.9970343435,75611.3583457105,76021.5025141421,95127.9770950029,35280.6143278416,94983.4317355125,140300.499132093,161851.091334242,10286.2276126232,17510.5340725745,76973.7337245902,94655.3715011807,105899.90093571,168447.503861255,17306.9463907667,121130.84434599,53057.4062096385,123301.899857749,130805.991616758,114626.686397358,139629.344335899,23369.2901247502,23369.2901247502,23710.6228100043,23893.4433124119,25948.7523357511,21172.5863633972,32705.9734074622,149560.195273397,151154.5069069,165081.391460292,78467.2599749495,151893.154587446,151975.957301398,95352.8933268201,134436.708544742,114341.465079706,115238.181665316,53443.3396881805,109834.742910204,4779.14574190565,23369.2901247502,31740.4209312565,48064.2336600464,21626.9896212672,65019.8475732033
