"","GUD1","GUD2","RAN1","RAN2","UGEL2","UGEL1","UDBY2","UDBY1","KATNORD","rel_gudena"
"GUD1",0,241.365818794614,13933.0338126212,14932.8488338847,28318.013627467,28717.8780891488,45466.6927921135,45083.9426566513,49180.1105077006,2230.70180296872
"GUD2",241.365818794614,0,13774.4736229103,14774.2886441738,28159.4534377561,28559.3178994379,45308.1326024026,44925.3824669404,49021.5503179897,2413.50432088481
"RAN1",13933.0338126212,13774.4736229103,0,999.815021263552,14384.9798148458,14784.8442765276,31533.6589794922,31150.9088440301,35247.0766950794,16105.1723147114
"RAN2",14932.8488338847,14774.2886441738,999.815021263552,0,13385.1647935822,13785.0292552641,30533.8439582287,30151.0938227665,34247.2616738158,17104.9873359749
"UGEL2",28318.013627467,28159.4534377561,14384.9798148458,13385.1647935822,0,399.864461681806,17148.6791646465,16765.9290291843,20862.0968802336,30490.1521295572
"UGEL1",28717.8780891488,28559.3178994379,14784.8442765276,13785.0292552641,399.864461681806,0,16748.8147029646,16366.0645675025,20462.2324185518,30890.016591239
"UDBY2",45466.6927921135,45308.1326024026,31533.6589794922,30533.8439582287,17148.6791646465,16748.8147029646,0,382.750135462166,3713.41771558713,47638.8312942037
"UDBY1",45083.9426566513,44925.3824669404,31150.9088440301,30151.0938227665,16765.9290291843,16366.0645675025,382.750135462166,0,4096.1678510493,47256.0811587415
"KATNORD",49180.1105077006,49021.5503179897,35247.0766950794,34247.2616738158,20862.0968802336,20462.2324185518,3713.41771558713,4096.1678510493,0,51352.2490097908
"rel_gudena",2230.70180296872,2413.50432088481,16105.1723147114,17104.9873359749,30490.1521295572,30890.016591239,47638.8312942037,47256.0811587415,51352.2490097908,0
