"","s-2","s-Wetteren","s-Wichelen","s-2a","s-3","s-Dendermonde","s-4b","s-4c","s-6","s-8","s-9","s-12","s-7","s-5","ak-41","s-Vlassenbroek","s-4a","s-9a","s-8a","s-11","s-4","s-10a","ak-45","ws-53A","ws-53","ws-42A","ws-18","ws-25B","ws-16","ws-14","ws-12A","ws-6","ws-4","ws-PVTSS","ws-DL9","ws-DL7","ws-55","ws-2C","ws-TRAWL","ws-F42","ws-HW6","ws-11","s-1","ws-OGDL","ws-OG10","ws-SP3","ws-25A","ws-25","ws-23","ws-A5","ws-PPC","ws-A3","ws-A1","ws-15A","ws-15","ws-W6","ak-47","ws-WN2","bpns-WENDUINEBANKW","bpns-Whitley","me-7-2","M-6","ws-13","ws-W7","bpns-W1","bpns-Trapegeer","du-Hamveer","bpns-WK12","ws-FZ2","bpns-S4","bpns-A1BIS","bpns-S7","bpns-O6","M-4","M-4A","M-3","M-2","M-1","M-5","s-Dendermonde2","bpns-KB2","bpns-middelkerkebank","bpns-nieuwpoortbank","PC4C-B08-1","ws-borssele","PC4C-C05-2","PC4C-C05-9","ws-GVWSP","bpns-Cpowerreefballs-CPOD","rel_schelde1","rel_dijle","rel_schelde2","rel_schelde3","rel_schelde4","rel_schelde5"
"s-9",52811.7040326764,46390.7973781863,41383.6471425356,38379.3570011449,31310.5749069492,27717.1810901366,22470.9721131928,20059.2953205197,13240.1009875047,5405.43791417535,0,17962.9973999028,11649.5672649534,18479.2906178561,7650.8664230245,24882.6489058663,24466.8128608613,997.92037383467,5405.43791417535,17550.6710281943,28306.2847655583,7650.8664230245,14719.6485172197,42107.8427130038,42107.8427130038,42520.1690847129,59190.9252785021,60604.6816973414,60192.3553256323,60781.4590010541,61782.8890481843,64551.6301215787,64963.9564932872,64963.9564932872,82871.691802203,84285.4482210418,41695.5163412952,64787.1791895746,83637.5727813368,42932.4954564214,42932.4954564214,65788.6092367048,52222.6003572552,81870.2617550728,82282.5881267812,84874.5518964635,61193.7853727626,61193.7853727626,62195.2154198928,62784.3190953147,64198.0755141534,63785.7491424449,64374.8528178661,63962.5264461576,64551.6301215787,83814.3500850495,22952.5992690735,83225.2464096283,129231.794802475,150438.141085061,13472.1403822048,20717.6997801131,65376.2828649963,83402.023713341,94240.9769280612,156859.047739552,20073.3340137039,109910.30307472,41518.7390375827,111854.391404697,119512.277174314,102841.520980525,128289.136519628,25371.2954083393,25371.2954083393,26372.7254554695,26372.7254554695,27786.4818743082,23957.5389894998,27717.1810901366,137950.344394367,139422.87257749,153619.208530164,141012.94428918,66613.2619801224,140423.840613758,140423.840613758,84049.8991530459,123281.986283976,9234.38079898374,25371.2954083393,26715.7510430063,38379.3570011449,23053.0564420228,52811.7040326764
"s-12",70774.7014325792,64353.7947780891,59346.6445424385,56342.3544010477,49273.572306852,45680.1784900394,40433.9695130957,38022.2927204225,31203.0983874075,23368.4353140782,17962.9973999028,0,29612.5646648562,36442.2880177589,10897.7249790036,42845.6463057691,42429.8102607641,17550.6710281937,23368.4353140782,997.920373833738,46269.2821654612,10897.7249790036,3828.9428848084,24144.8453131009,24144.8453131009,24557.1716848101,41227.9278785992,42641.6842974386,42229.3579257294,42818.4616011513,43819.8916482815,46588.6327216758,47000.9590933843,47000.9590933843,64908.6944023002,66322.450821139,23732.5189413924,46824.1817896717,65674.575381434,24969.4980565186,24969.4980565186,47825.6118368019,70185.5977571581,63907.26435517,64319.5907268784,66911.5544965607,43230.7879728598,43230.7879728598,44232.21801999,44821.3216954118,46235.0781142505,45822.751742542,46411.8554179632,45999.5290462548,46588.6327216758,65851.3526851467,5821.2739591809,65262.2490097255,111268.797402572,132475.143685158,31435.1377821077,38680.6971800159,47413.2854650935,65439.0263134382,76277.9795281584,138896.050339649,38036.3314136068,91947.3056748173,23555.7416376799,93891.394004794,101549.279774411,84878.5235806223,110326.139119725,43334.2928082421,43334.2928082421,44335.7228553723,44335.7228553723,45749.479274211,41920.5363894026,45680.1784900394,119987.346994465,121459.875177587,135656.211130261,123049.946889277,48650.2645802196,122460.843213855,122460.843213855,66086.9017531431,105318.988884074,27197.3781988866,43334.2928082421,44678.7484429091,56342.3544010477,41016.0538419256,70774.7014325792
"s-7",41162.136767723,34741.2301132329,29734.0798775822,26729.7897361915,19661.0076419958,16067.6138251832,10821.4048482394,8409.72805556629,2415.18646596959,6244.12935077807,11649.5672649534,29612.5646648562,0,6829.72335290267,19300.4336879779,13233.0816409129,12817.2455959079,12647.4876387881,6244.12935077807,29200.2382931477,16656.7175006049,19300.4336879779,26369.2157821731,53757.4099779572,53757.4099779572,54169.7363496663,70840.4925434555,72254.2489622949,71841.9225905857,72431.0262660075,73432.4563131378,76201.1973865321,76613.5237582406,76613.5237582406,94521.2590671564,95935.0154859952,53345.0836062487,76436.746454528,95287.1400462902,54582.0627213748,54582.0627213748,77438.1765016582,40573.0330923018,93519.8290200262,93932.1553917346,96524.1191614169,72843.352637716,72843.352637716,73844.7826848462,74433.8863602681,75847.6427791068,75435.3164073983,76024.4200828195,75612.093711111,76201.1973865321,95463.9173500029,34602.1665340269,94874.8136745817,140881.362067428,162087.708350014,10073.0722355865,17318.6316334948,77025.8501299497,95051.5909782944,105890.544193015,168508.615004505,8423.76674875052,121559.870339674,53168.3063025361,123503.95866965,131161.844439268,114491.088245479,139938.703784581,21972.227261721,21972.227261721,22973.6573088512,22973.6573088512,24387.4137276899,20558.4708428815,16067.6138251832,149599.911659321,151072.439842444,165268.775795118,152662.511554133,78262.8292450758,152073.407878712,152073.407878712,95699.4664179993,134931.55354893,2415.18646596967,21972.227261721,15066.1837780529,26729.7897361915,11403.4891770694,41162.136767723
"s-5",35164.0855048299,28743.1788503398,23736.0286146891,20731.7384732984,13662.9563791027,10069.5625622901,4823.35358534632,2411.6767926732,5239.18963035138,13073.8527036807,18479.2906178561,36442.2880177589,6829.72335290267,0,26130.1570408806,7235.03037801979,6819.19433301481,19477.2109916908,13073.8527036807,36029.9616460504,10658.6662377118,26130.1570408806,33198.9391350758,60587.1333308598,60587.1333308598,60999.459702569,77670.2158963581,79083.9723151975,78671.6459434884,79260.7496189102,80262.1796660404,83030.9207394348,83443.2471111432,83443.2471111432,101350.982420059,102764.738838898,60174.8069591513,83266.4698074306,102116.863399193,61411.7860742775,61411.7860742775,84267.8998545608,34574.9818294087,100349.552372929,100761.878744637,103353.84251432,79673.0759906187,79673.0759906187,80674.5060377489,81263.6097131708,82677.3661320094,82265.039760301,82854.1434357222,82441.8170640137,83030.9207394348,102293.640702906,41431.8898869296,101704.537027484,147711.085420331,168917.431702917,16902.7955884892,24148.3549863975,83855.5734828524,101881.314331197,112720.267545917,175338.338357408,3828.94288480843,128389.593692576,59998.0296554388,130333.682022553,137991.56779217,121320.811598381,146768.427137484,28801.9506146237,28801.9506146237,29803.3806617539,29803.3806617539,31217.1370805926,27388.1941957842,10069.5625622901,156429.635012224,157902.163195346,172098.49914802,159492.234907036,85092.5525979785,158903.131231614,158903.131231614,102529.189770902,141761.276901833,9244.90981887235,28801.9506146237,9068.13251515978,20731.7384732984,5405.43791417628,35164.0855048299
"ak-41",60462.5704557009,54041.6638012108,49034.5135655601,46030.2234241694,38961.4413299737,35368.0475131611,30121.8385362173,27710.1617435442,20890.9674105292,13056.3043371998,7650.8664230245,10897.7249790036,19300.4336879779,26130.1570408806,0,32533.5153288908,32117.6792838858,7238.54005131533,13056.3043371998,10485.3986072951,35957.1511885828,0,7068.78209419517,35042.5702921045,35042.5702921045,35454.8966638136,52125.6528576028,53539.4092764422,53127.082904733,53716.1865801549,54717.6166272851,57486.3577006794,57898.6840723879,57898.6840723879,75806.4193813037,77220.1758001425,34630.243920396,57721.9067686753,76572.3003604375,35867.2230355222,35867.2230355222,58723.3368158055,59873.4667802797,74804.9893341735,75217.315705882,77809.2794755643,54128.5129518633,54128.5129518633,55129.9429989935,55719.0466744154,57132.8030932541,56720.4767215456,57309.5803969668,56897.2540252583,57486.3577006794,76749.0776641502,15301.732846049,76159.973988729,122166.522381576,143372.868664162,21123.0068052293,28368.5662031376,58311.010444097,76336.7512924418,87175.704507162,149793.775318652,27724.2004367284,102845.030653821,34453.4666166834,104789.118983798,112447.004753415,95776.2485596258,121223.864098729,33022.1618313638,33022.1618313638,34023.591878494,34023.591878494,35437.3482973327,31608.4054125243,35368.0475131611,130885.071973468,132357.600156591,146553.936109265,133947.671868281,59547.9895592231,133358.568192859,133358.568192859,76984.6267321466,116216.713863077,16885.2472220082,33022.1618313638,34366.6174660308,46030.2234241694,30703.9228650473,60462.5704557009
"s-Vlassenbroek",29924.8958744778,23503.9892199877,18496.8389843371,15492.5488429463,8423.76674875064,4830.37293193803,3828.9428848084,4823.35358534659,11642.5479183616,19477.210991691,24882.6489058663,42845.6463057691,13233.0816409129,7235.03037801979,32533.5153288908,0,1001.43004713021,25880.569279701,19477.210991691,42433.3199340606,5419.47660735977,32533.5153288908,39602.297423086,66990.49161887,66990.49161887,67402.8179905792,84073.5741843683,85487.3306032077,85075.0042314986,85664.1079069204,86665.5379540506,89434.279027445,89846.6053991534,89846.6053991534,107754.340708069,109168.097126908,66578.1652471615,89669.8280954408,108520.221687203,67815.1443622877,67815.1443622877,90671.2581425711,29335.7921990567,106752.910660939,107165.237032648,109757.20080233,86076.4342786289,86076.4342786289,87077.8643257591,87666.968001181,89080.7244200196,88668.3980483112,89257.5017237324,88845.1753520239,89434.279027445,108696.998990916,47835.2481749398,108107.895315495,154114.443708341,175320.789990927,23306.1538764994,30551.7132744077,90258.9317708626,108284.672619207,119123.625833927,181741.696645418,11063.9732628282,134792.951980586,66401.387943449,136737.040310563,144394.926080181,127724.169886391,153171.785425494,35205.3089026339,35205.3089026339,36206.7389497641,36206.7389497641,37620.4953686028,33791.5524837944,4830.37293193803,162832.993300234,164305.521483356,178501.857436031,165895.593195046,91495.9108859887,165306.489519624,165306.489519624,108932.548058912,148164.635189843,15648.2681068826,35205.3089026339,3828.94288480774,15492.5488429463,2415.18646596902,29924.8958744778
"s-4a",30926.3259216081,24505.419267118,19498.2690314673,16493.9788900766,9425.19679588085,5831.80297906824,2827.51283767818,4407.51754034161,11226.7118733566,19061.374946686,24466.8128608613,42429.8102607641,12817.2455959079,6819.19433301481,32117.6792838858,1001.43004713021,0,25464.733234696,19061.374946686,42017.4838890556,6420.90665448998,32117.6792838858,39186.461378081,66574.6555738651,66574.6555738651,66986.9819455742,83657.7381393634,85071.4945582028,84659.1681864936,85248.2718619154,86249.7019090456,89018.44298244,89430.7693541485,89430.7693541485,107338.504663064,108752.261081903,66162.3292021565,89253.9920504359,108104.385642198,67399.3083172827,67399.3083172827,90255.4220975661,30337.2222461869,106337.074615934,106749.400987643,109341.364757325,85660.5982336239,85660.5982336239,86662.0282807541,87251.131956176,88664.8883750147,88252.5620033062,88841.6656787274,88429.3393070189,89018.44298244,108281.162945911,47419.4121299348,107692.05927049,153698.607663336,174904.953945922,22890.3178314944,30135.8772294027,89843.0957258576,107868.836574202,118707.789788923,181325.860600413,10648.1372178232,134377.115935581,65985.551898444,136321.204265558,143979.090035176,127308.333841386,152755.949380489,34789.4728576289,34789.4728576289,35790.9029047591,35790.9029047591,37204.6593235978,33375.7164387894,5831.80297906824,162417.157255229,163889.685438352,178086.021391026,165479.757150041,91080.0748409837,164890.653474619,164890.653474619,108516.712013907,147748.799144838,15232.4320618776,34789.4728576289,4830.37293193795,16493.9788900766,1413.7564188388,30926.325921608
"s-9a",53809.6244065111,47388.717752021,42381.5675163703,39377.2773749796,32308.4952807839,28715.1014639712,23468.8924870275,21057.2156943544,14238.0213613394,6403.35828801002,997.92037383467,17550.6710281937,12647.4876387881,19477.2109916908,7238.54005131533,25880.569279701,25464.733234696,0,6403.35828801002,17138.3446564852,29304.205139393,7238.54005131533,14307.3221455105,41695.5163412946,41695.5163412946,42107.8427130038,58778.5989067929,60192.3553256323,59780.0289539231,60369.132629345,61370.5626764752,64139.3037498695,64551.630121578,64551.630121578,82459.3654304938,83873.1218493326,41283.1899695861,64374.8528178654,83225.2464096276,42520.1690847123,42520.1690847123,65376.2828649956,53220.5207310899,81457.9353833636,81870.2617550721,84462.2255247544,60781.4590010534,60781.4590010534,61782.8890481837,62371.9927236055,63785.7491424442,63373.4227707357,63962.5264461569,63550.2000744484,64139.3037498695,83402.0237133403,22540.2728973643,82812.9200379191,128819.468430766,150025.814713352,14470.0607560395,21715.6201539478,64963.9564932871,82989.6973416319,93828.650556352,156446.721367842,21071.2543875386,109497.976703011,41106.4126658735,111442.065032988,119099.950802605,102429.194608816,127876.810147919,26369.2157821739,26369.2157821739,27370.6458293042,27370.6458293042,28784.4022481429,24955.4593633345,28715.1014639713,137538.018022658,139010.546205781,153206.882158455,140600.617917471,66200.9356084132,140011.514242049,140011.514242049,83637.5727813367,122869.659912267,10232.3011728184,26369.2157821739,27713.671416841,39377.2773749796,24050.9768158575,53809.6244065111
"s-8a",47406.266118501,40985.3594640109,35978.2092283603,32973.9190869696,25905.1369927738,22311.7431759612,17065.5341990175,14653.8574063444,7834.66307332936,0,5405.43791417535,23368.4353140782,6244.12935077807,13073.8527036807,13056.3043371998,19477.210991691,19061.374946686,6403.35828801002,0,22956.1089423697,22900.846851383,13056.3043371998,20125.086431395,47513.2806271791,47513.2806271791,47925.6069988883,64596.3631926774,66010.1196115168,65597.7932398076,66186.8969152295,67188.3269623597,69957.068035754,70369.3944074625,70369.3944074625,88277.1297163783,89690.8861352171,47100.9542554706,70192.6171037499,89043.0106955121,48337.9333705968,48337.9333705968,71194.0471508801,46817.1624430799,87275.6996692481,87688.0260409566,90279.9898106389,66599.223286938,66599.223286938,67600.6533340682,68189.75700949,69603.5134283287,69191.1870566202,69780.2907320414,69367.964360333,69957.068035754,89219.7879992248,28358.0371832488,88630.6843238036,134637.23271665,155843.578999236,8066.70246802948,15312.2618659378,70781.7207791716,88807.4616275164,99646.4148422366,162264.485653727,14667.8960995286,115315.740988895,46924.176951758,117259.829318872,124917.71508849,108246.9588947,133694.574433803,19965.8574941639,19965.8574941639,20967.2875412941,20967.2875412941,22381.0439601329,18552.1010753245,22311.7431759612,143355.782308543,144828.310491665,159024.64644434,146418.382203355,72018.6998942978,145829.278527933,145829.278527933,89455.3370672212,128687.424198152,3828.9428848084,19965.8574941639,21310.3131288309,32973.9190869696,17647.6185278474,47406.266118501
"s-11",70362.3750608707,63941.4684063806,58934.31817073,55930.0280293392,48861.2459351435,45267.8521183309,40021.6431413871,37609.966348714,30790.772015699,22956.1089423697,17550.6710281943,997.920373833738,29200.2382931477,36029.9616460504,10485.3986072951,42433.3199340606,42017.4838890556,17138.3446564852,22956.1089423697,0,45856.9557937526,10485.3986072951,3416.61651309989,25142.7656869347,25142.7656869347,25555.0920586438,42225.848252433,43639.6046712723,43227.2782995632,43816.381974985,44817.8120221152,47586.5530955096,47998.8794672181,47998.8794672181,65906.6147761339,67320.3711949727,24730.4393152261,47822.1021635055,66672.4957552677,25967.4184303523,25967.4184303523,48823.5322106357,69773.2713854496,64905.1847290037,65317.5111007122,67909.4748703944,44228.7083466935,44228.7083466935,45230.1383938237,45819.2420692456,47232.9984880843,46820.6721163758,47409.775791797,46997.4494200885,47586.5530955096,66849.2730589804,6819.19433301464,66260.1693835592,112266.717776406,133473.064058992,31022.8114103992,38268.3708083074,48411.2058389272,66436.9466872719,77275.8999019921,139893.970713482,37624.0050418983,92945.226048651,24553.6620115136,94889.3143786277,102547.200148245,85876.443954456,111324.059493559,42921.9664365336,42921.9664365336,43923.3964836638,43923.3964836638,45337.1529025025,41508.2100176941,45267.8521183309,120985.267368298,122457.795551421,136654.131504095,124047.867263111,49648.1849540533,123458.763587689,123458.763587689,67084.8221269768,106316.909257907,26785.0518271781,42921.9664365336,44266.4220712006,55930.0280293392,40603.7274702171,70362.3750608707
"s-4",24505.4192671181,18084.512612628,13077.3623769773,10073.0722355866,3004.29014139087,1413.75641883872,8423.76674875118,8246.98944503861,15066.1837780536,22900.846851383,28306.2847655583,46269.2821654612,16656.7175006049,10658.6662377118,35957.1511885828,5419.47660735977,6420.90665448998,29304.205139393,22900.846851383,45856.9557937526,0,35957.1511885828,43025.933282778,70414.1274785621,70414.1274785621,70826.4538502712,87497.2100440604,88910.9664628998,88498.6400911906,89087.7437666124,90089.1738137426,92857.914887137,93270.2412588455,93270.2412588455,111177.976567761,112591.7329866,70001.8011068535,93093.4639551329,111943.857546895,71238.7802219797,71238.7802219797,94094.8940022631,23916.3155916969,110176.546520631,110588.87289234,113180.836662022,89500.0701383209,89500.0701383209,90501.5001854511,91090.603860873,92504.3602797117,92092.0339080032,92681.1375834244,92268.8112117159,92857.914887137,112120.634850608,51258.8840346318,111531.531175187,157538.079568033,178744.425850619,26729.7897361914,33975.3491340997,93682.5676305546,111708.308478899,122547.26169362,185165.33250511,14487.6091225202,138216.587840278,69825.023803141,140160.676170255,147818.561939873,131147.805746083,156595.421285186,38628.9447623259,38628.9447623259,39630.3748094561,39630.3748094561,41044.1312282948,37215.1883434864,1413.75641883872,166256.629159926,167729.157343049,181925.493295723,169319.229054738,94919.5467456807,168730.125379316,168730.125379316,112356.183918604,151588.271049535,19071.9039665746,38628.9447623259,2415.18646596902,10073.0722355866,7010.01032991183,24505.4192671181
"s-10a",60462.5704557009,54041.6638012108,49034.5135655601,46030.2234241694,38961.4413299737,35368.0475131611,30121.8385362173,27710.1617435442,20890.9674105292,13056.3043371998,7650.8664230245,10897.7249790036,19300.4336879779,26130.1570408806,0,32533.5153288908,32117.6792838858,7238.54005131533,13056.3043371998,10485.3986072951,35957.1511885828,0,7068.78209419517,35042.5702921045,35042.5702921045,35454.8966638136,52125.6528576028,53539.4092764422,53127.082904733,53716.1865801549,54717.6166272851,57486.3577006794,57898.6840723879,57898.6840723879,75806.4193813037,77220.1758001425,34630.243920396,57721.9067686753,76572.3003604375,35867.2230355222,35867.2230355222,58723.3368158055,59873.4667802797,74804.9893341735,75217.315705882,77809.2794755643,54128.5129518633,54128.5129518633,55129.9429989935,55719.0466744154,57132.8030932541,56720.4767215456,57309.5803969668,56897.2540252583,57486.3577006794,76749.0776641502,15301.732846049,76159.973988729,122166.522381576,143372.868664162,21123.0068052293,28368.5662031376,58311.010444097,76336.7512924418,87175.704507162,149793.775318652,27724.2004367284,102845.030653821,34453.4666166834,104789.118983798,112447.004753415,95776.2485596258,121223.864098729,33022.1618313638,33022.1618313638,34023.591878494,34023.591878494,35437.3482973327,31608.4054125243,35368.0475131611,130885.071973468,132357.600156591,146553.936109265,133947.671868281,59547.9895592231,133358.568192859,133358.568192859,76984.6267321466,116216.713863077,16885.2472220082,33022.1618313638,34366.6174660308,46030.2234241694,30703.9228650473,60462.5704557009
"ak-45",67531.3525498961,61110.445895406,56103.2956597553,53099.0055183646,46030.2234241689,42436.8296073563,37190.6206304125,34778.9438377394,27959.7495047244,20125.086431395,14719.6485172197,3828.9428848084,26369.2157821731,33198.9391350758,7068.78209419517,39602.297423086,39186.461378081,14307.3221455105,20125.086431395,3416.61651309989,43025.933282778,7068.78209419517,0,27973.7881979093,27973.7881979093,28386.1145696185,45056.8707634076,46470.627182247,46058.3008105378,46647.4044859597,47648.8345330899,50417.5756064842,50829.9019781927,50829.9019781927,68737.6372871085,70151.3937059474,27561.4618262008,50653.1246744801,69503.5182662423,28798.440941327,28798.440941327,51654.5547216103,66942.2488744749,67736.2072399784,68148.5336116868,70740.4973813691,47059.7308576682,47059.7308576682,48061.1609047984,48650.2645802202,50064.0209990589,49651.6946273504,50240.7983027716,49828.4719310632,50417.5756064842,69680.2955699551,8232.9507518541,69091.1918945339,115097.74028738,136304.086569966,28191.7888994245,35437.3482973328,51242.2283499019,69267.9691982466,80106.9224129668,142724.993224457,34792.9825309236,95776.2485596257,27384.6845224883,97720.3368896023,105378.22265922,88707.4664654307,114155.082004533,40090.9439255589,40090.9439255589,41092.3739726891,41092.3739726891,42506.1303915279,38677.1875067195,42436.8296073562,123816.289879273,125288.818062396,139485.15401507,126878.889774085,52479.207465028,126289.786098664,126289.786098664,69915.8446379515,109147.931768882,23954.0293162034,40090.9439255589,41435.3995602259,53099.0055183646,37772.7049592424,67531.3525498961
"ws-53A",94919.5467456801,88498.64009119,83491.4898555394,80487.1997141486,73418.4176199529,69825.0238031403,64578.8148261966,62167.1380335235,55347.9437005085,47513.2806271791,42107.8427130038,24144.8453131009,53757.4099779572,60587.1333308598,35042.5702921045,66990.49161887,66574.6555738651,41695.5163412946,47513.2806271791,25142.7656869347,70414.1274785621,35042.5702921045,27973.7881979093,0,0,997.92037383467,17907.7353089153,19321.4917277547,18909.1653560455,19498.2690314674,20499.6990785976,23268.4401519919,23680.7665237004,23680.7665237004,41588.5018326162,43002.258251455,997.920373833738,23503.9892199878,42354.38281175,1995.84074766841,1995.84074766841,24505.419267118,94330.443070259,40587.071785486,40999.3981571945,43591.3619268768,19910.5954031758,19910.5954031758,20912.025450306,21501.1291257279,22914.8855445666,22502.5591728581,23091.6628482793,22679.3364765708,23268.4401519919,42531.1601154627,20912.0254503059,41942.0564400416,87948.6048328882,109154.951115474,55579.9830952086,62825.5424931169,24093.0928954095,42118.8337437543,52957.7869584745,115575.857769965,62181.1767267077,68627.1131051334,1413.75641883938,70571.20143511,78229.0872047275,61558.3310109384,87005.9465500411,67479.138121343,67479.138121343,68480.5681684732,68480.5681684732,69894.3245873119,66065.3817025036,69825.0238031403,96667.1544247807,98139.6826079034,112336.018560577,99729.7543195931,25330.0720105356,99140.6506441713,99140.6506441713,42766.7091834592,81998.7963143897,51342.2235119875,67479.138121343,68823.59375601,80487.1997141486,65160.8991550265,94919.5467456801
"ws-53",94919.5467456801,88498.64009119,83491.4898555394,80487.1997141486,73418.4176199529,69825.0238031403,64578.8148261966,62167.1380335235,55347.9437005085,47513.2806271791,42107.8427130038,24144.8453131009,53757.4099779572,60587.1333308598,35042.5702921045,66990.49161887,66574.6555738651,41695.5163412946,47513.2806271791,25142.7656869347,70414.1274785621,35042.5702921045,27973.7881979093,0,0,997.92037383467,17907.7353089153,19321.4917277547,18909.1653560455,19498.2690314674,20499.6990785976,23268.4401519919,23680.7665237004,23680.7665237004,41588.5018326162,43002.258251455,997.920373833738,23503.9892199878,42354.38281175,1995.84074766841,1995.84074766841,24505.419267118,94330.443070259,40587.071785486,40999.3981571945,43591.3619268768,19910.5954031758,19910.5954031758,20912.025450306,21501.1291257279,22914.8855445666,22502.5591728581,23091.6628482793,22679.3364765708,23268.4401519919,42531.1601154627,20912.0254503059,41942.0564400416,87948.6048328882,109154.951115474,55579.9830952086,62825.5424931169,24093.0928954095,42118.8337437543,52957.7869584745,115575.857769965,62181.1767267077,68627.1131051334,1413.75641883938,70571.20143511,78229.0872047275,61558.3310109384,87005.9465500411,67479.138121343,67479.138121343,68480.5681684732,68480.5681684732,69894.3245873119,66065.3817025036,69825.0238031403,96667.1544247807,98139.6826079034,112336.018560577,99729.7543195931,25330.0720105356,99140.6506441713,99140.6506441713,42766.7091834592,81998.7963143897,51342.2235119875,67479.138121343,68823.59375601,80487.1997141486,65160.8991550265,94919.5467456801
"ws-42A",95331.8731173893,88910.9664628992,83903.8162272485,80899.5260858578,73830.7439916621,70237.3501748495,64991.1411979057,62579.4644052326,55760.2700722176,47925.6069988883,42520.1690847129,24557.1716848101,54169.7363496663,60999.459702569,35454.8966638136,67402.8179905792,66986.9819455742,42107.8427130038,47925.6069988883,25555.0920586438,70826.4538502712,35454.8966638136,28386.1145696185,997.92037383467,997.92037383467,0,18320.0616806245,19733.8180994638,19321.4917277547,19910.5954031765,20912.0254503067,23680.766523701,24093.0928954095,24093.0928954095,42000.8282043254,43414.5846231642,1995.84074766841,23916.3155916969,42766.7091834592,997.920373833738,997.920373833738,24917.7456388271,94742.7694419681,40999.3981571952,41411.7245289036,44003.6882985859,20322.921774885,20322.921774885,21324.3518220152,21913.455497437,23327.2119162757,22914.8855445672,23503.9892199884,23091.66284828,23680.766523701,42943.4864871719,21324.3518220151,42354.3828117507,88360.9312045973,109567.277487183,55992.3094669177,63237.868864826,24505.4192671187,42531.1601154634,53370.1133301836,115988.184141674,62593.5030984168,69039.4394768425,1001.43004713021,70983.5278068192,78641.4135764366,61970.6573826475,87418.2729217502,67891.4644930522,67891.4644930522,68892.8945401824,68892.8945401824,70306.6509590211,66477.7080742127,70237.3501748495,97079.4807964899,98552.0089796125,112748.344932287,100142.080691302,25742.3983822448,99552.9770158804,99552.9770158804,43179.0355551683,82411.1226860988,51754.5498836967,67891.4644930522,69235.9201277192,80899.5260858578,65573.2255267357,95331.8731173893
"ws-18",112002.629311178,105581.722656688,100574.572421038,97570.2822796469,90501.5001854512,86908.1063686386,81661.8973916949,79250.2205990218,72431.0262660068,64596.3631926774,59190.9252785021,41227.9278785992,70840.4925434555,77670.2158963581,52125.6528576028,84073.5741843683,83657.7381393634,58778.5989067929,64596.3631926774,42225.848252433,87497.2100440604,52125.6528576028,45056.8707634076,17907.7353089153,17907.7353089153,18320.0616806245,0,1413.75641883938,1001.43004713021,2415.18646596902,3416.61651309923,8659.31581674709,9071.64218845559,9071.64218845559,26979.3774973715,28393.1339162103,17495.4089372068,9480.45888686829,27745.2584765052,18732.388052333,18732.388052333,9896.29493187327,111413.525635757,25977.9474502413,26390.2738219498,28982.237591632,2002.86009426054,2002.86009426054,3004.29014139075,4418.04656022956,5007.15023565129,5419.47660735977,6833.23302619923,7245.55939790771,8659.31581674709,27922.0357802179,37995.1080158043,27332.9321047967,73339.4804976433,94545.8267802291,72663.0656607069,79908.6250586152,9483.96856016476,27509.7094085094,38348.6626232296,100966.73343472,79264.259292206,54017.9887698885,19321.4917277547,55962.0770998652,63619.9628694826,46949.2066756935,72396.8222147963,84562.2206868413,84562.2206868413,85563.6507339715,85563.6507339715,86977.4071528103,83148.4642680019,86908.1063686387,82058.0300895359,83530.5582726585,97726.8942253326,85120.6299843483,11892.1356795414,84531.5263089265,84531.5263089265,28157.5848482143,67389.6719791449,68425.3060774858,84562.2206868413,85906.6763215083,97570.282279647,82243.9817205249,112002.629311178
"ws-25B",113416.385730018,106995.479075528,101988.328839877,98984.0386984863,91915.2566042906,88321.862787478,83075.6538105343,80663.9770178612,73844.7826848462,66010.1196115168,60604.6816973414,42641.6842974386,72254.2489622949,79083.9723151975,53539.4092764422,85487.3306032077,85071.4945582028,60192.3553256323,66010.1196115168,43639.6046712723,88910.9664628998,53539.4092764422,46470.627182247,19321.4917277547,19321.4917277547,19733.8180994638,1413.75641883938,0,997.92037383467,2411.6767926732,2827.51283767818,8070.21214132604,8482.53851303455,8482.53851303455,26390.2738219504,27804.0302407892,18909.1653560462,10062.5432156977,27156.1548010841,20146.1444711724,20146.1444711724,10478.3792607027,112827.282054597,25388.8437748202,25801.1701465287,28393.1339162109,1413.75641883946,1413.75641883946,2415.18646596967,3828.94288480848,4418.04656023021,4830.37293193869,6244.12935077815,6656.45572248666,8070.21214132604,27332.9321047968,39408.8644346437,26743.8284293756,72750.3768222222,93956.7231048081,74076.8220795463,81322.3814774546,9480.45888686894,26920.6057330883,37759.5589478085,100377.629759299,80678.0157110454,53428.8850944674,20735.2481465941,55372.9734244441,63030.8591940615,46360.1030002724,71807.7185393752,85975.9771056807,85975.9771056807,86977.4071528109,86977.4071528109,88391.1635716497,84562.2206868412,88321.862787478,81468.9264141148,82941.4545972374,97137.7905499115,84531.5263089272,12474.2200083708,83942.4226335055,83942.4226335055,27568.4811727933,66800.5683037239,69839.0624963252,85975.9771056807,87320.4327403477,98984.0386984863,83657.7381393642,113416.385730018
