"","ak-41","ak-42","ak-44","ak-45","ak-47","ak-x","bh-37","bpns-A1BIS","bpns-G-88","bpns-Nautica Ena","bpns-nieuwpoortbank","bpns-NIEUWPOORTKUST8","bpns-O6","bpns-Trapegeer","bpns-W1","bpns-WENDUINEBANKW","bpns-Whitley","bpns-WK14","bpns-WZ","bpns-zbe1","bpns-zbe2","bpns-zbe3","bpns-zbw1","bpns-zbw2","bpns-zbw3","bpns-ZW1","M-6","me-7-2","me-7-2b","Rt1","Rt2","Rt3","Rt4","Rt5","Rt6","Rt7","Rt8","s-10a","s-11","s-12","s-3","s-4","s-4a","s-4b","s-4c","s-5","s-6","s-6","s-7","s-8","s-8a","s-9","s-9a","s-Dendermonde","s-Dendermonde","s-Vlassenbroek","ws-11","ws-12A","ws-13","ws-14","ws-15","ws-15A","ws-16","ws-18","ws-23","ws-25","ws-25A","ws-25B","ws-2C","ws-4","ws-42A","ws-53","ws-53A","ws-55","ws-6","ws-A1","ws-A3","ws-A5","ws-borssele","ws-DL12","ws-DL7","ws-DL9","ws-F42","ws-F42","ws-GVWSP","ws-HW6","ws-OG10","ws-OGDL","ws-PPB","ws-PPC","ws-PPC","ws-PVTSS","ws-SP3","ws-STD3","ws-STEEN","ws-TRAWL","ws-W6","ws-W7","ws-WN2"
"ak-41",0,544.047957456877,7218.98321454493,8068.7067778419,17051.9977712675,56997.5093140928,57661.4471486614,113852.106024015,106634.4001128,123424.664560339,142245.910526783,142245.910526783,122539.636714557,151440.22963625,89023.2225072037,123313.543967014,144866.392959942,92967.0860765786,98407.6934977964,97440.0170800096,96705.8172414256,96067.629626118,98633.5519686497,99311.2552278589,99964.4872898917,99454.8433932528,30054.8090926719,22884.0850463617,19521.9125129189,54234.0707006357,54173.82899041,54028.8743727834,53919.0070420902,53834.2941346894,53749.5812272887,53639.7138965955,53216.1493595901,442.063812058095,11580.6165117264,11838.5003647806,49911.2176513255,45927.2684015324,35640.2209629299,32582.7728286291,30164.5245360209,27617.2651092974,22789.7800289988,22729.5383187731,20918.5418811498,13128.0907968379,13272.3621883485,8012.7550094059,7626.15032475978,43551.8521659755,44276.6252541095,37077.7845972066,60338.8056126199,56046.5997398664,60082.7943249911,55242.7314406067,59128.4176351538,58734.9419915994,54463.3343385224,53371.4293694346,56788.2898401507,56031.4913698167,55549.5576880109,54408.7103245723,59800.3753514385,59075.6661866283,36293.0643287447,36445.5731313961,36020.1360289657,35543.8839667589,58746.2413074744,58680.3179776488,58215.3013079935,57750.2846383377,61624.8726706306,77063.2106536561,79235.6573526338,78002.6068200929,36598.0180107238,36417.2928800467,78435.6620308727,37277.5938353576,77017.8362772324,76242.4253422463,58512.7008049474,57488.5917311097,58512.7008049474,59777.8406430123,78853.5449482781,15334.051369617,77170.7139627794,77995.1804817166,78234.3386805186,77807.0290126633,78096.8743245923
"ak-42",544.047957456877,0,6795.41867753962,7645.1422408366,16628.4332342622,56453.461356636,57237.8826116561,113428.54148701,106210.835575795,123001.100023334,141822.345989778,141822.345989778,122116.072177551,151016.665099245,88599.6579701984,122889.979430008,144442.828422936,92543.5215395733,97984.1289607911,97016.4525430043,96282.2527044203,95644.0650891126,98209.9874316444,98887.6906908535,99540.9227528864,99031.2788562475,30528.6824762596,23357.9584299494,19995.7858965065,54707.9440842234,54647.7023739976,54502.7477563711,54392.8804256779,54308.1675182771,54223.4546108763,54113.5872801832,53690.0227431778,915.937195646342,11157.0519747211,11414.9358277753,50385.0910349132,46401.1417851201,36114.0943465176,33056.6462122168,30638.3979196086,28091.1384928851,23263.6534125865,23203.4117023608,21392.4152647375,13601.9641804256,13746.2355719362,8486.6283929936,8100.02370834747,44025.7255495632,44750.4986376972,37551.6579807943,59915.2410756146,55623.0352028611,59659.2297879858,54819.1669036014,58704.8530981485,58311.3774545941,54039.7698015171,52947.8648324293,56364.7253031454,55607.9268328114,55125.9931510056,53985.145787567,59376.8108144332,58652.101649623,35869.4997917394,36022.0085943908,35596.5714919604,35120.3194297536,58322.6767704691,58256.7534406435,57791.7367709882,57326.7201013324,61201.3081336253,76639.6461166508,78812.0928156285,77579.0422830875,36174.4534737185,35993.7283430414,78012.0974938674,36854.0292983523,76594.2717402271,75818.860805241,58089.1362679421,57065.0271941044,58089.1362679421,59354.276106007,78429.9804112728,14910.4868326117,76747.1494257741,77571.6159447113,77810.7741435133,77383.464475658,77673.309787587
"ak-44",7218.98321454493,6795.41867753962,0,900.032409880579,9883.32340330593,63199.9376398241,50492.7727806999,106683.431656054,99465.7257448385,116255.990192377,135077.236158822,135077.236158822,115370.962346595,144271.555268289,81854.548139242,116144.869599052,137697.71859198,85798.4117086169,91239.0191298347,90271.3427120479,89537.1428734638,88898.9552581562,91464.8776006879,92142.5808598971,92795.8129219299,92286.1690252911,37203.6177333476,30032.8936870375,26670.7211535946,61382.8793413114,61322.6376310856,61177.683013459,61067.8156827659,60983.1027753651,60898.3898679643,60788.5225372711,60364.9580002657,7590.87245273439,4411.94214376479,4669.82599681898,57060.0262920012,53076.077042208,42789.0296036056,39731.5814693048,37313.3331766966,34766.0737499731,29938.5886696746,29878.3469594489,28067.3505218256,20276.8994375136,20421.1708290243,15161.5636500817,14774.9589654355,50700.6608066511,51425.4338947852,44226.5932378823,53170.1312446584,48877.9253719049,52914.1199570296,48074.0570726452,51959.7432671923,51566.2676236379,47294.6599705609,46202.7550014731,49619.6154721892,48862.8170018552,48380.8833200494,47240.0359566108,52631.700983477,51906.9918186668,29124.3899607832,29276.8987634345,28851.4616610041,28375.2095987973,51577.5669395128,51511.6436096873,51046.626940032,50581.6102703762,54456.198302669,69894.5362856944,72066.9829846721,70833.9324521311,29429.3436427623,29248.6185120851,71266.9876629109,30108.9194673961,69849.1619092707,69073.7509742846,51344.0264369859,50319.9173631481,51344.0264369859,52609.1662750508,71684.8705803164,8165.37700165538,70002.0395948177,70826.5061137548,71065.6643125569,70638.3546447016,70928.1999566305
"ak-45",8068.7067778419,7645.1422408366,900.032409880579,0,9228.90200196389,64049.6612031211,49838.3513793578,106029.010254712,98811.3043434965,115601.568791035,134422.81475748,134422.81475748,114716.540945253,143617.133866947,81200.1267378999,115490.44819771,137043.297190638,85143.9903072749,90584.5977284926,89616.9213107058,88882.7214721218,88244.5338568142,90810.4561993459,91488.1594585551,92141.3915205879,91631.7476239491,38053.3412966446,30882.6172503345,27520.4447168916,62232.6029046084,62172.3611943826,62027.406576756,61917.5392460628,61832.8263386621,61748.1134312613,61638.2461005681,61214.6815635627,8440.59601603136,3757.52074242275,4015.40459547694,57909.7498552982,53925.800605505,43638.7531669026,40581.3050326017,38163.0567399935,35615.7973132701,30788.3122329716,30728.0705227459,28917.0740851226,21126.6230008106,21270.8943923213,16011.2872133786,15624.6825287325,51550.3843699481,52275.1574580822,45076.3168011792,52515.7098433164,48223.5039705629,52259.6985556876,47419.6356713032,51305.3218658503,50911.8462222959,46640.2385692188,45548.3336001311,48965.1940708471,48208.3956005132,47726.4619187073,46585.6145552688,51977.2795821349,51252.5704173248,28469.9685594411,28622.4773620925,28197.0402596621,27720.7881974553,50923.1455381708,50857.2222083452,50392.20553869,49927.1888690342,53801.776901327,69240.1148843523,71412.5615833301,70179.5110507891,28774.9222414203,28594.1971107431,70612.5662615689,29454.498066054,69194.7405079287,68419.3295729425,50689.6050356438,49665.4959618061,50689.6050356438,51954.7448737088,71030.4491789743,7510.95560031335,69347.6181934756,70172.0847124128,70411.2429112149,69983.9332433595,70273.7785552885
"ak-47",17051.9977712675,16628.4332342622,9883.32340330593,9228.90200196389,0,73032.9521965468,41999.0083518536,98189.6672272072,90971.961315992,107762.225763531,126583.471729975,126583.471729975,106877.197917749,135777.790839442,73360.7837103954,107651.105170205,129203.954163134,77304.6472797704,82745.2547009882,81777.5782832014,81043.3784446173,80405.1908293097,82971.1131718414,83648.8164310506,84302.0484930834,83792.4045964446,47036.6322900701,39865.9082437601,36503.7357103172,71215.893898034,71155.6521878082,71010.6975701816,70900.8302394885,70816.1173320877,70731.4044246869,70621.5370939937,70197.9725569883,17423.887009457,6032.77785048769,5283.67198035503,66893.0408487237,62909.0915989305,52622.0441603281,49564.5960260273,47146.3477334191,44599.0883066956,39771.6032263972,39711.3615161715,37900.3650785482,30109.9139942363,30254.1853857469,24994.5782068043,24607.9735221582,60533.6753633736,61258.4484515077,54059.6077946048,44676.3668158121,40384.1609430586,44420.3555281833,39580.2926437989,43465.978838346,43072.5031947916,38800.8955417145,37708.9905726268,41125.8510433429,40369.0525730089,39887.118891203,38746.2715277645,44137.9365546306,43413.2273898205,20630.6255319367,20783.1343345881,20357.6972321577,19881.4451699509,43083.8025106665,43017.8791808409,42552.8625111857,42087.8458415299,45962.4338738227,61400.7718568479,63573.2185558256,62340.1680232846,20935.5792139159,20754.8540832387,62773.2232340644,21615.1550385497,61355.3974804242,60579.9865454381,42850.2620081396,41826.1529343018,42850.2620081396,44115.4018462045,63191.1061514698,1919.18178798181,61508.2751659712,62332.7416849083,62571.8998837104,62144.5902158551,62434.435527784
"ak-x",56997.5093140928,56453.461356636,63199.9376398241,64049.6612031211,73032.9521965468,0,113642.401573942,169833.060449295,162615.35453808,179405.618985618,198226.864952062,198226.864952062,178520.591139835,207421.184061529,145004.176932484,179294.498392292,200847.34738522,148948.040501859,154388.647923076,153420.971505289,152686.771666705,152048.584051398,154614.506393929,155292.209653138,155945.441715171,155435.797818532,62666.0758695438,64718.3933739156,68080.5659073585,110082.833090188,110022.591379963,109877.636762336,109767.769431643,109683.056524242,109598.343616841,109488.476286148,109064.911749143,57299.2239784142,67561.5709370056,67819.4547900598,105759.980040878,101776.030791085,91488.9833524822,88431.5352181813,86013.286925573,83466.0274988495,78638.5424185508,78578.3007083251,76767.3042707017,69985.2509631934,70129.522354704,64869.9151757614,64483.3104911153,99400.6145555279,100125.387643662,92926.5469867589,116319.7600379,112027.554165147,116063.748750272,111223.685865887,115109.372060434,114715.89641688,110444.288763803,109352.383794715,112769.244265431,112012.445795097,111530.512113291,110389.664749853,115781.329776719,115056.620611909,92274.0187540245,92426.5275566759,92001.0904542454,91524.8383920387,114727.195732755,114661.272402929,114196.255733274,113731.239063618,117605.827095911,133044.165078937,135216.611777914,133983.561245373,92578.9724360036,92398.2473053264,134416.616456153,93258.5482606374,132998.790702513,132223.379767527,114493.655230228,113469.54615639,114493.655230228,115758.795068293,134834.499373559,71315.0057948962,133151.66838806,133976.134906997,134215.293105799,133787.983437944,134077.828749873
"bh-37",57661.4471486614,57237.8826116561,50492.7727806999,49838.3513793578,41999.0083518536,113642.401573942,0,61269.5098907629,54051.8039795481,70842.0684270865,89663.3143935314,89663.3143935314,69957.0405813043,98857.6335029985,36440.626373952,70730.9478337612,92283.79682669,40384.4899433269,45825.0973645444,44857.4209467576,44123.2211081737,43485.0334928661,46050.9558353976,46728.6590946068,47381.8911566395,46872.2472600007,87646.0816674644,80475.3576211542,77113.1850877112,111825.343275429,111765.101565203,111620.146947577,111510.279616883,111425.566709483,111340.853802082,111230.986471389,110807.421934383,58033.3363868508,46642.2272278803,45893.121357749,107502.490226119,103518.540976325,93231.4935377225,90174.0454034216,87755.7971108134,85208.53768409,80381.0526037913,80320.8108935656,78509.8144559423,70719.3633716301,70863.6347631407,65604.027584198,65217.4228995519,101143.124740768,101867.897828902,94669.0571719992,9826.35940847971,2993.82899124061,9324.73711231239,2734.50129046133,7001.95623204629,6070.11425063408,3198.11281013915,4436.84496227922,2047.54839372715,1665.04306577872,2111.88946065055,3546.39119019296,10094.9367467825,7966.73610460868,22885.5970447885,22194.7219042793,22130.7350632035,22117.5631819028,7286.438356114,5000.65602595148,3899.38822973688,2798.12043352301,12165.0450745118,24480.6145204069,26653.0612193847,25420.0106868437,23070.0673063162,23250.7924369934,25853.0658976223,23026.742608241,24435.2401439833,23659.8292089971,2944.61861630604,2060.85869020468,2944.61861630604,8703.99784792692,26270.9488150285,42327.3957790446,24588.117829528,25412.5843484656,25651.7425472672,25224.4328794118,25514.2781913408
"bpns-A1BIS",113852.106024015,113428.54148701,106683.431656054,106029.010254712,98189.6672272072,169833.060449295,61269.5098907629,0,13594.7865431852,9572.55853632396,30358.6925710756,30358.6925710756,14827.8059040134,37588.1236122348,24828.8835168119,10759.6675595587,32242.341978619,20885.0199474363,15444.412526219,16412.0889440055,17244.173571291,17931.3035809501,15218.5540553655,14736.6203735594,14425.9850719802,15822.8437230488,143836.740542818,136666.016496508,133303.843963065,168016.002150782,167955.760440556,167810.805822929,167700.938492236,167616.225584835,167531.512677435,167421.645346741,166998.080809736,114223.995262204,102832.886103234,102083.780233102,163693.149101472,159709.199851679,149422.152413076,146364.704278775,143946.455986167,141399.196559443,136571.711479145,136511.469768919,134700.473331296,126910.022246984,127054.293638494,121794.686459552,121408.081774906,157333.783616122,158058.556704256,150859.716047353,53904.8395662007,59714.2596638242,53769.3116990235,60958.60951224,54723.6883888608,55655.5303702728,62227.4305578308,63906.6442591269,59853.5326618508,60903.9854982894,61385.9191800953,63016.1904870407,54932.6937708886,54776.4398373863,79076.2559201413,78385.3807796322,78321.3939385565,78308.2220572557,55105.8647165402,56444.2902994827,57545.5580956971,58646.8258919107,54654.0199281857,42074.6739602311,40391.6512047611,41086.3353994441,79260.7261816686,79441.4513123459,38989.2387807421,79217.4014835934,43008.3885070684,42699.6896942391,58324.8912744573,59349.0003482948,58324.8912744573,54074.2653810023,39648.0885390509,98518.0546543979,36681.3920612354,38548.7572315858,36498.7304418089,36191.9041944047,37566.1002903977
"bpns-G-88",106634.4001128,106210.835575795,99465.7257448385,98811.3043434965,90971.961315992,162615.35453808,54051.8039795481,13594.7865431852,0,23167.345079509,43953.4791142609,43953.4791142609,28422.5924471866,49568.8949564544,19226.2766191698,24354.4541027437,45837.1285218043,17386.9360068732,12103.2299511639,14042.3771838629,14488.5016548739,14824.7587951924,13683.5601095395,13958.7925960815,14174.466598513,14539.9388210767,136619.034631603,129448.310585293,126086.13805185,160798.296239567,160738.054529341,160593.099911715,160483.232581021,160398.519673621,160313.80676622,160203.939435527,159780.374898521,107006.289350989,95615.1801920185,94866.0743218872,156475.443190257,152491.493940464,142204.446501861,139146.99836756,136728.750074952,134181.490648229,129354.00556793,129293.763857704,127482.767420081,119692.316335769,119836.58772728,114576.980548337,114190.375863691,150116.077704907,150840.850793041,143642.010136138,46295.5945001798,52496.5537526094,46551.6057878087,53740.9036010252,47505.982477646,48437.824459058,55009.724646616,56688.9383479121,52635.826750636,53686.2795870745,54168.2132688805,55798.4845758259,46834.0247613616,47558.7339261715,71858.5500089264,71167.6748684174,71103.6880273416,71090.5161460409,47888.1588053254,49226.5843882679,50327.8521844822,51429.1199806958,45184.9638768404,30550.0373461567,28867.0145906863,29561.6987853696,72043.0202704538,72223.745401131,28198.7380819273,71999.6955723786,31483.7518929938,31175.0530801649,51107.1853632425,52131.29443708,51107.1853632425,46856.5594697875,28123.4519249765,91300.3487431827,29904.1676991758,28639.2196310834,28400.0614322815,28827.371100137,28537.5257882077
"bpns-Nautica Ena",123424.664560339,123001.100023334,116255.990192377,115601.568791035,107762.225763531,179405.618985618,70842.0684270865,9572.55853632396,23167.345079509,0,20786.1340347519,20786.1340347519,8324.08700926467,28015.5650759108,34401.4420531354,1790.81518223559,22669.7834422952,30457.5784837598,25016.9710625426,25984.647480329,26816.7321076146,27503.8621172736,24791.112591689,24113.4093324799,23460.1772704471,25395.4022593723,153409.299079141,146238.575032831,142876.402499388,177588.560687105,177528.318976879,177383.364359253,177273.497028559,177188.784121159,177104.071213758,176994.203883065,176570.639346059,123796.553798528,112405.444639558,111656.338769426,173265.707637795,169281.758388002,158994.710949399,155937.262815098,153519.01452249,150971.755095767,146144.270015468,146084.028305242,144273.031867619,136482.580783307,136626.852174818,131367.244995876,130980.640311229,166906.342152445,167631.115240579,160432.274583676,63477.3981025246,69286.8182001481,63341.8702353474,70531.1680485639,64296.2469251847,65228.0889065967,71799.9890941547,73479.2027954509,69426.0911981747,70476.5440346133,70958.4777164192,72588.7490233646,64505.2523072125,64348.9983737102,88648.8144564652,87957.9393159561,87893.9524748804,87880.7805935796,64678.4232528642,66016.8488358066,67118.116632021,68219.3844282346,64226.5784645096,51647.2324965548,49964.2097410848,50658.8939357678,88833.2847179926,89014.0098486698,48561.7973170658,88789.9600199173,52580.9470433922,52272.2482305629,67897.4498107812,68921.5588846187,67897.4498107812,63646.8239173262,49220.6470753746,108090.613190722,46253.9505975589,48121.3157679094,46071.2889781324,45764.4627307282,47138.6588267212
