"","Railway_Pool","Tidal_1","Tidal_2","Tidal_3","Tidal_4","Tidal_5","Wareham_Bypass","Wareham_Pool","EA_Boat_House","Redcliffe","Flap_valve_US_Ridge","Ridge_Wharf","Flap_valve_DS_Ridge","Speed_sign","E33","E49","Giggers_channel","WH7","WH6","WH5","Rockley_channel","South_deep","Brownsea_road_16","Bell_Buoy_15","Brownsea","Buoy_12","Buoy_10","Swash_9","Hook Sands_7","Channel_8","EL2"
"Railway_Pool",0,341.302601459175,432.666379891812,391.290366064467,611.929431399361,782.580732128934,1789.19034185565,2271.84448635411,2151.18095022917,2945.81304079618,3607.58085061201,4190.23542201777,4290.18605353008,4602.16399959933,5022.70432795885,5164.05587099681,6391.2049552659,9232.16909611185,9473.49616836039,9894.0862921165,10495.7212326761,15114.7352683569,16659.856065856,16659.856065856,16601.2565504728,16896.0358926844,17237.3384941443,17237.3384941443,17880.3494485313,17880.3494485313,17647.5351018264
"Tidal_1",341.302601459175,0,120.638638425977,49.9877646052919,270.626829940186,441.278130669759,1447.88774039648,1930.54188489494,1809.87834877,2604.51043933701,3266.27824915284,3848.93282055859,3948.8834520709,4260.86139814015,4681.40172649967,4822.75326953763,6049.90235380673,8890.86649465267,9132.19356690121,9552.78369065732,10154.418631217,14773.4326668978,16318.5534643969,16318.5534643969,16259.9539490136,16554.7332912253,16896.0358926851,16896.0358926851,17539.0468470721,17539.0468470721,17306.2325003672
"Tidal_2",432.666379891812,120.638638425977,0,99.925733814016,220.639065334894,391.290366064467,1397.89997579119,1880.55412028964,1759.8905841647,2554.52267473171,3216.29048454755,3798.9450559533,3898.89568746561,4210.87363353486,4631.41396189438,4772.76550493234,5999.91458920144,8840.87873004738,9082.20580229592,9502.79592605203,10104.4308666117,14723.4449022925,16268.5656997916,16268.5656997916,16209.9661844083,16504.74552662,16846.0481280798,16846.0481280798,17489.0590824668,17489.0590824668,17256.2447357619
"Tidal_3",391.290366064467,49.9877646052919,99.925733814016,0,220.639065334894,391.290366064467,1397.89997579119,1880.55412028964,1759.8905841647,2554.52267473171,3216.29048454755,3798.9450559533,3898.89568746561,4210.87363353486,4631.41396189438,4772.76550493234,5999.91458920144,8840.87873004738,9082.20580229592,9502.79592605203,10104.4308666117,14723.4449022925,16268.5656997916,16268.5656997916,16209.9661844083,16504.74552662,16846.0481280798,16846.0481280798,17489.0590824668,17489.0590824668,17256.2447357619
"Tidal_4",611.929431399361,270.626829940186,220.639065334894,220.639065334894,0,170.651300729573,1177.26091045629,1659.91505495475,1539.25151882981,2333.88360939682,2995.65141921265,3578.30599061841,3678.25662213072,3990.23456819996,4410.77489655949,4552.12643959745,5779.27552386654,8620.23966471249,8861.56673696103,9282.15686071714,9883.79180127679,14502.8058369576,16047.9266344567,16047.9266344567,15989.3271190734,16284.1064612851,16625.4090627449,16625.4090627449,17268.4200171319,17268.4200171319,17035.605670427
"Tidal_5",782.580732128934,441.278130669759,391.290366064467,391.290366064467,170.651300729573,0,1006.60960972672,1489.26375422518,1368.60021810024,2163.23230866725,2825.00011848308,3407.65468988884,3507.60532140114,3819.58326747039,4240.12359582991,4381.47513886787,5608.62422313697,8449.58836398292,8690.91543623146,9111.50555998757,9713.14050054721,14332.154536228,15877.2753337271,15877.2753337271,15818.6758183439,16113.4551605555,16454.7577620153,16454.7577620153,17097.7687164023,17097.7687164023,16864.9543696975
"Wareham_Bypass",1789.19034185565,1447.88774039648,1397.89997579119,1397.89997579119,1177.26091045629,1006.60960972672,0,482.654144498458,361.990608373519,1156.62269894053,1818.39050875636,2401.04508016212,2500.99571167443,2812.97365774367,3233.5139861032,3374.86552914115,4602.01461341025,7442.9787542562,7684.30582650474,8104.89595026085,8706.5308908205,13325.5449265013,14870.6657240004,14870.6657240004,14812.0662086171,15106.8455508288,15448.1481522886,15448.1481522886,16091.1591066756,16091.1591066756,15858.3447599708
"Wareham_Pool",2271.84448635411,1930.54188489494,1880.55412028964,1880.55412028964,1659.91505495475,1489.26375422518,482.654144498458,0,120.66353612494,673.96855444207,1335.7363642579,1918.39093566366,2018.34156717597,2330.31951324521,2750.85984160474,2892.21138464269,4119.36046891179,6960.32460975774,7201.65168200628,7622.24180576239,8223.87674632204,12842.8907820028,14388.0115795019,14388.0115795019,14329.4120641187,14624.1914063303,14965.4940077902,14965.4940077902,15608.5049621772,15608.5049621772,15375.6906154723
"EA_Boat_House",2151.18095022917,1809.87834877,1759.8905841647,1759.8905841647,1539.25151882981,1368.60021810024,361.990608373519,120.66353612494,0,794.63209056701,1456.39990038284,2039.0544717886,2139.00510330091,2450.98304937015,2871.52337772968,3012.87492076763,4240.02400503673,7080.98814588268,7322.31521813122,7742.90534188733,8344.54028244698,12963.5543181278,14508.6751156269,14508.6751156269,14450.0756002436,14744.8549424553,15086.1575439151,15086.1575439151,15729.1684983021,15729.1684983021,15496.3541515972
"Redcliffe",2945.81304079618,2604.51043933701,2554.52267473171,2554.52267473171,2333.88360939682,2163.23230866725,1156.62269894053,673.96855444207,794.63209056701,0,661.767809815831,1244.42238122159,1344.3730127339,1656.35095880314,2076.89128716267,2218.24283020062,3445.39191446972,6286.35605531566,6527.68312756421,6948.27325132032,7549.90819187997,12168.9222275608,13714.0430250599,13714.0430250599,13655.4435096766,13950.2228518883,14291.5254533481,14291.5254533481,14934.5364077351,14934.5364077351,14701.7220610302
