"","Suderpolder-1","Suderpolder-2","Suderpolder-5","Suderpolder-6","Suderpolder-4","Suderpolder-3","Suderpolder-7","rel_suderpolder2","rel_suderpolder3","rel_suderpolder1"
"Suderpolder-1",0,98.5351131912321,2174.30593253686,10446.7422285581,3747.90754916656,3747.90754916656,11651.8322577175,3948.64155838066,0,1820.44947638641
"Suderpolder-2",98.5351131912321,0,2214.5899291541,10487.0262251753,3649.37243597533,3649.37243597533,11692.1162543347,3850.10644518943,98.5351131912321,1721.91436319518
"Suderpolder-5",2174.30593253686,2214.5899291541,0,8272.43629602125,3695.48628651742,3695.48628651742,9477.52632518067,3976.78828896734,2174.30593253686,2829.94937638212
"Suderpolder-6",10446.7422285581,10487.0262251753,8272.43629602125,0,10138.99962295,10138.99962295,1205.09002915941,10420.3016253999,10446.7422285581,10817.4198871235
"Suderpolder-4",3747.90754916656,3649.37243597533,3695.48628651742,10138.99962295,0,0,11344.0896521094,281.302002449919,3747.90754916656,2008.02606601594
"Suderpolder-3",3747.90754916656,3649.37243597533,3695.48628651742,10138.99962295,0,0,11344.0896521094,281.302002449919,3747.90754916656,2008.02606601594
"Suderpolder-7",11651.8322577175,11692.1162543347,9477.52632518067,1205.09002915941,11344.0896521094,11344.0896521094,0,11625.3916545593,11651.8322577175,12022.5099162829
"rel_suderpolder2",3948.64155838066,3850.10644518943,3976.78828896734,10420.3016253999,281.302002449919,281.302002449919,11625.3916545593,0,3948.64155838066,2208.76007523004
"rel_suderpolder3",0,98.5351131912321,2174.30593253686,10446.7422285581,3747.90754916656,3747.90754916656,11651.8322577175,3948.64155838066,0,1820.44947638641
"rel_suderpolder1",1820.44947638641,1721.91436319518,2829.94937638212,10817.4198871235,2008.02606601594,2008.02606601594,12022.5099162829,2208.76007523004,1820.44947638641,0
