"","99V","114R","85V","74R","72R","46R","31V","25V","71V","90R","38R","18R","13V","2R","StationGIP_Pellerin","50R","33V","40R","27V_DongesSud","24bisR","23V","19V_Mindin","20R_BasseNazaire","17V_Vignettes","29bisV","28R","30R","26R","Tribord_Basse_Nazaire","rel_loire2","rel_loire1","rel_loire3","rel_loire4"
"99V",0,120.723018964826,3320.36637045881,5925.95290592985,6238.08295582809,16760.0440487205,17001.4900866507,19360.8416565307,6038.10432242962,3170.38239540928,19190.1091963339,22018.4749110745,22059.9127498414,27003.9988898701,46269.5352583465,46373.1298552636,61271.475537126,60842.2425313626,74487.6582452974,82151.6955908825,82051.7062741833,83286.7181148307,84535.2383144256,84509.5678556776,72963.4942952071,72967.0995754257,70523.6591148047,74170.576656035,84702.3359286398,7010.98077152846,382.843627631667,19660.5420959079,66723.152318307
"114R",120.723018964826,0,3411.79886757541,6017.38540304645,6329.51545294469,16851.4765458371,17092.9225837673,19452.2741536473,6129.53681954623,3261.81489252588,19281.5416934505,22109.9074081911,22151.3452469581,27095.4313869867,46360.9677554631,46464.5623523802,61362.9080342426,60933.6750284792,74579.090742414,82243.1280879991,82143.1387712999,83378.1506119473,84626.6708115422,84601.0003527942,73054.9267923237,73058.5320725423,70615.0916119213,74262.0091531517,84793.7684257564,6919.54827441185,474.276124748279,19569.1095987913,66814.5848154236
"85V",3320.36637045881,3411.79886757541,0,2605.58653547104,2917.71658536928,13439.6776782616,13681.1237161919,16040.4752860719,2717.73795197081,191.421813815844,15869.742825875,18698.1085406157,18739.5463793826,23683.6325194113,42949.1688878877,43052.7634848048,57951.1091666672,57521.8761609038,71167.2918748386,78831.3292204237,78731.3399037245,79966.3517443719,81214.8719439668,81189.2014852188,69643.1279247483,69646.7332049668,67203.2927443459,70850.2102855762,81381.969558181,10331.3471419873,3061.8362591274,22980.9084663667,63402.7859478482
"74R",5925.95290592985,6017.38540304645,2605.58653547104,0,312.13004989824,10834.0911427906,11075.5371807209,13434.8887506009,170.732460196203,2797.00834928688,13264.156290404,16092.5220051446,16133.9598439116,21078.0459839402,40343.5823524167,40447.1769493338,55345.5226311962,54916.2896254328,68561.7053393676,76225.7426849527,76125.7533682534,77360.7652089008,78609.2854084957,78583.6149497478,67037.5413892773,67041.1466694958,64597.7062088748,68244.6237501052,78776.3830227099,12936.9336774583,5667.42279459844,25586.4950018377,60797.1994123771
"72R",6238.08295582809,6329.51545294469,2917.71658536928,312.13004989824,0,10551.2516147406,10792.6976526709,13152.0492225509,199.978633398481,3109.13839918512,12981.316762354,15809.6824770946,15851.1203158616,20795.2064558902,40060.7428243666,40164.3374212837,55062.6831031461,54633.4500973827,68278.8658113175,75942.9031569027,75842.9138402034,77077.9256808508,78326.4458804457,78300.7754216978,66754.7018612273,66758.3071414458,64314.8666808248,67961.7842220552,78493.5434946599,13249.0637273565,5979.55284449668,25898.6250517359,60514.3598843271
"46R",16760.0440487205,16851.4765458371,13439.6776782616,10834.0911427906,10551.2516147406,0,241.446037930562,2600.79760781028,10721.9397262908,13631.0994920775,2430.06514761342,5346.30242789868,5387.74026666567,10331.8264066943,29597.3627751707,29700.9573720878,44599.3030539501,44170.0700481867,57815.4857621216,65479.5231077068,65379.5337910075,66614.545631655,67863.0658312499,67837.3953725019,56291.3218120313,56294.9270922498,53851.4866316288,57498.4041728592,68030.163445464,23771.0248202488,16501.513937389,36420.5861446283,50050.979835131
"31V",17001.4900866507,17092.9225837673,13681.1237161919,11075.5371807209,10792.6976526709,241.446037930562,0,2359.35156987999,10963.3857642211,13872.5455300078,2188.61910968313,5163.43743366484,5204.87527243182,10148.9614124605,29414.4977809368,29518.0923778539,44416.4380597162,43987.2050539528,57632.6207678877,65296.6581134729,65196.6687967737,66431.6806374211,67680.200837016,67654.5303782681,56108.4568177974,56112.0620980159,53668.6216373949,57315.5391786254,67847.2984512302,24012.4708581791,16742.9599753193,36662.0321825586,49868.1148408972
"25V",19360.8416565307,19452.2741536473,16040.4752860719,13434.8887506009,13152.0492225509,2600.79760781028,2359.35156987999,0,13322.7373341011,16231.8970998878,170.732460197135,3067.7005604188,3109.13839918578,8053.22453921447,27318.7609076908,27422.3555046079,42320.7011864702,41891.4681807068,55536.8838946417,63200.9212402269,63100.9319235276,64335.9437641751,65584.46396377,65558.793505022,54012.7199445514,54016.3252247699,51572.8847641489,55219.8023053793,65751.5615779842,26371.8224280591,19102.3115451993,39021.3837524386,47772.3779676511
"71V",6038.10432242962,6129.53681954623,2717.73795197081,170.732460196203,199.978633398481,10721.9397262908,10963.3857642211,13322.7373341011,0,2909.15976578666,13152.0048739042,15980.3705886449,16021.8084274118,20965.8945674405,40231.4309359169,40335.025532834,55233.3712146964,54804.138208933,68449.5539228678,76113.5912684529,76013.6019517537,77248.6137924011,78497.133991996,78471.463533248,66925.3899727775,66928.995252996,64485.5547923751,68132.4723336054,78664.2316062101,13049.0850939581,5779.57421109821,25698.6464183375,60685.0479958773
"90R",3170.38239540928,3261.81489252588,191.421813815844,2797.00834928688,3109.13839918512,13631.0994920775,13872.5455300078,16231.8970998878,2909.15976578666,0,16061.1646396909,18889.5303544315,18930.9681931985,23875.0543332271,43140.5907017036,43244.1852986207,58142.5309804831,57713.2979747197,71358.7136886544,79022.7510342396,78922.7617175403,80157.7735581877,81406.2937577826,81380.6232990347,69834.5497385642,69838.1550187827,67394.7145581617,71041.6320993921,81573.3913719968,10139.9253281714,2953.29012284549,22789.4866525508,63594.207761664
"38R",19190.1091963339,19281.5416934505,15869.742825875,13264.156290404,12981.316762354,2430.06514761342,2188.61910968313,170.732460197135,13152.0048739042,16061.1646396909,0,3179.85197691921,3221.2898156862,8165.37595571489,27430.9123241912,27534.5069211083,42432.8526029706,42003.6195972072,55649.0353111421,63313.0726567273,63213.083340028,64448.0951806755,65696.6153802704,65670.9449215225,54124.8713610518,54128.4766412703,51685.0361806493,55331.9537218797,65863.7129944846,26201.0899678622,18931.5790850024,38850.6512922417,47884.5293841515
"18R",22018.4749110745,22109.9074081911,18698.1085406157,16092.5220051446,15809.6824770946,5346.30242789868,5163.43743366484,3067.7005604188,15980.3705886449,18889.5303544315,3179.85197691921,0,100.018882463686,4985.52397879567,24251.060347272,24354.6549441891,39253.0006260513,38823.767620288,52469.1833342228,60133.220679808,60033.2313631088,61268.2432037562,62516.7634033512,62491.0929446032,50945.0193841325,50948.6246643511,48505.18420373,52152.1017449605,62683.8610175653,29029.4556826028,21759.944799743,41679.0170069824,44704.6774072323
"13V",22059.9127498414,22151.3452469581,18739.5463793826,16133.9598439116,15851.1203158616,5387.74026666567,5204.87527243182,3109.13839918578,16021.8084274118,18930.9681931985,3221.2898156862,100.018882463686,0,4944.08614002869,24209.6225085051,24313.2171054221,39211.5627872844,38782.329781521,52427.7454954558,60091.7828410411,59991.7935243418,61226.8053649893,62475.3255645842,62449.6551058362,50903.5815453656,50907.1868255841,48463.746364963,52110.6639061935,62642.4231787984,29070.8935213698,21801.38263851,41720.4548457494,44663.2395684653
"2R",27003.9988898701,27095.4313869867,23683.6325194113,21078.0459839402,20795.2064558902,10331.8264066943,10148.9614124605,8053.22453921447,20965.8945674405,23875.0543332271,8165.37595571489,4985.52397879567,4944.08614002869,0,19265.5363684764,19369.1309653935,34267.4766472556,33838.2436414922,47483.6593554271,55147.6967010123,55047.7073843131,56282.7192249605,57531.2394245554,57505.5689658075,45959.4954053368,45963.1006855553,43519.6602249343,47166.5777661647,57698.3370387696,34014.9796613985,26745.4687785386,46664.5409857781,39719.1534284366
"StationGIP_Pellerin",46269.5352583465,46360.9677554631,42949.1688878877,40343.5823524167,40060.7428243666,29597.3627751707,29414.4977809368,27318.7609076908,40231.4309359169,43140.5907017036,27430.9123241912,24251.060347272,24209.6225085051,19265.5363684764,0,250.04720615875,15001.9402787792,14572.7072730158,28218.1229869506,35882.1603325358,35782.1710158366,37017.182856484,38265.7030560789,38240.032597331,26693.9590368603,26697.5643170789,24254.1238564579,27901.0413976883,38432.8006702931,53280.516029875,46011.0051470151,65930.0773542546,20453.6170599601
"50R",46373.1298552636,46464.5623523802,43052.7634848048,40447.1769493338,40164.3374212837,29700.9573720878,29518.0923778539,27422.3555046079,40335.025532834,43244.1852986207,27534.5069211083,24354.6549441891,24313.2171054221,19369.1309653935,250.04720615875,0,14898.3456818621,14469.1126760987,28114.5283900335,35778.5657356187,35678.5764189195,36913.5882595669,38162.1084591618,38136.4380004139,26590.3644399433,26593.9697201618,24150.5292595408,27797.4468007712,38329.206073376,53384.1106267921,46114.5997439322,66033.6719511717,20350.0224630431
"33V",61271.475537126,61362.9080342426,57951.1091666672,55345.5226311962,55062.6831031461,44599.3030539501,44416.4380597162,42320.7011864702,55233.3712146964,58142.5309804831,42432.8526029706,39253.0006260513,39211.5627872844,34267.4766472556,15001.9402787792,14898.3456818621,0,470.670844529752,13216.1827081715,20880.2200537567,20780.2307370574,22015.2425777049,23263.7627772998,23238.0923185518,11692.0187580812,11695.6240382997,9252.18357767873,12899.1011189092,23430.8603915139,68282.4563086543,61012.9454257944,80932.0176330338,5451.67678118095
"40R",60842.2425313626,60933.6750284792,57521.8761609038,54916.2896254328,54633.4500973827,44170.0700481867,43987.2050539528,41891.4681807068,54804.138208933,57713.2979747197,42003.6195972072,38823.767620288,38782.329781521,33838.2436414922,14572.7072730158,14469.1126760987,470.670844529752,0,13645.415713935,21309.4530595201,21209.4637428209,22444.4755834683,23692.9957830632,23667.3253243153,12121.2517638447,12124.8570440632,9681.41658344217,13328.3341246726,23860.0933972774,67853.2233028908,60583.712420031,80502.7846272704,5880.90978694439
"27V_DongesSud",74487.6582452974,74579.090742414,71167.2918748386,68561.7053393676,68278.8658113175,57815.4857621216,57632.6207678877,55536.8838946417,68449.5539228678,71358.7136886544,55649.0353111421,52469.1833342228,52427.7454954558,47483.6593554271,28218.1229869506,28114.5283900335,13216.1827081715,13645.415713935,0,8534.23195969216,8517.11832052686,9752.13016117429,11000.6503607692,10974.9799020213,1524.1639500903,1520.55866987179,3963.9991304928,482.832944331571,11167.7479749834,81498.6390168259,74229.128133966,94148.2003412054,7764.5059269906
"24bisR",82151.6955908825,82243.1280879991,78831.3292204237,76225.7426849527,75942.9031569027,65479.5231077068,65296.6581134729,63200.9212402269,76113.5912684529,79022.7510342396,63313.0726567273,60133.220679808,60091.7828410411,55147.6967010123,35882.1603325358,35778.5657356187,20880.2200537567,21309.4530595201,8534.23195969216,0,241.446037929631,1540.09394181264,2554.28996662183,2792.23420450787,9809.76887718065,10013.3527907976,11669.4743148456,9017.06490402372,2633.51601529131,89162.676362411,81893.1654795512,101812.237686791,15428.5432725757
"23V",82051.7062741833,82143.1387712999,78731.3399037245,76125.7533682534,75842.9138402034,65379.5337910075,65196.6687967737,63100.9319235276,76013.6019517537,78922.7617175403,63213.083340028,60033.2313631088,59991.7935243418,55047.7073843131,35782.1710158366,35678.5764189195,20780.2307370574,21209.4637428209,8517.11832052686,241.446037929631,0,1381.46444988861,2483.53204024245,2633.60471258385,9792.65523801534,9996.23915163234,11652.3606756803,8999.95126485841,2650.62965445658,89062.6870457118,81793.1761628519,101712.248370091,15328.5539558765
"19V_Mindin",83286.7181148307,83378.1506119473,79966.3517443719,77360.7652089008,77077.9256808508,66614.545631655,66431.6806374211,64335.9437641751,77248.6137924011,80157.7735581877,64448.0951806755,61268.2432037562,61226.8053649893,56282.7192249605,37017.182856484,36913.5882595669,22015.2425777049,22444.4755834683,9752.13016117429,1540.09394181264,1381.46444988861,0,1248.52019959492,1252.14026269524,11027.6670786628,11231.2509922798,12887.3725163277,10234.9631055058,1415.61781380907,90297.6988863592,83028.1880034994,102947.260210739,16563.5657965239
