"","F1","F2","F6","F7","F8","F5","F3","F4","rel_frome"
"F1",0,116.250389862147,1463.49359251328,8252.51410516411,10785.7837126078,339.318632164974,130.951305296998,168.681454982956,3752.3194475202
"F2",116.250389862147,0,1347.24320265113,8136.26371530196,10669.5333227456,223.068242302827,23.0292342511364,60.7593839370945,3840.42702485708
"F6",1463.49359251328,1347.24320265113,0,6789.02051265083,9322.29012009449,1124.1749603483,1332.54228721628,1294.81213753032,5187.67022750817
"F7",8252.51410516411,8136.26371530196,6789.02051265083,0,2583.23952034673,7913.19547299914,8121.56279986711,8083.83265018115,11976.6907401591
"F8",10785.7837126078,10669.5333227456,9322.29012009449,2583.23952034673,0,10446.4650804428,10654.8324073108,10617.1022576249,14509.9603476028
"F5",339.318632164974,223.068242302827,1124.1749603483,7913.19547299914,10446.4650804428,0,208.367326867976,170.637177182018,4063.49526715987
"F3",130.951305296998,23.0292342511364,1332.54228721628,8121.56279986711,10654.8324073108,208.367326867976,0,37.7301496859582,3855.12794029191
"F4",168.681454982956,60.7593839370945,1294.81213753032,8083.83265018115,10617.1022576249,170.637177182018,37.7301496859582,0,3892.85808997785
"rel_frome",3752.3194475202,3840.42702485708,5187.67022750817,11976.6907401591,14509.9603476028,4063.49526715987,3855.12794029191,3892.85808997785,0
