"","Release","St1","St2","St3","St4","St5","St6","St7","St8","St9","St10","St11"
"Release",0,16272.9122992068,17217.3945770705,19077.3750882384,19497.8224929092,19768.3711809676,20080.3548564345,21657.5416149437,22019.4915292822,22210.8546444823,22772.6401031249,23043.1887911832
"St1",16272.9122992068,0,944.482277863717,2804.46278903158,3224.91019370241,3495.4588817608,3807.44255722773,5384.62931573694,5746.57923007536,5937.9423452755,6499.72780391807,6770.27649197645
"St2",17217.3945770705,944.482277863717,0,1901.41549857641,2321.86290324725,2592.41159130563,2904.39526677257,4481.58202528178,4843.5319396202,5034.89505482034,5596.6805134629,5867.22920152129
"St3",19077.3750882384,2804.46278903158,1901.41549857641,0,420.447404670838,690.996092729218,1002.97976819615,2580.16652670537,2942.11644104378,3133.47955624393,3695.26501488649,3965.81370294487
"St4",19497.8224929092,3224.91019370241,2321.86290324725,420.447404670838,0,270.548688058381,582.532363525313,2159.71912203453,2521.66903637295,2713.03215157309,3274.81761021566,3545.36629827404
"St5",19768.3711809676,3495.4588817608,2592.41159130563,690.996092729218,270.548688058381,0,311.983675466932,1889.17043397615,2251.12034831457,2442.48346351471,3004.26892215728,3274.81761021566
"St6",20080.3548564345,3807.44255722773,2904.39526677257,1002.97976819615,582.532363525313,311.983675466932,0,1577.18675850922,1939.13667284763,2130.49978804778,2692.28524669034,2962.83393474872
"St7",21657.5416149437,5384.62931573694,4481.58202528178,2580.16652670537,2159.71912203453,1889.17043397615,1577.18675850922,0,361.949914338415,553.313029538562,1115.09848818112,1385.6471762395
"St8",22019.4915292822,5746.57923007536,4843.5319396202,2942.11644104378,2521.66903637295,2251.12034831457,1939.13667284763,361.949914338415,0,191.363115200147,753.148573842708,1023.69726190109
"St9",22210.8546444823,5937.9423452755,5034.89505482034,3133.47955624393,2713.03215157309,2442.48346351471,2130.49978804778,553.313029538562,191.363115200147,0,591.063614987585,861.612303045966
"St10",22772.6401031249,6499.72780391807,5596.6805134629,3695.26501488649,3274.81761021566,3004.26892215728,2692.28524669034,1115.09848818112,753.148573842708,591.063614987585,0,270.548688058381
"St11",23043.1887911832,6770.27649197645,5867.22920152129,3965.81370294487,3545.36629827404,3274.81761021566,2962.83393474872,1385.6471762395,1023.69726190109,861.612303045966,270.548688058381,0
