"","St20","St21","St22","St23","St24","St18","St3","St1","St2","St4","St5","St6","St7","St8","St10","St11","St12","St13","St14","St15","St16","St25","St26","St27","St28","St30","St29","St9","St18","St19","St0"
"St20",0,362.075168285489,362.075168285489,2043.15106503703,8343.29431639493,6098.32230344451,31595.9019295938,31920.0655982644,31599.3805415525,30616.630315631,30604.5434817578,29418.4480258708,29052.8097683313,28865.0722228452,23542.6417261274,20917.2762054891,17941.3732480187,17308.6113565094,16072.3908511905,13553.430119026,8229.25648564063,10827.7165642856,11893.247013355,16679.1879030708,24415.3549197816,35756.3069063599,32867.7646795738,26254.7230456189,3255.19790260871,1960.37084188852,31457.9937630047
"St21",362.075168285489,0,0,1681.07589675154,7981.21914810945,6460.39747173,31957.9770978793,32282.1407665499,31961.455709838,30978.7054839165,30966.6186500433,29780.5231941563,29414.8849366168,29227.1473911307,23904.7168944129,21279.3513737746,18303.4484163042,17670.6865247949,16434.466019476,13915.5052873115,8591.33165392612,10465.6413960002,11531.1718450695,16317.1127347853,24053.2797514961,35394.2317380744,32505.6895112883,26616.7982139044,3617.2730708942,2322.44601017401,31820.0689312902
"St22",362.075168285489,0,0,1681.07589675154,7981.21914810945,6460.39747173,31957.9770978793,32282.1407665499,31961.455709838,30978.7054839165,30966.6186500433,29780.5231941563,29414.8849366168,29227.1473911307,23904.7168944129,21279.3513737746,18303.4484163042,17670.6865247949,16434.466019476,13915.5052873115,8591.33165392612,10465.6413960002,11531.1718450695,16317.1127347853,24053.2797514961,35394.2317380744,32505.6895112883,26616.7982139044,3617.2730708942,2322.44601017401,31820.0689312902
"St23",2043.15106503703,1681.07589675154,1681.07589675154,0,6300.14325135791,8141.47336848153,33639.0529946308,33963.2166633014,33642.5316065895,32659.781380668,32647.6945467948,31461.5990909079,31095.9608333683,30908.2232878822,25585.7927911644,22960.4272705261,19984.5243130557,19351.7624215464,18115.5419162276,15596.581184063,10272.4075506777,8784.56549924861,9850.09594831796,14636.0368380337,22372.2038547446,33713.1558413229,30824.6136145368,28297.874110656,5298.34896764573,4003.52190692555,33501.1448280417
"St24",8343.29431639493,7981.21914810945,7981.21914810945,6300.14325135791,0,14441.6166198395,39939.1962459887,40263.3599146593,39942.6748579474,38959.9246320259,38947.8377981527,37761.7423422657,37396.1040847262,37208.3665392401,31885.9360425223,29260.570521884,26284.6675644136,25651.9056729044,24415.6851675855,21896.724435421,16572.5508020356,2484.42224789071,3549.95269696005,8335.89358667582,16072.0606033866,27413.012589965,24524.4703631789,34598.0173620139,11598.4922190036,10303.6651582835,39801.2880793996
"St18",6098.32230344451,6460.39747173,6460.39747173,8141.47336848153,14441.6166198395,0,25497.5796261493,25821.7432948199,25501.058238108,24518.3080121865,24506.2211783133,23320.1257224263,22954.4874648868,22766.7499194007,17444.3194226829,14818.9539020446,11843.0509445742,11210.2890530649,9974.06854774602,7455.10781558148,2130.93418219612,16926.0388677302,17991.5693167995,22777.5102065153,30513.6772232261,41854.6292098044,38966.0869830183,20156.4007421744,2843.1244008358,4179.34157312891,25359.6714595602
"St3",31595.9019295938,31957.9770978793,31957.9770978793,33639.0529946308,39939.1962459887,25497.5796261493,0,382.727985424039,291.318421038667,1020.66172553575,991.358447836039,2177.45390372381,2543.09216126306,2730.82970674942,8253.16906012041,10854.3186743663,13654.5286815751,14287.2905730844,15523.5110784033,18249.4223684364,23366.6454439532,42423.6184938795,43489.1489429488,48275.0898326646,56011.2568493754,67352.2088359537,64463.6666091676,5382.56899554779,28340.7040269851,29676.9211992782,532.659627916027
"St1",31920.0655982644,32282.1407665499,32282.1407665499,33963.2166633014,40263.3599146593,25821.7432948199,382.727985424039,0,320.685056711909,1303.43528263343,1315.52211650664,2501.6175723944,2867.25582993365,3054.99337542002,8577.33272879101,11178.4823430369,13978.6923502457,14611.454241755,15847.6747470739,18573.586037107,23690.8091126238,42747.7821625501,43813.3126116194,48599.2535013352,56335.420518046,67676.3725046243,64787.8302778382,5706.73266421839,28664.8676956557,30001.0848679488,915.387613339794
"St2",31599.3805415525,31961.455709838,31961.455709838,33642.5316065895,39942.6748579474,25501.058238108,291.318421038667,320.685056711909,0,982.750225921525,994.837059794727,2180.93251568249,2546.57077322174,2734.30831870811,8256.6476720791,10857.797286325,13658.0072935338,14290.7691850431,15526.989690362,18252.9009803951,23370.1240559119,42427.0971058382,43492.6275549075,48278.5684446233,56014.7354613341,67355.6874479124,64467.1452211263,5386.04760750648,28344.1826389438,29680.3998112369,741.113348512778
"St4",30616.630315631,30978.7054839165,30978.7054839165,32659.781380668,38959.9246320259,24518.3080121865,1020.66172553575,1303.43528263343,982.750225921525,0,170.64781760187,1198.182289761,1563.82054730025,1751.55809278662,7273.89744615761,9875.04706040352,12675.2570676123,13308.0189591216,14544.2394644405,17270.1507544736,22387.3738299904,41444.3468799167,42509.877328986,47295.8182187018,55031.9852354126,66372.9372219909,63484.3949952048,4403.29738158499,27361.4324130223,28697.6495853154,1006.92389366799
