"","BenMerwede_BHardinx","BergscheMaas_CVeer","DeNoord_Kinderdijk","DKil_s'Gravendeel","GrensMaas_Bharen_vis","GrensMaas_Itteren","GrensMaas_Sweert","Hartelkanaal_Europoort","HV_Stellendam_noord","HV_Stellendam_zuid","Maas_Afferden","Maas_Alphen_wkc","Maas_Alphen_wkc_ben","Maas_Balgoij","Maas_Belfeld_bov","Maas_Belfeld_vistrap","Maas_Buggenum","Maas_Grave_bov","Maas_Grave_vistrap","Maas_Linne_dorp","Maas_Linne_stuw_ben","Maas_Linne_stuw_bov","Maas_Linne_visgeleiding","Maas_Linne_vistrap","Maas_Linne_wkc","Maas_Linne_wkc_ben","Maas_Lith_dorp","Maas_Lith_stuw_ben","Maas_Lith_vistrap","Maas_Maastricht","Maas_Megen","Maas_Roermond_bov","Maas_Roermond_vistra","Maas_Sambeek","Maas_Sambeek_ben_stu","Maas_Steyl","NieuweWaterweg_Europoort","OudeMaas_Spijkenisse","Spui_Zuidland","rel_nedap_meuse"
"BenMerwede_BHardinx",0,40402.9923337409,13023.3112417832,13030.1489221418,214140.422104443,180392.701821644,180392.701821644,53606.5379247363,57057.0220584401,57191.2208012255,106006.201434786,51561.849767062,51461.8765499927,74909.9487726701,151202.788798197,150495.771577322,164552.417460542,77289.4898593985,76582.4726385231,173901.60178275,173557.012129003,173639.816118441,173557.012129003,173639.816118441,173901.60178275,173557.012129003,50020.8212839166,51420.4463228869,51661.8229841313,214657.626811745,61158.514388809,168142.279255634,167083.665306332,104375.10779604,104333.677568934,148671.540952407,52180.2590824722,27727.8404182416,39202.2408981985,184072.205286531
"BergscheMaas_CVeer",40402.9923337409,0,44196.5485213718,32602.106552381,202641.561055849,168893.84077305,168893.84077305,76548.3971662852,72261.6996441158,72395.8983869012,94507.3403861923,40062.9887184678,39963.0155013985,63411.087724076,139703.927749603,138996.910528728,153053.556411947,65790.6288108044,65083.611589929,162402.740734155,162058.151080409,162140.955069846,162058.151080409,162140.955069846,162402.740734155,162058.151080409,38521.9602353225,39921.5852742928,40162.9619355372,203158.76576315,49659.6533402149,156643.418207039,155584.804257737,92876.2467474458,92834.81652034,137172.679903813,75122.118324021,50669.6996597903,61565.753120414,172573.344237937
"DeNoord_Kinderdijk",13023.3112417832,44196.5485213718,0,11594.4419689908,227163.733346226,193416.013063427,193416.013063427,46860.2621003386,50417.8959201149,50552.0946629003,119029.51267657,64585.1610088452,64485.1877917759,87933.2600144534,164226.10003998,163519.082819105,177575.728702325,90312.8011011818,89605.7838803064,186924.913024533,186580.323370786,186663.127360224,186580.323370786,186663.127360224,186924.913024533,186580.323370786,63044.1325256999,64443.7575646701,64685.1342259146,227680.938053528,74181.8256305923,181165.590497417,180106.976548114,117398.419037823,117356.988810717,161694.85219419,39825.520518407,26292.1334650906,37766.5339450476,197095.516528314
"DKil_s'Gravendeel",13030.1489221418,32602.106552381,11594.4419689908,0,227170.571026585,193422.850743785,193422.850743785,43946.290613904,47396.7747476078,47530.9734903932,119036.350356928,64591.9986892038,64492.0254721345,87940.097694812,164232.937720339,163525.920499463,177582.566382683,90319.6387815404,89612.6215606649,186931.750704891,186587.161051145,186669.965040582,186587.161051145,186669.965040582,186931.750704891,186587.161051145,63050.9702060584,64450.5952450287,64691.9719062731,227687.775733886,74188.6633109509,181172.428177775,180113.814228473,117405.256718182,117363.826491076,161701.689874549,42520.0117716398,18067.5931074093,29541.9935873662,197102.354208672
"GrensMaas_Bharen_vis",214140.422104443,202641.561055849,227163.733346226,227170.571026585,0,36682.543598955,36682.543598955,267746.960029176,271197.44416288,271331.642905666,108309.934336711,162578.572337382,162678.545554452,139230.473331775,62937.6333062482,63644.6505271236,49588.0046439036,136850.932245047,137557.949465922,42917.3582823966,41286.2646436494,41086.3182095108,41286.2646436494,41086.3182095108,42917.3582823966,41286.2646436494,164119.600820528,162719.975781557,162478.599120313,682.812686175889,152981.907715636,46759.5687393705,47173.8992428152,109765.314308406,109806.744535511,65468.881152038,266320.681186912,241868.262522682,253342.663002639,36026.5258780072
"GrensMaas_Itteren",180392.701821644,168893.84077305,193416.013063427,193422.850743785,36682.543598955,0,0,233999.239746377,237449.72388008,237583.922622866,74562.2140539103,128830.852054583,128930.825271652,105482.753048975,29189.9130234474,29896.9302443228,15840.2843611029,103103.211962246,103810.229183122,9169.63799959605,7538.54436084882,7338.59792671025,7538.54436084882,7338.59792671025,9169.63799959605,7538.54436084882,130371.880537728,128972.255498758,128730.878837514,37199.7483062564,119234.187432836,13011.8484565699,13426.1789600146,76017.5940256047,76059.0242527105,31721.1608692372,232572.960904113,208120.542239883,219594.942719839,3738.07468723775
"GrensMaas_Sweert",180392.701821644,168893.84077305,193416.013063427,193422.850743785,36682.543598955,0,0,233999.239746377,237449.72388008,237583.922622866,74562.2140539103,128830.852054583,128930.825271652,105482.753048975,29189.9130234474,29896.9302443228,15840.2843611029,103103.211962246,103810.229183122,9169.63799959605,7538.54436084882,7338.59792671025,7538.54436084882,7338.59792671025,9169.63799959605,7538.54436084882,130371.880537728,128972.255498758,128730.878837514,37199.7483062564,119234.187432836,13011.8484565699,13426.1789600146,76017.5940256047,76059.0242527105,31721.1608692372,232572.960904113,208120.542239883,219594.942719839,3738.07468723775
"Hartelkanaal_Europoort",53606.5379247363,76548.3971662852,46860.2621003386,43946.290613904,267746.960029176,233999.239746377,233999.239746377,0,28128.7670508464,28262.9657936318,159612.739359522,105168.387691799,105068.414474729,128516.486697407,204809.326722932,204102.309502057,218158.955385276,130896.027784135,130189.01056326,227508.139707485,227163.550053738,227246.354043175,227163.550053738,227246.354043175,227508.139707485,227163.550053738,103627.359208653,105026.984247624,105268.360908868,268264.16473648,114765.052313546,221748.817180368,220690.203231066,157981.645720775,157940.21549367,202278.078877142,9658.39092236871,25878.6975064946,23446.2440665988,237678.743211266
"HV_Stellendam_noord",57057.0220584401,72261.6996441158,50417.8959201149,47396.7747476078,271197.44416288,237449.72388008,237449.72388008,28128.7670508464,0,524.211781980711,163063.223493226,108618.871825503,108518.898608433,131966.970831111,208259.810856636,207552.79363576,221609.43951898,134346.511917839,133639.494696964,230958.623841189,230614.034187442,230696.838176879,230614.034187442,230696.838176879,230958.623841189,230614.034187442,107077.843342357,108477.468381327,108718.845042572,271714.648870184,118215.53644725,225199.301314072,224140.68736477,161432.129854479,161390.699627373,205728.563010846,27581.0565438427,29436.3313262709,18030.4948272935,241129.22734497
"HV_Stellendam_zuid",57191.2208012255,72395.8983869012,50552.0946629003,47530.9734903932,271331.642905666,237583.922622866,237583.922622866,28262.9657936318,524.211781980711,0,163197.422236011,108753.070568288,108653.097351219,132101.169573896,208394.009599421,207686.992378546,221743.638261766,134480.710660624,133773.693439749,231092.822583974,230748.232930227,230831.036919665,230748.232930227,230831.036919665,231092.822583974,230748.232930227,107212.042085143,108611.667124113,108853.043785357,271848.847612969,118349.735190035,225333.500056858,224274.886107556,161566.328597265,161524.898370159,205862.761753631,27715.2552866281,29570.5300690564,18164.6935700789,241263.426087755
