"","F1","F2","F6","F7","F8","F5","F3","F4","rel_frome"
"F1",0,141.425433364208,1525.15599915233,8404.77639116148,10743.5526492779,341.585378647787,141.425433364208,241.505406006012,3674.74824368147
"F2",141.425433364208,0,1383.73056578812,8263.35095779728,10602.1272159137,200.15994528358,0,100.079972641804,3816.17367704568
"F6",1525.15599915233,1383.73056578812,0,6879.62039200916,9218.39665012561,1183.57062050454,1383.73056578812,1283.65059314631,5199.90424283378
"F7",8404.77639116148,8263.35095779728,6879.62039200916,0,2338.77625811645,8063.1910125137,8263.35095779727,8163.27098515547,12079.5246348429
"F8",10743.5526492779,10602.1272159137,9218.39665012561,2338.77625811645,0,10401.9672706301,10602.1272159137,10502.0472432719,14418.3008929594
"F5",341.585378647787,200.15994528358,1183.57062050454,8063.1910125137,10401.9672706301,0,200.15994528358,100.079972641775,4016.33362232925
"F3",141.425433364208,0,1383.73056578812,8263.35095779727,10602.1272159137,200.15994528358,0,100.079972641804,3816.17367704568
"F4",241.505406006012,100.079972641804,1283.65059314631,8163.27098515547,10502.0472432719,100.079972641775,100.079972641804,0,3916.25364968748
"rel_frome",3674.74824368147,3816.17367704568,5199.90424283378,12079.5246348429,14418.3008929594,4016.33362232925,3816.17367704568,3916.25364968748,0
