"","s-9a","s-9","ak-45","s-11","ws-16","ws-14","ws-12A","ws-15A","ws-15","bpns-W1","rel_station3","s-4c","s-5","s-6","s-7","s-8","s-8a","s-10a","ak-41","ws-55","ws-A1","ws-W7","rel_station1","s-12","ws-42A","ws-6","ws-4","ws-PVTSS","ws-23","ws-A5","ws-PPB","ws-PPC","ws-11","ws-13","bpns-O6","bpns-NIEUWPOORTKUST8","s-4b","ak-47","ws-53A","ws-53","ws-HW6","ws-18","ws-25B","s-4a","ws-2C","ak-44","ak-42","ws-25A","ws-25","bpns-WK14","me-7-2","ws-STEEN","s-Vlassenbroek","bpns-WZ","M-6","ws-W6","ws-OG10","ws-WN2","ws-TRAWL","ws-DL7","ws-SP3","ws-OGDL","s-Dendermonde","s-3","s-4","ws-GVWSP","ws-DL9","rel_station2","bh-37","ws-A3","rel_station4","ws-F42","bpns-WENDUINEBANKW","ws-DL12","bpns-Whitley","me-7-2b","s-STD3","ws-12","bpns-zbe1","bpns-zbw1","bpns-ZW1","bpns-Trapegeer","bpns-A1BIS","ws-F53","bpns-OH1","bpns-Nauticaena","bpns-Grafton","bpns-LottoBuoy","bpns-WK12","bpns-ZAND4","bpns-ZA2","ws-borssele","bpns-nieuwpoortbank","s-Dendermonde2","s-2a","bpns-middelkerkebank","bpns-Birkenfels","bpns-Cpowerreefballs-CPOD","s-Wichelen","bpns-HD17","bpns-zbw3","bpns-zbe3","bpns-zbe2","bpns-zbw2","bpns-G-88","Rt8","Rt7","Rt6","Rt5","Rt4","Rt3","Rt1","Rt2","bpns-LNG","ru-1","bpns-NieuwpoortSheltered","bpns-Fairplay"
"s-9a",0,241.453062040211,19336.9067968461,22159.8715003318,65837.5138514065,66668.0916552611,67460.833629053,70106.1596494276,70528.2056059288,100437.472979018,12161.1243936108,23410.0519283074,20616.2390347676,15463.1552564179,13523.1958980767,5620.30810751284,5770.34007804079,7638.23250865994,8071.12797589663,46915.8147408305,70079.13143113,89212.9965420112,24251.6328724585,22380.5634797414,47648.1912433874,70206.1530304653,70525.4991085444,71182.6611597994,68195.9166289949,69100.8128442811,69878.6874602319,68899.4728335134,71788.4732718427,71531.2847447386,134123.026394955,153784.307082599,26100.3247688494,30929.0530130261,47359.4759208612,47758.0961963193,48657.5794168376,64756.9525949583,65839.7631399696,29568.5141243135,71237.1564274433,19531.8679413558,8586.84431247342,66941.0435800759,67461.7296689232,104393.959395696,15931.5571470734,88558.0837793185,31049.9449447839,109841.349373689,23348.804383524,89685.9352289021,88434.6882384362,89541.7969831625,89447.6554279418,90680.8948755577,90342.1828625126,87699.5633395228,38518.9052448635,45066.8288412035,40924.682013528,89882.7582847705,89482.3275517978,4249.28941792853,69077.6804560375,69589.9721377052,24983.0177660264,47946.8181378087,134792.367684439,88553.1096155979,156398.545138599,12406.5291509985,26295.3998390962,68212.137235528,108830.150742725,110030.071315178,109861.611348525,162974.682606046,125274.106137484,47928.8054515346,134318.057371083,134070.798793645,133551.502709037,129179.663068225,115731.943322891,108987.373821439,109961.786291772,73046.5754471362,159628.068047488,39293.1773235598,55229.4969231958,145645.709273107,164031.379350401,128922.0173323,60132.5553499798,97557.9269037608,111415.111291865,107533.83932649,108192.354626437,110728.67173375,118124.579393286,48502.2638494662,48955.8366013906,49026.5524755683,49167.9842239228,49238.7000981004,49359.4126627962,49600.8377921891,49530.1219180115,108921.12859174,15931.5571470734,163693.544999455,158619.575913909
"s-9",241.453062040211,0,19578.359858886,22401.3245623717,66078.9669134464,66909.5447173011,67702.2866910929,70347.6127114675,70769.6586679687,100678.926041058,11919.6713315706,23168.5988662672,20374.7859727274,15221.7021943777,13281.7428360365,5378.85504547263,5528.88701600058,7879.68557069988,8312.58103793657,47157.2678028704,70320.5844931699,89454.4496040511,24010.1798104183,22622.0165417813,47889.6443054273,70447.6060925052,70766.9521705844,71424.1142218394,68437.3696910348,69342.2659063211,70120.1405222719,69140.9258955534,72029.9263338826,71772.7378067785,134364.479456995,154025.760144639,25858.8717068092,31170.506075066,47600.9289829011,47999.5492583593,48899.0324788776,64998.4056569983,66081.2162020095,29327.0610622733,71478.6094894833,19773.3210033957,8828.29737451336,67182.4966421159,67703.1827309631,104635.412457736,15690.1040850332,88799.5368413584,30808.4918827437,110082.802435729,23107.3513214838,89927.388290942,88676.1413004761,89783.2500452024,89689.1084899818,90922.3479375976,90583.6359245525,87941.0164015627,38277.4521828233,44825.3757791633,40683.2289514878,90124.2113468105,89723.7806138377,4490.74247996847,69319.1335180774,69831.4251997451,25224.4708280664,48188.2711998486,135033.820746479,88794.5626776378,156639.998200639,12165.0760889583,26536.8529011361,68453.5902975679,109071.603804765,110271.524377218,110103.064410565,163216.135668086,125515.559199523,48170.2585135745,134559.510433123,134312.251855685,133792.955771077,129421.116130265,115973.396384931,109228.826883479,110203.239353811,73288.0285091761,159869.521109528,39051.7242615196,54988.0438611556,145887.162335147,164272.832412441,129163.47039434,59891.1022879395,97799.3799658007,111656.564353905,107775.29238853,108433.807688477,110970.12479579,118366.032455326,48260.810787426,48714.3835393504,48785.099413528,48926.5311618826,48997.2470360602,49117.959600756,49359.3847301489,49288.6688559713,109162.58165378,15690.1040850332,163934.998061495,158861.028975949
"ak-45",19336.9067968461,19578.359858886,0,3983.62636556601,47661.2687166406,48491.8465204953,49284.5884942871,51929.9145146617,52351.960471163,82261.2278442528,31498.0311904566,42746.9587251532,39953.1458316135,34800.0620532637,32860.1026949225,24957.2149043586,25107.2468748866,11698.6742881864,11677.9551045283,28739.5696060647,51902.8862963641,71036.7514072455,43588.5396693043,4204.31834497561,29471.9461086216,52029.9078956995,52349.2539737786,53006.4160250336,50019.671494229,50924.5677095153,51702.4423254661,50723.2276987476,53612.2281370769,53355.0396099728,115946.78126019,135608.061947834,45437.2315656953,12752.8078782603,29183.2307860954,29581.8510615535,30481.3342820718,46580.7074601925,47663.5180052037,48905.4209211594,53060.9112926775,1855.75730766375,12222.962914289,48764.7984453101,49285.4845341573,86217.7142609299,35268.4639439193,70381.8386445528,50386.8517416298,91665.1042389233,42685.7111803698,71509.6900941364,70258.4431036705,71365.5518483968,71271.4102931761,72504.649740792,72165.9377277469,69523.3182047571,57855.8120417094,64403.7356380494,60261.5888103739,71706.5131500048,71306.0824170321,15087.6173789175,50901.4353212716,51413.7270029393,6806.77263126063,29770.5730030429,116616.122549673,70376.8644808322,138222.300003834,31743.4359478443,8119.15470433036,50035.8921007621,90653.9056079597,91853.8261804123,91685.3662137596,144798.437471281,107097.861002718,29752.5603167688,116141.812236318,115894.55365888,115375.257574272,111003.41793346,97555.6981881254,90811.1286866732,91785.5411570059,54870.3303123704,141451.822912723,58630.0841204057,74566.4037200416,127469.464138342,145855.134215636,110745.772197534,79469.4621468255,79381.6817689951,93238.8661570996,89357.5941917239,90016.1094916712,92552.4265989843,99948.3342585208,67839.1706463121,68292.7433982364,68363.4592724141,68504.8910207686,68575.6068949462,68696.319459642,68937.7445890349,68867.0287148573,90744.883456974,35268.4639439193,145517.29986469,140443.330779144
"s-11",22159.8715003318,22401.3245623717,3983.62636556601,0,44060.5550941171,44891.1328979718,45683.8748717636,48329.2008921383,48751.2468486395,78660.5142217293,34320.9958939423,45569.9234286389,42776.1105350992,37623.0267567495,35683.0673984082,27780.1796078444,27930.2115783723,14521.6389916721,14500.9198080141,25138.8559835412,48302.1726738406,67436.037784722,46411.50437279,603.604722452144,25871.2324860981,48429.194273176,48748.5403512551,49405.7024025101,46418.9578717055,47323.8540869918,48101.7287029426,47122.5140762241,50011.5145145534,49754.3259874493,112346.067637666,132007.348325311,48260.196269181,9152.0942557368,25582.5171635719,25981.13743903,26880.6206595483,42979.993837669,44062.8043826803,51728.3856246451,49460.197670154,4720.13244581884,15045.9276177748,45164.0848227866,45684.7709116339,82617.0006384064,38091.428647405,66781.1250220293,53209.8164451155,88064.3906163998,45508.6758838556,67908.9764716129,66657.729481147,67764.8382258733,67670.6966706526,68903.9361182685,68565.2241052234,65922.6045822336,60678.7767451951,67226.7003415351,63084.5535138596,68105.7995274813,67705.3687945086,17910.5820824033,47300.7216987481,47813.0133804158,3206.05900873717,26169.8593805194,113015.40892715,66776.1508583087,134621.586381311,34566.40065133,4518.44108180689,46435.1784782387,87053.1919854362,88253.1125578888,88084.6525912361,141197.723848757,103497.147380194,26151.8466942453,112541.098613794,112293.840036356,111774.543951748,107402.704310936,93954.9845656019,87210.4150641497,88184.8275344824,51269.6166898469,137851.1092902,61453.0488238914,77389.3684235273,123868.750515818,142254.420593113,107145.05857501,82292.4268503112,75780.9681464716,89638.1525345761,85756.8805692004,86415.3958691477,88951.7129764608,96347.6206359973,70662.1353497978,71115.7081017222,71186.4239758998,71327.8557242544,71398.5715984319,71519.2841631277,71760.7092925206,71689.9934183431,87144.1698344505,38091.428647405,141916.586242166,136842.617156621
"ws-16",65837.5138514065,66078.9669134464,47661.2687166406,44060.5550941171,0,1369.27657897524,2576.40222593773,6630.63273509025,7549.93909939592,37459.2064724856,77998.638245017,89247.5657797137,86453.7528861739,81300.6691078241,79360.7097494829,71457.8219589189,71607.8539294468,58199.2813427465,58178.5621590884,18921.6991105758,5857.71390508609,26234.7300354782,90089.1467238648,43456.9503716649,19681.1038314304,7227.88652393299,7547.23260201251,8204.39465326774,2441.27951222211,3636.24429872796,4041.17360882561,3061.95898210708,8868.78971167962,8553.01823820731,71144.759888422,90806.0405760668,91937.8386202558,38815.4077733618,18892.4216037158,18991.0617360606,19790.5515755415,1619.26003156935,995.117687667255,95406.0279757199,9137.63411643061,48397.7747968933,58723.5699688491,1103.52972866959,1624.21581751683,41415.6928891627,81769.0709984797,25579.8172727855,96887.4587961904,46863.082867156,89186.3182349303,26707.6687223691,25456.4217319045,26563.5304766295,26469.3889214089,27702.628369026,27363.9163559802,24721.2968329911,104356.41909627,110904.34269261,106762.195864934,26904.4917782376,26504.0610452661,61588.2244334776,3240.1666046311,4746.97910190729,40854.4960853799,19879.7373448141,71814.1011779057,25574.8431090662,93420.278632067,78244.0430024047,39542.1140123101,3824.96624021709,45851.8842361924,47051.804808645,46883.3448419923,99996.4160995138,62295.8396309503,18861.7908481628,71339.7908645501,71092.5322871121,70573.2362025043,66201.3965616926,52753.676816358,46009.1073149059,46983.5197852386,11181.3849215949,96649.801540956,105130.691174966,121067.010774602,82667.4427665741,101053.11284387,65943.750825767,125970.069201386,34579.6603972279,48436.8447853323,44555.5728199567,45214.0881199039,47750.405227217,55146.3128867534,114339.777700873,114793.350452797,114864.066326975,115005.498075329,115076.213949507,115196.926514202,115438.351643595,115367.635769418,45942.8620852067,81769.0709984797,100715.278492923,95641.3094073768
"ws-14",66668.0916552611,66909.5447173011,48491.8465204953,44891.1328979718,1369.27657897524,0,1207.12564696249,5261.35615611501,6180.66252042068,36089.9298935104,78829.2160488716,90078.1435835683,87284.3306900286,82131.2469116788,80191.2875533376,72288.3997627736,72438.4317333015,59029.8591466012,59009.1399629431,19752.2769144305,4488.43732611092,24865.453456503,90919.7245277194,44287.5281755195,20511.6816352851,5858.60994495775,6177.95602303727,6835.1180742925,1527.82497373371,2432.72118901999,3210.59580497081,2231.38117825228,7763.13639135971,7242.32460559992,69775.4833094468,89436.7639970916,92768.4164241105,39645.9855772165,19722.9994075705,19821.6395399153,20621.1293793955,2988.53661054459,2100.77100798607,96236.6057795746,8031.98079611071,49228.352600748,59554.1477727038,941.60225783609,1115.84421868685,40046.4163101876,82599.6488023344,24210.5406938103,97718.0366000451,45493.8062881808,90016.896038785,25338.3921433939,24087.1451529292,25194.2538976543,25100.1123424337,26333.3517900508,25994.6397770049,23352.0202540158,105186.996900125,111734.920496465,107592.773668789,25535.2151992624,25134.7844662909,62418.8022373323,2731.79500580061,3377.70252293212,41685.0738892345,20710.3151486684,70444.8245989305,24205.566530091,92051.0020530918,79074.6208062594,40372.6918161648,2455.68966124186,44482.6076572172,45682.5282296699,45514.0682630171,98627.1395205386,60926.5630519751,19692.3686520175,69970.5142855749,69723.2557081369,69203.9596235291,64832.1199827174,51384.4002373829,44639.8307359307,45614.2432062634,10075.731601275,95280.5249619808,105961.268978821,121897.588578457,81298.1661875989,99683.8362648944,64574.4742467918,126800.647005241,33210.3838182527,47067.5682063571,43186.2962409815,43844.8115409287,46381.1286482418,53777.0363077782,115170.355504727,115623.928256652,115694.644130829,115836.075879184,115906.791753361,116027.504318057,116268.92944745,116198.213573273,44573.5855062316,82599.6488023344,99346.0019139475,94272.0328284016
"ws-12A",67460.833629053,67702.2866910929,49284.5884942871,45683.8748717636,2576.40222593773,1207.12564696249,0,4054.23050915252,4973.53687345819,34882.8042465479,79621.9580226635,90870.8855573601,88077.0726638204,82923.9888854706,80984.0295271294,73081.1417365654,73231.1737070933,59822.601120393,59801.881936735,20545.0188882224,3281.31167914846,23658.3278095405,91712.4665015113,45080.2701493114,21304.4236090769,4651.48429799526,5000.1218492587,5686.57537369786,1174.45509770356,1639.97921522819,2417.85383117922,1672.97098993247,6848.92547623647,6328.11369047668,68568.3576624843,88229.6383501292,93561.1583979023,40438.7275510083,20515.7413813623,20614.3815137071,21413.8713531872,4195.66225750708,3278.60518176464,97029.3477533664,7117.76988098992,50021.0945745398,60346.8897464957,1855.81317295687,1698.77165645235,38839.2906632251,83392.3907761262,23003.4150468478,98510.7785738369,44286.6806412183,90809.6380125768,24131.2664964314,22880.0195059667,23987.1282506918,23892.9866954712,25126.2261430883,24787.5141300424,22144.8946070533,105979.738873916,112527.662470256,108385.515642581,24328.0895522999,23927.6588193284,63211.5442111241,2983.43896621175,2170.57687596966,42477.8158630264,21503.0571224602,69237.698951968,22998.4408831285,90843.8764061293,79867.3627800512,41165.4337899566,1248.56401427936,43275.4820102547,44475.4025827074,44306.9426160546,97420.0138735761,59719.4374050126,20485.1106258093,68763.3886386125,68516.1300611745,67996.8339765666,63624.9943357549,50177.2745904204,43432.7050889683,44407.1175593009,9161.52068615475,94073.3993150183,106754.010952613,122690.330552249,80091.0405406365,98476.7106179319,63367.3485998293,127593.388979032,32003.2581712902,45860.4425593946,41979.170594019,42637.6858939662,45174.0030012793,52569.9106608157,115963.097478519,116416.670230443,116487.386104621,116628.817852976,116699.533727153,116820.246291849,117061.671421242,116990.955547064,43366.4598592691,83392.3907761262,98138.876266985,93064.9071814391
"ws-15A",70106.1596494276,70347.6127114675,51929.9145146617,48329.2008921383,6630.63273509025,5261.35615611501,4054.23050915252,0,919.306364305668,30828.5737373955,82267.284043038,93516.2115777347,90722.398684195,85569.3149058452,83629.3555475039,75726.46775694,75876.4997274679,62467.9271407677,62447.2079571096,23190.344908597,1065.83356184482,19604.0973003881,94357.7925218858,47725.596169686,23949.7496294515,1241.66619889293,1912.50995518147,2598.96347962008,4189.35322286886,3228.72022183452,3551.08005641984,4015.19505995848,3761.31358216169,3240.50179640026,64514.1271533319,84175.4078409767,96206.4844182768,43084.0535713829,23161.0674017369,23259.7075340817,24059.1973735619,8249.8927666596,7332.83569091716,99674.673773741,4071.56842158844,52666.4205949145,62992.2157668703,5734.29484300583,5255.04712147622,34785.0601540727,86037.7167965008,18949.1845376954,101156.104594211,40232.4501320659,93454.9640329513,20077.035987279,18825.7889968142,19932.8977415394,19838.7561863187,21071.9956339358,20733.2836208899,18090.6640979008,108625.064894291,115172.988490631,111030.841662955,20273.8590431474,19873.4283101759,65856.8702314988,6071.05086028626,2147.27689183884,45123.141883401,24148.3831428349,65183.4684428156,18944.2103739759,86789.6458969768,82512.6888004257,43810.7598103313,2805.66649487316,39221.2515011023,40421.172073555,40252.7121069022,93365.7833644236,55665.2068958602,23130.4366461839,64709.15812946,64461.8995520221,63942.6034674143,59570.7638266025,46123.044081268,39378.4745798158,40352.8870501485,6073.90879208405,90019.1688058658,109399.336972987,125335.656572623,76036.810031484,94422.4801087794,59313.1180906769,130238.714999407,27949.0276621378,41806.2120502422,37924.9400848666,38583.4553848138,41119.7724921269,48515.6801516633,118608.423498894,119061.996250818,119132.712124996,119274.14387335,119344.859747528,119465.572312224,119706.997441616,119636.281567439,39312.2293501167,86037.7167965008,94084.6457578325,89010.6766722866
"ws-15",70528.2056059288,70769.6586679687,52351.960471163,48751.2468486395,7549.93909939592,6180.66252042068,4973.53687345819,919.306364305668,0,29909.26737309,82689.3299995392,93938.2575342359,91144.4446406962,85991.3608623464,84051.4015040052,76148.5137134412,76298.5456839692,62889.9730972689,62869.2539136109,23612.3908650982,1985.1399261494,18684.7909360826,94779.838478387,48147.6421261873,24371.7955859528,777.874615951767,1407.30793757011,1721.06754998515,5108.65958717453,4148.02658614019,4470.38642072414,4934.50142426415,2842.00721785738,2321.19543209595,63594.8207890265,83256.1014766712,96628.5303747781,43506.0995278842,23583.1133582381,23681.7534905829,24481.2433300631,9169.19913096527,8252.14205522282,100096.719730242,3690.59770798505,53088.4665514157,63414.2617233716,6653.6012073115,6174.35348578189,33865.7537897672,86459.762753002,18029.8781733899,101578.150550713,39313.1437677605,93877.0099894525,19157.7296229735,17906.4826325085,19013.5913772339,18919.4498220133,20152.6892696301,19813.9772565842,17171.3577335951,109047.110850792,115595.034447132,111452.887619457,19354.552678842,18954.1219458702,66278.916188,6990.35722459193,3066.58325614451,45545.1878399023,24570.4290993361,64264.1620785101,18024.9040096702,85870.3395326713,82934.734756927,44232.8057668325,3724.97285917883,38301.9451367969,39501.8657092495,39333.4057425967,92446.4770001181,54745.9005315548,23552.4826026851,63789.8517651546,63542.5931877166,63023.2971031088,58651.4574622969,45203.7377169625,38459.1682155104,39433.580685843,5154.60242777975,89099.8624415604,109821.382929488,125757.702529124,75117.5036671785,93503.1737444738,58393.8117263713,130660.760955908,27029.7212978323,40886.9056859368,37005.6337205612,37664.1490205084,40200.4661278215,47596.3737873579,119030.469455395,119484.042207319,119554.758081497,119696.189829851,119766.905704029,119887.618268725,120129.043398118,120058.32752394,38392.9229858112,86459.762753002,93165.3393935271,88091.3703079811
"bpns-W1",100437.472979018,100678.926041058,82261.2278442528,78660.5142217293,37459.2064724856,36089.9298935104,34882.8042465479,30828.5737373955,29909.26737309,0,112598.597372629,123847.524907326,121053.712013786,115900.628235437,113960.668877095,106057.781086531,106207.813057059,92799.240470359,92778.5212867009,53521.6582381882,31601.4925673995,11390.2299062759,124689.105851477,78056.9094992773,54281.0629590427,30231.3199485535,29911.9738704744,29254.8118192194,35017.9269602635,33822.9621737576,33500.9095982938,34521.5625923296,29063.3833803467,28906.1882342802,33685.5534159373,53346.8341035819,126537.797747868,73415.3669009741,53492.3807313281,53591.0208636729,54390.5107031531,39078.4665040549,38161.409428312,130005.987103332,30111.9606325505,82997.7339245058,93323.5290964616,36562.8685804007,36083.6208588709,3956.48641667797,116369.030126092,11879.3891997001,131487.417923803,9403.87639467074,123786.277362543,11663.1818310914,18223.537523054,12718.9641578046,13724.7497939991,15557.9495278431,14819.2639906464,17876.2671868055,138956.378223882,145504.301820222,141362.154992547,14159.8526508282,16259.2564437992,96188.1835610901,36548.1269194733,32712.2273705783,75454.4552129922,54479.6964724261,34354.8947054209,17229.9127473154,55961.072159582,112844.002130017,74142.0731399225,33634.2402322687,8392.67776370759,9592.59833616023,9424.13836950759,62537.2096270286,24836.6331584654,53461.7499757751,33880.5843920654,33633.3258146274,34481.4958514792,30358.2864145733,16910.5666692373,8549.90084242123,9524.31331275388,29845.7565734224,59190.5950684709,139730.650302578,155666.969902214,45208.2362940892,65210.0026967496,30100.6406786485,160570.028328998,4619.95750257175,10977.6383128476,7096.36634747201,7754.88164741918,10291.1987547323,19303.2027396324,148939.736828485,149393.309580409,149464.025454587,149605.457202941,149676.173077119,149796.885641814,150038.310771207,149967.59489703,8483.65561272221,116369.030126092,63256.0720204376,58182.1029348917
