"","99V","114R","85V","74R","72R","46R","31V","25V","71V","90R","38R","18R","13V","2R","StationGIP_Pellerin","50R","33V","40R","27V_DongesSud","24bisR","23V","19V_Mindin","20R_BasseNazaire","17V_Vignettes","29bisV","28R","30R","26R","Tribord_Basse_Nazaire","rel_loire2","rel_loire1","rel_loire3","rel_loire4"
"1",0,149.465358304352,3322.7420599644,5979.52926041073,6317.68435968385,17065.9925401102,17297.823448123,19574.0649248129,6125.80193767061,3182.15708068597,19396.3753085253,22509.902652269,22531.7415481648,27604.9799332991,47014.0222989814,47163.1388252323,62095.8878490822,61657.9817133304,75494.9223505812,83157.823778228,83017.2387989489,84319.4736493373,85604.6454057835,85545.7283121061,73920.9609846341,73964.6387764257,71489.2704980596,75168.1426472695,85720.5476401765,7194.43496644475,411.291437903767,19842.172699482,67590.9893329592
"2",149.465358304352,0,3450.01969031958,6106.80689076591,6444.96199003903,17193.2701704654,17425.1010784782,19701.3425551681,6253.07956802579,3309.43471104115,19523.6529388805,22637.1802826242,22659.01917852,27732.2575636543,47141.2999293365,47290.4164555875,62223.1654794374,61785.2593436856,75622.1999809363,83285.1014085832,83144.5164293041,84446.7512796925,85731.9230361387,85673.0059424613,74048.2386149893,74091.9164067809,71616.5481284148,75295.4202776247,85847.8252705317,7067.15733608957,538.569068258958,19714.8950691268,67718.2669633144
"3",3322.7420599644,3450.01969031958,0,2656.78720044633,2994.94229971945,13743.2504801458,13975.0813881586,16251.3228648485,2803.05987770621,178.575073089293,16073.6332485609,19187.1605923046,19208.9994882004,24282.2378733347,43691.280239017,43840.3967652679,58773.1457891178,58335.239653366,72172.1802906168,79835.0817182636,79694.4967389845,80996.7315893729,82281.9033458191,82222.9862521417,70598.2189246697,70641.8967164613,68166.5284380953,71845.4005873051,82397.8055802121,10517.1770264091,3063.41099730266,23164.9147594464,64268.2472729948
"4",5979.52926041073,6106.80689076591,2656.78720044633,0,338.155099273126,11086.4632796995,11318.2941877123,13594.5356644022,190.648133158207,2835.36227353562,13416.8460481146,16530.3733918582,16552.2122877541,21625.4506728883,41034.4930385707,41183.6095648216,56116.3585886715,55678.4524529197,69515.3930901705,77178.2945178173,77037.7095385382,78339.9443889266,79625.1161453728,79566.1990516954,67941.4317242234,67985.109516015,65509.7412376489,69188.6133868588,79741.0183797658,13173.9642268555,5720.19819774899,25821.7019598928,61611.4600725485
"5",6317.68435968385,6444.96199003903,2994.94229971945,338.155099273126,0,10748.3081804263,10980.1390884391,13256.380565129,229.872515824142,3173.51737280874,13078.6909488414,16192.2182925851,16214.057188481,21287.2955736152,40696.3379392976,40845.4544655485,55778.2034893984,55340.2973536466,69177.2379908973,76840.1394185442,76699.5544392651,78001.7892896535,79286.9610460997,79228.0439524223,67603.2766249503,67646.9544167419,65171.5861383758,68850.4582875857,79402.8632804927,13512.1193261286,6058.35329702212,26159.8570591659,61273.3049732754
"6",17065.9925401102,17193.2701704654,13743.2504801458,11086.4632796995,10748.3081804263,0,231.830908013031,2508.07238470271,10940.1906024396,13921.8255532351,2330.38276841512,5488.28556805715,5510.12446395299,10583.3628490872,29992.4052147697,30141.5217410206,45074.2707648705,44636.3646291188,58473.3052663694,66136.206694016,65995.6217147369,67297.8565651253,68583.0283215715,68524.1112278941,56899.3439004224,56943.021692214,54467.653413848,58146.5255630577,68698.9305559645,24260.4275065549,16806.6614774484,36908.1652395922,50569.3722487476
"7",17297.823448123,17425.1010784782,13975.0813881586,11318.2941877123,10980.1390884391,231.830908013031,0,2276.24147668991,11172.0215104524,14153.6564612479,2098.55186040231,5323.01784389187,5344.85673978771,10418.095124922,29827.1374906044,29976.2540168553,44909.0030407053,44471.0969049535,58308.0375422041,65970.9389698508,65830.3539905716,67132.58884096,68417.7605974062,68358.8435037288,56734.0761762571,56777.7539680487,54302.3856896827,57981.2578388925,68533.6628317992,24492.2584145677,17038.4923854612,37139.996147605,50404.1045245823
"8",19574.0649248129,19701.3425551681,16251.3228648485,13594.5356644022,13256.380565129,2508.07238470271,2276.24147668991,0,13448.2629871423,16429.8979379378,177.68961628782,3135.52727899866,3157.3661748945,8230.60456002876,27639.6469257112,27788.7634519621,42721.5124758121,42283.6063400604,56120.546977311,63783.4484049576,63642.8634256785,64945.0982760669,66230.2700325131,66171.3529388357,54546.585611364,54590.2634031556,52114.8951247896,55793.7672739993,66346.172266906,26768.4998912576,19314.7338621511,39416.2376242948,48216.6139596892
"9",6125.80193767061,6253.07956802579,2803.05987770621,190.648133158207,229.872515824142,10940.1906024396,11172.0215104524,13448.2629871423,0,2981.6349507955,13270.5733708547,16384.1007145984,16405.9396104942,21479.1779956285,40888.2203613108,41037.3368875617,55970.0859114116,55532.1797756598,69369.1204129106,77032.0218405574,76891.4368612783,78193.6717116667,79478.8434681129,79419.9263744355,67795.1590469635,67838.8368387551,65363.4685603891,69042.3407095989,79594.7457025059,13320.2369041153,5866.47087500888,25967.9746371527,61465.1873952887
"10",3182.15708068597,3309.43471104115,178.575073089293,2835.36227353562,3173.51737280874,13921.8255532351,14153.6564612479,16429.8979379378,2981.6349507955,0,16252.2083216502,19365.7356653939,19387.5745612897,24460.812946424,43869.8553121063,44018.9718383572,58951.7208622071,58513.8147264553,72350.7553637061,80013.6567913529,79873.0718120738,81175.3066624622,82460.4784189084,82401.561325231,70776.793997759,70820.4717895506,68345.1035111845,72023.9756603944,82576.3806533014,10338.6019533199,2960.81611183367,22986.3396863571,64446.8223460841
