"","gn-14","gn-13","gn-11","gn-10","gn-9","gn-7","gn-6","gn-5","gn-4","gn-3","gn-2","gn-1","bn-3","bn-2","bn-1","bn-Walem","ru-1","me-7-2b","s-9a","s-10a","ak-41","s-12","ws-53A","ws-borssele","ws-WN2","rel_grotenete1","s-8","s-8a","s-9","s-STD3","ws-42A","ws-HW6","ws-18","ws-16","ws-12A","ws-15","ws-6","s-7","s-6","ws-55","ws-13","s-11","ws-PVTSS","ws-4","gn-8","ws-F42","ws-OGDL","ws-OG10","ws-11","ws-15A","ws-A1","ws-W7","ws-A3","ws-2C","s-4c","s-4b","s-4a","s-5","ws-25A","ws-TRAWL","ws-F53","ws-12","ws-14","ws-A5","ws-STEEN","ws-25B","ws-23","ws-PPC","rel_grotenete3","ws-DL12","rel_grotenete2","ws-DL7","ws-25","ws-53"
"gn-14",0,2389.9443200896,6586.91243376835,7693.97448529044,10549.4993486042,20308.8031272686,23605.7581383814,30289.7243428139,34735.1172810679,38839.1057517721,40977.5160660513,41401.7691824748,43167.3928760361,45240.1154232121,49534.1050083432,54128.0505121788,61553.2251374489,64998.6842653258,77506.9337527606,84973.6618993158,85115.0796047901,99527.043290344,124636.91354363,150210.858381889,166726.886760869,1048.50914452691,71858.3576395621,71558.3532720402,77265.5145914458,103382.663460094,124875.449618192,125913.932741057,142004.24205228,143114.179115753,144758.372548742,147763.924003773,147371.08533973,73958.1378933246,75906.5713175857,124122.676918227,148716.683465814,99568.4676147806,148368.144138157,147761.048991823,15370.5781439334,125024.002183775,164884.091402011,165639.74718873,149023.798469035,147353.940607565,147326.786003344,166398.367177326,146816.809226098,148472.397367352,83714.7281560993,86304.6511634614,89643.0870226313,81059.1335312412,144238.38589944,166682.587424482,125185.439633363,145509.7604125,143965.560360548,146348.256773288,165764.117426771,143087.024511531,145514.020260658,147196.763006134,99.9933810378425,165766.887099186,241.419161315003,167915.307285522,144738.352804628,124985.452871287
"gn-13",2389.9443200896,0,4338.37774435009,5445.43979587217,8300.9646591859,18060.2684378504,21357.2234489631,28041.1896533957,32486.5825916496,36590.5710623538,38728.981376633,39153.2344930565,40918.8581866178,42991.5807337938,47285.5703189249,51879.5158227605,59304.6904480306,62750.1495759075,75258.3990633423,82725.1272098976,82866.5449153719,97278.5086009258,122388.378854212,147962.323692471,164478.352071451,3438.45346461651,69609.8229501439,69309.8185826219,75016.9799020275,101134.128770676,122626.914928774,123665.398051638,139755.707362862,140865.644426334,142509.837859324,145515.389314355,145122.550650311,71709.6032039064,73658.0366281674,121874.142228809,146468.148776396,97319.9329253623,146119.609448738,145512.514302405,13122.0434545151,122775.467494356,162635.556712593,163391.212499312,146775.263779616,145105.405918147,145078.251313925,164149.832487908,144568.274536679,146223.862677934,81466.193466681,84056.1164740431,87394.5523332131,78810.5988418229,141989.851210021,164434.052735064,122936.904943945,143261.225723082,141717.025671129,144099.72208387,163515.582737353,140838.489822112,143265.48557124,144948.228316716,2431.3605697233,163518.352409768,2631.36348140461,165666.772596103,142489.81811521,122736.918181869
"gn-11",6586.91243376835,4338.37774435009,0,1107.06205152208,3962.58691483582,13721.8906935003,17018.845704613,23702.8119090456,28148.2048472996,32252.1933180037,34390.6036322829,34814.8567487064,36580.4804422677,38653.2029894437,42947.1925745748,47541.1380784104,54966.3127036805,58411.7718315574,70920.0213189923,78386.7494655475,78528.1671710218,92940.1308565757,118050.001109862,143623.945948121,160139.974327101,7635.42157829526,65271.4452057938,64971.4408382719,70678.6021576775,96795.751026326,118288.537184424,119327.020307288,135417.329618512,136527.266681984,138171.460114974,141177.011570005,140784.172905961,67371.2254595563,69319.6588838173,117535.764484459,142129.771032046,92981.5551810123,141781.231704388,141174.136558055,8783.665710165,118437.089750006,158297.178968243,159052.834754961,142436.886035266,140767.028173797,140739.873569575,159811.454743558,140229.896792329,141885.484933584,77127.815722331,79717.7387296931,83056.174588863,74472.2210974729,137651.473465671,160095.674990714,118598.527199595,138922.847978732,137378.647926779,139761.34433952,159177.204993003,136500.112077762,138927.10782689,140609.850572366,6628.32868340205,159179.974665417,6828.33159508335,161328.394851753,138151.44037086,118398.540437519
"gn-10",7693.97448529044,5445.43979587217,1107.06205152208,0,2855.52486331373,12614.8286419782,15911.783653091,22595.7498575235,27041.1427957775,31145.1312664817,33283.5415807608,33707.7946971843,35473.4183907456,37546.1409379216,41840.1305230527,46434.0760268883,53859.2506521584,57304.7097800353,69812.9592674702,77279.6874140255,77421.1051194997,91833.0688050536,116942.93905834,142516.883896599,159032.912275578,8742.48362981734,64164.3831542717,63864.3787867498,69571.5401061554,95688.688974804,117181.475132902,118219.958255766,134310.26756699,135420.204630462,137064.398063452,140069.949518483,139677.110854439,66264.1634080343,68212.5968322953,116428.702432937,141022.708980524,91874.4931294902,140674.169652866,140067.074506533,7676.60365864291,117330.027698484,157190.11691672,157945.772703439,141329.823983744,139659.966122275,139632.811518053,158704.392692036,139122.834740807,140778.422882062,76020.7536708089,78610.676678171,81949.112537341,73365.1590459508,136544.411414149,158988.612939192,117491.465148073,137815.78592721,136271.585875257,138654.282287998,158070.142941481,135393.05002624,137820.045775368,139502.788520844,7735.39073492413,158072.912613895,7935.39364660544,160221.332800231,137044.378319338,117291.478385997
"gn-9",10549.4993486042,8300.9646591859,3962.58691483582,2855.52486331373,0,9817.88091006855,13114.8359211813,19798.8021256139,24244.1950638679,28348.183534572,30486.5938488512,30910.8469652747,32676.470658836,34749.193206012,39043.1827911431,43637.1282949787,51062.3029202488,54507.7620481257,67016.0115355606,74482.7396821159,74624.1573875902,89036.1210731441,114145.991326431,139719.936164689,156235.964543669,11598.0084931311,61367.4354223621,61067.4310548401,66774.5923742458,92891.7412428944,114384.527400992,115423.010523857,131513.31983508,132623.256898553,134267.450331542,137273.001786573,136880.16312253,63467.2156761246,65415.6491003857,113631.754701027,138225.761248614,89077.5453975806,137877.221920957,137270.126774623,4879.6559267333,114533.079966575,154393.169184811,155148.82497153,138532.876251835,136863.018390365,136835.863786144,155907.444960126,136325.887008897,137981.475150152,73223.8059388993,75813.7289462614,79152.1648054314,70568.2113140412,133747.463682239,156191.665207282,114694.517416163,135018.8381953,133474.638143347,135857.334556088,155273.195209571,132596.102294331,135023.098043458,136705.840788934,10590.9155982379,155275.964881986,10790.9185099192,157424.385068322,134247.430587428,114494.530654088
"gn-7",20308.8031272686,18060.2684378504,13721.8906935003,12614.8286419782,9817.88091006855,0,3296.95501111277,9980.92121554535,14426.3141537993,18530.3026245035,20668.7129387827,21092.9660552061,22858.5897487674,24931.3122959434,29225.3018810745,33819.2473849101,41244.4220101802,44689.8811380571,57198.130625492,64664.8587720474,64806.2764775217,79218.2401630756,104328.110416362,129902.055254621,146418.0836336,21357.3122717955,51549.5545122935,51249.5501447715,56956.7114641772,83073.8603328259,104566.646490924,105605.129613788,121695.438925012,122805.375988484,124449.569421474,127455.120876505,127062.282212461,53649.334766056,55597.7681903171,103813.873790959,128407.880338545,79259.6644875121,128059.341010888,127452.245864554,4938.22498333526,104715.199056506,144575.288274742,145330.944061461,128714.995341766,127045.137480296,127017.982876075,146089.564050057,126508.006098829,128163.594240083,63405.9250288309,65995.848036193,69334.2838953629,60750.3304039727,123929.582772171,146373.784297213,104876.636506094,125200.957285231,123656.757233279,126039.45364602,145455.314299502,122778.221384262,125205.217133389,126887.959878866,20350.2193769023,145458.083971917,20550.2222885836,147606.504158253,124429.549677359,104676.649744019
"gn-6",23605.7581383814,21357.2234489631,17018.845704613,15911.783653091,13114.8359211813,3296.95501111277,0,6683.96620443257,11129.3591426865,15233.3476133907,17371.7579276699,17796.0110440934,19561.6347376547,21634.3572848307,25928.3468699617,30522.2923737973,37947.4669990674,41392.9261269443,53901.1756143793,61367.9037609346,61509.3214664089,75921.2851519629,101031.155405249,126605.100243508,143121.128622487,24654.2672829083,48252.5995011807,47952.5951336587,53659.7564530644,79776.9053217132,101269.691479811,102308.174602675,118398.483913899,119508.420977371,121152.614410361,124158.165865392,123765.327201348,50352.3797549432,52300.8131792043,100516.918779846,125110.925327433,75962.7094763994,124762.385999775,124155.290853442,8235.17999444803,101418.244045393,141278.333263629,142033.989050348,125418.040330653,123748.182469184,123721.027864962,142792.609038944,123211.051087716,124866.639228971,60108.9700177181,62698.8930250802,66037.3288842502,57453.3753928599,120632.627761058,143076.829286101,101579.681494982,121904.002274119,120359.802222166,122742.498634907,142158.359288389,119481.266373149,121908.262122277,123591.004867753,23647.1743880151,142161.128960804,23847.1772996964,144309.54914714,121132.594666247,101379.694732906
"gn-5",30289.7243428139,28041.1896533957,23702.8119090456,22595.7498575235,19798.8021256139,9980.92121554535,6683.96620443257,0,4503.97006965809,8607.95854036228,10746.3688546415,11170.6219710649,12936.2456646262,15008.9682118022,19302.9577969333,23896.9033007689,31322.0779260389,34767.5370539158,47275.7865413508,54742.5146879061,54883.9323933804,69295.8960789345,94405.766332221,119979.711170479,136495.739549459,31338.2334873408,41627.2104281522,41327.2060606302,47034.3673800359,73151.5162486848,94644.3024067828,95682.7855296471,111773.094840871,112883.031904343,114527.225337332,117532.776792363,117139.93812832,43726.9906819147,45675.4241061758,93891.5297068179,118485.536254404,69337.320403371,118136.996926747,117529.901780413,14919.1461988806,94792.854972365,134652.944190601,135408.59997732,118792.651257625,117122.793396155,117095.638791934,136167.219965916,116585.662014688,118241.250155942,53483.5809446896,56073.5039520517,59411.9398112217,50827.9863198314,114007.23868803,136451.440213072,94954.2924219534,115278.61320109,113734.413149138,116117.109561878,135532.970215361,112855.877300121,115282.873049248,116965.615794725,30331.1405924476,135535.739887776,30531.1435041289,137684.160074111,114507.205593218,94754.305659878
"gn-4",34735.1172810679,32486.5825916496,28148.2048472996,27041.1427957775,24244.1950638679,14426.3141537993,11129.3591426865,4503.97006965809,0,4186.83711957727,6325.24743385645,6749.50055027991,8515.12424384122,10587.8467910172,14881.8363761483,19475.7818799839,26900.9565052539,30346.4156331307,42854.6651205657,50321.3932671211,50462.8109725954,64874.7746581495,89984.644911436,115558.589749694,132074.618128674,35783.6264255948,37206.0890073672,36906.0846398452,42613.2459592509,68730.3948278998,90223.1809859979,91261.6641088621,107351.973420086,108461.910483558,110106.103916547,113111.655371578,112718.816707535,39305.8692611297,41254.3026853908,89470.4082860329,114064.414833619,64916.1989825861,113715.875505962,113108.780359628,19364.5391371346,90371.73355158,130231.822769816,130987.478556534,114371.52983684,112701.67197537,112674.517371149,131746.098545131,112164.540593903,113820.128735157,49062.4595239045,51652.3825312667,54990.8183904367,46406.8648990464,109586.117267245,132030.318792287,90533.1710011684,110857.491780305,109313.291728353,111695.988141093,131111.848794576,108434.755879336,110861.751628463,112544.49437394,34776.5335307016,131114.61846699,34976.5364423829,133263.038653326,110086.084172433,90333.184239093
"gn-3",38839.1057517721,36590.5710623538,32252.1933180037,31145.1312664817,28348.183534572,18530.3026245035,15233.3476133907,8607.95854036228,4186.83711957727,0,2138.41031427918,2562.66343070264,4328.28712426395,6401.00967143992,10694.999256571,15288.9447604066,22714.1193856767,26159.5785135535,38667.8280009884,46134.5561475438,46275.9738530181,60687.9375385722,85797.8077918588,111371.752630117,127887.781009096,39887.614896299,33019.2518877899,32719.2475202679,38426.4088396736,64543.5577083226,86036.3438664206,87074.8269892849,103165.136300508,104275.073363981,105919.26679697,108924.818252001,108531.979587958,35119.0321415524,37067.4655658135,85283.5711664557,109877.577714042,60729.3618630088,109529.038386385,108921.943240051,23468.5276078388,86184.8964320028,126044.985650238,126800.641436957,110184.692717263,108514.834855793,108487.680251572,127559.261425553,107977.703474326,109633.29161558,44875.6224043272,47465.5454116894,50803.9812708594,42220.0277794691,105399.280147667,127843.48167271,86346.3338815912,106670.654660728,105126.454608776,107509.151021516,126925.011674999,104247.918759759,106674.914508886,108357.657254362,38880.5220014058,126927.781347413,39080.5249130871,129076.201533749,105899.247052856,86146.3471195158
