"","gn-14","gn-13","gn-11","gn-10","gn-9","gn-7","gn-6","gn-5","gn-4","gn-3","gn-2","gn-1","bn-3","bn-2","bn-1","bn-Walem","ru-1","me-7-2b","s-9a","s-10a","ak-41","s-12","ws-53A","ws-borssele","ws-WN2","rel_grotenete1","s-8","s-8a","s-9","s-STD3","ws-42A","ws-HW6","ws-18","ws-16","ws-12A","ws-15","ws-6","s-7","s-6","ws-55","ws-13","s-11","ws-PVTSS","ws-4","gn-8","ws-F42","ws-OGDL","ws-OG10","ws-11","ws-15A","ws-A1","ws-W7","ws-A3","ws-2C","s-4c","s-4b","s-4a","s-5","ws-25A","ws-TRAWL","ws-F53","ws-12","ws-14","ws-A5","ws-STEEN","ws-25B","ws-23","ws-PPC","rel_grotenete3","ws-DL12","rel_grotenete2","ws-DL7","ws-25","ws-53"
"gn-2",40977.5160660513,38728.981376633,34390.6036322829,33283.5415807608,30486.5938488512,20668.7129387827,17371.7579276699,10746.3688546415,6325.24743385645,2138.41031427918,0,424.253116423457,2189.87680998476,4262.59935716074,8556.58894229184,13150.5344461274,20575.7090713975,24021.1681992743,36529.4176867092,43996.1458332646,44137.5635387389,58549.527224293,83659.3974775796,109233.342315838,125749.370694817,42026.0252105782,30880.8415735107,30580.8372059887,36287.9985253944,62405.1473940434,83897.9335521415,84936.4166750058,101026.725986229,102136.663049702,103780.856482691,106786.407937722,106393.569273678,32980.6218272732,34929.0552515343,83145.1608521765,107739.167399763,58590.9515487296,107390.628072105,106783.532925772,25606.9379221179,84046.4861177237,123906.575335959,124662.231122678,108046.282402983,106376.424541514,106349.269937292,125420.851111274,105839.293160046,107494.881301301,42737.212090048,45327.1350974102,48665.5709565802,40081.6174651899,103260.869833388,125705.07135843,84207.9235673121,104532.244346449,102988.044294497,105370.740707237,124786.601360719,102109.50844548,104536.504194607,106219.246940083,41018.932315685,124789.371033134,41218.9352273663,126937.79121947,103760.836738577,84007.9368052366
"gn-1",41401.7691824748,39153.2344930565,34814.8567487064,33707.7946971843,30910.8469652747,21092.9660552061,17796.0110440934,11170.6219710649,6749.50055027991,2562.66343070264,424.253116423457,0,1765.62369356131,3838.34624073729,8132.33582586838,12726.281329704,20151.455954974,23596.9150828509,36105.1645702858,43571.8927168411,43713.3104223154,58125.2741078696,83235.1443611562,108809.089199415,125325.117578394,42450.2783270017,30456.5884570872,30156.5840895653,35863.7454089709,61980.8942776199,83473.680435718,84512.1635585823,100602.472869806,101712.409933278,103356.603366268,106362.154821299,105969.316157255,32556.3687108497,34504.8021351108,82720.9077357531,107314.91428334,58166.6984323061,106966.374955682,106359.279809349,26031.1910385414,83622.2330013002,123482.322219536,124237.978006255,107622.02928656,105952.17142509,105925.016820869,124996.597994851,105415.040043623,107070.628184878,42312.9589736246,44902.8819809867,48241.3178401567,39657.3643487664,102836.616716965,125280.818242007,83783.6704508886,104107.991230026,102563.791178073,104946.487590814,124362.348244296,101685.255329056,104112.251078183,105794.99382366,41443.1854321085,124365.117916711,41643.1883437898,126513.538103046,103336.583622153,83583.6836888132
"bn-3",43167.3928760361,40918.8581866178,36580.4804422677,35473.4183907456,32676.470658836,22858.5897487674,19561.6347376547,12936.2456646262,8515.12424384122,4328.28712426395,2189.87680998476,1765.62369356131,0,2072.72254717598,6366.71213230708,10960.6576361426,18385.8322614127,21831.2913892896,34339.5408767244,41806.2690232798,41947.6867287541,56359.6504143082,81469.5206675949,107043.465505853,123559.493884832,44215.902020563,28690.9647635259,28390.960396004,34098.1217154096,60215.2705840586,81708.0567421567,82746.539865021,98836.8491762446,99946.7862397169,101590.979672706,104596.531127737,104203.692463694,30790.7450172884,32739.1784415495,80955.2840421918,105549.290589778,56401.0747387448,105200.751262121,104593.656115787,27796.8147321027,81856.6093077389,121716.698525975,122472.354312693,105856.405592999,104186.547731529,104159.393127308,123230.974301289,103649.416350062,105305.004491316,40547.3352800632,43137.2582874254,46475.6941465954,37891.7406552051,101070.993023404,123515.194548446,82018.0467573273,102342.367536464,100798.167484512,103180.863897252,122596.724550735,99919.6316354948,102346.627384622,104029.370130098,43208.8091256698,122599.494223149,43408.8120373511,124747.914409485,101570.959928592,81818.0599952519
"bn-2",45240.1154232121,42991.5807337938,38653.2029894437,37546.1409379216,34749.193206012,24931.3122959434,21634.3572848307,15008.9682118022,10587.8467910172,6401.00967143992,4262.59935716074,3838.34624073729,2072.72254717598,0,4293.9895851311,8887.93508896666,16313.1097142368,19758.5688421136,32266.8183295485,39733.5464761038,39874.9641815781,54286.9278671323,79396.7981204189,104970.742958677,121486.771337656,46288.624567739,26618.24221635,26318.237848828,32025.3991682336,58142.5480368826,79635.3341949808,80673.8173178451,96764.1266290686,97874.0636925409,99518.2571255304,102523.808580561,102130.969916518,28718.0224701125,30666.4558943735,78882.5614950158,103476.568042602,54328.3521915688,103128.028714945,102520.933568611,29869.5372792787,79783.8867605629,119643.975978799,120399.631765517,103783.683045823,102113.825184353,102086.670580132,121158.251754114,101576.693802886,103232.28194414,38474.6127328873,41064.5357402494,44402.9715994194,35819.0181080291,98998.2704762276,121442.47200127,79945.3242101513,100269.644989288,98725.4449373358,101108.141350076,120524.002003559,97846.9090883189,100273.904837446,101956.647582923,45281.5316728458,120526.771675973,45481.5345845271,122675.191862309,99498.2373814162,79745.3374480759
"bn-1",49534.1050083432,47285.5703189249,42947.1925745748,41840.1305230527,39043.1827911431,29225.3018810745,25928.3468699617,19302.9577969333,14881.8363761483,10694.999256571,8556.58894229184,8132.33582586838,6366.71213230708,4293.9895851311,0,4593.94550383556,12019.1201291056,15464.5792569825,27972.8287444174,35439.5568909727,35580.974596447,49992.9382820011,75102.8085352879,100676.753373546,117192.781752525,50582.6141528701,22324.2526312189,22024.2482636969,27731.4095831025,53848.5584517515,75341.3446098498,76379.8277327141,92470.1370439376,93580.0741074099,95224.2675403993,98229.8189954304,97836.9803313868,24424.0328849814,26372.4663092424,74588.5719098848,99182.5784574713,50034.3626064377,98834.0391298137,98226.9439834803,34163.5268644097,75489.8971754319,115349.986393668,116105.642180386,99489.6934606917,97819.8355992221,97792.6809950007,116864.262168983,97282.7042177547,98938.2923590093,34180.6231477561,36770.5461551183,40108.9820142883,31525.028522898,94704.2808910966,117148.482416139,75651.3346250203,95975.6554041572,94431.4553522048,96814.1517649454,116230.012418428,93552.9195031878,95979.9152523151,97662.6579977915,49575.5212579769,116232.782090842,49775.5241696582,118381.202277178,95204.2477962852,75451.3478629449
"bn-Walem",54128.0505121788,51879.5158227605,47541.1380784104,46434.0760268883,43637.1282949787,33819.2473849101,30522.2923737973,23896.9033007689,19475.7818799839,15288.9447604066,13150.5344461274,12726.281329704,10960.6576361426,8887.93508896666,4593.94550383556,0,7425.17462527007,10870.6337531469,23378.8832405818,30845.6113871371,30987.0290926114,45398.9927781655,70508.8630314524,96082.8078697109,112598.83624869,55176.5596567057,17730.3071273833,17430.3027598614,23137.464079267,49254.6129479159,70747.3991060143,71785.8822288786,87876.1915401021,88986.1286035744,90630.3220365639,93635.8734915949,93243.0348275513,19830.0873811458,21778.5208054069,69994.6264060493,94588.6329536358,45440.4171026021,94240.0936259782,93632.9984796448,38757.4723682453,70895.9516715964,110756.040889832,111511.696676551,94895.7479568563,93225.8900953866,93198.7354911653,112270.316665147,92688.7587139192,94344.3468551738,29586.6776439206,32176.6006512827,35515.0365104527,26931.0830190625,90110.3353872611,112554.536912303,71057.3891211848,91381.7099003217,89837.5098483693,92220.2062611099,111636.066914592,88958.9739993524,91385.9697484796,93068.712493956,54169.4667618125,111638.836587007,54369.4696734938,113787.256773343,90610.3022924497,70857.4023591094
"ru-1",61553.2251374489,59304.6904480306,54966.3127036805,53859.2506521584,51062.3029202488,41244.4220101802,37947.4669990674,31322.0779260389,26900.9565052539,22714.1193856767,20575.7090713975,20151.455954974,18385.8322614127,16313.1097142368,12019.1201291056,7425.17462527007,0,3445.45912787687,15953.7086153118,23420.4367618671,23561.8544673413,37973.8181528954,63083.6884061824,88657.6332444409,105173.66162342,62601.7342819758,10305.1325021133,10005.1281345913,15712.289453997,41829.4383226458,63322.2244807443,64360.7076036086,80451.0169148321,81560.9539783044,83205.1474112939,86210.6988663249,85817.8602022813,12404.9127558758,14353.3461801368,62569.4517807793,87163.4583283659,38015.2424773319,86814.9190007083,86207.8238543748,46182.6469935155,63470.7770463264,103330.866264562,104086.522051281,87470.5733315863,85800.7154701167,85773.5608658953,104845.142039877,85263.5840886493,86919.1722299039,22161.5030186505,24751.4260260126,28089.8618851826,19505.9083937924,82685.1607619911,105129.362287033,63632.2144959148,83956.5352750518,82412.3352230993,84795.0316358399,104210.892289322,81533.7993740824,83960.7951232097,85643.537868686,61594.6413870826,104213.661961737,61794.6442987639,106362.082148073,83185.1276671798,63432.2277338394
"me-7-2b",64998.6842653258,62750.1495759075,58411.7718315574,57304.7097800353,54507.7620481257,44689.8811380571,41392.9261269443,34767.5370539158,30346.4156331307,26159.5785135535,24021.1681992743,23596.9150828509,21831.2913892896,19758.5688421136,15464.5792569825,10870.6337531469,3445.45912787687,0,12508.249487435,19974.9776339902,20116.3953394645,34528.3590250185,59638.2292783056,85212.1741165641,101728.202495543,66047.1934098527,6859.67337423643,6559.66900671446,12266.8303261201,38383.9791947689,59876.7653528674,60915.2484757317,77005.5577869553,78115.4948504276,79759.6882834171,82765.2397384481,82372.4010744045,8959.45362799893,10907.88705226,59123.9926529024,83717.9992004891,34569.7833494551,83369.4598728315,82762.364726498,49628.1061213924,60025.3179184496,99885.4071366853,100641.062923404,84025.1142037095,82355.2563422399,82328.1017380185,101399.682912,81818.1249607725,83473.7131020271,18716.0438907737,21305.9668981358,24644.4027573058,16060.4492659156,79239.7016341143,101683.903159156,60186.755368038,80511.076147175,78966.8760952226,81349.5725079632,100765.433161445,78088.3402462056,80515.3359953329,82198.0787408092,65040.1005149595,100768.20283386,65240.1034266408,102916.623020196,79739.668539303,59986.7686059625
"s-9a",77506.9337527606,75258.3990633423,70920.0213189923,69812.9592674702,67016.0115355606,57198.130625492,53901.1756143793,47275.7865413508,42854.6651205657,38667.8280009884,36529.4176867092,36105.1645702858,34339.5408767244,32266.8183295485,27972.8287444174,23378.8832405818,15953.7086153118,12508.249487435,0,7466.72814655529,7608.14585202956,22020.1095375836,47129.9797908706,72703.9246291292,89219.9530081083,78555.4428972876,5648.57611319853,5948.58048072049,241.419161314839,25875.729707334,47368.5158654324,48406.9989882967,64497.3082995204,65607.2453629927,67251.4387959822,70256.9902510132,69864.1515869696,13400.9581590318,15349.3915832929,46615.7431654675,71209.7497130542,22061.5338620201,70861.2103853966,70254.1152390631,62136.3556088273,47517.0684310146,87377.1576492504,88132.8134359692,71516.8647162746,69847.006854805,69819.8522505836,88891.4334245653,69309.8754733376,70965.4636145922,23157.5484218066,25747.4714291687,29085.9072883387,20501.9537969485,66731.4521466794,89175.6536717216,47678.505880603,68002.8266597401,66458.6266077876,68841.3230205282,88257.1836740105,65580.0907587707,68007.086507898,69689.8292533743,77548.3500023944,88259.9533464251,77748.3529140757,90408.373532761,67231.4190518681,47478.5191185275
"s-10a",84973.6618993158,82725.1272098976,78386.7494655475,77279.6874140255,74482.7396821159,64664.8587720474,61367.9037609346,54742.5146879061,50321.3932671211,46134.5561475438,43996.1458332646,43571.8927168411,41806.2690232798,39733.5464761038,35439.5568909727,30845.6113871371,23420.4367618671,19974.9776339902,7466.72814655529,0,141.417705474266,14553.3813910283,39663.2516443152,65237.196482574,81753.2248615531,86022.1710438428,13115.3042597538,13415.3086272758,7708.14730787013,18409.0015607787,39901.7877188771,40940.2708417414,57030.5801529651,58140.5172164374,59784.7106494269,62790.262104458,62397.4234404144,20867.6863055871,22816.1197298482,39149.0150189121,63743.021566499,14594.8057154649,63394.4822388414,62787.3870925079,69603.0837553826,40050.3402844592,79910.4295026952,80666.085289414,64050.1365697194,62380.2787082497,62353.1241040283,81424.7052780102,61843.1473267823,63498.7354680369,30624.2765683618,33214.1995757239,36552.635434894,27968.6819435037,59264.7240001241,81708.9255251664,40211.7777340476,60536.0985131848,58991.8984612323,61374.594873973,80790.4555274553,58113.3626122153,60540.3583613427,62223.1011068191,85015.0781489496,80793.22519987,85215.0810606309,82941.6453862058,59764.6909053127,40011.7909719722
"ak-41",85115.0796047901,82866.5449153719,78528.1671710218,77421.1051194997,74624.1573875902,64806.2764775217,61509.3214664089,54883.9323933804,50462.8109725954,46275.9738530181,44137.5635387389,43713.3104223154,41947.6867287541,39874.9641815781,35580.974596447,30987.0290926114,23561.8544673413,20116.3953394645,7608.14585202956,141.417705474266,0,14411.963685554,39521.833938841,65095.7787770998,81611.8071560788,86163.588749317,13256.7219652281,13556.7263327501,7849.5650133444,18267.5838553044,39760.3700134028,40798.8531362671,56889.1624474908,57999.0995109631,59643.2929439526,62648.8443989837,62256.0057349401,21009.1040110614,22957.5374353224,39007.5973134378,63601.6038610247,14453.3880099906,63253.0645333671,62645.9693870336,69744.5014608568,39908.922578985,79769.011797221,80524.6675839397,63908.7188642451,62238.8610027754,62211.7063985541,81283.2875725359,61701.729621308,63357.3177625627,30765.6942738361,33355.6172811982,36694.0531403682,28110.099648978,59123.3062946499,81567.5078196921,40070.3600285734,60394.6808077105,58850.4807557581,61233.1771684987,80649.037821981,57971.9449067411,60398.9406558684,62081.6834013448,85156.4958544238,80651.8074943957,85356.4987661051,82800.2276807316,59623.2731998385,39870.3732664979
"s-12",99527.043290344,97278.5086009258,92940.1308565757,91833.0688050536,89036.1210731441,79218.2401630756,75921.2851519629,69295.8960789345,64874.7746581495,60687.9375385722,58549.527224293,58125.2741078696,56359.6504143082,54286.9278671323,49992.9382820011,45398.9927781655,37973.8181528954,34528.3590250185,22020.1095375836,14553.3813910283,14411.963685554,0,25109.8702532869,50683.8150915457,67199.843470525,100575.552434871,27668.6856507821,27968.6900183041,22261.5286988984,3855.62016975038,25348.4063278487,26386.8894507131,42477.1987619367,43587.135825409,45231.3292583985,48236.8807134296,47844.042049386,35421.0676966154,37369.5011208764,24595.6336278838,49189.6401754706,300.004367521964,48841.100847813,48234.0057014795,84156.4651464107,25496.9588934309,65357.0481116671,66112.7038983858,49496.755178691,47826.8973172213,47799.7427129999,66871.323886982,47289.7659357539,48945.3540770086,45177.6579593902,47767.5809667523,51106.0168259223,42522.0633345321,44711.3426090957,67155.5441341383,25658.3963430193,45982.7171221564,44438.5170702039,46821.2134829446,66237.0741364272,43559.981221187,45986.9769703143,47669.7197157907,99568.4595399777,66239.8438088418,99768.462451659,68388.2639951777,45211.3095142844,25458.4095809439
"ws-53A",124636.91354363,122388.378854212,118050.001109862,116942.93905834,114145.991326431,104328.110416362,101031.155405249,94405.766332221,89984.644911436,85797.8077918588,83659.3974775796,83235.1443611562,81469.5206675949,79396.7981204189,75102.8085352879,70508.8630314524,63083.6884061824,59638.2292783056,47129.9797908706,39663.2516443152,39521.833938841,25109.8702532869,0,25988.1880826241,42504.2164616033,125685.422688158,52778.5559040692,53078.5602715911,47371.3989521854,21254.2500835365,1424.26767482934,2682.8703511249,17781.5717530151,18891.5088164874,20535.7022494769,23541.253704508,23148.4150404644,60530.9379499025,62479.3713741635,1041.43080804016,24494.013166549,25351.2974894048,24145.4738388914,23538.3786925579,109266.335399697,2065.69265950754,40661.4211027454,41417.0768894642,24801.1281697694,23131.2703082997,23104.1157040783,42175.6968780604,22594.1389268323,24249.727068087,70287.5282126771,72877.4512200392,76215.8870792092,67631.9335878191,20015.7156001741,42459.9171252166,724.257483944762,21287.0901132348,19742.8900612823,22125.586474023,41541.4471275055,18864.3542122654,21291.3499613927,22974.0927068691,124678.329793264,41544.2167999202,124878.332704946,43692.6369862561,20515.6825053628,641.424984677539
