"","gn-13","gn-11","gn-9","gn-8","gn-7","gn-6","gn-5","gn-4","gn-2","gn-1","bn-2","bn-Walem","ru-1","s-8a","s-10a","rel_grotenete3","s-11","gn-14","bn-1","s-9","s-STD3","ws-F42","ws-HW6","rel_kleinenete1","rel_kleinenete2","gn-10","gn-3","ws-42A","rel_grotenete1","me-7-2b","ws-F53","rel_grotenete2","rel_nete1","rel_nete2","rel_ruppel1","s-9a","s-8","s-12","ws-55","ws-51","ws-53A"
"gn-13",0,4338.37774435009,8300.9646591859,13122.0434545151,18060.2684378504,21357.2234489631,28041.1896533957,32486.5825916496,38728.981376633,39153.2344930565,42991.5807337938,51879.5158227605,59304.6904480306,69309.8185826219,82725.1272098976,2289.94286424895,97178.515219888,2389.9443200896,47285.5703189249,75016.9799020275,101134.128770676,122775.467494356,123665.398051638,56396.4192252435,81216.1334870048,5445.43979587217,36590.5710623538,122626.914928774,3438.45346461651,62750.1495759075,122936.904943945,5445.43979587217,43033.0050582303,39977.4692084331,63598.655808753,75258.3990633423,69609.8229501439,97278.5086009258,121874.142228809,123368.292920475,122388.378854212
"gn-11",4338.37774435009,0,3962.58691483582,8783.665710165,13721.8906935003,17018.845704613,23702.8119090456,28148.2048472996,34390.6036322829,34814.8567487064,38653.2029894437,47541.1380784104,54966.3127036805,64971.4408382719,78386.7494655475,6486.9109779277,92840.137475538,6586.91243376835,42947.1925745748,70678.6021576775,96795.751026326,118437.089750006,119327.020307288,52058.0414808934,76877.7557426548,1107.06205152208,32252.1933180037,118288.537184424,7635.42157829526,58411.7718315574,118598.527199595,1107.06205152208,38694.6273138802,35639.0914640829,59260.2780644029,70920.0213189923,65271.4452057938,92940.1308565757,117535.764484459,119029.915176125,118050.001109862
"gn-9",8300.9646591859,3962.58691483582,0,4879.6559267333,9817.88091006855,13114.8359211813,19798.8021256139,24244.1950638679,30486.5938488512,30910.8469652747,34749.193206012,43637.1282949787,51062.3029202488,61067.4310548401,74482.7396821159,10449.4978927635,88936.1276921063,10549.4993486042,39043.1827911431,66774.5923742458,92891.7412428944,114533.079966575,115423.010523857,48154.0316974616,72973.7459592231,2855.52486331373,28348.183534572,114384.527400992,11598.0084931311,54507.7620481257,114694.517416163,2855.52486331373,34790.6175304485,31735.0816806512,55356.2682809711,67016.0115355606,61367.4354223621,89036.1210731441,113631.754701027,115125.905392693,114145.991326431
"gn-8",13122.0434545151,8783.665710165,4879.6559267333,0,4938.22498333526,8235.17999444803,14919.1461988806,19364.5391371346,25606.9379221179,26031.1910385414,29869.5372792787,38757.4723682453,46182.6469935155,56187.7751281068,69603.0837553826,15270.5766880927,84056.4717653731,15370.5781439334,34163.5268644098,61894.9364475125,88012.0853161611,109653.424039841,110543.354597123,43274.3757707283,68094.0900324899,7676.60365864291,23468.5276078388,109504.871474259,16419.0872884603,49628.1061213923,109814.86148943,7676.60365864291,29910.9616037152,26855.425753918,50476.6123542378,62136.3556088273,56487.7794956288,84156.4651464108,108752.098774294,110246.24946596,109266.335399697
"gn-7",18060.2684378504,13721.8906935003,9817.88091006855,4938.22498333526,0,3296.95501111277,9980.92121554535,14426.3141537993,20668.7129387827,21092.9660552061,24931.3122959434,33819.2473849101,41244.4220101802,51249.5501447715,64664.8587720474,20208.801671428,79118.2467820379,20308.8031272686,29225.3018810745,56956.7114641772,83073.8603328259,104715.199056506,105605.129613788,38336.150787393,63155.8650491546,12614.8286419782,18530.3026245035,104566.646490924,21357.3122717955,44689.8811380571,104876.636506094,12614.8286419782,24972.73662038,21917.2007705827,45538.3873709026,57198.130625492,51549.5545122935,79218.2401630756,103813.873790959,105308.024482625,104328.110416362
"gn-6",21357.2234489631,17018.845704613,13114.8359211813,8235.17999444803,3296.95501111277,0,6683.96620443257,11129.3591426865,17371.7579276699,17796.0110440934,21634.3572848307,30522.2923737973,37947.4669990674,47952.5951336587,61367.9037609346,23505.7566825407,75821.2917709251,23605.7581383814,25928.3468699617,53659.7564530644,79776.9053217132,101418.244045393,102308.174602675,35039.1957762802,59858.9100380418,15911.783653091,15233.3476133907,101269.691479811,24654.2672829083,41392.9261269443,101579.681494982,15911.783653091,21675.7816092672,18620.2457594699,42241.4323597898,53901.1756143793,48252.5995011807,75921.2851519629,100516.918779846,102011.069471512,101031.155405249
"gn-5",28041.1896533957,23702.8119090456,19798.8021256139,14919.1461988806,9980.92121554535,6683.96620443257,0,4503.97006965809,10746.3688546415,11170.6219710649,15008.9682118022,23896.9033007689,31322.0779260389,41327.2060606302,54742.5146879061,30189.7228869733,69195.9026978968,30289.7243428139,19302.9577969333,47034.3673800359,73151.5162486848,94792.854972365,95682.7855296471,28413.8067032518,53233.5209650133,22595.7498575235,8607.95854036228,94644.3024067828,31338.2334873408,34767.5370539158,94954.2924219534,22595.7498575235,15050.3925362388,11994.8566864415,35616.0432867613,47275.7865413508,41627.2104281522,69295.8960789345,93891.5297068179,95385.6803984834,94405.766332221
"gn-4",32486.5825916496,28148.2048472996,24244.1950638679,19364.5391371346,14426.3141537993,11129.3591426865,4503.97006965809,0,6325.24743385645,6749.50055027991,10587.8467910172,19475.7818799839,26900.9565052539,36906.0846398452,50321.3932671211,34635.1158252272,64774.7812771118,34735.1172810679,14881.8363761483,42613.2459592509,68730.3948278998,90371.73355158,91261.6641088621,23992.6852824668,48812.3995442283,27041.1427957775,4186.83711957727,90223.1809859979,35783.6264255948,30346.4156331307,90533.1710011684,27041.1427957775,10629.2711154537,7573.73526565647,31194.9218659762,42854.6651205657,37206.0890073672,64874.7746581495,89470.4082860329,90964.5589776984,89984.644911436
"gn-2",38728.981376633,34390.6036322829,30486.5938488512,25606.9379221179,20668.7129387827,17371.7579276699,10746.3688546415,6325.24743385645,0,424.253116423457,4262.59935716074,13150.5344461274,20575.7090713975,30580.8372059887,43996.1458332646,40877.5146102107,58449.5338432553,40977.5160660513,8556.58894229184,36287.9985253944,62405.1473940434,84046.4861177237,84936.4166750058,17667.4378486104,42487.1521103718,33283.5415807608,2138.41031427918,83897.9335521415,42026.0252105782,24021.1681992743,84207.9235673121,33283.5415807608,4304.02368159728,1248.48783180002,24869.6744321198,36529.4176867092,30880.8415735107,58549.527224293,83145.1608521765,84639.3115438421,83659.3974775796
"gn-1",39153.2344930565,34814.8567487064,30910.8469652747,26031.1910385414,21092.9660552061,17796.0110440934,11170.6219710649,6749.50055027991,424.253116423457,0,3838.34624073729,12726.281329704,20151.455954974,30156.5840895653,43571.8927168411,41301.7677266341,58025.2807268318,41401.7691824748,8132.33582586838,35863.7454089709,61980.8942776199,83622.2330013002,84512.1635585823,17243.1847321869,42062.8989939484,33707.7946971843,2562.66343070264,83473.680435718,42450.2783270017,23596.9150828509,83783.6704508886,33707.7946971843,3879.77056517383,824.234715376563,24445.4213156964,36105.1645702858,30456.5884570872,58125.2741078696,82720.9077357531,84215.0584274186,83235.1443611562
