"","bh-31","bh-32","bh-33","bh-35","bh-36","ws-PPC","ws-PPB","bh-34","bh-37","ws-23","ws-A5","ws-A3","ws-A1","ws-15A","ws-15","bh-7","bh-9","bh-11","bh-12","bh-13","bh-6","bh-5","bh-1","bh-10","bh-8","bh-20","bh-17","bh-21","bh-22","bh-18","ws-25","ws-K","ws-25B","ws-18","bh-23","bh-30","bh-29","bh-28","bh-27","bh-25","bh-24","bh-2","ws-4","ws-PVTSS","ws-13","ws-6","ws-12A","ws-11","ws-16","ws-25A","ws-14","ws-2C","bh-16","bh-26","bpns-O6","bh-14","bh-15","rel_leopoldkanaal8","rel_leopoldkanaal9","rel_leopoldkanaal1","rel_leopoldkanaal7","rel_leopoldkanaal6","rel_leopoldkanaal3","rel_leopoldkanaal5","rel_leopoldkanaal2","rel_leopoldkanaal4"
"ws-A5",10695.1123038122,7898.10804828278,6991.02468403241,4552.59385262604,3362.69930183604,765.673733579032,848.506232846173,6708.1569738721,2821.27577299915,1165.63110812396,0,1131.34164379405,2221.2589631516,3228.35993284852,4218.2838711683,24354.2790649926,23088.6545758316,20281.7050466675,17357.6174043018,16916.2195557143,25861.3146406656,26002.7323461398,42399.8740424796,22847.2434893196,25078.5123245292,13767.8655590013,15433.4635723132,13285.0595355832,13767.8736338041,15274.9092094772,2189.84451077312,3131.20926454904,4338.264697109,5255.34985861307,13750.7289016395,21968.8691363606,21303.1887838199,19737.551852334,18130.4502223968,16299.1226121263,14833.5113608898,43624.1388056284,5211.22009308818,5876.89237082581,6518.31735550401,4469.79365256999,1589.8842245461,7059.74088434089,3565.47225302924,2689.81141596175,2382.69641274066,7328.41962231601,15974.8548019384,19337.4814305478,67596.5943991024,16623.3823475121,16764.8000529864,16216.2658884504,16916.2195557143,13085.0566239018,15416.3269149514,13767.8736338041,23047.230251395,21968.8691363606,25519.9101731158,19340.3402928915
"ws-A3",11826.4539476063,9029.44969207683,8122.36632782646,5683.93549642008,4494.04094563008,1897.01537737308,1482.85288103705,7839.49861766614,3952.6174167932,2296.97275191794,1131.34164379405,0,1089.91731935759,2097.01828905447,3086.94222737425,25485.6207087866,24219.9962196256,21413.0466904615,18488.9590480958,18047.5611995084,26992.6562844596,27134.0739899339,41268.5323986857,23978.5851331136,26209.8539683233,14899.2072027953,16564.8052161072,14416.4011793772,14899.2152775982,16406.2508532713,3321.1861545671,4262.55090834302,5469.60634090298,6386.69150240704,14882.0705454335,23100.2107801546,22434.530427614,20868.8934961281,19261.7918661908,17430.4642559204,15964.8530046839,42492.7971618344,4079.87844929413,4745.55072703177,5386.97571170996,3338.45200877594,2141.28532622852,5928.39924054685,4696.81389682322,3821.15305975573,3348.34075878848,6197.07797852197,17106.1964457324,20468.8230743419,66465.2527553084,17754.7239913061,17896.1416967804,17347.6075322444,18047.5611995084,14216.3982676959,16547.6685587455,14899.2152775982,24178.5718951891,23100.2107801546,26651.2518169099,20471.6819366855
"ws-A1",12857.7941355598,10060.7898800303,9153.70651577993,6715.27568437355,5525.38113358356,2928.35556532655,2514.19306899052,8870.83880561961,4983.95760474667,3386.89007127553,2221.2589631516,1089.91731935759,0,1065.678101101,2055.60203942078,26516.9608967401,25251.3364075791,22444.386878415,19520.2992360493,19078.9013874618,28023.9964724131,28165.4141778873,40178.615079328,25009.9253210671,27241.1941562767,15930.5473907488,17596.1454040607,15447.7413673307,15930.5554655517,17437.5910412247,4411.10347392469,5352.46822770061,6559.52366026057,7476.60882176463,15913.410733387,24131.5509681081,23465.8706155674,21900.2336840815,20293.1320541443,18461.8044438738,16996.1931926373,41402.8798424768,3048.53826134066,3714.21053907829,4355.63552375649,2307.11182082246,3231.20264558611,4897.05905259338,5786.7312161808,4911.07037911331,4438.25807814607,5165.7377905685,18137.5366336859,21500.1632622953,65375.3354359509,18786.0641792596,18927.4818847339,18378.9477201979,19078.9013874618,15247.7384556494,17579.0087466989,15930.5554655517,25209.9120831425,24131.5509681081,27682.5920048634,21503.022124639
"ws-15A",13923.4722366608,11126.4679811313,10219.3846168809,7780.95378547455,6591.05923468455,3994.03366642755,3579.87117009152,9936.51690672062,6049.63570584767,4159.68251535599,3228.35993284852,2097.01828905447,1065.678101101,0,989.923938319781,27582.6389978411,26317.0145086801,23510.064979516,20585.9773371502,20144.5794885628,29089.6745735141,29231.0922789883,39405.8226352476,26075.6034221681,28306.8722573777,16996.2254918498,18661.8235051617,16513.4194684317,16996.2335666526,18503.2691423257,5183.89591800511,6125.26067178103,7332.31610434099,8249.40126584505,16979.088834488,25197.2290692091,24531.5487166684,22965.9117851825,21358.8101552453,19527.4825449748,18061.8712937383,40630.0873983963,1982.86016023966,2648.5324379773,3289.9574226555,1241.43371972147,4003.99508966653,3831.38095149238,6559.52366026122,5683.86282319374,5211.05052222649,4100.05968946777,19203.2147347869,22565.8413633963,64602.5429918704,19851.7422803606,19993.1599858348,19444.6258212988,20144.5794885628,16313.4165567504,18644.6868477999,16996.2335666526,26275.5901842435,25197.2290692091,28748.2701059643,22568.70022574
"ws-15",14913.3961749805,12116.3919194511,11209.3085552007,8770.87772379433,7580.98317300433,4983.95760474733,4569.7951084113,10926.4408450404,7039.55964416745,5149.60645367577,4218.2838711683,3086.94222737425,2055.60203942078,989.923938319781,0,28572.5629361609,27306.9384469998,24499.9889178357,21575.90127547,21134.5034268826,30079.5985118338,30221.0162173081,38415.8986969279,27065.5273604878,29296.7961956975,17986.1494301696,19651.7474434815,17503.3434067515,17986.1575049724,19493.1930806455,6173.81985632485,7115.18461010077,8322.24004266073,9239.3252041648,17969.0127728078,26187.1530075288,25521.4726549882,23955.8357235023,22348.7340935651,20517.4064832946,19051.7952320581,39640.1634600766,1407.09871825583,1741.44099892474,2300.03348433599,807.08190840894,4993.91902798628,2841.4570131726,7549.44759858097,6673.78676151348,6200.97446054624,3689.96324601812,20193.1386731066,23555.7653017161,63612.6190535506,20841.6662186804,20983.0839241546,20434.5497596186,21134.5034268826,17303.3404950701,19634.6107861197,17986.1575049724,27265.5141225633,26187.1530075288,29738.1940442841,23558.6241640598
"bh-7",13659.1667611804,16456.1710167098,17363.2543809602,19801.6852123666,21108.7340259648,23588.6053314136,24471.3848789825,18953.162829915,21533.0032919934,23540.1107452933,24354.2790649926,25485.6207087866,26516.9608967401,27582.6389978411,28572.5629361609,0,1265.62448916103,4072.57401832515,6996.66166069087,7438.05950927831,1507.03557567299,1648.45328114725,31437.9603998814,1507.03557567302,1572.75564198809,10586.4135059913,8920.81549267944,11186.3737922177,11727.7650218428,9220.79563579262,23115.8576288705,23915.7966023692,25040.0033860561,25957.0885475602,11710.6202896781,19928.7605243992,19263.0801718586,17697.4432403727,16090.3416104354,14259.0140001649,12793.4027489285,30130.8631374655,29565.4991580808,30231.1714358184,30872.5964204966,28824.0727175626,24515.8780106403,31414.0199493335,24681.4541863417,23557.247402655,24181.5357299715,31682.6986873086,8379.42426305427,17297.3728185865,57463.1672452351,8320.87135605987,8462.28906153387,8138.01317654228,7438.05950927831,11269.2224410908,13376.21830299,11727.7650218428,1307.04881359757,19928.7605243992,1165.63110812327,5013.93877210111
"bh-9",12393.5422720194,15190.5465275488,16097.6298917992,18536.0607232055,19843.1095368038,22322.9808422525,23205.7603898214,17687.538340754,20267.3788028324,22274.4862561323,23088.6545758316,24219.9962196256,25251.3364075791,26317.0145086801,27306.9384469998,1265.62448916103,0,2806.94952916412,5731.03717152984,6172.43502011728,2772.66006483402,2914.07777030829,32703.5848890424,241.411086511992,2214.13217784794,9320.78901683031,7655.19100351841,9920.74930305667,10462.1405326817,7955.17114663159,21850.2331397095,22650.1721132082,23774.3788968951,24691.4640583992,10444.9958005171,18663.1360352382,17997.4556826975,16431.8187512116,14824.7171212744,12993.3895110039,11527.7782597674,31396.4876266265,28299.8746689197,28965.5469466574,29606.9719313356,27558.4482284016,23250.2535214793,30148.3954601725,23415.8296971807,22291.622913494,22915.9112408105,30417.0741981476,7113.79977389324,16031.7483294254,58728.7917343961,7055.24686689884,7196.66457237284,6872.38868738125,6172.43502011728,10003.5979519297,12110.593813829,10462.1405326817,100.001455840655,18663.1360352382,2431.2555972843,3748.31428294008
"bh-11",9586.59274285523,12383.5969983847,13290.6803626351,15729.1111940414,17036.1600076397,19516.0313130884,20398.8108606573,14880.5888115899,17460.4292736683,19467.5367269682,20281.7050466675,21413.0466904615,22444.386878415,23510.064979516,24499.9889178357,4072.57401832515,2806.94952916412,0,2924.08764236572,3365.48549095316,5579.60959399814,5721.02729947241,35510.5344182065,2565.53844265213,4796.80727786179,6513.83948766619,4848.24147435429,7113.79977389255,7655.1910035176,5148.22161746747,19043.2836105454,19843.2225840441,20967.429367731,21884.5145292351,7638.04627135296,15856.1865060741,15190.5061535334,13624.8692220475,12017.7675921103,10186.4399818398,8720.8287306033,34203.4371557906,25492.9251397556,26158.5974174933,26800.0224021715,24751.4986992374,20443.3039923152,27341.4459310083,20608.8801680166,19484.6733843299,20108.9617116463,27610.1246689835,4306.85024472912,13224.7988002613,61535.7412635603,4248.29733773472,4389.71504320872,4065.43915821713,3365.48549095316,7196.64842276563,9303.64428466489,7655.1910035176,2765.52520472758,15856.1865060741,5238.20512644842,941.364753775958
"bh-12",6662.50510048951,9459.50935601896,10366.5927202693,12805.0235516757,14112.0723652739,16591.9436707227,17474.7232182916,11956.5011692241,14536.3416313026,16543.4490846024,17357.6174043018,18488.9590480958,19520.2992360493,20585.9773371502,21575.90127547,6996.66166069087,5731.03717152984,2924.08764236572,0,441.397848587444,8503.69723636386,8645.11494183812,38434.6220605723,5489.62608501785,7720.8949202275,3589.75184530047,1924.15383198857,4189.71213152683,4731.10336115189,2224.13397510175,16119.1959681796,16919.1349416784,18043.3417253653,18960.4268868693,4713.95862898724,12932.0988637084,12266.4185111677,10700.7815796818,9093.67994974456,7262.35233947406,5796.74108823758,37127.5247981563,22568.8374973899,23234.5097751275,23875.9347598057,21827.4110568717,17519.2163499495,24417.3582886426,17684.7925256509,16560.5857419642,17184.8740692806,24686.0370266177,1382.7626023634,10300.7111578956,64459.828905926,1324.20969536901,1465.627400843,1141.35151585141,441.397848587444,4272.56078039991,6379.55664229917,4731.10336115189,5689.6128470933,12932.0988637084,8162.29276881414,1982.72288858976
"bh-13",6221.10725190207,9018.11150743151,9925.19487168189,12363.6257030883,13670.6745166865,16150.5458221353,17033.3253697042,11515.1033206367,14094.9437827152,16102.051236015,16916.2195557143,18047.5611995084,19078.9013874618,20144.5794885628,21134.5034268826,7438.05950927831,6172.43502011728,3365.48549095316,441.397848587444,0,8945.0950849513,9086.51279042557,38876.0199091597,5931.02393360529,8162.29276881495,3148.35399671303,1482.75598340113,3748.31428293939,4289.70551256444,1782.73612651431,15677.7981195922,16477.7370930909,17601.9438767778,18519.0290382819,4272.56078039979,12490.7010151209,11825.0206625803,10259.3837310943,8652.28210115712,6820.95449088662,5355.34323965013,37568.9226467438,22127.4396488025,22793.1119265401,23434.5369112183,21386.0132082843,17077.818501362,23975.9604400552,17243.3946770634,16119.1878933767,16743.4762206932,24244.6391780303,941.364753775958,9859.31330930814,64901.2267545134,965.660495654641,1107.07820112863,699.953667263966,0,3831.16293181247,5938.15879371173,4289.70551256444,6131.01069568074,12490.7010151209,8603.69061740158,2424.1207371772
"bh-6",15166.2023368534,17963.2065923828,18870.2899566332,21308.7207880396,22615.7696016378,25095.6409070865,25978.4204546554,20460.198405588,23040.0388676664,25047.1463209663,25861.3146406656,26992.6562844596,28023.9964724131,29089.6745735141,30079.5985118338,1507.03557567299,2772.66006483402,5579.60959399814,8503.69723636386,8945.0950849513,0,141.417705474266,29930.9248242084,3014.07115134601,3079.79121766108,12093.4490816643,10427.8510683524,12693.4093678907,13234.8005975157,10727.8312114656,24622.8932045435,25422.8321780422,26547.0389617291,27464.1241232332,13217.6558653511,21435.7961000722,20770.1157475316,19204.4788160456,17597.3771861084,15766.0495758379,14300.4383246014,28623.8275617925,31072.5347337538,31738.2070114914,32379.6319961696,30331.1082932356,26022.9135863133,32921.0555250065,26188.4897620147,25064.282978328,25688.5713056445,33189.7342629816,9886.45983872726,18804.4083942594,55956.1316695621,9827.90693173286,9969.32463720686,9645.04875221527,8945.0950849513,12776.2580167638,14883.253878663,13234.8005975157,2814.08438927056,21435.7961000722,341.404467549718,6520.9743477741
"bh-5",15307.6200423276,18104.6242978571,19011.7076621074,21450.1384935138,22757.187307112,25237.0586125608,26119.8381601297,20601.6161110623,23181.4565731407,25188.5640264405,26002.7323461398,27134.0739899339,28165.4141778873,29231.0922789883,30221.0162173081,1648.45328114725,2914.07777030829,5721.02729947241,8645.11494183812,9086.51279042557,141.417705474266,0,29789.5071187341,3155.48885682028,3221.20892313534,12234.8667871386,10569.2687738267,12834.827073365,13376.21830299,10869.2489169399,24764.3109100177,25564.2498835165,26688.4566672034,27605.5418287074,13359.0735708254,21577.2138055465,20911.5334530058,19345.8965215199,17738.7948915827,15907.4672813122,14441.8560300757,28482.4098563182,31213.952439228,31879.6247169657,32521.0497016438,30472.5259987098,26164.3312917876,33062.4732304807,26329.907467489,25205.7006838023,25829.9890111187,33331.1519684559,10027.8775442015,18945.8260997337,55814.7139640878,9969.32463720713,10110.7423426811,9786.46645768953,9086.51279042557,12917.675722238,15024.6715841373,13376.21830299,2955.50209474483,21577.2138055465,482.822173023984,6662.39205324836
"bh-1",45097.1271610618,47894.1314165913,48801.2147808417,46718.1593694893,45528.2648186993,43048.3935132505,42048.4597028733,48873.7224907354,44986.8412898624,43565.5051506036,42399.8740424796,41268.5323986857,40178.615079328,39405.8226352476,38415.8986969279,31437.9603998814,32703.5848890424,35510.5344182065,38434.6220605723,38876.0199091597,29930.9248242084,29789.5071187341,0,32944.9959755543,33010.7160418694,42024.3739058728,40358.7758925609,42624.3341920992,43165.7254217242,40658.7560356741,44589.7185532528,45531.0833070287,46738.1387395887,47655.2239010928,43148.5806895596,51366.7209242808,50701.0405717401,49135.4036402542,47528.302010317,45696.9744000464,44231.3631488099,1307.09726241592,38418.7737088779,37811.6785625444,37463.139234887,38808.7373609714,43409.8177249142,37570.2674760318,45965.3462955089,45089.6854584414,44616.8731574742,38618.7604709527,39817.3846629357,48735.333218468,26142.3611081618,39758.8317559413,39900.2494614153,39575.9735764237,38876.0199091597,42707.1828409722,44814.1787028715,43165.7254217242,32745.0092134789,51366.7209242808,30272.3292917581,36451.8991719825
"bh-10",12152.1311855074,14949.1354410368,15856.2188052872,18294.6496366936,19601.6984502918,22081.5697557405,22964.3493033094,17446.127254242,20025.9677163204,22033.0751696203,22847.2434893196,23978.5851331136,25009.9253210671,26075.6034221681,27065.5273604878,1507.03557567302,241.411086511992,2565.53844265213,5489.62608501785,5931.02393360529,3014.07115134601,3155.48885682028,32944.9959755543,0,2431.27174689097,9079.37793031832,7413.77991700642,9679.33821654468,10220.7294461697,7713.7600601196,21608.8220531975,22408.7610266962,23532.9678103831,24450.0529718872,10203.5847140051,18421.7249487262,17756.0445961856,16190.4076646996,14583.3060347624,12751.9784244919,11286.3671732554,31637.8987131385,28058.4635824078,28724.1358601454,29365.5608448236,27317.0371418896,23008.8424349673,29906.9843736605,23174.4186106687,22050.211826982,22674.5001542985,30175.6631116356,6872.38868738125,15790.3372429134,58970.2028209081,6813.83578038685,6955.25348586084,6630.97760086926,5931.02393360529,9762.18686541776,11869.182727317,10220.7294461697,199.986762075452,18421.7249487262,2672.66668379629,3506.90319642809
"bh-8",14383.400020717,17180.4042762465,18087.4876404968,20525.9184719032,21832.9672855014,24312.8385909502,25195.6181385191,19677.3960894516,22257.2365515301,24264.3440048299,25078.5123245292,26209.8539683233,27241.1941562767,28306.8722573777,29296.7961956975,1572.75564198809,2214.13217784794,4796.80727786179,7720.8949202275,8162.29276881495,3079.79121766108,3221.20892313534,33010.7160418694,2431.27174689097,0,11310.646765528,9645.04875221607,11910.6070517543,12451.9982813794,9945.02889532925,23840.0908884071,24640.0298619059,25764.2366455928,26681.3218070968,12434.8535492147,20652.9937839359,19987.3134313952,18421.6764999093,16814.5748699721,14983.2472597016,13517.6360084651,31703.6187794536,30289.7324176174,30955.404695355,31596.8296800332,29548.3059770992,25240.1112701769,32138.2532088701,25405.6874458784,24281.4806621916,24905.7689895081,32406.9319468452,9103.6575225909,18021.6060781231,59035.9228872232,9045.10461559651,9186.5223210705,8862.24643607891,8162.29276881494,11993.4557006274,14100.4515625267,12451.9982813794,2255.55650228448,20652.9937839359,2738.38675011136,5738.17203163774
