"","bh-31","bh-32","bh-33","bh-35","bh-36","ws-PPC","ws-PPB","bh-34","bh-37","ws-23","ws-A5","ws-A3","ws-A1","ws-15A","ws-15","bh-7","bh-9","bh-11","bh-12","bh-13","bh-6","bh-5","bh-1","bh-10","bh-8","bh-20","bh-17","bh-21","bh-22","bh-18","ws-25","ws-K","ws-25B","ws-18","bh-23","bh-30","bh-29","bh-28","bh-27","bh-25","bh-24","bh-2","ws-4","ws-PVTSS","ws-13","ws-6","ws-12A","ws-11","ws-16","ws-25A","ws-14","ws-2C","bh-16","bh-26","bpns-O6","bh-14","bh-15","rel_leopoldkanaal8","rel_leopoldkanaal9","rel_leopoldkanaal1","rel_leopoldkanaal7","rel_leopoldkanaal6","rel_leopoldkanaal3","rel_leopoldkanaal5","rel_leopoldkanaal2","rel_leopoldkanaal4"
"bh-31",0,2797.00425552944,3704.08761977982,6142.51845118619,7449.56726478442,9929.43857023319,10812.2181178021,5293.99606873462,7873.83653081307,9880.94398411292,10695.1123038122,11826.4539476063,12857.7941355598,13923.4722366608,14913.3961749805,13659.1667611804,12393.5422720194,9586.59274285523,6662.50510048951,6221.10725190207,15166.2023368534,15307.6200423276,45097.1271610618,12152.1311855074,14383.400020717,3072.75325518904,4738.35126850094,2589.94723177091,3072.76132999189,4579.79690566499,9456.69086769012,10256.6298411888,11380.8366248758,12297.9217863798,3055.61659782724,11273.7568325484,10608.0764800077,9042.43954852179,7435.33791858457,5604.01030831406,4138.39905707758,43790.0298986459,15906.3323969004,16572.0046746381,17213.4296593162,15164.9059563822,10856.7112494599,17754.8531881531,11022.2874251614,9898.08064147463,10522.3689687911,18023.5319261282,5279.74249812611,8642.36912673559,71122.3340064155,5928.27004369984,6069.68774917411,5521.1535846381,6221.10725190207,2389.9443200896,4721.21461113918,3072.76132999189,12352.1179475828,11273.7568325484,14824.7978693037,8645.22798907927
"bh-32",2797.00425552944,0,907.08336425037,3345.51419565675,4652.56300925498,7132.43431470375,8015.21386227266,2496.99181320518,5076.83227528363,7083.93972858347,7898.10804828278,9029.44969207683,10060.7898800303,11126.4679811313,12116.3919194511,16456.1710167098,15190.5465275488,12383.5969983847,9459.50935601896,9018.11150743151,17963.2065923828,18104.6242978571,47894.1314165913,14949.1354410368,17180.4042762465,5869.75751071848,7535.35552403038,5386.95148730036,5869.76558552133,7376.80116119443,6659.68661216067,7459.6255856594,8583.83236934632,9500.91753085038,5852.62085335669,14070.7610880778,13405.0807355372,11839.4438040512,10232.342174114,8401.01456384351,6935.40331260703,46587.0341541753,13109.328141371,13775.0004191086,14416.4254037868,12367.9017008528,8059.70699393049,14957.8489326237,8225.28316963192,7101.07638594519,7725.36471326167,15226.5276705988,8076.74675365555,11439.373382265,73919.3382619449,8725.27429922929,8866.69200470355,8318.15784016755,9018.11150743151,5186.94857561905,7518.21886666862,5869.76558552133,15149.1222031123,14070.7610880778,17621.8021248331,11442.2322446087
"bh-33",3704.08761977982,907.08336425037,0,2438.43083140638,3745.47964500461,6225.35095045338,7108.13049802229,1589.90844895481,4169.74891103326,6176.8563643331,6991.02468403241,8122.36632782646,9153.70651577993,10219.3846168809,11209.3085552007,17363.2543809602,16097.6298917992,13290.6803626351,10366.5927202693,9925.19487168189,18870.2899566332,19011.7076621074,48801.2147808417,15856.2188052872,18087.4876404968,6776.84087496885,8442.43888828075,6294.03485155073,6776.8489497717,8283.8845254448,5752.60324791031,6552.54222140903,7676.74900509595,8593.83416660001,6759.70421760705,14977.8444523282,14312.1640997875,12746.5271683016,11139.4255383644,9308.09792809388,7842.48667685739,47494.1175184257,12202.2447771206,12867.9170548582,13509.3420395364,11460.8183366024,7152.62362968013,14050.7655683733,7318.19980538155,6193.99302169482,6818.2813490113,14319.4443063484,8983.83011790593,12346.4567465154,74353.3105575182,9632.35766347966,9773.77536895393,9225.24120441792,9925.19487168189,6094.03193986942,8425.30223091899,6776.8489497717,16056.2055673626,14977.8444523282,18528.8854890835,12349.3156088591
"bh-35",6142.51845118619,3345.51419565675,2438.43083140638,0,1307.04881359823,3786.920119047,4669.69966661592,2155.56312124606,1731.31807962688,3738.42553292673,4552.59385262604,5683.93549642008,6715.27568437355,7780.95378547455,8770.87772379433,19801.6852123666,18536.0607232055,15729.1111940414,12805.0235516757,12363.6257030883,21308.7207880396,21450.1384935138,46718.1593694893,18294.6496366936,20525.9184719032,9215.27170637523,10880.8697196871,8732.4656829571,9215.27978117808,10722.3153568512,3314.17241650393,4114.11139000266,5238.31817368957,6155.40333519364,9198.13504901343,17416.2752837346,16750.5949311939,15184.957999708,13577.8563697708,11746.5287595003,10280.9175082638,47942.424132638,9763.81394571421,10429.4862234518,11070.91120813,9022.38750519602,4714.19279827375,11612.3347369669,4879.76897397517,3755.56219028844,4379.85051760492,11881.0134749421,11422.2609493123,14784.8875779218,71914.8797261119,12070.788494886,12212.2062003603,11663.6720358243,12363.6257030883,8532.46277127579,10863.7330623254,9215.27978117808,18494.636398769,17416.2752837346,20967.3163204898,14787.7464402655
"bh-36",7449.56726478442,4652.56300925498,3745.47964500461,1307.04881359823,0,2597.025568257,3479.80511582592,3462.61193484429,541.423528836885,2548.53098213673,3362.69930183604,4494.04094563008,5525.38113358356,6591.05923468455,7580.98317300433,21108.7340259648,19843.1095368038,17036.1600076397,14112.0723652739,13670.6745166865,22615.7696016378,22757.187307112,45528.2648186993,19601.6984502918,21832.9672855014,10522.3205199735,12187.9185332854,10039.5144965553,10522.3285947763,12029.3641704494,2124.27786571393,2924.21683921266,4048.42362289957,4965.50878440364,10505.1838626117,18723.3240973328,18057.6437447921,16492.0068133062,14884.905183369,13053.5775730985,11587.966321862,46752.529581848,8573.91939492421,9239.59167266185,9881.01665734004,7832.49295440602,3524.29824748375,10422.4401861769,3689.87442318517,2565.66763949844,3189.95596681492,10691.118924152,12729.3097629105,16091.93639152,70724.9851753219,13377.8373084843,13519.2550139585,12970.7208494225,13670.6745166865,9839.51158487403,12170.7818759236,10522.3285947763,19801.6852123672,18723.3240973328,22274.3651340881,16094.7952538637
"ws-PPC",9929.43857023319,7132.43431470375,6225.35095045338,3786.920119047,2597.025568257,0,999.933810377144,5942.48324029306,2055.60203942012,682.80893509932,765.673733579032,1897.01537737308,2928.35556532655,3994.03366642755,4983.95760474733,23588.6053314136,22322.9808422525,19516.0313130884,16591.9436707227,16150.5458221353,25095.6409070865,25237.0586125608,43048.3935132505,22081.5697557405,24312.8385909502,13002.1918254222,14667.7898387342,12519.3858020041,13002.1999002251,14509.2354758982,1541.32504000231,2482.68979377824,3689.7452263382,4606.83038784226,12985.0551680604,21203.1954027815,20537.5150502409,18971.878118755,17364.7764888178,15533.4488785473,14067.8376273108,44272.6582763992,5976.89382666721,6642.56610440484,7283.99108908304,5235.46738614902,1672.76517263159,7825.41461791993,3082.6500800046,2041.29194519095,2231.26883520966,8094.09335589505,15209.1810683593,18571.8076969688,68245.1138698732,15857.7086139331,15999.1263194073,15450.5921548713,16150.5458221353,12319.3828903228,14650.6531813724,13002.1999002251,22281.556517816,21203.1954027815,24754.2364395368,18574.6665593125
"ws-PPB",10812.2181178021,8015.21386227266,7108.13049802229,4669.69966661592,3479.80511582592,999.933810377144,0,6825.26278786198,2938.38158698903,1682.74274547646,848.506232846173,1482.85288103705,2514.19306899052,3579.87117009152,4569.7951084113,24471.3848789825,23205.7603898214,20398.8108606573,17474.7232182916,17033.3253697042,25978.4204546554,26119.8381601297,42048.4597028733,22964.3493033094,25195.6181385191,13884.9713729912,15550.5693863031,13402.165349573,13884.979447794,15392.0150234671,2541.25885037946,3482.62360415538,4689.67903671534,5606.76419821941,13867.8347156294,22085.9749503504,21420.2945978098,19854.6576663239,18247.5560363867,16416.2284261162,14950.6171748797,43272.724466022,5562.73133033118,6228.40360806881,6869.82859274701,4821.30488981298,2438.39045739224,7411.2521215839,4082.58389038174,3041.22575556809,3231.2026455868,7679.93085955902,16091.9606159282,19454.5872445377,67245.1800594961,16740.488161502,16881.9058669762,16333.3717024402,17033.3253697042,13202.1624378917,15533.4327289413,13884.979447794,23164.3360653849,22085.9749503504,25637.0159871057,19457.4461068814
"bh-34",5293.99606873462,2496.99181320518,1589.90844895481,2155.56312124606,3462.61193484429,5942.48324029306,6825.26278786198,0,3886.88120087295,5893.98865417279,6708.1569738721,7839.49861766614,8870.83880561961,9936.51690672062,10926.4408450404,18953.162829915,17687.538340754,14880.5888115899,11956.5011692241,11515.1033206367,20460.198405588,20601.6161110623,48873.7224907354,17446.127254242,19677.3960894516,8366.74932392366,10032.3473372356,7883.94330050553,8366.75739872651,9873.79297439961,5469.73553774999,6269.67451124872,7393.88129493563,8310.9664564397,8349.61266656186,16567.752901283,15902.0725487423,14336.4356172564,12729.3339873192,10898.0063770487,9432.3951258122,49084.0259673805,11919.3770669603,12585.0493446979,13226.4743293761,11177.9506264421,6869.75591951981,13767.897858213,7035.33209522123,5911.1253115345,6535.41363885098,14036.5765961881,10573.7385668607,13936.3651954702,74070.4428473579,11222.2661124345,11363.6838179087,10815.1496533727,11515.1033206367,7683.94038882423,10015.2106798738,8366.75739872651,17646.1140163174,16567.752901283,20118.7939380383,13939.2240578139
"bh-37",7873.83653081307,5076.83227528363,4169.74891103326,1731.31807962688,541.423528836885,2055.60203942012,2938.38158698903,3886.88120087295,0,2007.10745329984,2821.27577299915,3952.6174167932,4983.95760474667,6049.63570584767,7039.55964416745,21533.0032919934,20267.3788028324,17460.4292736683,14536.3416313026,14094.9437827152,23040.0388676664,23181.4565731407,44986.8412898624,20025.9677163204,22257.2365515301,10946.5897860021,12612.187799314,10463.783762584,10946.597860805,12453.6334364781,1665.68683614427,2465.625809643,3589.83259332991,4506.91775483397,10929.4531286403,19147.5933633614,18481.9130108208,16916.2760793349,15309.1744493977,13477.8468391272,12012.2355878907,46211.1060530111,8032.49586608732,8698.16814382496,9339.59312850316,7291.06942556913,2982.87471864687,9881.01665734004,3231.28339361551,2107.07660992878,2731.36493724526,10149.6953953152,13153.5790289392,16516.2056575487,70183.561646485,13802.1065745129,13943.5242799872,13394.9901154512,14094.9437827152,10263.7808509027,12595.0511419523,10946.597860805,20225.9544783959,19147.5933633614,22698.6344001167,16519.0645198924
"ws-23",9880.94398411292,7083.93972858347,6176.8563643331,3738.42553292673,2548.53098213673,682.80893509932,1682.74274547646,5893.98865417279,2007.10745329984,0,1165.63110812396,2296.97275191794,3386.89007127553,4159.68251535599,5149.60645367577,23540.1107452933,22274.4862561323,19467.5367269682,16543.4490846024,16102.051236015,25047.1463209663,25188.5640264405,43565.5051506036,22033.0751696203,24264.3440048299,12953.697239302,14619.2952526139,12470.8912158838,12953.7053141048,14460.7408897779,1024.21340264915,1965.57815642508,3172.63358898504,4089.7187504891,12936.5605819402,21154.7008166613,20489.0204641206,18923.3835326347,17316.2819026975,15484.954292427,14019.3430411905,44789.7699137523,6025.38841278749,6691.06069052512,7332.48567520332,5283.96197226929,1224.26476314869,7873.9092040402,2399.84114490531,1524.18030783779,1548.45990011034,8142.58794201532,15160.686482239,18523.3131108485,68762.2255072263,15809.2140278128,15950.631733287,15402.097568751,16102.051236015,12270.8883042025,14602.1585952521,12953.7053141048,22233.0619316957,21154.7008166613,24705.7418534165,18526.1719731922
