"","HH5","HH6","HH7","HH8","HH9","S13","S09","S12","S02","S08","ak-29","S18","S17","S16","ak-28","ak-32","ak-33","HH4","S15","ak-31","HH3","HH2","HH1","ak-30","ak-34","HH10","ak-35","S07","S14","S10","HH11","ak-36","ak-39","ak-40","ak-42","ak-2","ak-3","ak-1","ak-5","ak-4","ak-8","ak-9","ak-10","ak-11","ak-6","ak-7","ma-1","ma-5","ma-2","ma-6","ma-8","ma-9","ak-17","ak-19","ak-21","ak-22","ma-7","ak-23","ak-24","ak-25","ak-26","ak-27","ak-x","ak-14","ak-13","ak-44","ak-47","s-9","s-8","s-7","s-6","ak-46","ak-48","ws-42A","ws-11","ma-3","ws-53A","ws-53","ws-TRAWL","s-11","s-5","s-4c","s-4b","s-4a","s-4","s-3","s-8a","s-9a","ak-45","ws-55","ws-16","ws-14","ws-12A","ws-2C","s-12","ws-18","ws-25B","ws-6","ws-STEEN","ws-A1","ws-A3","ws-HW6","ws-25","ws-PPB","ws-23","ws-A5","ws-PVTSS","bpns-D1","bpns-WK12","S09-2","ws-25A","ws-PPC","ak-41","ws-SP3","ws-WN2","ws-GVWSP","zandvlietsluis haven B","ak-12","bpns-A1BIS","ws-4","s-10a","bpns-S4","ws-F42","ws-OGDL","ws-DL7","ws-DL9","s-Vlassenbroek","me-7-2","bpns-Whitley","rel_albertkanaal2","rel_albertkanaal1","rel_albertkanaal3","rel_albertkanaal4"
"HH5",0,3314.06901235831,5103.92975148033,8856.3319962415,11901.6774537905,13967.1459543182,14025.7110063103,13967.1459543188,14025.7110063103,14067.1341590353,13825.7345968759,14025.7110063103,14067.1341590353,14167.1223637525,14125.6992110274,14167.1223637525,14608.4983353464,2872.66469103136,14167.1223637525,14167.1223637525,6035.18750211936,7566.43118052702,12060.1834609451,14025.7110063103,16050.068201174,19074.2412938332,33933.329044072,14025.7110063103,14067.1341590353,14025.7110063103,23681.2066115436,34657.5277305504,59388.8608481961,60354.4590968346,70613.234002404,72453.2731832154,71504.8262837547,72446.2188782224,70946.2540588002,69839.197203165,67583.7359384559,66959.5254566946,65852.5158506139,65569.6931357292,70222.0270225884,69497.8188861991,55920.4058577234,58286.0090707996,56078.9874641664,165315.62741705,165357.031669953,165398.454822678,46516.5769572322,39298.5783986634,31587.9010195432,23524.5337549775,165398.454822678,22924.6045266742,19283.6060041302,18583.6885711099,14842.7018438486,14142.7844108282,14125.6992110274,57827.4345004726,59665.7821472226,77772.4501610286,88287.281333579,79386.6629937293,84835.0232512785,92587.0387339264,94576.8002831949,87445.9525431163,89787.3406521104,107889.17057578,131936.315187246,69225.1310151426,107650.634204503,107999.161325572,149694.205446605,82524.781702517,99770.5550458317,102484.609780688,105132.997909006,108471.291475357,118851.661646437,122972.62445215,85035.0185605354,79186.6676844733,78655.2588036819,107136.414472534,126126.996768574,126978.328104111,127729.671234932,131484.936670577,82624.7699072335,125017.123971609,126099.852324232,130425.076598988,148734.333579734,130297.943949929,129829.423533993,108969.035737519,127751.089297507,130167.948109986,128485.290529061,129360.903118057,131380.672302551,214039.385257916,175926.811853467,14025.7110063103,127209.725121196,130167.948109986,71137.4562794481,150588.372907293,149738.491790214,150149.860126582,86821.7515112653,64996.9745011441,185418.551947409,130773.603720056,71720.2719582173,177996.593763338,108237.697696848,147895.830734121,150926.897483286,149678.476519763,109861.123796322,95032.6156116587,216567.610546579,23524.5337549775,73477.436483846,19283.6060041302,14842.7018438486
"HH6",3314.06901235831,0,1789.86073912201,5542.26298388319,8587.60844143219,10653.0769419599,10711.641993952,10653.0769419605,10711.641993952,10753.065146677,10511.6655845176,10711.641993952,10753.065146677,10853.0533513942,10811.6301986691,10853.0533513942,11294.4293229881,6186.73370338967,10853.0533513942,10853.0533513942,9349.25651447767,10880.5001928853,15374.2524733034,10711.641993952,12735.9991888157,15760.1722814749,30619.2600317137,10711.641993952,10753.065146677,10711.641993952,20367.1375991852,31343.4587181921,56074.7918358378,57040.3900844763,67299.1649900458,75767.3421955736,74818.8952961129,75760.2878905807,74260.3230711585,73153.2662155233,70897.8049508142,70273.5944690529,69166.5848629721,68883.7621480875,73536.0960349466,72811.8878985574,59234.4748700817,61600.0780831579,59393.0564765247,168629.696429408,168671.100682312,168712.523835037,49830.6459695905,42612.6474110217,34901.9700319015,26838.6027673358,168712.523835037,26238.6735390325,22597.6750164885,21897.7575834682,18156.7708562069,17456.8534231866,10811.6301986691,61141.5035128309,62979.8511595809,74458.3811486703,84973.2123212207,76072.593981371,81520.9542389202,89272.9697215682,91262.7312708367,84131.8835307581,86473.2716397521,104575.101563422,128622.246174887,72539.2000275009,104336.565192145,104685.092313213,146380.136434247,79210.7126901587,96456.4860334734,99170.5407683302,101818.928896648,105157.222462999,115537.592634078,119658.555439792,81720.9495481772,75872.598672115,75341.1897913236,103822.345460176,122812.927756215,123664.259091753,124415.602222574,128170.867658218,79310.7008948753,121703.054959251,122785.783311874,127111.00758663,145420.264567376,126983.874937571,126515.354521635,105654.96672516,124437.020285149,126853.879097628,125171.221516703,126046.834105699,128066.603290193,210725.316245557,172612.742841109,10711.641993952,123895.656108837,126853.879097628,67823.3872670898,147274.303894934,146424.422777855,146835.791114224,83507.682498907,68311.0435135023,182104.482935051,127459.534707698,68406.202945859,174682.52475098,104923.62868449,144581.761721762,147612.828470928,146364.407507405,106547.054783964,91718.5465993004,213253.54153422,26838.6027673358,76791.5054962043,22597.6750164885,18156.7708562069
"HH7",5103.92975148033,1789.86073912201,0,3752.40224476118,6797.74770231018,8863.21620283784,8921.78125482994,8863.21620283849,8921.78125482994,8963.20440755501,8721.8048453956,8921.78125482994,8963.20440755501,9063.19261227218,9021.76945954711,9063.19261227218,9504.56858386604,7976.59444251169,9063.19261227218,9063.19261227218,11139.1172535997,12670.3609320074,17164.1132124254,8921.78125482994,10946.1384496937,13970.3115423529,28829.3992925917,8921.78125482994,8963.20440755501,8921.78125482994,18577.2768600632,29553.5979790701,54284.9310967158,55250.5293453543,65509.3042509238,77557.2029346956,76608.7560352349,77550.1486297027,76050.1838102805,74943.1269546453,72687.6656899362,72063.4552081749,70956.4456020941,70673.6228872095,75325.9567740686,74601.7486376794,61024.3356092037,63389.9388222799,61182.9172156467,170419.55716853,170460.961421434,170502.384574159,51620.5067087125,44402.5081501437,36691.8307710235,28628.4635064578,170502.384574159,28028.5342781546,24387.5357556105,23687.6183225902,19946.6315953289,19246.7141623086,9021.76945954711,62931.3642519529,64769.7118987029,72668.5204095483,83183.3515820988,74282.733242249,79731.0934997982,87483.1089824462,89472.8705317147,82342.0227916361,84683.4109006301,102785.2408243,126832.385435765,74329.0607666229,102546.704453023,102895.231574091,144590.275695125,77420.8519510368,94666.6252943514,97380.6800292082,100029.068157526,103367.361723877,113747.731894956,117868.69470067,79931.0888090552,74082.737932993,73551.3290522016,102032.484721054,121023.067017093,121874.398352631,122625.741483452,126381.006919096,77520.8401557533,119913.194220129,120995.922572752,125321.146847508,143630.403828254,125194.014198449,124725.493782513,103865.105986038,122647.159546027,125064.018358506,123381.360777581,124256.973366577,126276.742551071,208935.455506435,170822.882101987,8921.78125482994,122105.795369715,125064.018358506,66033.5265279678,145484.443155812,144634.562038733,145045.930375102,81717.821759785,70100.9042526243,180314.622195929,125669.673968576,66616.342206737,172892.664011858,103133.767945368,142791.90098264,145822.967731806,144574.546768283,104757.194044842,89928.6858601784,211463.680795098,28628.4635064578,78581.3662353263,24387.5357556105,19946.6315953289
"HH8",8856.3319962415,5542.26298388319,3752.40224476118,0,3045.34545754901,5110.81395807666,5169.37901006877,5110.81395807732,5169.37901006877,5210.80216279383,4969.40260063443,5169.37901006877,5210.80216279383,5310.790367511,5269.36721478594,5310.790367511,5752.16633910487,11728.9966872729,5310.790367511,5310.790367511,14891.5194983609,16422.7631767685,20916.5154571866,5169.37901006877,7193.7362049325,10217.9092975917,25076.9970478305,5169.37901006877,5210.80216279383,5169.37901006877,14824.874615302,25801.1957343089,50532.5288519547,51498.1271005931,61756.9020061626,81309.6051794567,80361.158279996,81302.5508744638,79802.5860550416,78695.5291994064,76440.0679346973,75815.857452936,74708.8478468552,74426.0251319706,79078.3590188298,78354.1508824405,64776.7378539649,67142.3410670411,64935.3194604078,174171.959413291,174213.363666195,174254.78681892,55372.9089534736,48154.9103949048,40444.2330157847,32380.865751219,174254.78681892,31780.9365229157,28139.9380003717,27440.0205673514,23699.0338400901,22999.1164070697,5269.36721478594,66683.766496714,68522.114143464,68916.1181647872,79430.9493373376,70530.3309974879,75978.6912550371,83730.7067376851,85720.4682869535,78589.620546875,80931.008655869,99032.8385795386,123079.983191004,78081.463011384,98794.3022082618,99142.8293293303,140837.873450363,73668.4497062756,90914.2230495903,93628.2777844471,96276.6659127646,99614.9594791156,109995.329650195,114116.292455908,76178.6865642941,70330.3356882319,69798.9268074405,98280.082476293,117270.664772332,118121.99610787,118873.339238691,122628.604674335,73768.4379109922,116160.791975368,117243.520327991,121568.744602747,139878.001583492,121441.611953688,120973.091537752,100112.703741277,118894.757301266,121311.616113745,119628.95853282,120504.571121816,122524.34030631,205183.053261674,167070.479857226,5169.37901006877,118353.393124954,121311.616113745,62281.1242832067,141732.040911051,140882.159793972,141293.528130341,77965.4195150239,73853.3064973854,176562.219951168,121917.271723815,62863.9399619759,169140.261767097,99381.365700607,139039.498737879,142070.565487044,140822.144523521,101004.791800081,86176.2836154173,207711.278550337,32380.865751219,82333.7684800874,28139.9380003717,23699.0338400901
"HH9",11901.6774537905,8587.60844143219,6797.74770231018,3045.34545754901,0,2065.46850052766,2124.03355251976,2065.46850052831,2124.03355251976,2165.45670524483,1924.05714308542,2124.03355251976,2165.45670524483,2265.444909962,2224.02175723693,2265.444909962,2706.82088155586,14774.3421448219,2265.444909962,2265.444909962,17936.8649559099,19468.1086343175,23961.8609147356,2124.03355251976,4148.39074738349,7172.56384004272,22031.6515902815,2124.03355251976,2165.45670524483,2124.03355251976,11779.529157753,22755.8502767599,47487.1833944057,48452.7816430442,58711.5565486137,84354.9506370057,83406.503737545,84347.8963320127,82847.9315125906,81740.8746569553,79485.4133922463,78861.202910485,77754.1933044042,77471.3705895196,82123.7044763787,81399.4963399895,67822.0833115138,70187.68652459,67980.6649179568,177217.30487084,177258.709123744,177300.132276469,58418.2544110226,51200.2558524538,43489.5784733336,35426.211208768,177300.132276469,34826.2819804647,31185.2834579207,30485.3660249004,26744.3792976391,26044.4618646188,2224.02175723693,69729.111954263,71567.459601013,65870.7727072382,76385.6038797887,67484.9855399389,72933.3457974881,80685.3612801361,82675.1228294046,75544.275089326,77885.6631983201,95987.4931219896,120034.637733455,81126.8084689329,95748.9567507129,96097.4838717814,137792.527992814,70623.1042487267,87868.8775920413,90582.9323268981,93231.3204552157,96569.6140215667,106949.984192646,111070.94699836,73133.3411067451,67284.9902306829,66753.5813498916,95234.737018744,114225.319314783,115076.650650321,115827.993781142,119583.259216786,70723.0924534432,113115.446517819,114198.174870442,118523.399145198,136832.656125943,118396.266496139,117927.746080203,97067.3582837282,115849.411843717,118266.270656196,116583.613075271,117459.225664267,119478.994848761,202137.707804125,164025.134399677,2124.03355251976,115308.047667405,118266.270656196,59235.7788256577,138686.695453502,137836.814336423,138248.182672792,74920.074057475,76898.6519549344,173516.874493619,118871.926266266,59818.5945044269,166094.916309548,96336.020243058,135994.15328033,139025.220029495,137776.799065972,97959.4463425321,83130.9381578684,204665.933092788,35426.211208768,85379.1139376364,31185.2834579207,26744.3792976391
"S13",13967.1459543182,10653.0769419599,8863.21620283784,5110.81395807666,2065.46850052766,0,141.411357442269,199.995309256949,141.411357442269,99.9882047171704,141.411357442269,141.411357442269,99.9882047171704,199.976409434341,241.39956215944,199.976409434341,641.352381028204,16839.8106453495,199.976409434341,199.976409434341,20002.3334564375,21533.5771348452,26027.3294152632,141.411357442269,5672.4856216892,8696.65871434842,19966.1830897538,141.411357442269,99.9882047171704,141.411357442269,13303.6240320587,20690.3817762322,45421.714893878,46387.3131425165,56646.088048086,86420.4191375333,85471.9722380727,86413.3648325404,84913.4000131182,83806.343157483,81550.8818927739,80926.6714110126,79819.6618049318,79536.8390900472,84189.1729769064,83464.9648405171,69887.5518120415,72253.1550251177,70046.1334184844,179282.773371368,179324.177624272,179365.600776997,60483.7229115503,53265.7243529815,45555.0469738613,37491.6797092956,179365.600776997,36891.7504809924,33250.7519584483,32550.834525428,28809.8477981667,28109.9303651464,241.39956215944,71794.5804547906,73632.9281015406,63805.3042067106,74320.135379261,65419.5170394113,70867.8772969605,78619.8927796084,80609.6543288769,73478.8065887984,75820.1946977924,93922.0246214619,117969.169232928,83192.2769694606,93683.4882501852,94032.0153712537,135727.059492287,68557.635748199,85803.4090915137,88517.4638263705,91165.851954688,94504.145521039,104884.515692119,109005.478497832,71067.8726062174,65219.5217301553,64688.1128493639,93169.2685182164,112159.850814256,113011.182149793,113762.525280614,117517.790716259,68657.6239529155,111049.978017291,112132.706369914,116457.93064467,134767.187625416,116330.797995611,115862.277579675,95001.8897832006,113783.943343189,116200.802155668,114518.144574743,115393.757163739,117413.526348233,200072.239303597,161959.665899149,141.411357442269,113242.579166878,116200.802155668,57170.31032513,136621.226952975,135771.345835895,136182.714172264,72854.6055569473,78964.1204554621,171451.405993091,116806.457765738,57753.1260038993,164029.44780902,94270.5517425304,133928.684779802,136959.751528968,135711.330565445,95893.9778420044,81065.4696573407,202600.46459226,37491.6797092956,87444.582438164,33250.7519584483,28809.8477981667
"S09",14025.7110063103,10711.641993952,8921.78125482994,5169.37901006877,2124.03355251976,141.411357442269,0,141.411357442928,0,99.9976546280086,199.976409434341,0,99.9976546280086,141.411357442269,99.9882047171704,141.411357442269,582.787329036132,16898.3756973416,141.411357442269,141.411357442269,20060.8985084296,21592.1421868373,26085.8944672553,0,5731.0506736813,8755.22376634053,19907.6180377618,0,99.9976546280086,0,13362.1890840508,20631.8167242402,45363.1498418859,46328.7480905244,56587.5229960939,86478.9841895255,85530.5372900648,86471.9298845325,84971.9650651103,83864.9082094751,81609.446944766,80985.2364630047,79878.226856924,79595.4041420393,84247.7380288985,83523.5298925092,69946.1168640336,72311.7200771098,70104.6984704765,179341.33842336,179382.742676264,179424.165828989,60542.2879635424,53324.2894049736,45613.6120258534,37550.2447612877,179424.165828989,36950.3155329845,33309.3170104404,32609.3995774201,28868.4128501588,28168.4954171385,99.9882047171704,71853.1455067827,73691.4931535327,63746.7391547185,74261.5703272689,65360.9519874192,70809.3122449684,78561.3277276164,80551.0892768849,73420.2415368063,75761.6296458003,93863.4595694699,117910.604180936,83250.8420214527,93624.9231981931,93973.4503192616,135668.494440295,68499.070696207,85744.8440395216,88458.8987743784,91107.286902696,94445.5804690469,104825.950640127,108946.91344584,71009.3075542254,65160.9566781632,64629.5477973718,93110.7034662243,112101.285762264,112952.617097801,113703.960228622,117459.225664267,68599.0589009235,110991.412965299,112074.141317922,116399.365592678,134708.622573424,116272.232943619,115803.712527683,94943.3247312085,113725.378291197,116142.237103676,114459.579522751,115335.192111747,117354.961296241,200013.674251605,161901.100847157,0,113184.014114886,116142.237103676,57111.745273138,136562.661900983,135712.780783903,136124.149120272,72796.0405049552,79022.6855074542,171392.840941099,116747.892713746,57694.5609519072,163970.882757028,94211.9866905383,133870.11972781,136901.186476976,135652.765513453,95835.4127900124,81006.9046053486,202541.899540268,37550.2447612877,87503.1474901561,33309.3170104404,28868.4128501588
"S12",13967.1459543188,10653.0769419605,8863.21620283849,5110.81395807732,2065.46850052831,199.995309256949,141.411357442928,0,141.411357442928,241.409012070937,141.411357442928,141.411357442928,241.409012070937,282.822714885197,241.399562160098,282.822714885197,724.19868647906,16839.8106453502,282.822714885197,282.822714885197,20002.3334564382,21533.5771348459,26027.3294152639,141.411357442928,5672.48562168986,8696.65871434908,20049.0293952047,141.411357442928,241.409012070937,141.411357442928,13303.6240320594,20773.2280816831,45504.5611993289,46470.1594479674,56728.9343535368,86420.419137534,85471.9722380733,86413.364832541,84913.4000131189,83806.3431574836,81550.8818927746,80926.6714110133,79819.6618049325,79536.8390900479,84189.172976907,83464.9648405178,69887.5518120421,72253.1550251183,70046.1334184851,179282.773371369,179324.177624272,179365.600776997,60483.7229115509,53265.7243529821,45555.046973862,37491.6797092963,179365.600776997,36891.750480993,33250.751958449,32550.8345254287,28809.8477981674,28109.9303651471,241.399562160098,71794.5804547913,73632.9281015413,63888.1505121614,74402.9816847119,65502.3633448621,70950.7236024113,78702.7390850593,80692.5006343278,73561.6528942492,75903.0410032433,94004.8709269128,118052.015538379,83192.2769694613,93766.334555636,94114.8616767045,135809.905797738,68640.4820536499,85886.2553969645,88600.3101318213,91248.6982601389,94586.9918264899,104967.361997569,109088.324803283,71150.7189116683,65302.3680356061,64770.9591548148,93252.1148236672,112242.697119706,113094.028455244,113845.371586065,117600.637021709,68740.4702583664,111132.824322742,112215.552675365,116540.776950121,134850.033930867,116413.644301062,115945.123885126,95084.7360886514,113866.78964864,116283.648461119,114600.990880194,115476.60346919,117496.372653684,200155.085609048,162042.5122046,141.411357442928,113325.425472329,116283.648461119,57253.1566305809,136704.073258425,135854.192141346,136265.560477715,72937.4518623982,78964.1204554627,171534.252298542,116889.304071189,57835.9723093501,164112.294114471,94353.3980479812,134011.531085253,137042.597834419,135794.176870896,95976.8241474553,81148.3159627915,202683.310897711,37491.6797092963,87444.5824381647,33250.751958449,28809.8477981674
"S02",14025.7110063103,10711.641993952,8921.78125482994,5169.37901006877,2124.03355251976,141.411357442269,0,141.411357442928,0,99.9976546280086,199.976409434341,0,99.9976546280086,141.411357442269,99.9882047171704,141.411357442269,582.787329036132,16898.3756973416,141.411357442269,141.411357442269,20060.8985084296,21592.1421868373,26085.8944672553,0,5731.0506736813,8755.22376634053,19907.6180377618,0,99.9976546280086,0,13362.1890840508,20631.8167242402,45363.1498418859,46328.7480905244,56587.5229960939,86478.9841895255,85530.5372900648,86471.9298845325,84971.9650651103,83864.9082094751,81609.446944766,80985.2364630047,79878.226856924,79595.4041420393,84247.7380288985,83523.5298925092,69946.1168640336,72311.7200771098,70104.6984704765,179341.33842336,179382.742676264,179424.165828989,60542.2879635424,53324.2894049736,45613.6120258534,37550.2447612877,179424.165828989,36950.3155329845,33309.3170104404,32609.3995774201,28868.4128501588,28168.4954171385,99.9882047171704,71853.1455067827,73691.4931535327,63746.7391547185,74261.5703272689,65360.9519874192,70809.3122449684,78561.3277276164,80551.0892768849,73420.2415368063,75761.6296458003,93863.4595694699,117910.604180936,83250.8420214527,93624.9231981931,93973.4503192616,135668.494440295,68499.070696207,85744.8440395216,88458.8987743784,91107.286902696,94445.5804690469,104825.950640127,108946.91344584,71009.3075542254,65160.9566781632,64629.5477973718,93110.7034662243,112101.285762264,112952.617097801,113703.960228622,117459.225664267,68599.0589009235,110991.412965299,112074.141317922,116399.365592678,134708.622573424,116272.232943619,115803.712527683,94943.3247312085,113725.378291197,116142.237103676,114459.579522751,115335.192111747,117354.961296241,200013.674251605,161901.100847157,0,113184.014114886,116142.237103676,57111.745273138,136562.661900983,135712.780783903,136124.149120272,72796.0405049552,79022.6855074542,171392.840941099,116747.892713746,57694.5609519072,163970.882757028,94211.9866905383,133870.11972781,136901.186476976,135652.765513453,95835.4127900124,81006.9046053486,202541.899540268,37550.2447612877,87503.1474901561,33309.3170104404,28868.4128501588
"S08",14067.1341590353,10753.065146677,8963.20440755501,5210.80216279383,2165.45670524483,99.9882047171704,99.9976546280086,241.409012070937,99.9976546280086,0,241.39956215944,99.9976546280086,0,99.9882047171704,141.411357442269,99.9882047171704,541.364176311033,16939.7988500667,99.9882047171704,99.9882047171704,20102.3216611547,21633.5653395624,26127.3176199804,99.9976546280086,5772.47382640637,8796.64691906559,19866.1948850367,99.9976546280086,0,99.9976546280086,13403.6122367759,20590.3935715151,45321.7266891609,46287.3249377993,56546.0998433688,86520.4073422505,85571.9604427898,86513.3530372576,85013.3882178354,83906.3313622002,81650.8700974911,81026.6596157298,79919.650009649,79636.8272947644,84289.1611816235,83564.9530452343,69987.5400167586,72353.1432298349,70146.1216232016,179382.761576085,179424.165828989,179465.588981714,60583.7111162674,53365.7125576986,45655.0351785785,37591.6679140128,179465.588981714,36991.7386857095,33350.7401631655,32650.8227301452,28909.8360028839,28209.9185698636,141.411357442269,71894.5686595078,73732.9163062578,63705.3160019934,74220.1471745438,65319.5288346941,70767.8890922433,78519.9045748913,80509.6661241598,73378.8183840812,75720.2064930752,93822.0364167448,117869.181028211,83292.2651741778,93583.500045468,93932.0271665365,135627.07128757,68457.6475434819,85703.4208867965,88417.4756216533,91065.8637499709,94404.1573163218,104784.527487401,108905.490293115,70967.8844015003,65119.5335254381,64588.1246446467,93069.2803134992,112059.862609538,112911.193945076,113662.537075897,117417.802511541,68557.6357481984,110949.989812574,112032.718165197,116357.942439953,134667.199420699,116230.809790894,115762.289374958,94901.9015784834,113683.955138472,116100.813950951,114418.156370026,115293.768959022,117313.538143516,199972.25109888,161859.677694432,99.9976546280086,113142.590962161,116100.813950951,57070.3221204129,136521.238748257,135671.357631178,136082.725967547,72754.6173522301,79064.1086601792,171351.417788374,116706.469561021,57653.1377991821,163929.459604303,94170.5635378132,133828.696575085,136859.763324251,135611.342360728,95793.9896372873,80965.4814526235,202500.476387543,37591.6679140128,87544.5706428812,33350.7401631655,28909.8360028839
