"","Releasesite1","Releasesite2","Releasesite3","Releasesite4","Releasesite5","Johnring","Sound1","Sound2","Sound2.5","Sound3","Sound4","Sound5","Sound6","Sound7","Sound8","Sound10","Sound12","S0","S1","S2","S3","S4","S5","S6","S7","Lillebfyn","Lilleb2","LB2","Lilleb3","LB1","Lillebjylland","UpLB1","UpLB2","VB1","VB2","VB3","VB4","VB5","VB6","VB7","VB8","VB9","VB10","VB11","VB12","VB13","VB14","VB15","VB16","OB1","GOB1","NOB1","OB2","GOB2","NOB2","OB3","GOB3","NOB3","OB4","GOB4","NOB4","OB5","GOB6","NOB5","GOB7","STSUB1","GOB8","NOB6","STSUB2","NOB7","UpOB1","UpOB2","UpOB3","OB6","GOB10","NOB8","GOB11","NOB9","OB8","GOB12","GOB13","OB9","NOB10","NOB11","NOB12","NOB13","NOB14","GOB14","GOB15","GOB16","GOB17","GOB18"
"Releasesite1",0,282.861221886133,682.936950034752,841.563135202344,1124.42435708775,582.918017996805,87635.4624963942,87794.0143491265,87628.2685235883,88069.6815982051,88703.8890091323,89038.1139563857,87948.1055252286,89399.3874144097,87933.7175796155,87885.0871504243,87879.6205580719,86928.3094416805,86862.5577707008,86855.3637978942,86706.7392141456,86599.5510867806,86592.3571139748,86585.1631411682,86760.8362356893,259943.565593298,259619.292692506,259619.292692506,259802.134982355,259802.134982355,259602.097118281,257411.830879756,257346.079208776,162016.58562691,161699.333256573,161382.080886236,161064.828515898,160847.595077599,160530.342707261,160213.090336924,159995.856898623,159678.604528287,159502.782768892,159185.530398555,158968.296960254,158692.456268823,158516.634509428,158299.401071128,158123.579311733,155927.028824052,155927.028824052,155927.028824052,155568.36477481,155568.36477481,155409.738589641,155209.700725567,155209.700725567,155051.074540398,154892.448355229,154892.448355229,154433.765373949,154275.139188781,154275.139188781,154275.139188781,154275.139188781,153857.867886406,153857.867886406,153857.867886406,153340.577651995,153340.577651995,154423.590330178,153947.711774672,153606.168967217,153016.13130885,152981.913602752,153023.325281658,153023.325281658,152899.015912503,153016.13130885,153016.13130885,152891.821939695,152891.821939695,152950.379637869,152884.627966888,152835.997537695,152828.803564886,152845.924806675,152926.064423272,152901.749208676,152835.997537695,152811.682323098,152845.924806675
"Releasesite2",282.861221886133,0,400.075728148688,724.348628939789,1007.20985082526,524.285987386703,87352.601274508,87511.1531272403,87345.4073017021,87786.820376319,88421.0277872461,88755.2527344996,87665.2443033425,89116.5261925236,87650.8563577293,87602.2259285381,87596.7593361857,86645.4482197944,86579.6965488147,86572.5025760081,86423.8779922595,86316.6898648944,86309.4958920886,86302.3019192821,86477.9750138031,259826.351087035,259502.078186244,259502.078186244,259684.920476092,259684.920476092,259484.882612018,257294.616373493,257228.864702514,161899.371120647,161582.118750311,161264.866379973,160947.614009636,160730.380571336,160413.128200998,160095.875830661,159878.642392361,159561.390022024,159385.568262629,159068.315892292,158851.082453992,158575.24176256,158399.420003166,158182.186564865,158006.364805471,155809.81431779,155809.81431779,155809.81431779,155451.150268547,155451.150268547,155292.524083379,155092.486219304,155092.486219304,154933.860034135,154775.233848967,154775.233848967,154316.550867686,154157.924682518,154157.924682518,154157.924682518,154157.924682518,153740.653380143,153740.653380143,153740.653380143,153223.363145733,153223.363145733,154306.375823915,153830.497268409,153488.954460955,152898.916802587,152864.699096489,152906.110775395,152906.110775395,152781.801406241,152898.916802587,152898.916802587,152774.607433433,152774.607433433,152833.165131606,152767.413460625,152718.783031432,152711.589058624,152728.710300412,152808.84991701,152784.534702413,152718.783031432,152694.467816835,152728.710300412
"Releasesite3",682.936950034752,400.075728148688,0,382.855376443554,665.716598329028,441.413074617769,87186.8554489687,87345.407301701,87179.6614761628,87621.0745507797,88255.2819617068,88589.5069089603,87499.4984778032,88950.7803669843,87485.1105321901,87436.4801029989,87431.0135106464,86479.7023942551,86413.9507232754,86406.7567504688,86258.1321667202,86150.9440393551,86143.7500665493,86136.5560937428,86312.2291882638,259426.275358886,259102.002458095,259102.002458095,259284.844747943,259284.844747943,259084.80688387,256894.540645345,256828.788974365,161499.295392499,161182.043022162,160864.790651824,160547.538281487,160330.304843187,160013.05247285,159695.800102512,159478.566664212,159161.314293875,158985.492534481,158668.240164143,158451.006725843,158175.166034411,157999.344275017,157782.110836717,157606.289077322,155409.738589641,155409.738589641,155409.738589641,155051.074540398,155051.074540398,154892.44835523,154692.410491156,154692.410491156,154533.784305986,154375.158120818,154375.158120818,153916.475139538,153757.848954369,153757.848954369,153757.848954369,153757.848954369,153340.577651995,153340.577651995,153340.577651995,152823.287417584,152823.287417584,153906.300095766,153430.421540261,153088.878732806,152498.841074438,152464.623368341,152506.035047247,152506.035047247,152381.725678092,152498.841074438,152498.841074438,152374.531705284,152374.531705284,152433.089403457,152367.337732476,152318.707303283,152311.513330475,152328.634572264,152408.774188861,152384.458974264,152318.707303283,152294.392088687,152328.634572264
"Releasesite4",841.563135202344,724.348628939789,382.855376443554,0,282.861221885474,341.46847501726,87403.9649998734,87562.5168526056,87396.7710270675,87838.1841016843,88472.3915126114,88806.6164598649,87716.6080287078,89167.8899178889,87702.2200830947,87653.5896539035,87648.123061551,86696.8119451597,86631.06027418,86623.8663013734,86475.2417176248,86368.0535902597,86360.8596174539,86353.6656446474,86529.3387391685,259102.002458095,258777.729557304,258777.729557304,258960.571847152,258960.571847152,258760.533983079,256570.267744554,256504.516073574,161175.022491708,160857.770121371,160540.517751033,160223.265380696,160006.031942396,159688.779572059,159371.527201721,159154.293763421,158837.041393084,158661.21963369,158343.967263352,158126.733825052,157850.89313362,157675.071374226,157457.837935926,157282.016176531,155085.46568885,155085.46568885,155085.46568885,154726.801639607,154726.801639607,154568.175454439,154368.137590365,154368.137590365,154209.511405195,154050.885220027,154050.885220027,153592.202238747,153433.576053578,153433.576053578,153433.576053578,153433.576053578,153016.304751204,153016.304751204,153016.304751204,152499.014516793,152499.014516793,153582.027194975,153106.14863947,152764.605832015,152174.568173647,152140.35046755,152181.762146456,152181.762146456,152057.452777301,152174.568173647,152174.568173647,152050.258804493,152050.258804493,152108.816502666,152043.064831685,151994.434402492,151987.240429684,152004.361671473,152084.50128807,152060.186073473,151994.434402492,151970.119187895,152004.361671473
"Releasesite5",1124.42435708775,1007.20985082526,665.716598329028,282.861221885474,0,541.506339090945,87521.0803962195,87679.6322489518,87513.8864234136,87955.2994980305,88589.5069089576,88923.7318562111,87833.723425054,89285.0053142351,87819.3354794409,87770.7050502497,87765.2384578972,86813.9273415059,86748.1756705262,86740.9816977196,86592.357113971,86485.1689866059,86477.9750138001,86470.7810409936,86646.4541355146,258901.96459402,258577.691693229,258577.691693229,258760.533983077,258760.533983077,258560.496119004,256370.229880479,256304.478209499,160974.984627633,160657.732257296,160340.479886958,160023.227516621,159805.994078321,159488.741707984,159171.489337646,158954.255899346,158637.003529009,158461.181769615,158143.929399277,157926.695960977,157650.855269545,157475.033510151,157257.800071851,157081.978312456,154885.427824775,154885.427824775,154885.427824775,154526.763775532,154526.763775532,154368.137590364,154168.09972629,154168.09972629,154009.47354112,153850.847355952,153850.847355952,153392.164374671,153233.538189503,153233.538189503,153233.538189503,153233.538189503,152816.266887129,152816.266887129,152816.266887129,152298.976652718,152298.976652718,153381.9893309,152906.110775395,152564.56796794,151974.530309572,151940.312603475,151981.724282381,151981.724282381,151857.414913226,151974.530309572,151974.530309572,151850.220940418,151850.220940418,151908.778638591,151843.02696761,151794.396538417,151787.202565609,151804.323807398,151884.463423995,151860.148209398,151794.396538417,151770.08132382,151804.323807398
"Johnring",582.918017996805,524.285987386703,441.413074617769,341.46847501726,541.506339090945,0,87628.268523586,87786.8203763183,87621.0745507801,88062.4876253969,88696.6950363241,89030.9199835775,87940.9115524204,89392.1934416016,87926.5236068073,87877.8931776161,87872.4265852637,86921.1154688723,86855.3637978926,86848.169825086,86699.5452413374,86592.3571139724,86585.1631411666,86577.96916836,86753.6422628811,259360.647575301,259036.37467451,259036.37467451,259219.216964358,259219.216964358,259019.179100284,256828.912861759,256763.161190779,161433.667608913,161116.415238576,160799.162868239,160481.910497901,160264.677059602,159947.424689264,159630.172318927,159412.938880627,159095.68651029,158919.864750895,158602.612380558,158385.378942257,158109.538250826,157933.716491431,157716.483053131,157540.661293737,155344.110806056,155344.110806056,155344.110806056,154985.446756813,154985.446756813,154826.820571644,154626.78270757,154626.78270757,154468.156522401,154309.530337233,154309.530337233,153850.847355952,153692.221170784,153692.221170784,153692.221170784,153692.221170784,153274.949868409,153274.949868409,153274.949868409,152757.659633998,152757.659633998,153840.672312181,153364.793756675,153023.250949221,152433.213290853,152398.995584755,152440.407263661,152440.407263661,152316.097894507,152433.213290853,152433.213290853,152308.903921698,152308.903921698,152367.461619872,152301.709948891,152253.079519698,152245.88554689,152263.006788678,152343.146405276,152318.831190679,152253.079519698,152228.764305101,152263.006788678
"Sound1",87635.4624963942,87352.601274508,87186.8554489687,87403.9649998734,87521.0803962195,87628.268523586,0,241.424765501501,582.918017997464,765.710752887272,1731.40981489081,2397.12641322066,2355.88817666861,3835.74773724439,3521.72421266222,4204.66116269625,1390.09000474845,707.153054713933,1065.81710395656,1483.08840633124,2041.79031964817,2500.47330092872,3083.39131892641,3666.30933692322,4090.60116975154,215055.955922029,214731.683021237,214731.683021237,214914.525311086,214914.525311086,214714.487447012,212524.221208487,212458.469537507,188856.944011394,188822.701527815,188788.459044237,188754.216560659,188678.537620696,188644.295137118,188610.05265354,188534.373713578,188500.131229999,188324.458135478,188290.2156519,188214.536711937,188080.300073801,187904.62697928,187828.948039317,187653.274944796,187155.031552459,187155.031552459,187155.031552459,187220.783223438,187220.783223438,187203.661981649,187286.534894418,187286.534894418,187269.41365263,187252.29241084,187252.29241084,187359.480538205,187342.359296416,187342.359296416,187342.359296416,187342.359296416,187349.553269222,187349.553269222,187349.553269222,187398.183698413,187398.183698413,186783.830825451,186732.467100084,186781.097529275,187371.135187641,187463.935369393,187363.941214835,187363.941214835,187488.250583988,187371.135187641,187371.135187641,187495.444556795,187495.444556795,187436.886858621,187502.638529601,187551.268958792,187558.462931598,187541.341689809,187461.202073216,187485.517287812,187551.268958792,187575.584173388,187541.341689809
"Sound2",87794.0143491265,87511.1531272403,87345.407301701,87562.5168526056,87679.6322489518,87786.8203763183,241.424765501501,0,400.075728148688,524.285987386044,1489.98504938931,2155.70164771916,2173.0458868197,3594.32297174317,3338.88192281331,4021.81887284733,1207.24771489954,865.704907445954,1048.62152973136,1465.8928321059,2024.59474542284,2483.27772670338,2900.54902907764,3483.46704707444,3907.75887990276,215073.151496254,214748.878595463,214748.878595463,214931.720885311,214931.720885311,214731.683021237,212541.416782712,212475.665111733,188874.13958562,188839.897102041,188805.654618463,188771.412134885,188695.733194921,188661.490711343,188627.248227765,188551.569287803,188517.326804224,188341.653709703,188307.411226125,188231.732286163,188097.495648026,187921.822553505,187846.143613543,187670.470519022,187172.227126684,187172.227126684,187172.227126684,187237.978797664,187237.978797664,187220.857555874,187303.730468643,187303.730468643,187286.609226855,187269.487985065,187269.487985065,187376.67611243,187359.554870641,187359.554870641,187359.554870641,187359.554870641,187366.748843448,187366.748843448,187366.748843448,187415.379272638,187415.379272638,186801.026399676,186749.662674309,186798.2931035,187388.330761866,187481.130943618,187381.13678906,187381.13678906,187505.446158213,187388.330761866,187388.330761866,187512.64013102,187512.64013102,187454.082432846,187519.834103826,187568.464533017,187575.658505823,187558.537264034,187478.397647441,187502.712862037,187568.464533017,187592.779747613,187558.537264034
"Sound2.5",87628.2685235883,87345.4073017021,87179.6614761628,87396.7710270675,87513.8864234136,87621.0745507801,582.918017997464,400.075728148688,0,441.413074616837,1324.23922385111,1989.95582218096,1772.97015867115,3428.57714620388,2938.80619466476,3621.74314469878,807.171986750988,699.959081907757,765.710752887437,1065.81710395721,1624.51901727415,2083.20199855469,2500.47330092895,3083.39131892575,3507.68315175408,215473.227224403,215148.954323611,215148.954323611,215331.79661346,215331.79661346,215131.758749386,212941.492510861,212875.740839881,189274.215313768,189239.972830189,189205.730346611,189171.487863033,189095.80892307,189061.566439492,189027.323955914,188951.645015951,188917.402532373,188741.729437852,188707.486954274,188631.808014311,188497.571376175,188321.898281654,188246.219341691,188070.54624717,187572.302854833,187572.302854833,187572.302854833,187638.054525812,187638.054525812,187620.933284023,187703.806196792,187703.806196792,187686.684955003,187669.563713214,187669.563713214,187776.751840579,187759.63059879,187759.63059879,187759.63059879,187759.63059879,187766.824571596,187766.824571596,187766.824571596,187815.455000786,187815.455000786,187201.102127825,187149.738402457,187198.368831649,187788.406490015,187881.206671767,187781.212517208,187781.212517208,187905.521886362,187788.406490015,187788.406490015,187912.715859169,187912.715859169,187854.158160995,187919.909831974,187968.540261165,187975.734233972,187958.612992183,187878.47337559,187902.788590186,187968.540261165,187992.855475761,187958.612992183
"Sound3",88069.6815982051,87786.820376319,87621.0745507797,87838.1841016843,87955.2994980305,88062.4876253969,765.710752887272,524.285987386044,441.413074616837,0,965.69906200354,1631.41566033339,1707.34237508611,3070.03698435712,2873.17841107972,3556.11536111381,741.544203165947,1141.37215652459,1207.12382750427,1331.48275161683,1890.18466493356,2348.86764621411,2766.13894858836,3183.41025096304,3442.05536816924,215207.561576743,214883.288675952,214883.288675952,215066.1309658,215066.1309658,214866.093101726,212675.826863201,212610.075192222,189008.549666109,188974.30718253,188940.064698952,188905.822215374,188830.14327541,188795.900791832,188761.658308254,188685.979368292,188651.736884713,188476.063790192,188441.821306614,188366.142366652,188231.905728515,188056.232633994,187980.553694032,187804.880599511,187306.637207173,187306.637207173,187306.637207173,187372.388878153,187372.388878153,187355.267636363,187438.140549132,187438.140549132,187421.019307344,187403.898065554,187403.898065554,187511.086192919,187493.96495113,187493.96495113,187493.96495113,187493.96495113,187501.158923937,187501.158923937,187501.158923937,187549.789353127,187549.789353127,186935.436480165,186884.072754798,186932.703183989,187522.740842355,187615.541024107,187515.546869549,187515.546869549,187639.856238702,187522.740842355,187522.740842355,187647.050211509,187647.050211509,187588.492513335,187654.244184315,187702.874613506,187710.068586312,187692.947344523,187612.80772793,187637.122942526,187702.874613506,187727.189828102,187692.947344523
