"","Releasesite1","Releasesite2","Releasesite3","Releasesite4","Releasesite5","Johnring","Sound1","Sound2","Sound2.5","Sound3","Sound4","Sound5","Sound6","Sound7","Sound8","Sound10","Sound12","S0","S1","S2","S3","S4","S5","S6","S7","Lillebfyn","Lilleb2","LB2","Lilleb3","LB1","Lillebjylland","UpLB1","UpLB2","VB1","VB2","VB3","VB4","VB5","VB6","VB7","VB8","VB9","VB10","VB11","VB12","VB13","VB14","VB15","VB16","OB1","GOB1","NOB1","OB2","GOB2","NOB2","OB3","GOB3","NOB3","OB4","GOB4","NOB4","OB5","GOB6","NOB5","GOB7","STSUB1","GOB8","NOB6","STSUB2","NOB7","UpOB1","UpOB2","UpOB3","OB6","GOB10","NOB8","GOB11","NOB9","OB8","GOB12","GOB13","OB9","NOB10","NOB11","NOB12","NOB13","NOB14","GOB14","GOB15","GOB16","GOB17","GOB18"
"Sound4",88703.8890091323,88421.0277872461,88255.2819617068,88472.3915126114,88589.5069089576,88696.6950363241,1731.40981489081,1489.98504938931,1324.23922385111,965.69906200354,0,665.716598329851,1224.44328912504,2280.0853493108,2141.80925168612,2824.74620172021,824.268451060391,2024.19830575887,1841.33123843142,1848.52521123798,1997.14979498741,2280.0853493108,2697.35665168472,3114.62795405926,3290.44971345374,215276.343873647,214952.070972855,214952.070972855,215134.913262704,215134.913262704,214934.87539863,212744.609160105,212678.857489125,189077.331963012,189043.089479433,189008.846995855,188974.604512277,188898.925572314,188864.683088736,188830.440605158,188754.761665195,188720.519181617,188544.846087096,188510.603603518,188434.924663555,188300.688025419,188125.014930898,188049.335990935,187873.662896414,187375.419504077,187375.419504077,187375.419504077,187441.171175056,187441.171175056,187424.049933267,187506.922846036,187506.922846036,187489.801604247,187472.680362458,187472.680362458,187579.868489823,187562.747248034,187562.747248034,187562.747248034,187562.747248034,187569.94122084,187569.94122084,187569.94122084,187618.57165003,187618.57165003,187004.218777069,186952.855051701,187001.485480893,187591.523139259,187684.323321011,187584.329166452,187584.329166452,187708.638535606,187591.523139259,187591.523139259,187715.832508413,187715.832508413,187657.274810239,187723.026481218,187771.656910409,187778.850883216,187761.729641427,187681.590024834,187705.90523943,187771.656910409,187795.972125005,187761.729641427
"Sound5",89038.1139563857,88755.2527344996,88589.5069089603,88806.6164598649,88923.7318562111,89030.9199835775,2397.12641322066,2155.70164771916,1989.95582218096,1631.41566033339,665.716598329851,0,1090.00843115765,1672.95122663327,1865.96856025436,2383.25879466633,1241.36631108311,2689.91490408872,2424.17492399201,2182.75015849144,2331.37474224005,2438.56286960513,2504.33931806515,2921.61062043956,3097.43237983376,215469.361207267,215145.088306475,215145.088306475,215327.930596324,215327.930596324,215127.89273225,212937.626493725,212871.874822745,189270.349296632,189236.106813053,189201.864329475,189167.621845897,189091.942905934,189057.700422356,189023.457938778,188947.778998815,188913.536515237,188737.863420716,188703.620937138,188627.941997175,188493.705359039,188318.032264518,188242.353324555,188066.680230034,187568.436837697,187568.436837697,187568.436837697,187634.188508676,187634.188508676,187617.067266887,187699.940179656,187699.940179656,187682.818937867,187665.697696078,187665.697696078,187772.885823443,187755.764581654,187755.764581654,187755.764581654,187755.764581654,187762.95855446,187762.95855446,187762.95855446,187811.58898365,187811.58898365,187197.236110689,187145.872385322,187194.502814513,187784.540472879,187877.340654631,187777.346500072,187777.346500072,187901.655869226,187784.540472879,187784.540472879,187908.849842033,187908.849842033,187850.292143859,187916.043814838,187964.67424403,187971.868216836,187954.746975047,187874.607358454,187898.92257305,187964.67424403,187988.989458625,187954.746975047
"Sound6",87948.1055252286,87665.2443033425,87499.4984778032,87716.6080287078,87833.723425054,87940.9115524204,2355.88817666861,2173.0458868197,1772.97015867115,1707.34237508611,1224.44328912504,1090.00843115765,0,1948.5193657954,1165.83603599361,1848.7729860277,965.798171920158,2180.01686231596,1914.27688221843,1507.10629117966,1241.36631108295,1348.55443844802,1472.91336255982,1890.18466493422,2066.0064243287,216500.787162772,216176.51426198,216176.51426198,216359.356551829,216359.356551829,216159.318687755,213969.05244923,213903.30077825,190301.775252137,190267.532768558,190233.29028498,190199.047801402,190123.368861439,190089.126377861,190054.883894283,189979.20495432,189944.962470742,189769.289376221,189735.046892643,189659.36795268,189525.131314544,189349.458220023,189273.77928006,189098.106185539,188599.862793202,188599.862793202,188599.862793202,188665.614464181,188665.614464181,188648.493222392,188731.366135161,188731.366135161,188714.244893372,188697.123651583,188697.123651583,188804.311778948,188787.190537159,188787.190537159,188787.190537159,188787.190537159,188794.384509965,188794.384509965,188794.384509965,188843.014939155,188843.014939155,188228.662066194,188177.298340826,188225.928770018,188815.966428384,188908.766610136,188808.772455577,188808.772455577,188933.081824731,188815.966428384,188815.966428384,188940.275797538,188940.275797538,188881.718099364,188947.469770343,188996.100199534,189003.294172341,188986.172930552,188906.033313959,188930.348528555,188996.100199534,189020.41541413,188986.172930552
"Sound7",89399.3874144097,89116.5261925236,88950.7803669843,89167.8899178889,89285.0053142351,89392.1934416016,3835.74773724439,3594.32297174317,3428.57714620388,3070.03698435712,2280.0853493108,1672.95122663327,1948.5193657954,0,1465.66983479426,1514.30026398627,2679.98763510521,4128.53622811054,3862.79624801383,3455.62565697506,3107.01276410941,2799.83632762916,2807.03030043496,2814.22427324152,2638.55117872047,216396.9022136,216072.629312808,216072.629312808,216255.471602656,216255.471602656,216055.433738583,213865.167500058,213799.415829078,190197.890302965,190163.647819386,190129.405335808,190095.16285223,190019.483912267,189985.241428689,189950.998945111,189875.320005148,189841.077521569,189665.404427048,189631.16194347,189555.483003508,189421.246365371,189245.573270851,189169.894330888,188994.221236367,188495.977844029,188495.977844029,188495.977844029,188561.729515009,188561.729515009,188544.60827322,188627.481185989,188627.481185989,188610.3599442,188593.238702411,188593.238702411,188700.426829776,188683.305587986,188683.305587986,188683.305587986,188683.305587986,188690.499560793,188690.499560793,188690.499560793,188739.129989983,188739.129989983,188124.777117022,188073.413391654,188122.043820846,188712.081479212,188804.881660964,188704.887506405,188704.887506405,188829.196875559,188712.081479212,188712.081479212,188836.390848365,188836.390848365,188777.833150192,188843.584821171,188892.215250362,188899.409223169,188882.287981379,188802.148364787,188826.463579383,188892.215250362,188916.530464958,188882.287981379
"Sound8",87933.7175796155,87650.8563577293,87485.1105321901,87702.2200830947,87819.3354794409,87926.5236068073,3521.72421266222,3338.88192281331,2938.80619466476,2873.17841107972,2141.80925168612,1865.96856025436,1165.83603599361,1465.66983479426,0,682.936950034094,2131.63420791377,3228.68794700494,2787.20053995046,2321.44747325829,1972.83458039155,1665.6581439113,1341.3604656407,1348.55443844726,1231.46381957961,217335.329767521,217011.05686673,217011.05686673,217193.899156578,217193.899156578,216993.861292504,214803.595053979,214737.843383,191136.317856886,191102.075373308,191067.83288973,191033.590406152,190957.911466188,190923.66898261,190889.426499032,190813.74755907,190779.505075491,190603.83198097,190569.589497392,190493.91055743,190359.673919293,190184.000824772,190108.321884809,189932.648790289,189434.405397951,189434.405397951,189434.405397951,189500.157068931,189500.157068931,189483.035827141,189565.90873991,189565.90873991,189548.787498122,189531.666256332,189531.666256332,189638.854383697,189621.733141908,189621.733141908,189621.733141908,189621.733141908,189628.927114715,189628.927114715,189628.927114715,189677.557543905,189677.557543905,189063.204670943,189011.840945576,189060.471374767,189650.509033133,189743.309214885,189643.315060327,189643.315060327,189767.62442948,189650.509033133,189650.509033133,189774.818402287,189774.818402287,189716.260704113,189782.012375093,189830.642804284,189837.83677709,189820.715535301,189740.575918708,189764.891133304,189830.642804284,189854.95801888,189820.715535301
"Sound10",87885.0871504243,87602.2259285381,87436.4801029989,87653.5896539035,87770.7050502497,87877.8931776161,4204.66116269625,4021.81887284733,3621.74314469878,3556.11536111381,2824.74620172021,2383.25879466633,1848.7729860277,1514.30026398627,682.936950034094,0,2814.57115794786,3911.62489703896,3470.13748998449,2887.21947198768,2421.44162781604,2114.26519133469,1707.09460029483,1299.92400925606,1124.25091473501,217852.620001933,217528.347101142,217528.347101142,217711.18939099,217711.18939099,217511.151526916,215320.885288391,215255.133617411,191653.608091298,191619.36560772,191585.123124142,191550.880640564,191475.2017006,191440.959217022,191406.716733444,191331.037793482,191296.795309903,191121.122215382,191086.879731804,191011.200791841,190876.964153705,190701.291059184,190625.612119221,190449.939024701,189951.695632363,189951.695632363,189951.695632363,190017.447303343,190017.447303343,190000.326061553,190083.198974322,190083.198974322,190066.077732534,190048.956490744,190048.956490744,190156.144618109,190139.02337632,190139.02337632,190139.02337632,190139.02337632,190146.217349127,190146.217349127,190146.217349127,190194.847778317,190194.847778317,189580.494905355,189529.131179988,189577.761609179,190167.799267545,190260.599449297,190160.605294739,190160.605294739,190284.914663892,190167.799267545,190167.799267545,190292.108636699,190292.108636699,190233.550938525,190299.302609505,190347.933038696,190355.127011502,190338.005769713,190257.86615312,190282.181367716,190347.933038696,190372.248253292,190338.005769713
"Sound12",87879.6205580719,87596.7593361857,87431.0135106464,87648.123061551,87765.2384578972,87872.4265852637,1390.09000474845,1207.24771489954,807.171986750988,741.544203165947,824.268451060391,1241.36631108311,965.798171920158,2679.98763510521,2131.63420791377,2814.57115794786,0,1448.54859300561,1182.8086129089,1024.25676017759,1231.46381957961,1690.14680085995,2107.41810323413,2524.68940560882,2700.51116500329,215866.282422097,215542.009521306,215542.009521306,215724.851811154,215724.851811154,215524.81394708,213334.547708555,213268.796037576,189667.270511462,189633.028027884,189598.785544306,189564.543060728,189488.864120764,189454.621637186,189420.379153608,189344.700213646,189310.457730067,189134.784635546,189100.542151968,189024.863212006,188890.626573869,188714.953479348,188639.274539386,188463.601444865,187965.358052527,187965.358052527,187965.358052527,188031.109723507,188031.109723507,188013.988481717,188096.861394486,188096.861394486,188079.740152698,188062.618910908,188062.618910908,188169.807038273,188152.685796484,188152.685796484,188152.685796484,188152.685796484,188159.879769291,188159.879769291,188159.879769291,188208.510198481,188208.510198481,187594.157325519,187542.793600152,187591.424029343,188181.461687709,188274.261869461,188174.267714903,188174.267714903,188298.577084056,188181.461687709,188181.461687709,188305.771056863,188305.771056863,188247.213358689,188312.965029669,188361.59545886,188368.789431666,188351.668189877,188271.528573284,188295.84378788,188361.59545886,188385.910673456,188351.668189877
"S0",86928.3094416805,86645.4482197944,86479.7023942551,86696.8119451597,86813.9273415059,86921.1154688723,707.153054713933,865.704907445954,699.959081907757,1141.37215652459,2024.19830575887,2689.91490408872,2180.01686231596,4128.53622811054,3228.68794700494,3911.62489703896,1448.54859300561,0,441.487407054548,1024.40542505135,1665.93069618001,2207.43703527096,2790.35505326865,3373.27307126546,3797.56490409378,215763.108976743,215438.836075951,215438.836075951,215621.6783658,215621.6783658,215421.640501726,213231.374263201,213165.622592221,189564.097066108,189529.854582529,189495.612098951,189461.369615373,189385.69067541,189351.448191832,189317.205708254,189241.526768292,189207.284284713,189031.611190192,188997.368706614,188921.689766651,188787.453128515,188611.780033994,188536.101094031,188360.42799951,187862.184607173,187862.184607173,187862.184607173,187927.936278152,187927.936278152,187910.815036363,187993.687949132,187993.687949132,187976.566707343,187959.445465554,187959.445465554,188066.633592919,188049.51235113,188049.51235113,188049.51235113,188049.51235113,188056.706323936,188056.706323936,188056.706323936,188105.336753126,188105.336753126,187490.983880165,187439.620154798,187488.250583989,188078.288242355,188171.088424107,188071.094269548,188071.094269548,188195.403638702,188078.288242355,188078.288242355,188202.597611509,188202.597611509,188144.039913335,188209.791584314,188258.422013506,188265.615986312,188248.494744523,188168.35512793,188192.670342526,188258.422013506,188282.737228101,188248.494744523
"S1",86862.5577707008,86579.6965488147,86413.9507232754,86631.06027418,86748.1756705262,86855.3637978926,1065.81710395656,1048.62152973136,765.710752887437,1207.12382750427,1841.33123843142,2424.17492399201,1914.27688221843,3862.79624801383,2787.20053995046,3470.13748998449,1182.8086129089,441.487407054548,0,582.918017996805,1224.44328912546,1765.94962821641,2348.86764621411,2931.78566421091,3356.07749703923,216121.773025985,215797.500125194,215797.500125194,215980.342415042,215980.342415042,215780.304550969,213590.038312443,213524.286641464,189922.761115351,189888.518631772,189854.276148194,189820.033664616,189744.354724653,189710.112241075,189675.869757497,189600.190817534,189565.948333955,189390.275239434,189356.032755856,189280.353815894,189146.117177757,188970.444083236,188894.765143274,188719.092048753,188220.848656415,188220.848656415,188220.848656415,188286.600327395,188286.600327395,188269.479085606,188352.351998375,188352.351998375,188335.230756586,188318.109514797,188318.109514797,188425.297642162,188408.176400372,188408.176400372,188408.176400372,188408.176400372,188415.370373179,188415.370373179,188415.370373179,188464.000802369,188464.000802369,187849.647929408,187798.28420404,187846.914633231,188436.952291598,188529.75247335,188429.758318791,188429.758318791,188554.067687945,188436.952291598,188436.952291598,188561.261660751,188561.261660751,188502.703962577,188568.455633557,188617.086062748,188624.280035555,188607.158793765,188527.019177173,188551.334391768,188617.086062748,188641.401277344,188607.158793765
"S2",86855.3637978942,86572.5025760081,86406.7567504688,86623.8663013734,86740.9816977196,86848.169825086,1483.08840633124,1465.8928321059,1065.81710395721,1331.48275161683,1848.52521123798,2182.75015849144,1507.10629117966,3455.62565697506,2321.44747325829,2887.21947198768,1024.25676017759,1024.40542505135,582.918017996805,0,641.525271128659,1183.0316102196,1765.9496282173,2348.86764621411,2773.15947904243,216539.04432836,216214.771427568,216214.771427568,216397.613717417,216397.613717417,216197.575853343,214007.309614818,213941.557943838,190340.032417725,190305.789934146,190271.547450568,190237.30496699,190161.626027027,190127.383543449,190093.141059871,190017.462119909,189983.21963633,189807.546541809,189773.304058231,189697.625118268,189563.388480132,189387.715385611,189312.036445648,189136.363351127,188638.11995879,188638.11995879,188638.11995879,188703.871629769,188703.871629769,188686.75038798,188769.623300749,188769.623300749,188752.502058961,188735.380817171,188735.380817171,188842.568944536,188825.447702747,188825.447702747,188825.447702747,188825.447702747,188832.641675553,188832.641675553,188832.641675553,188881.272104744,188881.272104744,188266.919231782,188215.555506415,188264.185935606,188854.223593972,188947.023775724,188847.029621166,188847.029621166,188971.338990319,188854.223593972,188854.223593972,188978.532963126,188978.532963126,188919.975264952,188985.726935932,189034.357365123,189041.551337929,189024.43009614,188944.290479547,188968.605694143,189034.357365123,189058.672579719,189024.43009614
"S3",86706.7392141456,86423.8779922595,86258.1321667202,86475.2417176248,86592.357113971,86699.5452413374,2041.79031964817,2024.59474542284,1624.51901727415,1890.18466493356,1997.14979498741,2331.37474224005,1241.36631108295,3107.01276410941,1972.83458039155,2421.44162781604,1231.46381957961,1665.93069618001,1224.44328912546,641.525271128659,0,541.506339090945,1124.42435708864,1707.34237508545,2131.63420791377,217097.746241677,216773.473340885,216773.473340885,216956.315630734,216956.315630734,216756.27776666,214566.011528135,214500.259857155,190898.734331042,190864.491847463,190830.249363885,190796.006880307,190720.327940344,190686.085456766,190651.842973188,190576.164033225,190541.921549646,190366.248455126,190332.005971548,190256.327031585,190122.090393449,189946.417298928,189870.738358965,189695.065264444,189196.821872107,189196.821872107,189196.821872107,189262.573543086,189262.573543086,189245.452301297,189328.325214066,189328.325214066,189311.203972277,189294.082730488,189294.082730488,189401.270857853,189384.149616063,189384.149616063,189384.149616063,189384.149616063,189391.34358887,189391.34358887,189391.34358887,189439.97401806,189439.97401806,188825.621145099,188774.257419731,188822.887848923,189412.925507289,189505.725689041,189405.731534482,189405.731534482,189530.040903636,189412.925507289,189412.925507289,189537.234876443,189537.234876443,189478.677178269,189544.428849248,189593.059278439,189600.253251246,189583.132009457,189502.992392864,189527.30760746,189593.059278439,189617.374493035,189583.132009457
"S4",86599.5510867806,86316.6898648944,86150.9440393551,86368.0535902597,86485.1689866059,86592.3571139724,2500.47330092872,2483.27772670338,2083.20199855469,2348.86764621411,2280.0853493108,2438.56286960513,1348.55443844802,2799.83632762916,1665.6581439113,2114.26519133469,1690.14680085995,2207.43703527096,1765.94962821641,1183.0316102196,541.506339090945,0,582.918017997697,1165.8360359945,1590.12786882289,217556.429222957,217232.156322166,217232.156322166,217414.998612014,217414.998612014,217214.96074794,215024.694509415,214958.942838435,191357.417312322,191323.174828744,191288.932345165,191254.689861588,191179.010921624,191144.768438046,191110.525954468,191034.847014506,191000.604530927,190824.931436406,190790.688952828,190715.010012865,190580.773374729,190405.100280208,190329.421340245,190153.748245724,189655.504853387,189655.504853387,189655.504853387,189721.256524367,189721.256524367,189704.135282577,189787.008195346,189787.008195346,189769.886953558,189752.765711768,189752.765711768,189859.953839133,189842.832597344,189842.832597344,189842.832597344,189842.832597344,189850.026570151,189850.026570151,189850.026570151,189898.656999341,189898.656999341,189284.304126379,189232.940401012,189281.570830203,189871.608488569,189964.408670321,189864.414515763,189864.414515763,189988.723884916,189871.608488569,189871.608488569,189995.917857723,189995.917857723,189937.360159549,190003.111830529,190051.74225972,190058.936232526,190041.814990737,189961.675374144,189985.99058874,190051.74225972,190076.057474316,190041.814990737
"S5",86592.3571139748,86309.4958920886,86143.7500665493,86360.8596174539,86477.9750138001,86585.1631411666,3083.39131892641,2900.54902907764,2500.47330092895,2766.13894858836,2697.35665168472,2504.33931806515,1472.91336255982,2807.03030043496,1341.3604656407,1707.09460029483,2107.41810323413,2790.35505326865,2348.86764621411,1765.9496282173,1124.42435708864,582.918017997697,0,582.918017996805,1007.20985082526,217973.700525331,217649.42762454,217649.42762454,217832.269914388,217832.269914388,217632.232050314,215441.965811789,215376.21414081,191774.688614697,191740.446131118,191706.20364754,191671.961163962,191596.282223998,191562.03974042,191527.797256842,191452.11831688,191417.875833301,191242.20273878,191207.960255202,191132.28131524,190998.044677103,190822.371582582,190746.69264262,190571.019548099,190072.776155761,190072.776155761,190072.776155761,190138.527826741,190138.527826741,190121.406584951,190204.27949772,190204.27949772,190187.158255932,190170.037014142,190170.037014142,190277.225141508,190260.103899718,190260.103899718,190260.103899718,190260.103899718,190267.297872525,190267.297872525,190267.297872525,190315.928301715,190315.928301715,189701.575428753,189650.211703386,189698.842132577,190288.879790944,190381.679972695,190281.685818137,190281.685818137,190405.995187291,190288.879790944,190288.879790944,190413.189160097,190413.189160097,190354.631461923,190420.383132903,190469.013562094,190476.207534901,190459.086293111,190378.946676518,190403.261891114,190469.013562094,190493.32877669,190459.086293111
"S6",86585.1631411682,86302.3019192821,86136.5560937428,86353.6656446474,86470.7810409936,86577.96916836,3666.30933692322,3483.46704707444,3083.39131892575,3183.41025096304,3114.62795405926,2921.61062043956,1890.18466493422,2814.22427324152,1348.55443844726,1299.92400925606,2524.68940560882,3373.27307126546,2931.78566421091,2348.86764621411,1707.34237508545,1165.8360359945,582.918017996805,0,424.291832828458,218390.971827706,218066.698926914,218066.698926914,218249.541216763,218249.541216763,218049.503352689,215859.237114164,215793.485443184,192191.959917071,192157.717433492,192123.474949914,192089.232466336,192013.553526373,191979.311042795,191945.068559217,191869.389619255,191835.147135676,191659.474041155,191625.231557577,191549.552617614,191415.315979478,191239.642884957,191163.963944994,190988.290850473,190490.047458136,190490.047458136,190490.047458136,190555.799129115,190555.799129115,190538.677887326,190621.550800095,190621.550800095,190604.429558307,190587.308316517,190587.308316517,190694.496443882,190677.375202093,190677.375202093,190677.375202093,190677.375202093,190684.569174899,190684.569174899,190684.569174899,190733.19960409,190733.19960409,190118.846731128,190067.483005761,190116.113434952,190706.151093318,190798.95127507,190698.957120512,190698.957120512,190823.266489665,190706.151093318,190706.151093318,190830.460462472,190830.460462472,190771.902764298,190837.654435278,190886.284864469,190893.478837275,190876.357595486,190796.217978893,190820.533193489,190886.284864469,190910.600079065,190876.357595486
"S7",86760.8362356893,86477.9750138031,86312.2291882638,86529.3387391685,86646.4541355146,86753.6422628811,4090.60116975154,3907.75887990276,3507.68315175408,3442.05536816924,3290.44971345374,3097.43237983376,2066.0064243287,2638.55117872047,1231.46381957961,1124.25091473501,2700.51116500329,3797.56490409378,3356.07749703923,2773.15947904243,2131.63420791377,1590.12786882289,1007.20985082526,424.291832828458,0,218566.7935871,218242.520686309,218242.520686309,218425.362976157,218425.362976157,218225.325112084,216035.058873558,215969.307202579,192367.781676466,192333.539192887,192299.296709309,192265.054225731,192189.375285768,192155.13280219,192120.890318612,192045.211378649,192010.96889507,191835.295800549,191801.053316971,191725.374377009,191591.137738872,191415.464644351,191339.785704389,191164.112609868,190665.86921753,190665.86921753,190665.86921753,190731.62088851,190731.62088851,190714.49964672,190797.37255949,190797.37255949,190780.251317701,190763.130075912,190763.130075912,190870.318203277,190853.196961487,190853.196961487,190853.196961487,190853.196961487,190860.390934294,190860.390934294,190860.390934294,190909.021363484,190909.021363484,190294.668490523,190243.304765155,190291.935194346,190881.972852713,190974.773034465,190874.778879906,190874.778879906,190999.08824906,190881.972852713,190881.972852713,191006.282221866,191006.282221866,190947.724523692,191013.476194672,191062.106623863,191069.30059667,191052.17935488,190972.039738287,190996.354952883,191062.106623863,191086.421838459,191052.17935488
"Lillebfyn",259943.565593298,259826.351087035,259426.275358886,259102.002458095,258901.96459402,259360.647575301,215055.955922029,215073.151496254,215473.227224403,215207.561576743,215276.343873647,215469.361207267,216500.787162772,216396.9022136,217335.329767521,217852.620001933,215866.282422097,215763.108976743,216121.773025985,216539.04432836,217097.746241677,217556.429222957,217973.700525331,218390.971827706,218566.7935871,0,382.855376443718,382.855376443718,141.430610943066,141.430610943066,624.280141945302,2590.31718919455,3149.01910251157,107358.758546429,107324.51606285,107290.273579272,107256.031095694,107180.352155731,107146.109672153,107111.867188575,107036.188248613,107001.945765034,106826.272670514,106792.030186937,106716.351246976,106582.114608841,106406.441514321,106330.76257436,106155.08947984,105656.846087514,105656.846087514,105656.846087514,105722.597758495,105722.597758495,105705.476516706,105788.349429476,105788.349429476,105771.228187688,105754.106945899,105754.106945899,105861.295073265,105844.173831477,105844.173831477,105844.173831477,105844.173831477,106085.697706894,106085.697706894,106085.697706894,106602.987941305,106602.987941305,105519.975263123,105995.853818628,106513.14405304,107337.511614017,106961.651990548,106920.240311642,106920.240311642,107220.297107754,107337.511614017,107337.511614017,107637.568410128,107637.568410128,107696.175663259,108054.839712502,108572.129946914,108989.401249288,109148.027434457,107954.820780465,108213.465897671,108572.129946914,108830.77506412,109148.027434457
"Lilleb2",259619.292692506,259502.078186244,259102.002458095,258777.729557304,258577.691693229,259036.37467451,214731.683021237,214748.878595463,215148.954323611,214883.288675952,214952.070972855,215145.088306475,216176.51426198,216072.629312808,217011.05686673,217528.347101142,215542.009521306,215438.836075951,215797.500125194,216214.771427568,216773.473340885,217232.156322166,217649.42762454,218066.698926914,218242.520686309,382.855376443718,0,0,241.424765500652,241.424765500652,241.424765501583,2266.04428840318,2824.7462017202,107034.485645638,107000.243162059,106966.000678481,106931.758194903,106856.07925494,106821.836771362,106787.594287784,106711.915347821,106677.672864242,106501.999769722,106467.757286146,106392.078346184,106257.84170805,106082.16861353,106006.489673568,105830.816579049,105332.573186722,105332.573186722,105332.573186722,105398.324857703,105398.324857703,105381.203615915,105464.076528684,105464.076528684,105446.955286896,105429.834045108,105429.834045108,105537.022172474,105519.900930685,105519.900930685,105519.900930685,105519.900930685,105761.424806103,105761.424806103,105761.424806103,106278.715040514,106278.715040514,105195.702362331,105671.580917837,106188.871152249,107013.238713226,106637.379089757,106595.967410851,106595.967410851,106896.024206962,107013.238713226,107013.238713226,107313.295509337,107313.295509337,107371.902762468,107730.566811711,108247.857046122,108665.128348497,108823.754533665,107630.547879674,107889.19299688,108247.857046122,108506.502163328,108823.754533665
"LB2",259619.292692506,259502.078186244,259102.002458095,258777.729557304,258577.691693229,259036.37467451,214731.683021237,214748.878595463,215148.954323611,214883.288675952,214952.070972855,215145.088306475,216176.51426198,216072.629312808,217011.05686673,217528.347101142,215542.009521306,215438.836075951,215797.500125194,216214.771427568,216773.473340885,217232.156322166,217649.42762454,218066.698926914,218242.520686309,382.855376443718,0,0,241.424765500652,241.424765500652,241.424765501583,2266.04428840318,2824.7462017202,107034.485645638,107000.243162059,106966.000678481,106931.758194903,106856.07925494,106821.836771362,106787.594287784,106711.915347821,106677.672864242,106501.999769722,106467.757286146,106392.078346184,106257.84170805,106082.16861353,106006.489673568,105830.816579049,105332.573186722,105332.573186722,105332.573186722,105398.324857703,105398.324857703,105381.203615915,105464.076528684,105464.076528684,105446.955286896,105429.834045108,105429.834045108,105537.022172474,105519.900930685,105519.900930685,105519.900930685,105519.900930685,105761.424806103,105761.424806103,105761.424806103,106278.715040514,106278.715040514,105195.702362331,105671.580917837,106188.871152249,107013.238713226,106637.379089757,106595.967410851,106595.967410851,106896.024206962,107013.238713226,107013.238713226,107313.295509337,107313.295509337,107371.902762468,107730.566811711,108247.857046122,108665.128348497,108823.754533665,107630.547879674,107889.19299688,108247.857046122,108506.502163328,108823.754533665
"Lilleb3",259802.134982355,259684.920476092,259284.844747943,258960.571847152,258760.533983077,259219.216964358,214914.525311086,214931.720885311,215331.79661346,215066.1309658,215134.913262704,215327.930596324,216359.356551829,216255.471602656,217193.899156578,217711.18939099,215724.851811154,215621.6783658,215980.342415042,216397.613717417,216956.315630734,217414.998612014,217832.269914388,218249.541216763,218425.362976157,141.430610943066,241.424765500652,241.424765500652,0,0,482.849531002235,2448.88657825148,3007.5884915685,107217.327935486,107183.085451907,107148.842968329,107114.600484751,107038.921544788,107004.67906121,106970.436577632,106894.75763767,106860.515154091,106684.842059571,106650.599575994,106574.920636033,106440.683997898,106265.010903378,106189.331963417,106013.658868897,105515.41547657,105515.41547657,105515.41547657,105581.167147551,105581.167147551,105564.045905763,105646.918818532,105646.918818532,105629.797576745,105612.676334956,105612.676334956,105719.864462322,105702.743220534,105702.743220534,105702.743220534,105702.743220534,105944.267095951,105944.267095951,105944.267095951,106461.557330362,106461.557330362,105378.54465218,105854.423207685,106371.713442097,107196.081003074,106820.221379605,106778.809700699,106778.809700699,107078.866496811,107196.081003074,107196.081003074,107496.137799185,107496.137799185,107554.745052316,107913.409101559,108430.699335971,108847.970638345,109006.596823514,107813.390169522,108072.035286728,108430.699335971,108689.344453177,109006.596823514
"LB1",259802.134982355,259684.920476092,259284.844747943,258960.571847152,258760.533983077,259219.216964358,214914.525311086,214931.720885311,215331.79661346,215066.1309658,215134.913262704,215327.930596324,216359.356551829,216255.471602656,217193.899156578,217711.18939099,215724.851811154,215621.6783658,215980.342415042,216397.613717417,216956.315630734,217414.998612014,217832.269914388,218249.541216763,218425.362976157,141.430610943066,241.424765500652,241.424765500652,0,0,482.849531002235,2448.88657825148,3007.5884915685,107217.327935486,107183.085451907,107148.842968329,107114.600484751,107038.921544788,107004.67906121,106970.436577632,106894.75763767,106860.515154091,106684.842059571,106650.599575994,106574.920636033,106440.683997898,106265.010903378,106189.331963417,106013.658868897,105515.41547657,105515.41547657,105515.41547657,105581.167147551,105581.167147551,105564.045905763,105646.918818532,105646.918818532,105629.797576745,105612.676334956,105612.676334956,105719.864462322,105702.743220534,105702.743220534,105702.743220534,105702.743220534,105944.267095951,105944.267095951,105944.267095951,106461.557330362,106461.557330362,105378.54465218,105854.423207685,106371.713442097,107196.081003074,106820.221379605,106778.809700699,106778.809700699,107078.866496811,107196.081003074,107196.081003074,107496.137799185,107496.137799185,107554.745052316,107913.409101559,108430.699335971,108847.970638345,109006.596823514,107813.390169522,108072.035286728,108430.699335971,108689.344453177,109006.596823514
