"","W3","W2","W4","W5","W6","W7","W8","W1","rel_warnow"
"W3",0,22215.3368897304,545.384469667722,3861.91565153885,4062.03444992143,16987.8501875902,16975.6802797637,29368.3106729648,26660.6269029665
"W2",22215.3368897304,0,22731.410406692,26047.9415885631,26248.0603869457,39173.8761246145,39161.706216788,7182.2847359405,4474.6009659422
"W4",545.384469667722,22731.410406692,0,3316.53118187127,3516.64998025385,16442.4657179226,16430.2958100961,29884.3841899264,27176.7004199281
"W5",3861.91565153885,26047.9415885631,3316.53118187127,0,200.11879838258,13125.9345360513,13113.7646282248,33200.9153717976,30493.2316017993
"W6",4062.03444992143,26248.0603869457,3516.64998025385,200.11879838258,0,12925.8157376687,12913.6458298422,33401.0341701801,30693.3504001818
"W7",16987.8501875902,39173.8761246145,16442.4657179226,13125.9345360513,12925.8157376687,0,170.851212429957,46326.849907849,43619.1661378507
"W8",16975.6802797637,39161.706216788,16430.2958100961,13113.7646282248,12913.6458298422,170.851212429957,0,46314.6800000225,43606.9962300242
"W1",29368.3106729648,7182.2847359405,29884.3841899264,33200.9153717976,33401.0341701801,46326.849907849,46314.6800000225,0,2707.68376999831
"rel_warnow",26660.6269029665,4474.6009659422,27176.7004199281,30493.2316017993,30693.3504001818,43619.1661378507,43606.9962300242,2707.68376999831,0
