"","C8","C7","C9","AM2","AM3","C3","C2","C1","AM1","AV1","AV2","AV3","B1","B2","BB","CN","CA","ECA","C","A","C13","BOX0","C15","C12","C11","C10","Ebis","I","D","C14","EBB1","EBB2","C6","C5","C4","MA","EMA","rel_esgl"
"AV2",2572.13253036544,2230.83190701,1465.44081256196,841.309457461713,1041.28809086019,2689.44581724821,3547.86136775845,3647.81955915233,841.309457461713,241.373557266928,0,341.362873965531,20074.6220443698,19833.2796124082,20698.6911488599,25157.3653429369,32246.984337346,32388.368577913,39080.9888001648,37150.000342032,1806.64806000287,6682.16773678871,1124.07793859643,1224.06725529567,1365.38924525263,1523.87957886842,41404.9385391521,72082.9947751286,62366.2936995386,1706.68986860899,20840.0753894276,20981.4596299946,2165.36602945664,2165.36602945664,2348.14519389212,23671.0299484624,24012.3928224279,6682.16773678871
"AV3",2913.49540433097,2572.19478097553,1806.80368652749,1182.67233142724,1382.65096482572,3030.80869121375,3889.22424172398,3989.18243311786,1182.67233142724,582.736431232459,341.362873965531,0,19733.2591704042,19491.9167384427,20357.3282748944,24816.0024689713,31905.6214633805,32047.0057039475,38739.6259261992,36808.6374680664,2148.0109339684,7023.53061075424,1465.44081256196,1565.4301292612,1706.75211921816,1865.24245283395,41063.5756651866,71741.6319011631,62024.9308255731,2048.05274257452,20498.7125154621,20640.0967560291,2506.72890342217,2506.72890342217,2689.50806785765,23329.6670744968,23671.0299484623,7023.53061075424
"B1",22646.7545747352,22305.4539513798,21540.0628569317,20915.9315018315,21115.9101352299,22764.067861618,23622.4834121282,23722.4416035221,20915.9315018315,20315.9956016367,20074.6220443698,19733.2591704042,0,241.342431961562,624.069104490173,5082.7432985671,12172.3622929762,12313.7465335433,19006.366755795,17075.3782976622,21881.2701043726,26756.7897811585,21198.6999829662,21298.6892996654,21440.0112896224,21598.5016232382,21330.3164947824,52008.372730759,42291.671655169,21781.3119129787,765.453345057861,906.837585624889,22239.9880738264,22239.9880738264,22422.7672382619,3596.40790409261,3937.77077805812,26756.7897811585
"B2",22405.4121427736,22064.1115194182,21298.7204249701,20674.5890698699,20874.5677032684,22522.7254296564,23381.1409801666,23481.0991715605,20674.5890698699,20074.6531696751,19833.2796124082,19491.9167384427,241.342431961562,0,865.411536451735,5324.08573052866,12413.7047249378,12555.0889655048,19247.7091877566,17316.7207296238,21639.9276724111,26515.4473491969,20957.3575510046,21057.3468677039,21198.6688576608,21357.1591912766,21571.6589267439,52249.7151627205,42533.0140871306,21539.9694810172,1006.79577701942,1148.18001758645,21998.6456418648,21998.6456418648,22181.4248063003,3837.75033605418,4179.11321001968,26515.4473491969
"BB",23270.8236792254,22929.5230558699,22164.1319614219,21540.0006063216,21739.9792397201,23388.1369661081,24246.5525166184,24346.5107080123,21540.0006063216,20940.0647061269,20698.6911488599,20357.3282748944,624.069104490173,865.411536451735,0,4600.08955994932,11689.7085543584,11831.0927949255,18523.7130171773,16592.7245590444,22505.3392088628,27380.8588856487,21822.7690874564,21922.7584041556,22064.0803941126,22222.5707277284,20847.6627561646,51525.7189921412,41809.0179165512,22405.3810174689,141.384240567687,282.768481134716,22864.0571783166,22864.0571783166,23046.836342752,3255.04503012708,3596.40790409259,27380.8588856487
"CN",27729.4978733023,27388.1972499469,26622.8061554988,25998.6748003986,26198.6534337971,27846.8111601851,28705.2267106953,28805.1849020892,25998.6748003986,25398.7389002038,25157.3653429369,24816.0024689713,5082.7432985671,5324.08573052866,4600.08955994932,0,7089.61899440912,7231.00323497615,13923.6234572279,11992.6349990951,26964.0134029397,31839.5330797256,26281.4432815333,26381.4325982325,26522.7545881895,26681.2449218053,16247.5731962153,46925.6294321919,37208.9283566019,26864.0552115459,4658.68395278011,4800.06819334714,27322.7313723935,27322.7313723935,27505.510536829,7772.34474234082,8030.91776857075,31839.5330797256
"CA",34819.1168677114,34477.816244356,33712.425149908,33088.2937948077,33288.2724282062,34936.4301545942,35794.8457051044,35894.8038964983,33088.2937948077,32488.3578946129,32246.984337346,31905.6214633805,12172.3622929762,12413.7047249378,11689.7085543584,7089.61899440912,0,141.384240567029,7068.2575329234,5137.26907479058,34053.6323973489,38929.1520741347,33371.0622759424,33471.0515926417,33612.3735825986,33770.8639162144,9392.20727191073,40070.2635078875,30353.5624322975,33953.674205955,11748.3029471892,11889.6871877563,34412.3503668027,34412.3503668027,34595.1295312381,14861.96373675,15120.5367629799,38929.1520741347
"ECA",34960.5011082785,34619.200484923,33853.809390475,33229.6780353747,33429.6566687732,35077.8143951612,35936.2299456715,36036.1881370654,33229.6780353747,32629.74213518,32388.368577913,32047.0057039475,12313.7465335433,12555.0889655048,11831.0927949255,7231.00323497615,141.384240567029,0,6926.87329235664,4995.88483422383,34195.0166379159,39070.5363147017,33512.4465165095,33612.4358332087,33753.7578231657,33912.2481567815,9250.82303134398,39928.8792673207,30212.1781917307,34095.058446522,11889.6871877563,12031.0714283233,34553.7346073697,34553.7346073697,34736.5137718052,15003.347977317,15261.9210035469,39070.5363147017
"C",41653.1213305302,41311.8207071748,40546.4296127267,39922.2982576265,40122.276891025,41770.434617413,42628.8501679232,42728.8083593171,39922.2982576265,39322.3623574317,39080.9888001648,38739.6259261992,19006.366755795,19247.7091877566,18523.7130171773,13923.6234572279,7068.2575329234,6926.87329235664,0,1930.98845813282,40887.6368601676,45763.1565369534,40205.0667387612,40305.0560554604,40446.3780454174,40604.8683790332,2323.94973898734,33167.5856704366,23450.8845948465,40787.6786687737,18582.307410008,18723.6916505751,41246.3548296214,41246.3548296214,41429.1339940569,21695.9681995688,21954.5412257987,45763.1565369534
"A",39722.1328723974,39380.8322490419,38615.4411545939,37991.3097994937,38191.2884328922,39839.4461592802,40697.8617097904,40797.8199011843,37991.3097994937,37391.3738992989,37150.000342032,36808.6374680664,17075.3782976622,17316.7207296238,16592.7245590444,11992.6349990951,5137.26907479058,4995.88483422383,1930.98845813282,0,38956.6484020348,43832.1680788206,38274.0782806284,38374.0675973276,38515.3895872846,38673.8799209004,4254.93819712016,34932.9944330969,25216.2933575069,38856.6902106409,16651.3189518752,16792.7031924422,39315.3663714886,39315.3663714886,39498.1455359241,19764.9797414359,20023.5527676659,43832.1680788206
"C13",1589.50108294715,1589.4699576414,906.868710930255,1023.90187006724,1023.90187006724,2296.45341108898,3154.93121220835,3054.97302081448,1023.90187006724,1648.06435047283,1806.64806000287,2148.0109339684,21881.2701043726,21639.9276724111,22505.3392088628,26964.0134029397,34053.6323973489,34195.0166379159,40887.6368601676,38956.6484020348,0,4982.66060595238,823.98548727856,865.411536451715,524.110913096278,282.768481134716,43211.5865991549,73889.6428351315,64172.9417595415,99.9581913938746,22646.7234494305,22788.1076899975,1772.37362329741,1772.37362329741,1955.15278773289,25477.6780084652,25819.0408824307,4982.66060595238
"BOX0",4110.03520642328,4451.33582977871,5333.8534592792,5840.858279327,5758.00618098069,4544.0801580955,4012.7553819232,3912.79719052933,5840.858279327,6523.58402725868,6682.16773678871,7023.53061075424,26756.7897811585,26515.4473491969,27380.8588856487,31839.5330797256,38929.1520741347,39070.5363147017,45763.1565369534,43832.1680788206,4982.66060595238,0,5558.08979819228,5516.66374901913,5423.91942070262,5182.57698874106,48087.1062759407,78765.1625119173,69048.4614363273,5082.61879734625,27522.2431262163,27663.6273667834,5043.87111506766,5043.87111506766,4802.5286831061,30353.1976852511,30694.5605592166,0
"C15",1448.05459176901,1106.75396841357,341.362873965531,282.768481134716,199.91638278868,1648.15772638868,2589.36312463449,2689.32131602836,282.768481134716,965.494229066395,1124.07793859643,1465.44081256196,21198.6999829662,20957.3575510046,21822.7690874564,26281.4432815333,33371.0622759424,33512.4465165095,40205.0667387612,38274.0782806284,823.98548727856,5558.08979819228,0,99.9893166992406,299.874574182555,541.217006144117,42529.0164777485,73207.072713725,63490.371638135,724.027295884686,21964.153328024,22105.5375685911,1124.07793859711,1124.07793859711,1306.85710303258,24795.1078870588,25136.4707610243,5558.08979819228
"C12",1406.62854259585,1065.32791924042,241.37355726629,382.757797833957,241.342431961562,1548.16840968944,2489.37380793525,2589.33199932912,382.757797833957,1065.48354576564,1224.06725529567,1565.4301292612,21298.6892996654,21057.3468677039,21922.7584041556,26381.4325982325,33471.0515926417,33612.4358332087,40305.0560554604,38374.0675973276,865.411536451715,5516.66374901913,99.9893166992406,0,341.300623355436,582.643055316998,42629.0057944478,73307.0620304243,63590.3609548343,765.45334505784,22064.1426447233,22205.5268852903,1024.08862189787,1024.08862189787,1206.86778633334,24895.097203758,25236.4600777236,5516.66374901913
"C11",1406.65966790056,1065.35904454512,382.757797833977,582.643055316998,499.790956971236,1772.3424979927,2713.54789623851,2813.50608763238,582.643055316998,1206.80553572259,1365.38924525263,1706.75211921816,21440.0112896224,21198.6688576608,22064.0803941126,26522.7545881895,33612.3735825986,33753.7578231657,40446.3780454174,38515.3895872846,524.110913096278,5423.91942070262,299.874574182555,341.300623355436,0,241.342431961562,42770.3277844047,73448.3840203812,63731.6829447912,424.152721702404,22205.4646346802,22346.8488752473,1248.26271020113,1248.26271020113,1431.04187463661,25036.419193715,25377.7820676805,5423.91942070262
"C10",1648.00209986212,1306.70147650669,624.100229795539,741.133388932797,741.133388932797,2013.68492995426,2954.89032820007,3054.84851959395,741.133388932797,1365.29586933839,1523.87957886842,1865.24245283395,21598.5016232382,21357.1591912766,22222.5707277284,26681.2449218053,33770.8639162144,33912.2481567815,40604.8683790332,38673.8799209004,282.768481134716,5182.57698874106,541.217006144117,582.643055316998,241.342431961562,0,42928.8181180205,73606.874353997,63890.173278407,241.373557266928,22363.954968296,22505.3392088631,1489.60514216269,1489.60514216269,1672.38430659817,25194.9095273308,25536.2724012963,5182.57698874106
"Ebis",43977.0710695175,43635.7704461621,42870.379351714,42246.2479966138,42446.2266300123,44094.3843564003,44952.7999069105,45052.7580983044,42246.2479966138,41646.312096419,41404.9385391521,41063.5756651866,21330.3164947824,21571.6589267439,20847.6627561646,16247.5731962153,9392.20727191073,9250.82303134398,2323.94973898734,4254.93819712016,43211.5865991549,48087.1062759407,42529.0164777485,42629.0057944478,42770.3277844047,42928.8181180205,0,31092.0054746573,21375.3043990672,43111.6284077611,20906.2571489954,21047.6413895624,43570.3045686087,43570.3045686087,43753.0837330442,24019.9179385561,24278.490964786,48087.1062759408
"I",74655.127305494,74313.8266821386,73548.4355876906,72924.3042325903,73124.2828659888,74772.4405923768,75630.8561428871,75730.8143342809,72924.3042325903,72324.3683323955,72082.9947751286,71741.6319011631,52008.372730759,52249.7151627205,51525.7189921412,46925.6294321919,40070.2635078875,39928.8792673207,33167.5856704366,34932.9944330969,73889.6428351315,78765.1625119173,73207.072713725,73307.0620304243,73448.3840203812,73606.874353997,31092.0054746573,0,17019.1717966972,73789.6846437377,51584.3133849719,51725.697625539,74248.3608045853,74248.3608045853,74431.1399690208,54697.9741745327,54956.5472007626,78765.1625119174
"D",64938.426229904,64597.1256065486,63831.7345121006,63207.6031570003,63407.5817903988,65055.7395167868,65914.1550672971,66014.1132586909,63207.6031570003,62607.6672568055,62366.2936995386,62024.9308255731,42291.671655169,42533.0140871306,41809.0179165512,37208.9283566019,30353.5624322975,30212.1781917307,23450.8845948465,25216.2933575069,64172.9417595415,69048.4614363273,63490.371638135,63590.3609548343,63731.6829447912,63890.173278407,21375.3043990672,17019.1717966972,0,64072.9835681477,41867.612309382,42008.9965499491,64531.6597289954,64531.6597289954,64714.4388934308,44981.2730989428,45239.8461251727,69048.4614363274
"C14",1689.45927434103,1489.51176624753,806.910519536381,923.943678673366,923.943678673366,2196.49521969511,3137.70061794091,3154.93121220835,923.943678673366,1548.10615907896,1706.68986860899,2048.05274257452,21781.3119129787,21539.9694810172,22405.3810174689,26864.0552115459,33953.674205955,34095.058446522,40787.6786687737,38856.6902106409,99.9581913938746,5082.61879734625,724.027295884686,765.45334505784,424.152721702404,241.373557266928,43111.6284077611,73789.6846437377,64072.9835681477,0,22546.7652580366,22688.1494986036,1672.41543190354,1672.41543190354,1855.19459633901,25377.7198170714,25719.0826910369,5082.61879734625
"EBB1",23412.2079197931,23070.9072964376,22305.5162019896,21681.3848468893,21881.3634802878,23529.5212066758,24387.9367571861,24487.8949485799,21681.3848468893,21081.4489466945,20840.0753894276,20498.7125154621,765.453345057861,1006.79577701942,141.384240567687,4658.68395278011,11748.3029471892,11889.6871877563,18582.307410008,16651.3189518752,22646.7234494305,27522.2431262163,21964.153328024,22064.1426447233,22205.4646346802,22363.954968296,20906.2571489954,51584.3133849719,41867.612309382,22546.7652580366,0,141.384240567029,23005.4414188843,23005.4414188843,23188.2205833197,3279.24048503318,3537.81351126312,27522.2431262163
"EBB2",23553.5921603601,23212.2915370046,22446.9004425566,21822.7690874564,22022.7477208548,23670.9054472429,24529.3209977531,24629.279189147,21822.7690874564,21222.8331872616,20981.4596299946,20640.0967560291,906.837585624889,1148.18001758645,282.768481134716,4800.06819334714,11889.6871877563,12031.0714283233,18723.6916505751,16792.7031924422,22788.1076899975,27663.6273667834,22105.5375685911,22205.5268852903,22346.8488752473,22505.3392088631,21047.6413895624,51725.697625539,42008.9965499491,22688.1494986036,141.384240567029,0,23146.8256594513,23146.8256594513,23329.6048238868,3137.85624446615,3396.42927069609,27663.6273667834
"C6",1865.05570100492,1748.02254186764,865.504912367154,1324.05657199493,1124.07793859645,582.64305531793,1630.86488150985,1730.82307290372,1324.05657199493,2006.78231992661,2165.36602945664,2506.72890342217,22239.9880738264,21998.6456418648,22864.0571783166,27322.7313723935,34412.3503668027,34553.7346073697,41246.3548296214,39315.3663714886,1772.37362329741,5043.87111506766,1124.07793859711,1024.08862189787,1248.26271020113,1489.60514216269,43570.3045686087,74248.3608045853,64531.6597289954,1672.41543190354,23005.4414188843,23146.8256594513,0,0,241.342431961562,25836.395977919,26177.7588518845,5043.87111506766
"C5",1865.05570100492,1748.02254186764,865.504912367154,1324.05657199493,1124.07793859645,582.64305531793,1630.86488150985,1730.82307290372,1324.05657199493,2006.78231992661,2165.36602945664,2506.72890342217,22239.9880738264,21998.6456418648,22864.0571783166,27322.7313723935,34412.3503668027,34553.7346073697,41246.3548296214,39315.3663714886,1772.37362329741,5043.87111506766,1124.07793859711,1024.08862189787,1248.26271020113,1489.60514216269,43570.3045686087,74248.3608045853,64531.6597289954,1672.41543190354,23005.4414188843,23146.8256594513,0,0,241.342431961562,25836.395977919,26177.7588518845,5043.87111506766
"C4",1623.71326904336,1930.80170630311,1048.28407680263,1506.83573643041,1306.85710303193,341.300623356368,1789.35521512537,1889.31340651925,1506.83573643041,2189.56148436209,2348.14519389212,2689.50806785765,22422.7672382619,22181.4248063003,23046.836342752,27505.510536829,34595.1295312381,34736.5137718052,41429.1339940569,39498.1455359241,1955.15278773289,4802.5286831061,1306.85710303258,1206.86778633334,1431.04187463661,1672.38430659817,43753.0837330442,74431.1399690208,64714.4388934308,1855.19459633901,23188.2205833197,23329.6048238868,241.342431961562,241.342431961562,0,26019.1751423545,26360.53801632,4802.5286831061
"MA",26243.1624788278,25901.8618554724,25136.4707610243,24512.3394059241,24712.3180393226,26360.4757657106,27218.8913162208,27318.8495076147,24512.3394059241,23912.4035057293,23671.0299484624,23329.6670744968,3596.40790409261,3837.75033605418,3255.04503012708,7772.34474234082,14861.96373675,15003.347977317,21695.9681995688,19764.9797414359,25477.6780084652,30353.1976852511,24795.1078870588,24895.097203758,25036.419193715,25194.9095273308,24019.9179385561,54697.9741745327,44981.2730989428,25377.7198170714,3279.24048503318,3137.85624446615,25836.395977919,25836.395977919,26019.1751423545,0,341.36287396551,30353.1976852511
"EMA",26584.5253527933,26243.2247294379,25477.8336349898,24853.7022798896,25053.6809132881,26701.8386396761,27560.2541901863,27660.2123815802,24853.7022798896,24253.7663796948,24012.3928224279,23671.0299484623,3937.77077805812,4179.11321001968,3596.40790409259,8030.91776857075,15120.5367629799,15261.9210035469,21954.5412257987,20023.5527676659,25819.0408824307,30694.5605592166,25136.4707610243,25236.4600777236,25377.7820676805,25536.2724012963,24278.490964786,54956.5472007626,45239.8461251727,25719.0826910369,3537.81351126312,3396.42927069609,26177.7588518845,26177.7588518845,26360.53801632,341.36287396551,0,30694.5605592166
"rel_esgl",4110.03520642328,4451.33582977871,5333.8534592792,5840.858279327,5758.00618098069,4544.0801580955,4012.7553819232,3912.79719052933,5840.858279327,6523.58402725868,6682.16773678871,7023.53061075424,26756.7897811585,26515.4473491969,27380.8588856487,31839.5330797256,38929.1520741347,39070.5363147017,45763.1565369534,43832.1680788206,4982.66060595238,0,5558.08979819228,5516.66374901913,5423.91942070262,5182.57698874106,48087.1062759408,78765.1625119174,69048.4614363274,5082.61879734625,27522.2431262163,27663.6273667834,5043.87111506766,5043.87111506766,4802.5286831061,30353.1976852511,30694.5605592166,0
