"","C8","C7","C9","AM2","AM3","C3","C2","C1","AM1","AV1","AV2","AV3","B1","B2","BB","CN","CA","ECA","C","A","C13","BOX0","C15","C12","C11","C10","Ebis","I","D","C14","EBB1","EBB2","C6","C5","C4","MA","EMA","rel_esgl"
"C8",0,341.300623355436,1223.81825285592,1730.82307290372,1647.97097455741,1365.26474403275,1789.57309225976,1689.61490086588,1730.82307290372,2413.5488208354,2572.13253036544,2913.49540433097,22646.7545747352,22405.4121427736,23270.8236792254,27729.4978733023,34819.1168677114,34960.5011082785,41653.1213305302,39722.1328723974,1589.50108294715,4110.03520642328,1448.05459176901,1406.62854259585,1406.65966790056,1648.00209986212,43977.0710695175,74655.127305494,64938.426229904,1689.45927434103,23412.2079197931,23553.5921603601,1865.05570100492,1865.05570100492,1623.71326904336,26243.1624788278,26584.5253527933,4110.03520642328
"C7",341.300623355436,0,882.517629500485,1389.52244954829,1306.67035120198,1706.56536738819,2130.87371561519,2030.91552422132,1389.52244954829,2072.24819747996,2230.83190701,2572.19478097553,22305.4539513798,22064.1115194182,22929.5230558699,27388.1972499469,34477.816244356,34619.200484923,41311.8207071748,39380.8322490419,1589.4699576414,4451.33582977871,1106.75396841357,1065.32791924042,1065.35904454512,1306.70147650669,43635.7704461621,74313.8266821386,64597.1256065486,1489.51176624753,23070.9072964376,23212.2915370046,1748.02254186764,1748.02254186764,1930.80170630311,25901.8618554724,26243.2247294379,4451.33582977871
"C9",1223.81825285592,882.517629500485,0,624.131355100247,424.152721701766,1389.58470015872,2330.79009840453,2430.74828979841,624.131355100247,1306.85710303193,1465.44081256196,1806.80368652749,21540.0628569317,21298.7204249701,22164.1319614219,26622.8061554988,33712.425149908,33853.809390475,40546.4296127267,38615.4411545939,906.868710930255,5333.8534592792,341.362873965531,241.37355726629,382.757797833977,624.100229795539,42870.379351714,73548.4355876906,63831.7345121006,806.910519536381,22305.5162019896,22446.9004425566,865.504912367154,865.504912367154,1048.28407680263,25136.4707610243,25477.8336349898,5333.8534592792
"AM2",1730.82307290372,1389.52244954829,624.131355100247,0,199.978633398481,1848.1363597865,2706.55191029674,2806.51010169062,0,682.725747931679,841.309457461713,1182.67233142724,20915.9315018315,20674.5890698699,21540.0006063216,25998.6748003986,33088.2937948077,33229.6780353747,39922.2982576265,37991.3097994937,1023.90187006724,5840.858279327,282.768481134716,382.757797833957,582.643055316998,741.133388932797,42246.2479966138,72924.3042325903,63207.6031570003,923.943678673366,21681.3848468893,21822.7690874564,1324.05657199493,1324.05657199493,1506.83573643041,24512.3394059241,24853.7022798896,5840.858279327
"AM3",1647.97097455741,1306.67035120198,424.152721701766,199.978633398481,0,1648.15772638802,2506.57327689826,2606.53146829213,199.978633398481,882.70438133016,1041.28809086019,1382.65096482572,21115.9101352299,20874.5677032684,21739.9792397201,26198.6534337971,33288.2724282062,33429.6566687732,40122.276891025,38191.2884328922,1023.90187006724,5758.00618098069,199.91638278868,241.342431961562,499.790956971236,741.133388932797,42446.2266300123,73124.2828659888,63407.5817903988,923.943678673366,21881.3634802878,22022.7477208548,1124.07793859645,1124.07793859645,1306.85710303193,24712.3180393226,25053.6809132881,5758.00618098069
"C3",1365.26474403275,1706.56536738819,1389.58470015872,1848.1363597865,1648.15772638802,0,1930.80170630155,1830.84351490767,1848.1363597865,2530.86210771818,2689.44581724821,3030.80869121375,22764.067861618,22522.7254296564,23388.1369661081,27846.8111601851,34936.4301545942,35077.8143951612,41770.434617413,39839.4461592802,2296.45341108898,4544.0801580955,1648.15772638868,1548.16840968944,1772.3424979927,2013.68492995426,44094.3843564003,74772.4405923768,65055.7395167868,2196.49521969511,23529.5212066758,23670.9054472429,582.64305531793,582.64305531793,341.300623356368,26360.4757657106,26701.8386396761,4544.0801580955
"C2",1789.57309225976,2130.87371561519,2330.79009840453,2706.55191029674,2506.57327689826,1930.80170630155,0,99.9581913938746,2706.55191029674,3389.27765822842,3547.86136775845,3889.22424172398,23622.4834121282,23381.1409801666,24246.5525166184,28705.2267106953,35794.8457051044,35936.2299456715,42628.8501679232,40697.8617097904,3154.93121220835,4012.7553819232,2589.36312463449,2489.37380793525,2713.54789623851,2954.89032820007,44952.7999069105,75630.8561428871,65914.1550672971,3137.70061794091,24387.9367571861,24529.3209977531,1630.86488150985,1630.86488150985,1789.35521512537,27218.8913162208,27560.2541901863,4012.7553819232
"C1",1689.61490086588,2030.91552422132,2430.74828979841,2806.51010169062,2606.53146829213,1830.84351490767,99.9581913938746,0,2806.51010169062,3489.23584962229,3647.81955915233,3989.18243311786,23722.4416035221,23481.0991715605,24346.5107080123,28805.1849020892,35894.8038964983,36036.1881370654,42728.8083593171,40797.8199011843,3054.97302081448,3912.79719052933,2689.32131602836,2589.33199932912,2813.50608763238,3054.84851959395,45052.7580983044,75730.8143342809,66014.1132586909,3154.93121220835,24487.8949485799,24629.279189147,1730.82307290372,1730.82307290372,1889.31340651925,27318.8495076147,27660.2123815802,3912.79719052933
"AM1",1730.82307290372,1389.52244954829,624.131355100247,0,199.978633398481,1848.1363597865,2706.55191029674,2806.51010169062,0,682.725747931679,841.309457461713,1182.67233142724,20915.9315018315,20674.5890698699,21540.0006063216,25998.6748003986,33088.2937948077,33229.6780353747,39922.2982576265,37991.3097994937,1023.90187006724,5840.858279327,282.768481134716,382.757797833957,582.643055316998,741.133388932797,42246.2479966138,72924.3042325903,63207.6031570003,923.943678673366,21681.3848468893,21822.7690874564,1324.05657199493,1324.05657199493,1506.83573643041,24512.3394059241,24853.7022798896,5840.858279327
"AV1",2413.5488208354,2072.24819747996,1306.85710303193,682.725747931679,882.70438133016,2530.86210771818,3389.27765822842,3489.23584962229,682.725747931679,0,241.373557266928,582.736431232459,20315.9956016367,20074.6531696751,20940.0647061269,25398.7389002038,32488.3578946129,32629.74213518,39322.3623574317,37391.3738992989,1648.06435047283,6523.58402725868,965.494229066395,1065.48354576564,1206.80553572259,1365.29586933839,41646.312096419,72324.3683323955,62607.6672568055,1548.10615907896,21081.4489466945,21222.8331872616,2006.78231992661,2006.78231992661,2189.56148436209,23912.4035057293,24253.7663796948,6523.58402725868
