"","amp_2017_8","mon_2017_10","and_2017_3","gm_2017","amp_2017_9","and_2017_5","ir_2017_2","gm_2017_15","gm_2017_13","gm_2017_5","gm_2017_3","gm_2017_16","mon_2017_9","gm_2017_11","mon_2017_3","and_2017_7","gm_2017_12","gm_2017_7","gm_2017_8","amp_2017_6","amp_2017_2","and_2017_1","and_2017_2","mon_2017_7","lix_2017_6","amp_2017_1","gm_2017_1","amp_2017_4","lix_2017_2","lix_2017_4","lix_2017_3","lix_2017_5","lix_2017_7","gm_2017_14","gm_2017_2","gm_2017_4","gm_2017_9","mon_2017","mon_2017_8","ir_2017_6","lix_2017_8","ir_2017_3","mon_2017_6","ir_2017_5","ir_2017_8","and_2017_8","and_2017_4","ir_2017_1","ir_2017_21","mon_2017_5","amp_2017_5","mon_2017_2","lix_2017_9","ir_2017_7","amp_2017_3","mon_2017_4","mon_2017_1","gm_2017_6","and_2017_6","and_2017","ir_2017_16","ir_2017_18","ir_2017_15","ir_2017_12","ir_2017_19","ir_2017_13","ir_2017_17","ir_2017_11","ir_2017_20","ir_2017_10","ir_2017_14","ir_2017_9","ir_2017_4","lix_2017_1","rel_life4fish1","rel_life4fish2","rel_life4fish3","rel_life4fish5","rel_life4fish4","rel_life4fish6"
"amp_2017_8",0,32952.9153408246,19794.7458562791,34876.4460247793,2754.96792817666,19836.1642665005,15023.1941515636,34876.4460247793,34876.4460247793,34917.864435,34917.864435,31273.1331789947,32453.0532939241,34876.4460247793,32453.0532939241,19836.1642665005,34876.4460247793,34917.864435,34917.864435,99.9844049355015,199.968809871003,19736.1918571203,19794.7458562791,32411.6348837027,44821.8637000088,199.968809871003,34959.2828452213,199.968809871003,44863.2701146747,44863.2701146747,44863.2701146747,44821.8637000088,44821.8637000088,34876.4460247793,34917.864435,34917.864435,34917.864435,32411.6348837027,32453.0532939241,15023.1941515636,44921.8481049443,15023.1941515636,32411.6348837027,15023.1941515636,14981.7757413422,17853.8516678357,19836.1642665005,15023.1941515636,16588.4935193253,32411.6348837027,199.968809871003,32453.0532939241,45587.3957882856,14981.7757413422,199.968809871003,32453.0532939241,32453.0532939241,35017.8368443801,19836.1642665005,19394.8562187587,14923.2217421835,14923.2217421835,14923.2217421835,15023.1941515636,14923.2217421835,15023.1941515636,14923.2217421835,15023.1941515636,14923.2217421835,15023.1941515636,14923.2217421835,15140.3021498812,15023.1941515636,44863.2701146747,37689.9679521147,34698.2307963843,32869.8506048313,15581.6101976229,19094.9389906183,941.170094642427
"mon_2017_10",32952.9153408246,0,52664.8243766609,67746.5245451609,30256.5134073621,52706.2427868822,17929.721189261,67746.5245451609,67746.5245451609,67787.9429553816,67787.9429553816,64143.2116993763,582.698867343227,67746.5245451609,499.862046900555,52706.2427868822,67746.5245451609,67787.9429553816,67787.9429553816,32911.4969306033,32952.9153408246,52606.2703775021,52664.8243766609,541.280457121891,12713.1191198003,32952.9153408246,67829.3613656029,32952.9153408246,12754.5255344663,12754.5255344663,12754.5255344663,12713.1191198003,12713.1191198003,67746.5245451609,67787.9429553816,67787.9429553816,67787.9429553816,541.280457121891,582.698867343227,17929.721189261,12813.1035247358,17929.721189261,541.280457121891,17929.721189261,17971.1395994824,50723.9301882175,52706.2427868822,17929.721189261,16364.4218214993,541.280457121891,32952.9153408246,499.862046900555,13478.6512080772,17971.1395994824,32952.9153408246,499.862046900555,499.862046900555,67887.9153647617,52706.2427868822,52264.9347391405,18029.693598641,18029.693598641,18029.693598641,17929.721189261,18029.693598641,17929.721189261,18029.693598641,17929.721189261,18029.693598641,17929.721189261,18029.693598641,17812.6131909434,17929.721189261,12754.5255344663,70560.0464724963,2589.48621617571,65739.9291252129,17371.3051432017,51965.0175110001,32011.7452461822
"and_2017_3",19794.7458562791,52664.8243766609,0,15081.7001685002,22466.8769640131,99.9844049355015,34735.1031874,15081.7001685002,15081.7001685002,15123.1185787209,15123.1185787209,11478.3873227155,52164.9623297603,15081.7001685002,52164.9623297603,99.9844049355015,15081.7001685002,15123.1185787209,15123.1185787209,19753.3274460578,19711.9090358365,141.39081960147,0,52123.543919539,64533.772735845,19711.9090358365,15164.5369889422,19711.9090358365,64575.179150511,64575.179150511,64575.179150511,64533.772735845,64533.772735845,15081.7001685002,15123.1185787209,15123.1185787209,15123.1185787209,52123.543919539,52164.9623297603,34735.1031874,64633.7571407805,34735.1031874,52123.543919539,34735.1031874,34693.6847771787,1940.89418844342,99.9844049355015,34735.1031874,36300.4025551617,52123.543919539,19711.9090358365,52164.9623297603,65299.3048241219,34693.6847771787,19711.9090358365,52164.9623297603,52164.9623297603,15223.090988101,99.9844049355015,399.88963752042,34635.13077802,34635.13077802,34635.13077802,34735.1031874,34635.13077802,34735.1031874,34635.13077802,34735.1031874,34635.13077802,34735.1031874,34635.13077802,34852.2111857176,34735.1031874,64575.179150511,17895.2220958356,54410.1398322206,13075.1047485521,35293.5192334594,699.806865660823,20653.0791304789
"gm_2017",34876.4460247793,67746.5245451609,15081.7001685002,0,37548.5771325133,15123.1185787215,49816.8033559001,0,0,99.9844049345702,99.9844049345702,3603.31284578469,67246.6624982604,0,67246.6624982604,15123.1185787215,0,99.9844049345702,99.9844049345702,34835.027614558,34793.6092043367,15140.254167659,15081.7001685002,67205.244088039,79615.4729043451,34793.6092043367,199.968809870072,34793.6092043367,79656.8793190111,79656.8793190111,79656.8793190111,79615.4729043451,79615.4729043451,0,99.9844049345702,99.9844049345702,99.9844049345702,67205.244088039,67246.6624982604,49816.8033559001,79715.4573092806,49816.8033559001,67205.244088039,49816.8033559001,49775.3849456787,17022.5943569436,15123.1185787215,49816.8033559001,51382.1027236618,67205.244088039,34793.6092043367,67246.6624982604,80381.004992622,49775.3849456787,34793.6092043367,67246.6624982604,67246.6624982604,141.390819600812,15123.1185787215,15481.5898060206,49716.8309465201,49716.8309465201,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49933.9113542177,49816.8033559001,79656.8793190111,2813.52192733537,69491.8400007206,2006.59541994809,50375.2194019594,15781.507034161,35734.7792989791
"amp_2017_9",2754.96792817666,30256.5134073621,22466.8769640131,37548.5771325133,0,22508.2953742345,12326.792218101,37548.5771325133,37548.5771325133,37589.995542734,37589.995542734,33945.2642867286,29756.6513604615,37548.5771325133,29756.6513604615,22508.2953742345,37548.5771325133,37589.995542734,37589.995542734,2713.54951795532,2754.96792817666,22408.3229648543,22466.8769640131,29715.2329502402,42125.4617665463,2754.96792817666,37631.4139529553,2754.96792817666,42166.8681812122,42166.8681812122,42166.8681812122,42125.4617665463,42125.4617665463,37548.5771325133,37589.995542734,37589.995542734,37589.995542734,29715.2329502402,29756.6513604615,12326.792218101,42225.4461714818,12326.792218101,29715.2329502402,12326.792218101,12285.3738078797,20525.9827755697,22508.2953742345,12326.792218101,13892.0915858627,29715.2329502402,2754.96792817666,29756.6513604615,42890.9938548231,12285.3738078797,2754.96792817666,29756.6513604615,29756.6513604615,37689.9679521141,22508.2953742345,22066.9873264927,12226.819808721,12226.819808721,12226.819808721,12326.792218101,12226.819808721,12326.792218101,12226.819808721,12326.792218101,12226.819808721,12326.792218101,12226.819808721,12443.9002164186,12326.792218101,42166.8681812122,40362.0990598486,32001.8288629218,35541.9817125652,12885.2082641604,21767.0700983523,1813.79783353423
"and_2017_5",19836.1642665005,52706.2427868822,99.9844049355015,15123.1185787215,22508.2953742345,0,34776.5215976214,15123.1185787215,15123.1185787215,15164.5369889422,15164.5369889422,11519.8057329369,52206.3807399817,15123.1185787215,52206.3807399817,0,15123.1185787215,15164.5369889422,15164.5369889422,19794.7458562791,19753.3274460578,241.375224536972,99.9844049355015,52164.9623297603,64575.1911460664,19753.3274460578,15205.9553991635,19753.3274460578,64616.5975607323,64616.5975607323,64616.5975607323,64575.1911460664,64575.1911460664,15123.1185787215,15164.5369889422,15164.5369889422,15164.5369889422,52164.9623297603,52206.3807399817,34776.5215976214,64675.1755510019,34776.5215976214,52164.9623297603,34776.5215976214,34735.1031874,1982.31259866476,0,34776.5215976214,36341.8209653831,52164.9623297603,19753.3274460578,52206.3807399817,65340.7232343433,34735.1031874,19753.3274460578,52206.3807399817,52206.3807399817,15264.5093983223,0,441.308047741756,34676.5491882414,34676.5491882414,34676.5491882414,34776.5215976214,34676.5491882414,34776.5215976214,34676.5491882414,34776.5215976214,34676.5491882414,34776.5215976214,34676.5491882414,34893.629595939,34776.5215976214,64616.5975607323,17936.6405060569,54451.5582424419,13116.5231587735,35334.9376436807,741.225275882159,20694.4975407002
"ir_2017_2",15023.1941515636,17929.721189261,34735.1031874,49816.8033559001,12326.792218101,34776.5215976214,0,49816.8033559001,49816.8033559001,49858.2217661207,49858.2217661207,46213.4905101154,17429.8591423605,49816.8033559001,17429.8591423605,34776.5215976214,49816.8033559001,49858.2217661207,49858.2217661207,14981.7757413422,15023.1941515636,34676.5491882412,34735.1031874,17388.4407321391,29798.6695484453,15023.1941515636,49899.6401763421,15023.1941515636,29840.0759631113,29840.0759631113,29840.0759631113,29798.6695484453,29798.6695484453,49816.8033559001,49858.2217661207,49858.2217661207,49858.2217661207,17388.4407321391,17429.8591423605,0,29898.6539533808,0,17388.4407321391,0,99.9844049355015,32794.2089989566,34776.5215976214,0,1565.2993677617,17388.4407321391,15023.1941515636,17429.8591423605,30564.2016367222,99.9844049355015,15023.1941515636,17429.8591423605,17429.8591423605,49958.1941755009,34776.5215976214,34335.2135498796,99.9724093800178,99.9724093800178,99.9724093800178,0,99.9724093800178,0,99.9724093800178,0,99.9724093800178,0,99.9724093800178,282.78163920294,0,29840.0759631113,52630.3252832354,19675.0366448207,47810.207935952,641.252866502025,34035.2963217392,14082.0240569211
"gm_2017_15",34876.4460247793,67746.5245451609,15081.7001685002,0,37548.5771325133,15123.1185787215,49816.8033559001,0,0,99.9844049345702,99.9844049345702,3603.31284578469,67246.6624982604,0,67246.6624982604,15123.1185787215,0,99.9844049345702,99.9844049345702,34835.027614558,34793.6092043367,15140.254167659,15081.7001685002,67205.244088039,79615.4729043451,34793.6092043367,199.968809870072,34793.6092043367,79656.8793190111,79656.8793190111,79656.8793190111,79615.4729043451,79615.4729043451,0,99.9844049345702,99.9844049345702,99.9844049345702,67205.244088039,67246.6624982604,49816.8033559001,79715.4573092806,49816.8033559001,67205.244088039,49816.8033559001,49775.3849456787,17022.5943569436,15123.1185787215,49816.8033559001,51382.1027236618,67205.244088039,34793.6092043367,67246.6624982604,80381.004992622,49775.3849456787,34793.6092043367,67246.6624982604,67246.6624982604,141.390819600812,15123.1185787215,15481.5898060206,49716.8309465201,49716.8309465201,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49933.9113542177,49816.8033559001,79656.8793190111,2813.52192733537,69491.8400007206,2006.59541994809,50375.2194019594,15781.507034161,35734.7792989791
"gm_2017_13",34876.4460247793,67746.5245451609,15081.7001685002,0,37548.5771325133,15123.1185787215,49816.8033559001,0,0,99.9844049345702,99.9844049345702,3603.31284578469,67246.6624982604,0,67246.6624982604,15123.1185787215,0,99.9844049345702,99.9844049345702,34835.027614558,34793.6092043367,15140.254167659,15081.7001685002,67205.244088039,79615.4729043451,34793.6092043367,199.968809870072,34793.6092043367,79656.8793190111,79656.8793190111,79656.8793190111,79615.4729043451,79615.4729043451,0,99.9844049345702,99.9844049345702,99.9844049345702,67205.244088039,67246.6624982604,49816.8033559001,79715.4573092806,49816.8033559001,67205.244088039,49816.8033559001,49775.3849456787,17022.5943569436,15123.1185787215,49816.8033559001,51382.1027236618,67205.244088039,34793.6092043367,67246.6624982604,80381.004992622,49775.3849456787,34793.6092043367,67246.6624982604,67246.6624982604,141.390819600812,15123.1185787215,15481.5898060206,49716.8309465201,49716.8309465201,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49816.8033559001,49716.8309465201,49933.9113542177,49816.8033559001,79656.8793190111,2813.52192733537,69491.8400007206,2006.59541994809,50375.2194019594,15781.507034161,35734.7792989791
"gm_2017_5",34917.864435,67787.9429553816,15123.1185787209,99.9844049345702,37589.995542734,15164.5369889422,49858.2217661207,99.9844049345702,99.9844049345702,0,0,3644.73125600537,67288.0809084811,99.9844049345702,67288.0809084811,15164.5369889422,99.9844049345702,0,0,34876.4460247787,34835.0276145573,15181.6725778797,15123.1185787209,67246.6624982597,79656.8913145658,34835.0276145573,99.9844049355015,34835.0276145573,79698.2977292317,79698.2977292317,79698.2977292317,79656.8913145658,79656.8913145658,99.9844049345702,0,0,0,67246.6624982597,67288.0809084811,49858.2217661208,79756.8757195013,49858.2217661208,67246.6624982597,49858.2217661208,49816.8033558994,17064.0127671643,15164.5369889422,49858.2217661208,51423.5211338824,67246.6624982597,34835.0276145573,67288.0809084811,80422.4234028426,49816.8033558994,34835.0276145573,67288.0809084811,67288.0809084811,99.9724093801342,15164.5369889422,15523.0082162413,49758.2493567407,49758.2493567407,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49858.2217661208,49758.2493567407,49975.3297644383,49858.2217661208,79698.2977292317,2854.94033755605,69533.2584109413,2048.01383016877,50416.6378121801,15822.9254443817,35776.1977091998
