"","Rusne-4","Rusne-3","Rusne-1","Rusne-2","klaipeda-3","above-kaunas-3","above-kaunas-2","above-kaunas-4","above-kaunas-1","below-kaunas-3","below-kaunas-4","klaipeda-4","klaipeda-1","klaipeda-2","below-kaunas-2","below-kaunas-1","rel_semp2","rel_semp1","rel_semp6","rel_semp4","rel_semp5","rel_semp7","rel_semp3"
"Rusne-4",0,1952.14077351295,2779.9640602808,4947.75313782738,79470.8751358602,217954.699790394,217783.992613105,217954.699790394,217783.992613105,217613.285435816,217492.576147261,82661.4852095562,82328.6417215371,84277.1320715372,217613.285435816,217613.285435816,304511.564229881,496200.411798656,446382.246759497,403349.733481891,389720.05923414,217833.990501839,433598.241237749
"Rusne-3",1952.14077351295,0,827.823286767852,2995.61236431444,77518.7343623473,219906.840563907,219736.133386618,219906.840563907,219736.133386618,219565.426209329,219444.716920774,80709.3444360433,80376.5009480242,82324.9912980243,219565.426209329,219565.426209329,306463.705003394,498152.552572169,448334.38753301,405301.874255404,391672.200007653,219786.131275352,435550.382011262
"Rusne-1",2779.9640602808,827.823286767852,0,2167.78907754658,76690.9110755795,220734.663850675,220563.956673386,220734.663850675,220563.956673386,220393.249496096,220272.540207542,79881.5211492755,79548.6776612564,81497.1680112565,220393.249496096,220393.249496096,307291.528290162,498980.375858937,449162.210819778,406129.697542172,392500.023294421,220613.95456212,436378.20529803
"Rusne-2",4947.75313782738,2995.61236431444,2167.78907754658,0,74523.1219980329,222902.452928221,222731.745750932,222902.452928221,222731.745750932,222561.038573643,222440.329285088,77713.7320717289,77380.8885837099,79329.37893371,222561.038573643,222561.038573643,309459.317367709,501148.164936484,451329.999897325,408297.486619719,394667.812371968,222781.743639666,438545.994375577
"klaipeda-3",79470.8751358602,77518.7343623473,76690.9110755795,74523.1219980329,0,297425.574926259,297254.867748969,297425.574926259,297254.867748969,297084.16057168,296963.451283126,3278.47893574475,2945.63544772569,4894.12579772581,297084.16057168,297084.16057168,383982.439365751,575671.286934526,525853.121895367,482820.608617761,469190.93437001,297304.865637703,513069.116373618
"above-kaunas-3",217954.699790394,219906.840563907,220734.663850675,222902.452928221,297425.574926259,0,170.707177289385,0,170.707177289385,341.41435457847,462.123643133098,300616.184999952,300283.341511933,302231.831861934,341.41435457847,341.41435457847,120593.381332783,312282.228901549,262464.063862388,219431.550584785,205801.876337034,120.709288555287,249680.058340642
"above-kaunas-2",217783.992613105,219736.133386618,220563.956673386,222731.745750932,297254.867748969,170.707177289385,0,170.707177289385,0,170.707177289153,291.416465843781,300445.477822663,300112.634334644,302061.124684644,170.707177289153,170.707177289153,120422.674155493,312111.521724259,262293.356685099,219260.843407496,205631.169159745,49.9978887340985,249509.351163352
"above-kaunas-4",217954.699790394,219906.840563907,220734.663850675,222902.452928221,297425.574926259,0,170.707177289385,0,170.707177289385,341.41435457847,462.123643133098,300616.184999952,300283.341511933,302231.831861934,341.41435457847,341.41435457847,120593.381332783,312282.228901549,262464.063862388,219431.550584785,205801.876337034,120.709288555287,249680.058340642
"above-kaunas-1",217783.992613105,219736.133386618,220563.956673386,222731.745750932,297254.867748969,170.707177289385,0,170.707177289385,0,170.707177289153,291.416465843781,300445.477822663,300112.634334644,302061.124684644,170.707177289153,170.707177289153,120422.674155493,312111.521724259,262293.356685099,219260.843407496,205631.169159745,49.9978887340985,249509.351163352
"below-kaunas-3",217613.285435816,219565.426209329,220393.249496096,222561.038573643,297084.16057168,341.41435457847,170.707177289153,341.41435457847,170.707177289153,0,120.709288554628,300274.770645374,299941.927157355,301890.417507355,0,0,120251.966978204,311940.81454697,262122.64950781,219090.136230207,205460.461982456,220.705066023183,249338.643986063
