"","Rusne-4","Rusne-3","Rusne-1","Rusne-2","klaipeda-3","above-kaunas-3","above-kaunas-2","above-kaunas-4","above-kaunas-1","below-kaunas-3","below-kaunas-4","klaipeda-4","klaipeda-1","klaipeda-2","below-kaunas-2","below-kaunas-1","rel_semp2","rel_semp1","rel_semp6","rel_semp4","rel_semp5","rel_semp7","rel_semp3"
"below-kaunas-4",217492.576147261,219444.716920774,220272.540207542,222440.329285088,296963.451283126,462.123643133098,291.416465843781,462.123643133098,291.416465843781,120.709288554628,0,300154.061356819,299821.2178688,301769.708218801,120.709288554628,120.709288554628,120131.257689649,311820.105258416,262001.940219255,218969.426941652,205339.752693901,341.414354577811,249217.934697509
"klaipeda-4",82661.4852095562,80709.3444360433,79881.5211492755,77713.7320717289,3278.47893574475,300616.184999952,300445.477822663,300616.184999952,300445.477822663,300274.770645374,300154.061356819,0,332.843488019057,1615.64686198107,300274.770645377,300274.770645377,387173.049439447,578861.897008223,529043.731969064,486011.218691457,472381.544443706,300495.4757114,516259.726447315
"klaipeda-1",82328.6417215371,80376.5009480242,79548.6776612564,77380.8885837099,2945.63544772569,300283.341511933,300112.634334644,300283.341511933,300112.634334644,299941.927157355,299821.2178688,332.843488019057,0,1948.49035000012,299941.927157358,299941.927157358,386840.205951428,578529.053520203,528710.888481044,485678.375203438,472048.700955687,300162.632223381,515926.882959296
"klaipeda-2",84277.1320715372,82324.9912980243,81497.1680112565,79329.37893371,4894.12579772581,302231.831861934,302061.124684644,302231.831861934,302061.124684644,301890.417507355,301769.708218801,1615.64686198107,1948.49035000012,0,301890.417507358,301890.417507358,388788.696301428,580477.543870204,530659.378831045,487626.865553438,473997.191305687,302111.122573381,517875.373309296
"below-kaunas-2",217613.285435816,219565.426209329,220393.249496096,222561.038573643,297084.16057168,341.41435457847,170.707177289153,341.41435457847,170.707177289153,0,120.709288554628,300274.770645377,299941.927157358,301890.417507358,0,0,120251.966978204,311940.81454697,262122.64950781,219090.136230207,205460.461982456,220.705066023183,249338.643986063
"below-kaunas-1",217613.285435816,219565.426209329,220393.249496096,222561.038573643,297084.16057168,341.41435457847,170.707177289153,341.41435457847,170.707177289153,0,120.709288554628,300274.770645377,299941.927157358,301890.417507358,0,0,120251.966978204,311940.81454697,262122.64950781,219090.136230207,205460.461982456,220.705066023183,249338.643986063
"rel_semp2",304511.564229881,306463.705003394,307291.528290162,309459.317367709,383982.439365751,120593.381332783,120422.674155493,120593.381332783,120422.674155493,120251.966978204,120131.257689649,387173.049439447,386840.205951428,388788.696301428,120251.966978204,120251.966978204,0,303513.791632947,253695.626593787,105780.802149345,197033.439068434,120472.672044227,240911.621072041
"rel_semp1",496200.411798656,498152.552572169,498980.375858937,501148.164936484,575671.286934526,312282.228901549,312111.521724259,312282.228901549,312111.521724259,311940.81454697,311820.105258416,578861.897008223,578529.053520203,580477.543870204,311940.81454697,311940.81454697,303513.791632947,0,49818.1650391551,402351.96088496,106480.352564509,312161.519612993,62602.1705609015
"rel_semp6",446382.246759497,448334.38753301,449162.210819778,451329.999897325,525853.121895367,262464.063862388,262293.356685099,262464.063862388,262293.356685099,262122.64950781,262001.940219255,529043.731969064,528710.888481044,530659.378831045,262122.64950781,262122.64950781,253695.626593787,49818.1650391551,0,352533.795845799,56662.1875253549,262343.354573833,12784.0055217465
"rel_semp4",403349.733481891,405301.874255404,406129.697542172,408297.486619719,482820.608617761,219431.550584785,219260.843407496,219431.550584785,219260.843407496,219090.136230207,218969.426941652,486011.218691457,485678.375203438,487626.865553438,219090.136230207,219090.136230207,105780.802149345,402351.96088496,352533.795845799,0,295871.608320439,219310.84129623,339749.790324052
"rel_semp5",389720.05923414,391672.200007653,392500.023294421,394667.812371968,469190.93437001,205801.876337034,205631.169159745,205801.876337034,205631.169159745,205460.461982456,205339.752693901,472381.544443706,472048.700955687,473997.191305687,205460.461982456,205460.461982456,197033.439068434,106480.352564509,56662.1875253549,295871.608320439,0,205681.167048479,43878.1820036085
"rel_semp7",217833.990501839,219786.131275352,220613.95456212,222781.743639666,297304.865637703,120.709288555287,49.9978887340985,120.709288555287,49.9978887340985,220.705066023183,341.414354577811,300495.4757114,300162.632223381,302111.122573381,220.705066023183,220.705066023183,120472.672044227,312161.519612993,262343.354573833,219310.84129623,205681.167048479,0,249559.349052087
"rel_semp3",433598.241237749,435550.382011262,436378.20529803,438545.994375577,513069.116373618,249680.058340642,249509.351163352,249680.058340642,249509.351163352,249338.643986063,249217.934697509,516259.726447315,515926.882959296,517875.373309296,249338.643986063,249338.643986063,240911.621072041,62602.1705609015,12784.0055217465,339749.790324052,43878.1820036085,249559.349052087,0
