"","LE-STELO-SLUIS SA","LE-STELO-SLUIS SO","LE-OLSENE","LE-DEINZE","LE-AST","LE-STELO-VISTRAP-SA","LE-STELO-VISTRAP-SA1ETURN","LE-STELO-STUW -SA","LE-OOIGEM","LE-HARELB-SLUIS-SA","LE-HARELB-STUW-SA","LE-HARELB-VISTRAP-MID","AKL-NEVELE","KGO-MERENDREE","KGO-AALTER","RV-EVERG-WESTERVAK","RV-EVERG-SLUIS-SA","LE-MANDEL","LE-STMARTLATEM","LE-BAARLE","LE-DRONGEN","BRUGSEV-MARIAKERKE","ZS-MERELB-STUWGEUL","ZS-MERELB-TIJARM-SA","ZS-MERELB-STUWGEUL-SASTUW","RV-MERELB-STUWGEUL-SOSTUW","RV-MERELB-SLUIS-SO","BS-ZWIJNA-KANZWIJNA","BS-SEM","s-Wetteren","s-2a","s-Schoonaarde","s-wichelen","s-3","BS-ASP-NSTUW-SA","BS-ASP-SLUIS-SA","BS-ASP-SLUIS-SO","s-Dendermonde2","s-4a","s-4b","s-4c","s-5","s-6","s-8","s-9a","s-9","s-8a","ZS-MERELB-TIJARM-SO","BS-ASP-OSTUW-SA","s-7","s-10a","s-12","ws-53A","me-7-2b","ru-1","bn-Walem","bn-1","bn-2","gn-1","gn-2","BS-ZINGEM","BS-HEURNE","BS-OUD-NSTUW-SA","BS-OUD-VISTRAP-SA","BS-OUD-VISTRAP-MID","BS-OUD-NSTUW-SO","BS-OUD-SLUIS-SO","BS-MELDEN","BS-WORTEGEM","BS-KERKH-SLUIS-SA","BS-KERKH-OSTUW-SA","BS-KERKH-VISTRAP-SA","BS-KERKH-VISTRAP-MID","BS-KERKH-VISTRAP-SO","BS-KERKH-NSTUW-SO","BS-KERKH-SLUIS-SO","BS-AVELG","BS-ASP-NSTUW-SO","BS-OUD-VISTRAP-SO","BS-OUD-SLUIS-SA","RV-ZWIJNA","ZS-MELLE","S-MERELB-SOJACHTH","BS-RONNEBEEK","3D4","BS-KERKH-NSTUW-SA","BS-ASP-OSTUW-SO","RV-GENT-MONDTOERLEIE","RV-GENT-MONDOUDELEIE","LE-SNEPKAAI","BS-KERKH-OSTUW-SO","rt-mer-300m","rt-mer-600m","rt-mer-900m","rt-mer-1200m","bs-as-rt-300m","bs-as-rt-600m","bs-as-rt-900m","bs-as-rt-1200m","ws-VH8","bpns-O6","BS-OUD-OSTUW-SA","LE-HARELB-VISTRAP-SA","LE-HARELB-STUW-SO","LE-KORTRIJK","LE-WEVELG","LE-MENEN-STUW-SA","LE-MENEN-STUW-SO","LE-WERVIK","BS-ZWALM","3D5","3D2","3D3","BS-OUD-OSTUW-SO","3D1","du-Hamveer","KGO-BEERNEM-SLUIS","KGO-BRUGGE-TEN BRIELE","bpns-W1","rel_merelbeke","rel_spiere","rel_rone","rel_asper","rel_harbour_kerkhove","rel_fish_pass_leie","rel_oudenaarde","rel_weir1_kerkhove","rel_mandel","rel_zwalm","rel_weir2_kerkhove","rel_oude_mandel","rel_rijtgracht","rel_mouth_rijtgracht","rel_harelbeke","rel_sb5","rel_weir_sb5","rel_ronne","rel_douvebeek"
"LE-STELO-SLUIS SA",0,1007.0377801593,4173.10900475549,10322.4293947652,15084.8470349763,724.213732132915,765.632540642818,744.923136387908,5952.28641842892,11208.1608913341,11653.1048778163,11753.0975967154,17673.1263917101,25051.0256498008,33885.9636921666,31847.6280669809,33604.6162049223,482.808492616515,18781.6470253924,24096.1013679351,27955.0189793221,33541.0144109999,38757.5752957438,39098.9699434664,38466.1736967785,38174.7720978125,38033.3605704036,38519.7203857721,43277.0995482304,47420.3389568632,57726.4873054422,62085.3761259188,52944.838808173,67566.9700137193,52072.678314868,52214.0898422768,52355.5013696864,73219.27330941,82071.9596888024,85406.6480126475,87725.7216675336,90310.4629442886,95066.3751469778,104746.225402867,110070.10321115,109883.718572856,104421.98353954,39652.4815512319,52214.0898422768,96902.647592771,117248.638076415,130243.071081262,154497.146174407,105447.649009527,108825.843153417,116235.137235604,120949.636589031,125222.741954449,129286.675866792,129740.198066352,57945.6724797802,62063.1501014938,63145.9149075041,63287.3264349137,63195.9112669539,63499.443726027,63449.4473665772,68046.7929399762,70286.5905637426,75409.6399990511,75430.3490722363,75488.9243069028,75418.2185431981,75559.6300706075,75671.7539806835,75571.7605996458,79274.1932961703,52484.7823680569,63387.3191538124,63258.0394797188,36367.7872693521,42909.3780193339,37771.2465887706,79424.1823745185,63287.3264349137,75368.2218526792,52355.5013696864,32555.3080732754,31893.220567492,32820.9763572845,75571.7605996458,39802.4706295803,39502.4924728833,39223.2237204413,38902.536159489,51386.3300820766,50974.2273531649,50682.8267474079,50341.4297822001,136680.604011085,81077.3173668992,63258.0394797188,11653.1048778163,11844.5127646747,16962.5363028651,22726.963508633,30591.2500608462,30732.6615882557,38316.206137938,Inf,63237.3300754639,63337.3227943635,63308.0358391686,63449.4473665772,63308.0358391686,94732.945944095,46436.9415208782,54531.0980051343,113713.157466156,38516.1703872974,87918.3209907275,79677.7184741429,51889.847978948,74935.4087263044,11753.0975967154,63328.7452434235,75480.3457627552,241.404246308216,56771.4875397701,75459.6366895699,7268.47645206431,75418.2185431981,75247.5193984556,11653.1048778163,1239.86315125089,844.916517425517,79344.8990598751,43442.8095445538
"LE-STELO-SLUIS SO",1007.0377801593,0,5150.85949865117,11300.1798886609,16062.597528872,370.685906817865,270.692525780139,420.682597336787,4945.24863826961,10201.1231111748,10646.067097657,10746.0598165561,18650.8768856057,26028.7761436964,34863.7141860622,32825.3785608765,34582.3666988179,1431.2717002483,19759.3975192881,25073.8518618308,28932.7694732178,34518.7649048956,39735.3257896395,40076.7204373621,39443.9241906741,39152.5225917081,39011.1110642993,39497.4708796678,44254.8500421261,48398.0894507589,58704.2377993379,63063.1266198145,53922.5893020687,68544.7205076149,53050.4288087636,53191.8403361725,53333.251863582,74197.0238033056,83049.710182698,86384.3985065431,88703.4721614292,91288.2134381842,96044.1256408734,105723.975896762,111047.853705046,110861.469066751,105399.734033435,40630.2320451276,53191.8403361725,97880.3980866666,118226.38857031,131220.821575158,155474.896668303,106425.399503423,109803.593647313,117212.8877295,121927.387082926,126200.492448344,130264.426360687,130717.948560248,58923.4229736758,63040.9005953894,64123.6654013998,64265.0769288094,64173.6617608496,64477.1942199227,64427.1978604729,69024.5434338718,71264.3410576382,76387.3904929467,76408.0995661319,76466.6748007984,76395.9690370938,76537.3805645032,76649.5044745791,76549.5110935415,80251.9437900659,53462.5328619526,64365.0696477081,64235.7899736145,37345.5377632478,43887.1285132296,38748.9970826662,80401.9328684141,64265.0769288094,76345.9723465748,53333.251863582,33533.0585671711,32870.9710613877,33798.7268511802,76549.5110935415,40780.221123476,40480.242966779,40200.974214337,39880.2866533846,52364.0805759723,51951.9778470606,51660.5772413036,51319.1802760958,137658.354504981,82055.0678607948,64235.7899736145,10646.067097657,10837.4749845154,15955.4985227058,21719.9257284737,29584.2122806869,29725.6238080964,37309.1683577787,Inf,64215.0805693596,64315.0732882592,64285.7863330643,64427.1978604729,64285.7863330643,95710.6964379906,47414.6920147739,55508.84849903,114690.907960052,39493.9208811931,88896.0714846232,80655.4689680385,52867.5984728437,75913.1592202,10746.0598165561,64306.4957373192,76458.0962566508,1189.86745394,57749.2380336658,76437.3871834656,8246.22694595999,76395.9690370938,76225.2698923512,10646.067097657,2086.25391197196,520.675978374396,80322.6495537707,42435.7717643945
"LE-OLSENE",4173.10900475549,5150.85949865117,0,6149.32039000969,10911.7380302208,4868.03545062478,4909.45425913469,4888.74485487978,10096.1081369208,15351.982609826,15796.9265963082,15896.9193152073,13500.0173869546,20877.9166450453,29712.8546874111,27674.5190622254,29431.5072001668,4202.39695315905,14608.5380206369,19922.9923631797,23781.9099745667,29367.9054062444,34584.4662909884,34925.8609387109,34293.064692023,34001.663093057,33860.2515656482,34346.6113810167,39103.990543475,43247.2299521077,53553.3783006868,57912.2671211633,48771.7298034175,63393.8610089638,47899.5693101125,48040.9808375214,48182.3923649309,69046.1643046545,77898.8506840469,81233.539007892,83552.6126627781,86137.3539395332,90893.2661422223,100573.116398111,105896.994206395,105710.6095681,100248.874534784,35479.3725464765,48040.9808375214,92729.5385880155,113075.529071659,126069.962076506,150324.037169652,101274.540004771,104652.734148662,112062.028230849,116776.527584275,121049.632949693,125113.566862036,125567.089061596,53772.5634750247,57890.0410967383,58972.8059027487,59114.2174301583,59022.8022621985,59326.3347212716,59276.3383618218,63873.6839352208,66113.4815589871,71236.5309942956,71257.2400674808,71315.8153021474,71245.1095384427,71386.5210658521,71498.6449759281,71398.6515948904,75101.0842914148,48311.6733633015,59214.210149057,59084.9304749634,32194.6782645967,38736.2690145785,33598.1375840151,75251.073369763,59114.2174301583,71195.1128479238,48182.3923649309,28382.19906852,27720.1115627366,28647.867352529,71398.6515948904,35629.3616248249,35329.3834681279,35050.1147156859,34729.4271547335,47213.2210773212,46801.1183484095,46509.7177426525,46168.3207774446,132507.495006329,76904.2083621437,59084.9304749634,15796.9265963082,15988.3344831666,21106.358021357,26870.7852271249,34735.0717793381,34876.4833067476,42460.0278564298,Inf,59064.2210707085,59164.2137896081,59134.9268344132,59276.3383618218,59134.9268344132,90559.8369393395,42263.8325161228,50357.9890003788,109540.048461401,34343.0613825419,83745.2119859721,75504.6094693875,47716.7389741925,70762.2997215489,15896.9193152073,59155.6362386681,71307.2367579997,3960.99204471117,52598.3785350147,71286.5276848145,3095.36744730882,71245.1095384427,71074.4103937001,15796.9265963082,3591.77673942826,4988.73823591739,75171.7900551196,47586.6312630456
"LE-DEINZE",10322.4293947652,11300.1798886609,6149.32039000969,0,4845.25393295468,11017.3558406345,11058.7746491444,11038.0652448895,16245.4285269305,21501.3029998357,21946.2469863179,22046.2397052169,7409.27156947212,14787.1708275629,23622.1088699287,21583.773244743,23340.7613826844,10351.7173431687,8542.05392337081,13856.5082659136,17715.4258773006,23277.159588762,28517.9821937223,28859.3768414449,28226.580594757,27935.178995791,27793.7674683821,28280.1272837506,33037.5064462089,37180.7458548417,47486.8942034208,51845.7830238973,42705.2457061515,57327.3769116978,41833.0852128465,41974.4967402553,42115.9082676649,62979.6802073885,71832.366586781,75167.0549106261,77486.1285655123,80070.8698422673,84826.7820449564,94506.6323008452,99830.510109129,99644.1254708345,94182.3904375182,29412.8884492104,41974.4967402553,86663.0544907496,107009.044974393,120003.477979241,144257.553072385,95208.0559075056,98586.2500513959,105995.544133583,110710.043487009,114983.148852427,119047.08276477,119500.604964331,47706.0793777587,51823.5569994723,52906.3218054826,53047.7333328922,52956.3181649324,53259.8506240055,53209.8542645557,57807.1998379547,60046.9974617211,65170.0468970297,65190.755970215,65249.3312048815,65178.6254411768,65320.0369685862,65432.1608786622,65332.1674976245,69034.6001941489,42245.1892660354,53147.7260517909,53018.4463776973,26128.1941673306,32669.7849173124,27531.6534867491,69184.5892724971,53047.7333328922,65128.6287506579,42115.9082676649,22315.7149712539,21653.6274654705,22581.383255263,65332.1674976245,29562.8775275588,29262.8993708618,28983.6306184198,28662.9430574674,41146.7369800551,40734.6342511434,40443.2336453864,40101.8366801786,126416.749188847,70813.4625446615,53018.4463776973,21946.2469863179,22137.6548731763,27255.6784113666,33020.1056171345,40884.3921693477,41025.8036967572,48609.3482464395,Inf,52997.7369734424,53097.729692342,53068.4427371471,53209.8542645557,53068.4427371471,84493.3528420736,36173.0866986404,44267.2431828964,103449.302643918,28276.5772852759,77678.7278887062,69438.1253721216,41650.2548769265,64695.815624283,22046.2397052169,53089.152141402,65240.7526607338,10110.3124347209,46531.8944377486,65220.0435875486,3053.95294270087,65178.6254411768,65007.9262964343,21946.2469863179,9741.09712943795,11138.0586259271,69105.3059578537,53735.9516530553
"LE-AST",15084.8470349763,16062.597528872,10911.7380302208,4845.25393295468,0,15779.7734808456,15821.1922893555,15800.4828851006,21007.8461671416,26263.7206400467,26708.6646265289,26808.657345428,12183.8194076527,19561.7186657434,28396.6567081092,20951.5785099381,22591.4168406858,15114.1349833798,3696.79999041613,9011.25433295891,12870.171944346,22274.2806024864,23672.7282607677,24014.1229084902,23381.3266618023,23089.9250628363,22948.5135354275,23434.873350796,28192.2525132543,32335.491921887,42641.6402704661,47000.5290909426,37859.9917731968,52482.1229787431,36987.8312798918,37129.2428073007,37270.6543347102,58134.4262744339,66987.1126538264,70321.8009776716,72640.8746325577,75225.6159093127,79981.5281120018,89661.3783678906,94985.2561761745,94798.8715378799,89337.1365045636,24567.6345162558,37129.2428073007,81817.800557795,102163.791041439,115158.224046286,139412.29913943,90362.801974551,93740.9961184413,101150.290200628,105864.789554055,110137.894919473,114201.828831816,114655.351031376,42860.825444804,46978.3030665176,48061.0678725279,48202.4793999375,48111.0642319778,48414.5966910509,48364.600331601,52961.9459050001,55201.7435287664,60324.792964075,60345.5020372603,60404.0772719268,60333.3715082221,60474.7830356315,60586.9069457075,60486.9135646698,64189.3462611943,37399.9353330808,48302.4721188362,48173.1924447426,21282.940234376,27824.5309843578,22686.3995537944,64339.3353395426,48202.4793999375,60283.3748177032,37270.6543347102,17470.4610382993,16808.3735325159,17736.1293223083,60486.9135646698,24717.6235946042,24417.6454379072,24138.3766854652,23817.6891245128,36301.4830471005,35889.3803181888,35597.9797124318,35256.5827472239,131191.297027028,75588.010382842,48173.1924447426,26708.6646265289,26900.0725133873,32018.0960515777,37782.5232573456,45646.8098095588,45788.2213369683,53371.7658866505,Inf,48152.4830404877,48252.4757593874,48223.1888041925,48364.600331601,48223.1888041925,79648.0989091191,40947.6345368209,49041.791021077,108223.850482099,23431.3233523213,72833.4739557516,64592.871439167,36805.0009439718,59850.5616913284,26808.657345428,48243.8982084474,60395.4987277792,14872.730074932,41686.640504794,60374.7896545939,7816.37058291195,60333.3715082221,60162.6723634796,26708.6646265289,14503.514769649,15900.4762661382,64260.0520248991,58498.3692932663
"LE-STELO-VISTRAP-SA",724.213732132915,370.685906817865,4868.03545062478,11017.3558406345,15779.7734808456,0,99.9933810377261,49.9966905189212,5315.93454508745,10571.8090179926,11016.7530044749,11116.7457233739,18368.0528375794,25745.95209567,34580.8901380358,32542.5545128502,34299.5426507915,1148.44765222191,19476.5734712617,24791.0278138044,28649.9454251914,34235.9408568692,39452.5017416131,39793.8963893357,39161.1001426478,38869.6985436817,38728.2870162729,39214.6468316414,43972.0259940997,48115.2654027325,58421.4137513115,62780.3025717881,53639.7652540423,68261.8964595885,52767.6047607372,52909.0162881461,53050.4278155556,73914.1997552793,82766.8861346716,86101.5744585168,88420.6481134029,91005.3893901579,95761.301592847,105441.151848736,110765.02965702,110578.645018725,105116.909985409,40347.4079971012,52909.0162881461,97597.5740386402,117943.564522284,130937.997527131,155192.072620277,106142.575455396,109520.769599287,116930.063681474,121644.5630349,125917.668400318,129981.602312661,130435.124512221,58640.5989256494,62758.076547363,63840.8413533734,63982.252880783,63890.8377128232,64194.3701718963,64144.3738124465,68741.7193858455,70981.5170096119,76104.5664449203,76125.2755181056,76183.8507527721,76113.1449890674,76254.5565164768,76366.6804265528,76266.6870455151,79969.1197420395,53179.7088139262,64082.2455996817,63952.9659255881,37062.7137152214,43604.3044652032,38466.1730346399,80119.1088203878,63982.252880783,76063.1482985485,53050.4278155556,33250.2345191447,32588.1470133613,33515.9028031538,76266.6870455151,40497.3970754496,40197.4189187526,39918.1501663106,39597.4626053582,52081.2565279459,51669.1537990342,51377.7531932772,51036.3562280694,137375.530456955,81772.2438127685,63952.9659255881,11016.7530044749,11208.1608913333,16326.1844295237,22090.6116352915,29954.8981875048,30096.3097149143,37679.8542645965,Inf,63932.2565213332,64032.2492402328,64002.9622850379,64144.3738124465,64002.9622850379,95427.8723899643,47131.8679667475,55226.0244510036,114408.083912025,39211.0968331667,88613.2474365968,80372.6449200122,52584.7744248173,75630.3351721737,11116.7457233739,64023.6716892928,76175.2722086244,907.043405913615,57466.4139856394,76154.5631354392,7963.4028979336,76113.1449890674,75942.4458443249,11016.7530044749,1715.56800515409,149.990071556531,80039.8255057443,42806.4576712123
"LE-STELO-VISTRAP-SA1ETURN",765.632540642818,270.692525780139,4909.45425913469,11058.7746491444,15821.1922893555,99.9933810377261,0,149.990071556647,5215.94116404972,10471.8156369549,10916.7596234371,11016.7523423362,18409.4716460893,25787.3709041799,34622.3089465457,32583.9733213601,34340.9614593014,1189.86646073182,19517.9922797716,24832.4466223143,28691.3642337013,34277.3596653791,39493.920550123,39835.3151978456,39202.5189511577,38911.1173521916,38769.7058247828,39256.0656401513,44013.4448026096,48156.6842112424,58462.8325598214,62821.721380298,53681.1840625522,68303.3152680984,52809.0235692471,52950.435096656,53091.8466240655,73955.6185637892,82808.3049431815,86142.9932670267,88462.0669219128,91046.8081986678,95802.7204013569,105482.570657246,110806.44846553,110620.063827235,105158.328793919,40388.8268056111,52950.435096656,97638.9928471501,117984.983330794,130979.416335641,155233.491428787,106183.994263906,109562.188407796,116971.482489983,121685.98184341,125959.087208828,130023.021121171,130476.543320731,58682.0177341593,62799.4953558729,63882.2601618833,64023.6716892929,63932.2565213331,64235.7889804062,64185.7926209564,68783.1381943554,71022.9358181218,76145.9852534302,76166.6943266155,76225.269561282,76154.5637975773,76295.9753249867,76408.0992350627,76308.105854025,80010.5385505494,53221.1276224361,64123.6644081916,63994.384734098,37104.1325237313,43645.7232737131,38507.5918431498,80160.5276288977,64023.6716892929,76104.5671070584,53091.8466240655,33291.6533276546,32629.5658218712,33557.3216116637,76308.105854025,40538.8158839595,40238.8377272625,39959.5689748205,39638.8814138681,52122.6753364558,51710.5726075441,51419.1720017871,51077.7750365793,137416.949265464,81813.6626212784,63994.384734098,10916.7596234371,11108.1675102955,16226.1910484859,21990.6182542538,29854.904806467,29996.3163338765,37579.8608835588,Inf,63973.6753298431,64073.6680487427,64044.3810935478,64185.7926209564,64044.3810935478,95469.2911984742,47173.2867752574,55267.4432595135,114449.502720535,39252.5156416766,88654.6662451067,80414.0637285221,52626.1932333272,75671.7539806836,11016.7523423362,64065.0904978027,76216.6910171343,948.462214423517,57507.8327941493,76195.9819439491,8004.8217064435,76154.5637975773,75983.8646528348,10916.7596234371,1815.56138619182,249.983452594257,80081.2443142542,42706.4642901746
"LE-STELO-STUW -SA",744.923136387908,420.682597336787,4888.74485487978,11038.0652448895,15800.4828851006,49.9966905189212,149.990071556647,0,5365.93123560637,10621.8057085116,11066.7496949938,11166.7424138929,18388.7622418344,25766.661499925,34601.5995422908,32563.2639171052,34320.2520550465,1169.15705647691,19497.2828755167,24811.7372180594,28670.6548294464,34256.6502611242,39473.2111458681,39814.6057935907,39181.8095469028,38890.4079479367,38748.9964205279,39235.3562358964,43992.7353983547,48135.9748069875,58442.1231555665,62801.0119760431,53660.4746582973,68282.6058638435,52788.3141649922,52929.7256924011,53071.1372198106,73934.9091595342,82787.5955389266,86122.2838627717,88441.3575176579,91026.0987944129,95782.010997102,105461.861252991,110785.739061275,110599.35442298,105137.619389664,40368.1174013562,52929.7256924011,97618.2834428952,117964.273926539,130958.706931386,155212.782024532,106163.284859651,109541.479003542,116950.773085729,121665.272439155,125938.377804573,130002.311716916,130455.833916476,58661.3083299044,62778.785951618,63861.5507576284,64002.962285038,63911.5471170782,64215.0795761513,64165.0832167015,68762.4287901005,71002.2264138668,76125.2758491753,76145.9849223606,76204.5601570271,76133.8543933224,76275.2659207318,76387.3898308078,76287.3964497701,79989.8291462945,53200.4182181812,64102.9550039367,63973.6753298431,37083.4231194764,43625.0138694582,38486.8824388948,80139.8182246427,64002.962285038,76083.8577028035,53071.1372198106,33270.9439233997,32608.8564176163,33536.6122074088,76287.3964497701,40518.1064797046,40218.1283230076,39938.8595705656,39618.1720096132,52101.9659322009,51689.8632032892,51398.4625975322,51057.0656323244,137396.23986121,81792.9532170234,63973.6753298431,11066.7496949938,11258.1575818522,16376.1811200426,22140.6083258105,30004.8948780237,30146.3064054332,37729.8509551155,Inf,63952.9659255882,64052.9586444878,64023.6716892929,64165.0832167015,64023.6716892929,95448.5817942192,47152.5773710025,55246.7338552586,114428.79331628,39231.8062374217,88633.9568408518,80393.3543242672,52605.4838290723,75651.0445764286,11166.7424138929,64044.3810935478,76195.9816128794,927.752810168607,57487.1233898944,76175.2725396942,7984.11230218859,76133.8543933224,75963.1552485799,11066.7496949938,1665.57131463517,99.9933810376097,80060.5349099993,42856.4543617312
"LE-OOIGEM",5952.28641842892,4945.24863826961,10096.1081369208,16245.4285269305,21007.8461671416,5315.93454508745,5215.94116404972,5365.93123560637,0,5255.8744729052,5700.81845938741,5800.81117828649,23596.1255238753,30974.024781966,39808.9628243318,37770.6271991462,39527.6153370876,6376.52033851791,24704.6461575576,30019.1005001004,33878.0181114874,39464.0135431652,44680.5744279091,45021.9690756317,44389.1728289438,44097.7712299777,43956.3597025689,44442.7195179374,49200.0986803957,53343.3380890285,63649.4864376075,68008.375258084,58867.8379403383,73489.9691458843,57995.6774470333,58137.0889744421,58278.5005018516,79142.2724415751,87994.9588209674,91329.6471448126,93648.7207996987,96233.4620764537,100989.374279143,110669.224535032,115993.102343315,115806.717705021,110344.982671705,45575.4806833972,58137.0889744421,102825.646724936,123171.63720858,136166.070213427,160420.145306573,111370.648141692,114748.842285582,122158.136367769,126872.635721196,131145.741086614,135209.674998957,135663.197198517,63868.6716119455,67986.149233659,69068.9140396693,69210.3255670789,69118.9103991191,69422.4428581922,69372.4464987424,73969.7920721413,76209.5896959076,81332.6391312161,81353.3482044014,81411.9234390679,81341.2176753632,81482.6292027726,81594.7531128486,81494.7597318109,85197.1924283353,58407.7815002222,69310.3182859776,69181.038611884,42290.7864015174,48832.3771514992,43694.2457209359,85347.1815066836,69210.3255670789,81291.2209848443,58278.5005018516,38478.3072054407,37816.2196996573,38743.9754894498,81494.7597318109,45725.4697617456,45425.4916050486,45146.2228526066,44825.5352916542,57309.3292142419,56897.2264853302,56605.8258795732,56264.4289143654,142603.603143251,87000.3164990643,69181.038611884,5700.81845938741,5892.22634624581,11010.2498844362,16774.6770902041,24638.9636424174,24780.3751698269,32363.9197195091,Inf,69160.3292076291,69260.3219265287,69231.0349713338,69372.4464987424,69231.0349713338,100655.94507626,52359.9406530435,60454.0971372996,119636.156598321,44439.1695194627,93841.3201228926,85600.717606308,57812.8471111133,80858.4078584695,5800.81117828649,69251.7443755887,81403.3448949202,6135.11609220962,62694.4866719354,81382.635821735,13191.4755842296,81341.2176753632,81170.5185306207,5700.81845938741,7031.50255024154,5465.92461664398,85267.8981920401,37490.5231261249
"LE-HARELB-SLUIS-SA",11208.1608913341,10201.1231111748,15351.982609826,21501.3029998357,26263.7206400467,10571.8090179926,10471.8156369549,10621.8057085116,5255.8744729052,0,474.231272746121,544.936705381559,28851.9999967805,36229.8992548712,45064.837297237,43026.5016720513,44783.4898099927,11632.3948114231,29960.5206304628,35274.9749730056,39133.8925843926,44719.8880160704,49936.4489008143,50277.8435485369,49645.0473018489,49353.6457028829,49212.2341754741,49698.5939908426,54455.9731533009,58599.2125619337,68905.3609105129,73264.2497309894,64123.7124132435,78745.8436187898,63251.5519199384,63392.9634473473,63534.3749747568,84398.1469144805,93250.8332938728,96585.521617718,98904.5952726041,101489.336549359,106245.248752048,115925.099007937,121248.976816221,121062.592177926,115600.85714461,50831.3551563024,63392.9634473473,108081.521197841,128427.511681485,141421.944686332,165676.019779478,116626.522614597,120004.716758488,127414.010840675,132128.510194101,136401.615559519,140465.549471862,140919.071671422,69124.5460848508,73242.0237065644,74324.7885125747,74466.2000399843,74374.7848720245,74678.3173310976,74628.3209716478,79225.6665450467,81465.4641688131,86588.5136041215,86609.2226773068,86667.7979119733,86597.0921482686,86738.503675678,86850.627585754,86750.6342047163,90453.0669012407,63663.6559731274,74566.192758883,74436.9130847894,47546.6608744226,54088.2516244044,48950.120193841,90603.055979589,74466.2000399843,86547.0954577497,63534.3749747568,43734.1816783459,43072.0941725625,43999.849962355,86750.6342047163,50981.3442346508,50681.3660779538,50402.0973255118,50081.4097645594,62565.2036871471,62153.1009582354,61861.7003524784,61520.3033872706,147859.477616156,92256.1909719697,74436.9130847894,474.231272746121,636.351873340886,5754.37541153129,11518.8026172992,19383.0891695125,19524.500696922,27108.0452466042,Inf,74416.2036805345,74516.1963994341,74486.9094442392,74628.3209716478,74486.9094442392,105911.819549165,57615.8151259487,65709.9716102048,124892.031071227,49695.0439923679,99097.194595798,90856.5920792134,63068.7215840185,86114.2823313749,544.936705381559,74507.6188484941,86659.2193678257,11390.9905651148,67950.3611448407,86638.5102946404,18447.3500571348,86597.0921482686,86426.3930035261,474.231272746121,12287.3770231467,10721.7990895492,90523.7726649455,32234.64865322
