"","bn-2","bn-1","bn-Walem","s-8a","s-9","rel_kleinenete1","rel_kleinenete2","gn-14","gn-1","gn-13","gn-11","gn-10","gn-9","gn-8","gn-2","gn-7","gn-6","gn-5","gn-4","gn-3","ru-1","s-10a","ws-42A","rel_grotenete1","me-7-2b","rel_grotenete2","rel_nete1","rel_nete2","rel_ruppel1"
"bn-2",0,4435.40729060537,8887.93508896666,26418.2393046687,32066.8154178672,19974.4931458109,44794.2074075723,45240.1154232121,3838.34624073729,42991.5807337938,38653.2029894437,37546.1409379216,34749.1932060119,29869.5372792787,4262.59935716074,24931.3122959434,21634.3572848307,15008.9682118022,10587.8467910172,6401.00967143992,16313.1097142368,39733.5464761038,79635.3341949808,46288.624567739,19758.5688421136,37546.1409379216,100.001455840655,3155.52923083491,20607.0750749591
"bn-1",4435.40729060537,0,4652.51456043671,22182.8187761387,27831.3948893372,24409.9004364162,49229.6146981777,49675.5227138175,8273.75353134265,47426.9880243992,43088.6102800491,41981.548228527,39184.6004966173,34304.944569884,8698.00664776611,29366.7195865488,26069.764575436,19444.3755024076,15023.2540816226,10836.4169620453,12077.6891857068,35498.1259475738,75399.9136664509,50724.0318583444,15523.1483135837,41981.548228527,4393.98296616883,7590.93652144027,16371.6545464291
"bn-Walem",8887.93508896666,4652.51456043671,0,17530.304215702,23178.8803289005,28862.4282347775,53682.142496539,54128.0505121788,12726.281329704,51879.5158227605,47541.1380784104,46434.0760268883,43637.1282949787,38757.4723682453,13150.5344461274,33819.24738491,30522.2923737973,23896.9033007688,19475.7818799839,15288.9447604066,7425.17462527007,30845.6113871371,70747.3991060143,55176.5596567057,10870.6337531469,46434.0760268883,8846.51076453012,12043.4643198016,11719.1399859924
"s-8a",26418.2393046687,22182.8187761387,17530.304215702,0,5648.57611319853,46392.7324504796,71212.4467122411,71658.3547278809,30256.5855454059,69409.8200384626,65071.4422941125,63964.3802425904,61167.4325106808,56287.7765839475,30680.8386618294,51349.5516006122,48052.5965894994,41427.2075164709,37006.0860956858,32819.2489761086,10105.129590432,13315.3071714351,53217.0948903123,72706.8638724078,6659.67046255511,63964.3802425904,26376.8149802321,29573.7685355036,5811.1642297096
"s-9",32066.8154178672,27831.3948893372,23178.8803289005,5648.57611319853,0,52041.3085636781,76861.0228254396,77306.9308410794,35905.1616586045,75058.3961516611,70720.018407311,69612.956355789,66816.0086238793,61936.352697146,36329.4147750279,56998.1277138107,53701.1727026979,47075.7836296694,42654.6622088844,38467.8250893071,15753.7057036305,7666.7310582366,47568.5187771137,78355.4399856063,12308.2465757536,69612.956355789,32025.3910934307,35222.3446487021,11459.7403429081
"rel_kleinenete1",19974.4931458109,24409.9004364162,28862.4282347775,46392.7324504796,52041.3085636781,0,24819.7142617614,58644.9539146618,17243.1847321869,56396.4192252435,52058.0414808934,50950.9794293713,48154.0316974616,43274.3757707283,17667.4378486104,38336.150787393,35039.1957762803,28413.8067032518,23992.6852824668,19805.8481628895,36287.6028600476,59708.0396219148,99609.8273407915,59693.4630591887,39733.0619879244,50950.9794293713,20015.9174702474,16818.9639149759,40581.5682207699
"rel_kleinenete2",44794.2074075723,49229.6146981777,53682.142496539,71212.4467122411,76861.0228254396,24819.7142617614,0,83464.668176423,42062.8989939483,81216.1334870048,76877.7557426547,75770.6936911327,72973.7459592231,68094.0900324898,42487.1521103718,63155.8650491546,59858.9100380418,53233.5209650133,48812.3995442283,44625.562424651,61107.3171218091,84527.753883676,124429.541602553,84513.1773209499,64552.776249686,75770.6936911327,44835.6317320088,41638.6781767373,65401.2824825315
"gn-14",45240.1154232121,49675.5227138175,54128.0505121788,71658.3547278809,77306.9308410794,58644.9539146618,83464.668176423,0,41401.7691824748,2389.9443200896,6586.91243376835,7693.97448529044,10549.4993486042,15370.5781439334,40977.5160660513,20308.8031272686,23605.7581383814,30289.7243428139,34735.1172810679,38839.1057517721,61553.2251374489,84973.6618993158,124875.449618192,1048.50914452691,64998.6842653258,7693.97448529044,45281.5397476486,42225.9958230483,65847.1904981713
"gn-1",3838.34624073729,8273.75353134265,12726.281329704,30256.5855454059,35905.1616586045,17243.1847321869,42062.8989939483,41401.7691824748,0,39153.2344930565,34814.8567487064,33707.7946971843,30910.8469652747,26031.1910385414,424.253116423457,21092.9660552061,17796.0110440934,11170.6219710649,6749.5005502799,2562.66343070264,20151.455954974,43571.8927168411,83473.680435718,42450.2783270017,23596.9150828509,33707.7946971843,3879.77056517383,824.226640573518,24445.4213156964
"gn-13",42991.5807337938,47426.9880243992,51879.5158227605,69409.8200384626,75058.3961516611,56396.4192252435,81216.1334870048,2389.9443200896,39153.2344930565,0,4338.37774435009,5445.43979587217,8300.9646591859,13122.0434545151,38728.981376633,18060.2684378504,21357.2234489631,28041.1896533957,32486.5825916496,36590.5710623538,59304.6904480306,82725.1272098976,122626.914928774,3438.45346461651,62750.1495759075,5445.43979587217,43033.0050582303,39977.46113363,63598.655808753
