"","bn-2","bn-1","bn-Walem","s-8a","s-9","rel_kleinenete1","rel_kleinenete2","gn-14","gn-1","gn-13","gn-11","gn-10","gn-9","gn-8","gn-2","gn-7","gn-6","gn-5","gn-4","gn-3","ru-1","s-10a","ws-42A","rel_grotenete1","me-7-2b","rel_grotenete2","rel_nete1","rel_nete2","rel_ruppel1"
"gn-11",38653.2029894437,43088.6102800491,47541.1380784104,65071.4422941125,70720.018407311,52058.0414808934,76877.7557426547,6586.91243376835,34814.8567487064,4338.37774435009,0,1107.06205152208,3962.58691483582,8783.665710165,34390.6036322829,13721.8906935003,17018.845704613,23702.8119090456,28148.2048472996,32252.1933180037,54966.3127036805,78386.7494655475,118288.537184424,7635.42157829526,58411.7718315574,1107.06205152208,38694.6273138802,35639.0833892799,59260.2780644029
"gn-10",37546.1409379216,41981.548228527,46434.0760268883,63964.3802425904,69612.956355789,50950.9794293713,75770.6936911327,7693.97448529044,33707.7946971843,5445.43979587217,1107.06205152208,0,2855.52486331373,7676.60365864291,33283.5415807608,12614.8286419782,15911.783653091,22595.7498575235,27041.1427957775,31145.1312664817,53859.2506521584,77279.6874140255,117181.475132902,8742.48362981734,57304.7097800353,0,37587.5652623581,34532.0213377578,58153.2160128808
"gn-9",34749.1932060119,39184.6004966173,43637.1282949787,61167.4325106808,66816.0086238793,48154.0316974616,72973.7459592231,10549.4993486042,30910.8469652747,8300.9646591859,3962.58691483582,2855.52486331373,0,4879.6559267333,30486.5938488512,9817.88091006855,13114.8359211813,19798.8021256139,24244.1950638679,28348.183534572,51062.3029202488,74482.7396821159,114384.527400992,11598.0084931311,54507.7620481257,2855.52486331373,34790.6175304485,31735.0736058482,55356.2682809711
"gn-8",29869.5372792787,34304.944569884,38757.4723682453,56287.7765839475,61936.352697146,43274.3757707283,68094.0900324898,15370.5781439334,26031.1910385414,13122.0434545151,8783.665710165,7676.60365864291,4879.6559267333,0,25606.9379221179,4938.22498333526,8235.17999444803,14919.1461988806,19364.5391371346,23468.5276078388,46182.6469935155,69603.0837553826,109504.871474259,16419.0872884603,49628.1061213923,7676.60365864291,29910.9616037152,26855.4176791149,50476.6123542378
"gn-2",4262.59935716074,8698.00664776611,13150.5344461274,30680.8386618294,36329.4147750279,17667.4378486104,42487.1521103718,40977.5160660513,424.253116423457,38728.981376633,34390.6036322829,33283.5415807608,30486.5938488512,25606.9379221179,0,20668.7129387827,17371.7579276699,10746.3688546415,6325.24743385645,2138.41031427918,20575.7090713975,43996.1458332646,83897.9335521415,42026.0252105782,24021.1681992743,33283.5415807608,4304.02368159728,1248.47975699698,24869.6744321198
"gn-7",24931.3122959434,29366.7195865488,33819.24738491,51349.5516006122,56998.1277138107,38336.150787393,63155.8650491546,20308.8031272686,21092.9660552061,18060.2684378504,13721.8906935003,12614.8286419782,9817.88091006855,4938.22498333526,20668.7129387827,0,3296.95501111277,9980.92121554535,14426.3141537993,18530.3026245035,41244.4220101802,64664.8587720474,104566.646490924,21357.3122717955,44689.8811380571,12614.8286419782,24972.73662038,21917.1926957797,45538.3873709026
"gn-6",21634.3572848307,26069.764575436,30522.2923737973,48052.5965894994,53701.1727026979,35039.1957762803,59858.9100380418,23605.7581383814,17796.0110440934,21357.2234489631,17018.845704613,15911.783653091,13114.8359211813,8235.17999444803,17371.7579276699,3296.95501111277,0,6683.96620443257,11129.3591426865,15233.3476133907,37947.4669990674,61367.9037609346,101269.691479811,24654.2672829083,41392.9261269443,15911.783653091,21675.7816092672,18620.2376846669,42241.4323597898
"gn-5",15008.9682118022,19444.3755024076,23896.9033007688,41427.2075164709,47075.7836296694,28413.8067032518,53233.5209650133,30289.7243428139,11170.6219710649,28041.1896533957,23702.8119090456,22595.7498575235,19798.8021256139,14919.1461988806,10746.3688546415,9980.92121554535,6683.96620443257,0,4503.97006965809,8607.95854036228,31322.0779260389,54742.5146879061,94644.3024067828,31338.2334873408,34767.5370539158,22595.7498575235,15050.3925362388,11994.8486116384,35616.0432867613
"gn-4",10587.8467910172,15023.2540816226,19475.7818799839,37006.0860956858,42654.6622088844,23992.6852824668,48812.3995442283,34735.1172810679,6749.5005502799,32486.5825916496,28148.2048472996,27041.1427957775,24244.1950638679,19364.5391371346,6325.24743385645,14426.3141537993,11129.3591426865,4503.97006965809,0,4186.83711957727,26900.9565052539,50321.3932671211,90223.1809859979,35783.6264255948,30346.4156331307,27041.1427957775,10629.2711154537,7573.72719085343,31194.9218659762
"gn-3",6401.00967143992,10836.4169620453,15288.9447604066,32819.2489761086,38467.8250893071,19805.8481628895,44625.562424651,38839.1057517721,2562.66343070264,36590.5710623538,32252.1933180037,31145.1312664817,28348.183534572,23468.5276078388,2138.41031427918,18530.3026245035,15233.3476133907,8607.95854036228,4186.83711957727,0,22714.1193856767,46134.5561475438,86036.3438664206,39887.614896299,26159.5785135535,31145.1312664816,6442.43399587646,3386.89007127616,27008.084746399
"ru-1",16313.1097142368,12077.6891857068,7425.17462527007,10105.129590432,15753.7057036305,36287.6028600476,61107.3171218091,61553.2251374489,20151.455954974,59304.6904480306,54966.3127036805,53859.2506521584,51062.3029202488,46182.6469935155,20575.7090713975,41244.4220101802,37947.4669990674,31322.0779260389,26900.9565052539,22714.1193856767,0,23420.4367618671,63322.2244807443,62601.7342819758,3445.45912787687,53859.2506521584,16271.6853898002,19468.6389450716,4293.96536072235
"s-10a",39733.5464761038,35498.1259475738,30845.6113871371,13315.3071714351,7666.7310582366,59708.0396219148,84527.753883676,84973.6618993158,43571.8927168411,82725.1272098976,78386.7494655475,77279.6874140255,74482.7396821159,69603.0837553826,43996.1458332646,64664.8587720474,61367.9037609346,54742.5146879061,50321.3932671211,46134.5561475438,23420.4367618671,0,39901.7877188771,86022.1710438428,19974.9776339902,77279.6874140255,39692.1221516673,42889.0757069388,19126.4714011447
"ws-42A",79635.3341949808,75399.9136664509,70747.3991060143,53217.0948903123,47568.5187771137,99609.8273407915,124429.541602553,124875.449618192,83473.680435718,122626.914928774,118288.537184424,117181.475132902,114384.527400992,109504.871474259,83897.9335521415,104566.646490924,101269.691479811,94644.3024067828,90223.1809859979,86036.3438664206,63322.2244807443,39901.7877188771,0,125923.958762719,59876.7653528675,117181.475132902,79593.9098705444,82790.8634258157,59028.259120022
"rel_grotenete1",46288.624567739,50724.0318583444,55176.5596567057,72706.8638724078,78355.4399856063,59693.4630591887,84513.1773209499,1048.50914452691,42450.2783270017,3438.45346461651,7635.42157829526,8742.48362981734,11598.0084931311,16419.0872884603,42026.0252105782,21357.3122717955,24654.2672829083,31338.2334873408,35783.6264255948,39887.614896299,62601.7342819758,86022.1710438428,125923.958762719,0,66047.1934098527,8742.48362981734,46330.0488921755,43274.5049675752,66895.6996426982
"me-7-2b",19758.5688421136,15523.1483135837,10870.6337531469,6659.67046255511,12308.2465757536,39733.0619879244,64552.776249686,64998.6842653258,23596.9150828509,62750.1495759075,58411.7718315574,57304.7097800353,54507.7620481257,49628.1061213923,24021.1681992743,44689.8811380571,41392.9261269443,34767.5370539158,30346.4156331307,26159.5785135535,3445.45912787687,19974.9776339902,59876.7653528675,66047.1934098527,0,57304.7097800353,19717.1445176771,22914.0980729485,848.506232845514
"rel_grotenete2",37546.1409379216,41981.548228527,46434.0760268883,63964.3802425904,69612.956355789,50950.9794293713,75770.6936911327,7693.97448529044,33707.7946971843,5445.43979587217,1107.06205152208,0,2855.52486331373,7676.60365864291,33283.5415807608,12614.8286419782,15911.783653091,22595.7498575235,27041.1427957775,31145.1312664816,53859.2506521584,77279.6874140255,117181.475132902,8742.48362981734,57304.7097800353,0,37587.5652623581,34532.0213377578,58153.2160128808
"rel_nete1",100.001455840655,4393.98296616883,8846.51076453012,26376.8149802321,32025.3910934307,20015.9174702474,44835.6317320088,45281.5397476486,3879.77056517383,43033.0050582303,38694.6273138802,37587.5652623581,34790.6175304485,29910.9616037152,4304.02368159728,24972.73662038,21675.7816092672,15050.3925362388,10629.2711154537,6442.43399587646,16271.6853898002,39692.1221516673,79593.9098705444,46330.0488921755,19717.1445176771,37587.5652623581,0,3196.95355527145,20565.6507505225
"rel_nete2",3155.52923083491,7590.93652144027,12043.4643198016,29573.7685355036,35222.3446487021,16818.9639149759,41638.6781767373,42225.9958230483,824.226640573518,39977.46113363,35639.0833892799,34532.0213377578,31735.0736058482,26855.4176791149,1248.47975699698,21917.1926957797,18620.2376846669,11994.8486116384,7573.72719085343,3386.89007127616,19468.6389450716,42889.0757069388,82790.8634258157,43274.5049675752,22914.0980729485,34532.0213377578,3196.95355527145,0,23762.604305794
"rel_ruppel1",20607.0750749591,16371.6545464291,11719.1399859924,5811.1642297096,11459.7403429081,40581.5682207699,65401.2824825315,65847.1904981713,24445.4213156964,63598.655808753,59260.2780644029,58153.2160128808,55356.2682809711,50476.6123542378,24869.6744321198,45538.3873709026,42241.4323597898,35616.0432867613,31194.9218659762,27008.084746399,4293.96536072235,19126.4714011447,59028.259120022,66895.6996426982,848.506232845514,58153.2160128808,20565.6507505225,23762.604305794,0
