"","gn-14","gn-13","gn-11","gn-10","gn-9","gn-7","gn-6","gn-5","gn-4","gn-3","gn-2","gn-1","bn-3","bn-2","bn-1","bn-Walem","ru-1","me-7-2b","s-9a","s-10a","ak-41","s-12","rel_grotenete1","s-8","s-8a","s-9","s-STD3","s-7","s-6","s-11","gn-8","s-4c","s-4b","s-4a","s-5","rel_grotenete3","rel_grotenete2"
"gn-14",0,2381.9285605036,6733.26095256857,7840.47275192723,10787.8423470272,20689.6513863798,24154.3353132745,31065.4721488685,35794.380567203,40226.8681764458,42415.638423982,42889.9665626242,44705.8566045514,46987.5184269732,51540.8686697777,56235.5359322593,63841.0296497564,67324.8767049772,57276.1354139109,49708.0201196751,49183.6450899365,60736.8801870064,1078.01237594293,62896.9654411599,63047.0117748734,57467.5936642607,64622.7395405671,70679.7016735408,72599.0743372682,60445.4382173029,15750.9121901364,80717.3437985243,83407.8427682897,86726.3094524332,77923.2993139075,120.73684746014,170.752292031292
"gn-13",2381.9285605036,0,4351.33239206498,5458.54419142364,8405.91378652361,18307.7228258762,21772.4067527709,28683.5435883649,33412.4520066994,37844.9396159422,40033.7098634784,40508.0380021206,42323.9280440478,44605.5898664696,49158.9401092741,53853.6073717557,61459.1010892529,64942.9481444736,55989.4577317465,48421.3424375107,47896.9674077721,59450.202504842,3459.94093644653,61610.2877589955,61760.334092709,56180.9159820963,63336.0618584027,69393.0239913763,71312.3966551038,59158.7605351385,13368.9836296328,79430.6661163599,82121.1650861253,85439.6317702688,76636.6216317431,2502.66540796374,2552.68085253489
"gn-11",6733.26095256857,4351.33239206498,0,1107.21179935866,4054.58139445863,13956.3904338112,17421.0743607059,24332.2111963,29061.1196146345,33493.6072238772,35682.3774714135,36156.7056100557,37972.5956519828,40254.2574744046,44807.6077172091,49502.2749796908,57107.7686971879,60591.6157524087,60340.7901238115,52772.6748295757,52248.299799837,63801.534896907,7811.27332851151,65961.6201510605,66111.6664847739,60532.2483741613,67687.3942504677,69810.934491304,71730.3071550314,63510.0929272035,9017.65123756788,79848.5766162875,82539.0755860529,85857.5422701964,77054.5321316707,6853.99780002872,6904.01324459987
"gn-10",7840.47275192723,5458.54419142364,1107.21179935866,0,2947.36959509997,12849.1786344526,16313.8625613473,23224.9993969413,27953.9078152758,32386.3954245186,34575.1656720548,35049.493810697,36865.3838526242,39147.045675046,43700.3959178505,48395.0631803321,56000.5568978292,59484.40395305,61448.0019231701,53879.8866289343,53355.5115991957,64908.7466962656,8918.48512787016,66391.9003768337,66241.8540431202,61639.4601735199,68794.6060498263,68703.7226919453,70623.0953556727,64617.3047265621,7910.43943820923,78741.3648169288,81431.8637866943,84750.3304708377,75947.3203323121,7961.20959938737,8011.22504395852
"gn-9",10787.8423470272,8405.91378652361,4054.58139445863,2947.36959509997,0,9901.80903935262,13366.4929662473,20277.6298018414,25006.5382201759,29439.0258294186,31627.7960769548,32102.124215597,33918.0142575242,36199.676079946,40753.0263227505,45447.6935852322,53053.1873027293,56537.03435795,64395.3715182701,56827.2562240343,56302.8811942957,67856.1162913655,11865.8547229701,63444.5307817337,63294.4844480203,64586.8297686199,71741.9756449262,65756.3530968454,67675.7257605728,67564.674321662,4963.06984310925,75793.9952218289,78484.4941915944,81802.9608757378,72999.9507372121,10908.5791944873,10958.5946390585
"gn-7",20689.6513863798,18307.7228258762,13956.3904338112,12849.1786344526,9901.80903935262,0,3464.6839268947,10375.8207624888,15104.7291808233,19537.216790066,21725.9870376023,22200.3151762445,24016.2052181716,26297.8670405934,30851.2172833979,35545.8845458796,43151.3782633767,46635.2253185975,59163.5517696301,66729.0652633869,66204.6902336482,77757.9253307181,21767.6637623227,53542.7217423811,53392.6754086677,58972.0935192803,81643.7846842788,55854.5440574928,57773.9167212202,77466.4833610146,4938.73919624337,65892.1861824764,68582.6851522418,71901.1518363852,63098.1416978596,20810.3882338399,20860.4036784111
"gn-6",24154.3353132745,21772.4067527709,17421.0743607059,16313.8625613473,13366.4929662473,3464.6839268947,0,6911.1368355941,11640.0452539286,16072.5328631714,18261.3031107076,18735.6312493498,20551.5212912769,22833.1831136987,27386.5333565033,32081.2006189849,39686.694336482,43170.5413917028,55698.8678427354,63266.9831369713,63820.6519297007,76805.4278008452,25232.3476892174,50078.0378154864,49927.991481773,55507.4095923857,80691.2871544059,52389.8601305981,54309.2327943256,76513.9858311417,8403.42312313807,62427.5022555817,65118.0012253472,68436.4679094906,59633.4577709649,24275.0721607346,24325.0876053058
"gn-5",31065.4721488685,28683.5435883649,24332.2111963,23224.9993969413,20277.6298018414,10375.8207624888,6911.1368355941,0,4728.9084183345,9161.3960275773,11350.1662751135,11824.4944137557,13640.3844556829,15922.0462781047,20475.3965209092,25170.0637833908,32775.5575008879,36259.4045561087,48787.7310071414,56355.8463013772,56909.5150941066,69894.2909652512,32143.4845248115,43166.9009798924,43016.8546461789,48596.2727567916,73780.1503188119,45478.723295004,47398.0959587315,69602.8489955477,15314.5599587321,55516.3654199876,58206.8643897531,61525.3310738965,52722.3209353708,31186.2089963287,31236.2244408998
"gn-4",35794.380567203,33412.4520066994,29061.1196146345,27953.9078152758,25006.5382201759,15104.7291808233,11640.0452539286,4728.9084183345,0,4432.4876092428,6621.25785677902,7095.58599542122,8911.4760373484,11193.1378597702,15746.4881025747,20441.1553650563,28046.6490825534,31530.4961377742,44058.8225888069,51626.9378830427,52180.6066757721,65165.3825469167,36872.3929431459,38437.9925615579,38287.9462278444,43867.3643384571,69051.2419004774,40749.8148766696,42669.187540397,64873.9405772132,20043.4683770666,50787.4570016531,53477.9559714186,56796.4226555621,47993.4125170363,35915.1174146632,35965.1328592343
"gn-3",40226.8681764458,37844.9396159422,33493.6072238772,32386.3954245186,29439.0258294186,19537.216790066,16072.5328631714,9161.3960275773,4432.4876092428,0,2247.35777351773,2721.68591215992,4537.57595408711,6819.23777650893,11372.5880193134,16067.2552817951,23672.7489992922,27156.5960545129,39684.9225055456,47253.0377997815,47806.7065925108,60791.4824636554,41304.8805523887,34064.0924782966,33914.0461445832,39493.4642551958,64677.3418172162,36375.9147934083,38295.2874571357,60500.0404939519,24475.9559863094,46413.5569183919,49104.0558881573,52422.5225723008,43619.5124337751,40347.6050239059,40397.6204684771
