scientific_name,vernacular_name
Anguilla anguilla,Paling
Lampetra fluviatilis,Rivierprik
Petromyzon marinus,Zeeprik
Rutilus rutilus,Blankvoorn
Silurus glanis,Europese meerval
Squalius cephalus,Kopvoorn
